date;price;returns;volume;volatility;day_of_week;month;year
2021-05-03;68,18;-0,00189;197251;0,0284;0;5;2021
2021-05-04;68,74;0,00812;265370;0,028262;1;5;2021
2021-05-05;68,78;0,000666;337869;0,028119;2;5;2021
2021-05-06;68,3;-0,007103;681124;0,027971;3;5;2021
2021-05-07;69,52;0,017705;124477;0,027818;4;5;2021
2021-05-10;67,51;-0,029321;268520;0,02766;0;5;2021
2021-05-11;67,12;-0,005845;246874;0,027498;1;5;2021
2021-05-12;68,01;0,013234;177232;0,027331;2;5;2021
2021-05-13;66,48;-0,022698;93861;0,027159;3;5;2021
2021-05-14;65,71;-0,011748;279835;0,026982;4;5;2021
2021-05-17;66,1;0,006038;92311;0,026802;0;5;2021
2021-05-18;66,43;0,00491;206431;0,026617;1;5;2021
2021-05-19;64,92;-0,023058;216812;0,026428;2;5;2021
2021-05-20;65,03;0,001827;93308;0,026235;3;5;2021
2021-05-21;65,66;0,009616;235499;0,026038;4;5;2021
2021-05-24;67,55;0,028283;352790;0,025837;0;5;2021
2021-05-25;65,22;-0,035014;137794;0,025633;1;5;2021
2021-05-26;66,1;0,013395;237982;0,025425;2;5;2021
2021-05-27;66,99;0,013287;1262323;0,025214;3;5;2021
2021-05-28;67,97;0,014572;328140;0,025;4;5;2021
2021-05-31;69,62;0,023943;278708;0,024783;0;5;2021
2021-06-01;69,1;-0,007444;256291;0,024562;1;6;2021
2021-06-02;67,83;-0,01851;171775;0,024339;2;6;2021
2021-06-03;67,06;-0,011404;189399;0,024113;3;6;2021
2021-06-04;70,9;0,055584;99354;0,023884;4;6;2021
2021-06-07;72,08;0,016532;84462;0,023653;0;6;2021
2021-06-08;71,31;-0,010753;311548;0,02342;1;6;2021
2021-06-09;71,44;0,00179;96367;0,023185;2;6;2021
2021-06-10;70,29;-0,016114;266142;0,022948;3;6;2021
2021-06-11;69,16;-0,016285;211437;0,022708;4;6;2021
2021-06-14;69,25;0,001324;118703;0,022468;0;6;2021
2021-06-15;72,65;0,04795;329928;0,022225;1;6;2021
2021-06-16;69,51;-0,044216;258188;0,021981;2;6;2021
2021-06-17;68,54;-0,014085;285105;0,021736;3;6;2021
2021-06-18;67,4;-0,016732;179854;0,02149;4;6;2021
2021-06-21;68,15;0,011028;277834;0,021243;0;6;2021
2021-06-22;66,47;-0,024901;172387;0,020996;1;6;2021
2021-06-23;65,84;-0,009554;128967;0,020747;2;6;2021
2021-06-24;68,29;0,036489;271404;0,020498;3;6;2021
2021-06-25;66,58;-0,025232;323295;0,020249;4;6;2021
2021-06-28;69,49;0,042743;388483;0,02;0;6;2021
2021-06-29;67,46;-0,029709;166094;0,019751;1;6;2021
2021-06-30;69,17;0,025007;142480;0,019502;2;6;2021
2021-07-01;69,78;0,008845;260226;0,019253;3;7;2021
2021-07-02;68,58;-0,017316;185811;0,019004;4;7;2021
2021-07-05;64,56;-0,060495;156806;0,018757;0;7;2021
2021-07-06;64,28;-0,004375;91290;0,01851;1;7;2021
2021-07-07;66,24;0,030114;103348;0,018264;2;7;2021
2021-07-08;65,74;-0,007629;187526;0,018019;3;7;2021
2021-07-09;67,46;0,025918;99722;0,017775;4;7;2021
2021-07-12;68,87;0,020693;196950;0,017532;0;7;2021
2021-07-13;67,73;-0,016672;239860;0,017292;1;7;2021
2021-07-14;67,99;0,003694;124650;0,017052;2;7;2021
2021-07-15;68,09;0,001474;135810;0,016815;3;7;2021
2021-07-16;68,23;0,002182;230893;0,01658;4;7;2021
2021-07-19;70,05;0,026226;110372;0,016347;0;7;2021
2021-07-20;72,52;0,034675;82406;0,016116;1;7;2021
2021-07-21;72,37;-0,002111;223683;0,015887;2;7;2021
2021-07-22;72,71;0,004701;124457;0,015661;3;7;2021
2021-07-23;72,5;-0,002913;131284;0,015438;4;7;2021
2021-07-26;71,87;-0,008669;271221;0,015217;0;7;2021
2021-07-27;72,28;0,005655;121262;0,015;1;7;2021
2021-07-28;73,27;0,013601;215029;0,014786;2;7;2021
2021-07-29;74,16;0,012147;249390;0,014575;3;7;2021
2021-07-30;73,31;-0,01161;137645;0,014367;4;7;2021
2021-08-02;74,11;0,010884;244210;0,014163;0;8;2021
2021-08-03;74,11;8e-06;173091;0,013962;1;8;2021
2021-08-04;75,45;0,017887;142375;0,013765;2;8;2021
2021-08-05;76,03;0,007725;158028;0,013572;3;8;2021
2021-08-06;75,83;-0,002613;290135;0,013383;4;8;2021
2021-08-09;76,69;0,011194;271077;0,013198;0;8;2021
2021-08-10;78,02;0,017294;192423;0,013018;1;8;2021
2021-08-11;78,73;0,009057;151571;0,012841;2;8;2021
2021-08-12;79,08;0,004407;158764;0,012669;3;8;2021
2021-08-13;79,2;0,001513;221822;0,012502;4;8;2021
2021-08-16;78,43;-0,009796;510109;0,01234;0;8;2021
2021-08-17;77,5;-0,011955;99559;0,012182;1;8;2021
2021-08-18;78,61;0,014231;275474;0,012029;2;8;2021
2021-08-19;79,22;0,007715;239354;0,011881;3;8;2021
2021-08-20;89,33;0,120156;104068;0,011738;4;8;2021
2021-08-23;89,44;0,001179;117028;0,0116;0;8;2021
2021-08-24;90,47;0,011482;168125;0,011467;1;8;2021
2021-08-25;89,65;-0,009061;151568;0,01134;2;8;2021
2021-08-26;90,1;0,004932;128465;0,011218;3;8;2021
2021-08-27;89,31;-0,008828;200624;0,011101;4;8;2021
2021-08-30;89,57;0,002992;129714;0,01099;0;8;2021
2021-08-31;89,14;-0,004827;192148;0,010885;1;8;2021
2021-09-01;87,79;-0,015318;93096;0,010785;2;9;2021
2021-09-02;87,14;-0,007381;157515;0,010691;3;9;2021
2021-09-03;87,45;0,003597;351551;0,010603;4;9;2021
2021-09-06;88,27;0,009323;163803;0,010521;0;9;2021
2021-09-07;88,28;0,000101;98786;0,010444;1;9;2021
2021-09-08;88,29;0,000108;141151;0,010374;2;9;2021
2021-09-09;88,61;0,003627;111203;0,010309;3;9;2021
2021-09-10;89,11;0,005624;368883;0,010251;4;9;2021
2021-09-13;89,04;-0,000809;201166;0,010198;0;9;2021
2021-09-14;89,69;0,007306;142501;0,010152;1;9;2021
2021-09-15;89,92;0,002566;167494;0,010112;2;9;2021
2021-09-16;90,04;0,001284;111668;0,010078;3;9;2021
2021-09-17;90,09;0,000546;209286;0,01005;4;9;2021
2021-09-20;91,44;0,014852;301189;0,010028;0;9;2021
2021-09-21;93,46;0,021859;134800;0,010012;1;9;2021
2021-09-22;94,31;0,009026;193945;0,010003;2;9;2021
2021-09-23;96,42;0,022198;132437;0,01;3;9;2021
2021-09-24;95,64;-0,0081;130739;0,010003;4;9;2021
2021-09-27;93,66;-0,020965;151741;0,010012;0;9;2021
2021-09-28;92,98;-0,007313;188822;0,010028;1;9;2021
2021-09-29;93,33;0,003735;430134;0,01005;2;9;2021
2021-09-30;94,25;0,009878;133654;0,010078;3;9;2021
2021-10-01;93,43;-0,008784;227046;0,010112;4;10;2021
2021-10-04;92,21;-0,013103;461162;0,010152;0;10;2021
2021-10-05;93,36;0,012328;144205;0,010198;1;10;2021
2021-10-06;91,76;-0,017261;376518;0,010251;2;10;2021
2021-10-07;91,68;-0,000881;305787;0,010309;3;10;2021
2021-10-08;90,2;-0,01624;140558;0,010374;4;10;2021
2021-10-11;90,23;0,000355;166714;0,010444;0;10;2021
2021-10-12;89,83;-0,004435;232742;0,010521;1;10;2021
2021-10-13;88,85;-0,01102;168729;0,010603;2;10;2021
2021-10-14;88,99;0,001586;213202;0,010691;3;10;2021
2021-10-15;89,7;0,007975;99870;0,010785;4;10;2021
2021-10-18;88,24;-0,016399;359785;0,010885;0;10;2021
2021-10-19;88,59;0,003952;116032;0,01099;1;10;2021
2021-10-20;90,16;0,01752;202140;0,011101;2;10;2021
2021-10-21;91,39;0,013529;190613;0,011218;3;10;2021
2021-10-22;93,57;0,023668;482953;0,01134;4;10;2021
2021-10-25;93,34;-0,002555;272102;0,011467;0;10;2021
2021-10-26;94,07;0,007786;346801;0,0116;1;10;2021
2021-10-27;93,03;-0,011026;255331;0,011738;2;10;2021
2021-10-28;94,24;0,012875;76044;0,011881;3;10;2021
2021-10-29;92,94;-0,013933;67067;0,012029;4;10;2021
2021-11-01;92,66;-0,002982;240641;0,012182;0;11;2021
2021-11-02;94,42;0,018838;200208;0,01234;1;11;2021
2021-11-03;96,39;0,020661;98250;0,012502;2;11;2021
2021-11-04;94,36;-0,021281;192458;0,012669;3;11;2021
2021-11-05;94,86;0,005232;168012;0,012841;4;11;2021
2021-11-08;92,37;-0,026613;197555;0,013018;0;11;2021
2021-11-09;90,82;-0,016917;266649;0,013198;1;11;2021
2021-11-10;91,29;0,005206;106719;0,013383;2;11;2021
2021-11-11;90,68;-0,006674;102519;0,013572;3;11;2021
2021-11-12;90,63;-0,000563;264649;0,013765;4;11;2021
2021-11-15;89,42;-0,013463;238224;0,013962;0;11;2021
2021-11-16;88,78;-0,00721;117709;0,014163;1;11;2021
2021-11-17;88,67;-0,001238;98482;0,014367;2;11;2021
2021-11-18;87,98;-0,007769;96631;0,014575;3;11;2021
2021-11-19;90,6;0,02935;213770;0,014786;4;11;2021
2021-11-22;89,68;-0,010196;200145;0,015;0;11;2021
2021-11-23;89,56;-0,001409;148221;0,015217;1;11;2021
2021-11-24;90,44;0,009781;260234;0,015438;2;11;2021
2021-11-25;89,72;-0,008008;132177;0,015661;3;11;2021
2021-11-26;89,35;-0,00407;53734;0,015887;4;11;2021
2021-11-29;87,22;-0,024118;401079;0,016116;0;11;2021
2021-11-30;89,63;0,02719;182340;0,016347;1;11;2021
2021-12-01;90,51;0,009859;208338;0,01658;2;12;2021
2021-12-02;95,35;0,052072;432351;0,016815;3;12;2021
2021-12-03;95,17;-0,001881;103136;0,017052;4;12;2021
2021-12-06;92,59;-0,027478;230235;0,017292;0;12;2021
2021-12-07;91,4;-0,012961;90526;0,017532;1;12;2021
2021-12-08;90,38;-0,011193;105663;0,017775;2;12;2021
2021-12-09;93,2;0,0307;329804;0,018019;3;12;2021
2021-12-10;93,22;0,000154;341610;0,018264;4;12;2021
2021-12-13;93,38;0,001732;107320;0,01851;0;12;2021
2021-12-14;96,11;0,028869;273962;0,018757;1;12;2021
2021-12-15;94,27;-0,019412;177149;0,019004;2;12;2021
2021-12-16;92,72;-0,016558;95262;0,019253;3;12;2021
2021-12-17;94,44;0,018362;499192;0,019502;4;12;2021
2021-12-20;91,89;-0,027323;275238;0,019751;0;12;2021
2021-12-21;90,73;-0,012713;144172;0,02;1;12;2021
2021-12-22;89,67;-0,011696;118337;0,020249;2;12;2021
2021-12-23;89,79;0,001295;108490;0,020498;3;12;2021
2021-12-24;90,32;0,005911;167623;0,020747;4;12;2021
2021-12-27;89,9;-0,004717;108572;0,020996;0;12;2021
2021-12-28;88,83;-0,011953;266539;0,021243;1;12;2021
2021-12-29;89,82;0,011065;110576;0,02149;2;12;2021
2021-12-30;90,04;0,002459;242087;0,021736;3;12;2021
2021-12-31;86,82;-0,036396;291929;0,021981;4;12;2021
2022-01-03;85,58;-0,014427;248372;0,022225;0;1;2022
2022-01-04;84,15;-0,016849;77329;0,022468;1;1;2022
2022-01-05;81,12;-0,036659;228331;0,022708;2;1;2022
2022-01-06;81,63;0,00626;109725;0,022948;3;1;2022
2022-01-07;82,87;0,015106;81414;0,023185;4;1;2022
2022-01-10;82,77;-0,001248;90205;0,02342;0;1;2022
2022-01-11;81,53;-0,015118;192353;0,023653;1;1;2022
2022-01-12;79,89;-0,02025;161881;0,023884;2;1;2022
2022-01-13;81,88;0,024565;151569;0,024113;3;1;2022
2022-01-14;83,59;0,02064;111334;0,024339;4;1;2022
2022-01-17;84,71;0,013313;378177;0,024562;0;1;2022
2022-01-18;79,7;-0,060954;176197;0,024783;1;1;2022
2022-01-19;80,88;0,014727;168256;0,025;2;1;2022
2022-01-20;81,66;0,009658;131592;0,025214;3;1;2022
2022-01-21;81,87;0,002502;153881;0,025425;4;1;2022
2022-01-24;84,38;0,030234;240161;0,025633;0;1;2022
2022-01-25;85,15;0,009023;144017;0,025837;1;1;2022
2022-01-26;84,1;-0,012396;147745;0,026038;2;1;2022
2022-01-27;85,0;0,010648;145507;0,026235;3;1;2022
2022-01-28;85,68;0,007958;494593;0,026428;4;1;2022
2022-01-31;87,71;0,023487;170334;0,026617;0;1;2022
2022-02-01;90,61;0,032495;175442;0,026802;1;2;2022
2022-02-02;85,79;-0,054693;152385;0,026982;2;2;2022
2022-02-03;81,56;-0,050508;205886;0,027159;3;2;2022
2022-02-04;81,63;0,000803;378223;0,027331;4;2;2022
2022-02-07;82,39;0,00929;158980;0,027498;0;2;2022
2022-02-08;84,33;0,023242;66235;0,02766;1;2;2022
2022-02-09;84,91;0,006854;254974;0,027818;2;2;2022
2022-02-10;81,49;-0,041058;407584;0,027971;3;2;2022
2022-02-11;82,3;0,009818;144824;0,028119;4;2;2022
2022-02-14;83,81;0,018184;597121;0,028262;0;2;2022
2022-02-15;84,26;0,005465;193778;0,0284;1;2;2022
2022-02-16;83,19;-0,012807;120359;0,028533;2;2;2022
2022-02-17;85,22;0,024098;131325;0,02866;3;2;2022
2022-02-18;85,42;0,00236;130817;0,028782;4;2;2022
2022-02-21;86,64;0,014142;218922;0,028899;0;2;2022
2022-02-22;89,31;0,030399;164080;0,02901;1;2;2022
2022-02-23;88,64;-0,007557;107608;0,029115;2;2;2022
2022-02-24;68,16;-0,26268;222057;0,029215;3;2;2022
2022-02-25;69,71;0,022486;125403;0,029309;4;2;2022
2022-02-28;71,54;0,025864;402504;0,029397;0;2;2022
2022-03-01;72,44;0,012488;466681;0,029479;1;3;2022
2022-03-02;70,82;-0,02257;107326;0,029556;2;3;2022
2022-03-03;67,21;-0,052397;525080;0,029626;3;3;2022
2022-03-04;68,55;0,019729;189048;0,029691;4;3;2022
2022-03-07;69,14;0,008629;100434;0,029749;0;3;2022
2022-03-08;74,39;0,073188;300163;0,029802;1;3;2022
2022-03-09;74,66;0,003565;241593;0,029848;2;3;2022
2022-03-10;75,76;0,014677;208202;0,029888;3;3;2022
2022-03-11;74,01;-0,023353;254751;0,029922;4;3;2022
2022-03-14;78,33;0,056667;498693;0,02995;0;3;2022
2022-03-15;82,18;0,048051;186232;0,029972;1;3;2022
2022-03-16;79,8;-0,029376;198188;0,029988;2;3;2022
2022-03-17;79,96;0,001972;285978;0,029997;3;3;2022
2022-03-18;76,03;-0,050474;527227;0,03;4;3;2022
2022-03-21;75,69;-0,00444;137704;0,029997;0;3;2022
2022-03-22;73,45;-0,030051;92746;0,029988;1;3;2022
2022-03-23;75,3;0,024972;210486;0,029972;2;3;2022
2022-03-24;72,47;-0,038335;118081;0,02995;3;3;2022
2022-03-25;71,77;-0,009747;412607;0,029922;4;3;2022
2022-03-28;71,24;-0,007459;82714;0,029888;0;3;2022
2022-03-29;70,74;-0,007035;152424;0,029848;1;3;2022
2022-03-30;65,29;-0,080072;285701;0,029802;2;3;2022
2022-03-31;64,87;-0,00657;246359;0,029749;3;3;2022
2022-04-01;68,55;0,055197;442799;0,029691;4;4;2022
2022-04-04;68,02;-0,007666;101051;0,029626;0;4;2022
2022-04-05;73,42;0,076358;295153;0,029556;1;4;2022
2022-04-06;73,47;0,000711;161463;0,029479;2;4;2022
2022-04-07;73,92;0,006123;160238;0,029397;3;4;2022
2022-04-08;72,71;-0,016513;144636;0,029309;4;4;2022
2022-04-11;72,67;-0,000657;125217;0,029215;0;4;2022
2022-04-12;71,2;-0,020455;207275;0,029115;1;4;2022
2022-04-13;70,69;-0,007097;370777;0,02901;2;4;2022
2022-04-14;65,5;-0,07631;496096;0,028899;3;4;2022
2022-04-15;67,91;0,036165;78417;0,028782;4;4;2022
2022-04-18;67,27;-0,009522;148444;0,02866;0;4;2022
2022-04-19;64,64;-0,03986;154617;0,028533;1;4;2022
2022-04-20;62,65;-0,031241;514155;0,0284;2;4;2022
2022-04-21;64,35;0,026745;388640;0,028262;3;4;2022
2022-04-22;65,69;0,020593;111327;0,028119;4;4;2022
2022-04-25;64,75;-0,014372;238372;0,027971;0;4;2022
2022-04-26;62,6;-0,033698;311498;0,027818;1;4;2022
2022-04-27;62,21;-0,006348;143910;0,02766;2;4;2022
2022-04-28;63,45;0,01985;242970;0,027498;3;4;2022
2022-04-29;62,85;-0,009565;319256;0,027331;4;4;2022
2022-05-02;61,05;-0,02906;286472;0,027159;0;5;2022
2022-05-03;62,05;0,016303;161728;0,026982;1;5;2022
2022-05-04;62,62;0,009041;94678;0,026802;2;5;2022
2022-05-05;64,2;0,024895;184876;0,026617;3;5;2022
2022-05-06;63,33;-0,013514;312982;0,026428;4;5;2022
2022-05-09;62,19;-0,018178;95351;0,026235;0;5;2022
2022-05-10;59,74;-0,040232;309671;0,026038;1;5;2022
2022-05-11;57,81;-0,032783;520840;0,025837;2;5;2022
2022-05-12;54,83;-0,053067;582968;0,025633;3;5;2022
2022-05-13;55,14;0,005665;163391;0,025425;4;5;2022
2022-05-16;54,4;-0,01344;226004;0,025214;0;5;2022
2022-05-17;54,37;-0,000641;285219;0,025;1;5;2022
2022-05-18;54,54;0,003131;180424;0,024783;2;5;2022
2022-05-19;54,07;-0,008631;172313;0,024562;3;5;2022
2022-05-20;54,49;0,007792;74396;0,024339;4;5;2022
2022-05-23;52,76;-0,032209;312734;0,024113;0;5;2022
2022-05-24;53,0;0,004381;154509;0,023884;1;5;2022
2022-05-25;53,04;0,000736;194491;0,023653;2;5;2022
2022-05-26;52,38;-0,012341;124229;0,02342;3;5;2022
2022-05-27;52,64;0,004841;104320;0,023185;4;5;2022
2022-05-30;53,15;0,009668;75982;0,022948;0;5;2022
2022-05-31;54,42;0,02367;254312;0,022708;1;5;2022
2022-06-01;54,75;0,006052;281327;0,022468;2;6;2022
2022-06-02;56,84;0,037316;370314;0,022225;3;6;2022
2022-06-03;54,6;-0,040165;120571;0,021981;4;6;2022
2022-06-06;53,88;-0,013281;187286;0,021736;0;6;2022
2022-06-07;54,5;0,011425;125820;0,02149;1;6;2022
2022-06-08;54,73;0,004268;115985;0,021243;2;6;2022
2022-06-09;54,05;-0,012539;90895;0,020996;3;6;2022
2022-06-10;53,04;-0,018855;98657;0,020747;4;6;2022
2022-06-13;52,0;-0,019704;330768;0,020498;0;6;2022
2022-06-14;51,03;-0,018925;723626;0,020249;1;6;2022
2022-06-15;55,84;0,090166;196125;0,02;2;6;2022
2022-06-16;54,92;-0,016653;270156;0,019751;3;6;2022
2022-06-17;54,32;-0,010926;192412;0,019502;4;6;2022
2022-06-20;57,09;0,049589;231580;0,019253;0;6;2022
2022-06-21;58,36;0,022141;139519;0,019004;1;6;2022
2022-06-22;58,34;-0,000356;397099;0,018757;2;6;2022
2022-06-23;57,69;-0,011305;449557;0,01851;3;6;2022
2022-06-24;58,46;0,013226;138736;0,018264;4;6;2022
2022-06-27;59,14;0,011695;294840;0,018019;0;6;2022
2022-06-28;59,82;0,011353;82431;0,017775;1;6;2022
2022-06-29;59,08;-0,012448;162142;0,017532;2;6;2022
2022-06-30;59,02;-0,000987;224835;0,017292;3;6;2022
2022-07-01;59,22;0,00333;86006;0,017052;4;7;2022
2022-07-04;59,61;0,006693;234981;0,016815;0;7;2022
2022-07-05;60,19;0,009581;305328;0,01658;1;7;2022
2022-07-06;61,03;0,013932;232671;0,016347;2;7;2022
2022-07-07;60,98;-0,000831;71737;0,016116;3;7;2022
2022-07-08;61,42;0,007125;192888;0,015887;4;7;2022
2022-07-11;61,7;0,004553;89615;0,015661;0;7;2022
2022-07-12;60,7;-0,016389;321553;0,015438;1;7;2022
2022-07-13;60,68;-0,000302;230211;0,015217;2;7;2022
2022-07-14;60,72;0,000725;165896;0,015;3;7;2022
2022-07-15;61,59;0,014173;143184;0,014786;4;7;2022
2022-07-18;61,69;0,001701;130976;0,014575;0;7;2022
2022-07-19;61,33;-0,005942;148147;0,014367;1;7;2022
2022-07-20;61,54;0,003446;132137;0,014163;2;7;2022
2022-07-21;62,65;0,017833;122301;0,013962;3;7;2022
2022-07-22;62,5;-0,002272;133991;0,013765;4;7;2022
2022-07-25;63,76;0,019939;214825;0,013572;0;7;2022
2022-07-26;64,67;0,014109;88130;0,013383;1;7;2022
2022-07-27;64,92;0,003825;262880;0,013198;2;7;2022
2022-07-28;65,01;0,001371;280238;0,013018;3;7;2022
2022-07-29;64,59;-0,006343;351156;0,012841;4;7;2022
2022-08-01;66,52;0,029426;175290;0,012669;0;8;2022
2022-08-02;66,17;-0,00527;355362;0,012502;1;8;2022
2022-08-03;67,5;0,019791;149738;0,01234;2;8;2022
2022-08-04;67,17;-0,004819;148601;0,012182;3;8;2022
2022-08-05;66,11;-0,015872;119440;0,012029;4;8;2022
2022-08-08;65,35;-0,01163;124095;0,011881;0;8;2022
2022-08-09;65,34;-0,000107;183720;0,011738;1;8;2022
2022-08-10;66,55;0,018285;116566;0,0116;2;8;2022
2022-08-11;67,32;0,011587;162746;0,011467;3;8;2022
2022-08-12;67,31;-0,000261;229349;0,01134;4;8;2022
2022-08-15;66,48;-0,012294;221865;0,011218;0;8;2022
2022-08-16;66,63;0,002148;212041;0,011101;1;8;2022
2022-08-17;66,86;0,003478;573169;0,01099;2;8;2022
2022-08-18;66,42;-0,006642;133467;0,010885;3;8;2022
2022-08-19;65,99;-0,006421;131571;0,010785;4;8;2022
2022-08-22;65,56;-0,006514;315032;0,010691;0;8;2022
2022-08-23;66,58;0,015362;140776;0,010603;1;8;2022
2022-08-24;66,02;-0,008457;224056;0,010521;2;8;2022
2022-08-25;65,66;-0,005468;236224;0,010444;3;8;2022
2022-08-26;65,82;0,002405;77882;0,010374;4;8;2022
2022-08-29;66,89;0,016254;463220;0,010309;0;8;2022
2022-08-30;66,5;-0,005982;142496;0,010251;1;8;2022
2022-08-31;66,71;0,003215;197988;0,010198;2;8;2022
2022-09-01;67,18;0,006985;474405;0,010152;3;9;2022
2022-09-02;67,08;-0,001489;111144;0,010112;4;9;2022
2022-09-05;66,17;-0,0136;128629;0,010078;0;9;2022
2022-09-06;66,17;-3,3e-05;400553;0,01005;1;9;2022
2022-09-07;65,85;-0,004891;191472;0,010028;2;9;2022
2022-09-08;65,86;0,000136;295327;0,010012;3;9;2022
2022-09-09;67,56;0,025577;156361;0,010003;4;9;2022
2022-09-12;67,25;-0,004594;287754;0,01;0;9;2022
2022-09-13;67,73;0,007121;437721;0,010003;1;9;2022
