date;visitors;day_of_week;day_name;is_weekend;month;year
2022-03-17;1127;3;Thursday;0;3;2022
2022-03-18;1121;4;Friday;0;3;2022
2022-03-19;474;5;Saturday;1;3;2022
2022-03-20;521;6;Sunday;1;3;2022
2022-03-21;1099;0;Monday;0;3;2022
2022-03-22;1092;1;Tuesday;0;3;2022
2022-03-23;1120;2;Wednesday;0;3;2022
2022-03-24;1146;3;Thursday;0;3;2022
2022-03-25;1188;4;Friday;0;3;2022
2022-03-26;449;5;Saturday;1;3;2022
2022-03-27;546;6;Sunday;1;3;2022
2022-03-28;1125;0;Monday;0;3;2022
2022-03-29;1151;1;Tuesday;0;3;2022
2022-03-30;1110;2;Wednesday;0;3;2022
2022-03-31;2639;3;Thursday;0;3;2022
2022-04-01;1093;4;Friday;0;4;2022
2022-04-02;403;5;Saturday;1;4;2022
2022-04-03;431;6;Sunday;1;4;2022
2022-04-04;1099;0;Monday;0;4;2022
2022-04-05;1047;1;Tuesday;0;4;2022
2022-04-06;1165;2;Wednesday;0;4;2022
2022-04-07;1022;3;Thursday;0;4;2022
2022-04-08;1146;4;Friday;0;4;2022
2022-04-09;560;5;Saturday;1;4;2022
2022-04-10;501;6;Sunday;1;4;2022
2022-04-11;1195;0;Monday;0;4;2022
2022-04-12;1185;1;Tuesday;0;4;2022
2022-04-13;1301;2;Wednesday;0;4;2022
2022-04-14;1103;3;Thursday;0;4;2022
2022-04-15;1105;4;Friday;0;4;2022
2022-04-16;521;5;Saturday;1;4;2022
2022-04-17;554;6;Sunday;1;4;2022
2022-04-18;960;0;Monday;0;4;2022
2022-04-19;1093;1;Tuesday;0;4;2022
2022-04-20;1074;2;Wednesday;0;4;2022
2022-04-21;929;3;Thursday;0;4;2022
2022-04-22;1092;4;Friday;0;4;2022
2022-04-23;565;5;Saturday;1;4;2022
2022-04-24;430;6;Sunday;1;4;2022
2022-04-25;1035;0;Monday;0;4;2022
2022-04-26;1024;1;Tuesday;0;4;2022
2022-04-27;1156;2;Wednesday;0;4;2022
2022-04-28;1263;3;Thursday;0;4;2022
2022-04-29;1175;4;Friday;0;4;2022
2022-04-30;413;5;Saturday;1;4;2022
2022-05-01;1671;6;Sunday;1;5;2022
2022-05-02;1215;0;Monday;0;5;2022
2022-05-03;1106;1;Tuesday;0;5;2022
2022-05-04;1188;2;Wednesday;0;5;2022
2022-05-05;1099;3;Thursday;0;5;2022
2022-05-06;1142;4;Friday;0;5;2022
2022-05-07;586;5;Saturday;1;5;2022
2022-05-08;430;6;Sunday;1;5;2022
2022-05-09;711;0;Monday;0;5;2022
2022-05-10;1215;1;Tuesday;0;5;2022
2022-05-11;1101;2;Wednesday;0;5;2022
2022-05-12;1190;3;Thursday;0;5;2022
2022-05-13;1153;4;Friday;0;5;2022
2022-05-14;516;5;Saturday;1;5;2022
2022-05-15;444;6;Sunday;1;5;2022
2022-05-16;1168;0;Monday;0;5;2022
2022-05-17;1120;1;Tuesday;0;5;2022
2022-05-18;1157;2;Wednesday;0;5;2022
2022-05-19;1189;3;Thursday;0;5;2022
2022-05-20;1207;4;Friday;0;5;2022
2022-05-21;550;5;Saturday;1;5;2022
2022-05-22;546;6;Sunday;1;5;2022
2022-05-23;1127;0;Monday;0;5;2022
2022-05-24;1212;1;Tuesday;0;5;2022
2022-05-25;1256;2;Wednesday;0;5;2022
2022-05-26;1219;3;Thursday;0;5;2022
2022-05-27;1227;4;Friday;0;5;2022
2022-05-28;568;5;Saturday;1;5;2022
2022-05-29;605;6;Sunday;1;5;2022
2022-05-30;1217;0;Monday;0;5;2022
2022-05-31;1114;1;Tuesday;0;5;2022
2022-06-01;1176;2;Wednesday;0;6;2022
2022-06-02;1243;3;Thursday;0;6;2022
2022-06-03;1175;4;Friday;0;6;2022
2022-06-04;642;5;Saturday;1;6;2022
2022-06-05;583;6;Sunday;1;6;2022
2022-06-06;1196;0;Monday;0;6;2022
2022-06-07;1229;1;Tuesday;0;6;2022
2022-06-08;1224;2;Wednesday;0;6;2022
2022-06-09;1219;3;Thursday;0;6;2022
2022-06-10;1261;4;Friday;0;6;2022
2022-06-11;608;5;Saturday;1;6;2022
2022-06-12;233;6;Sunday;1;6;2022
2022-06-13;1252;0;Monday;0;6;2022
2022-06-14;1249;1;Tuesday;0;6;2022
2022-06-15;1232;2;Wednesday;0;6;2022
2022-06-16;1235;3;Thursday;0;6;2022
2022-06-17;1273;4;Friday;0;6;2022
2022-06-18;679;5;Saturday;1;6;2022
2022-06-19;667;6;Sunday;1;6;2022
2022-06-20;1239;0;Monday;0;6;2022
2022-06-21;1250;1;Tuesday;0;6;2022
2022-06-22;1269;2;Wednesday;0;6;2022
2022-06-23;1277;3;Thursday;0;6;2022
2022-06-24;1295;4;Friday;0;6;2022
2022-06-25;672;5;Saturday;1;6;2022
2022-06-26;714;6;Sunday;1;6;2022
2022-06-27;1319;0;Monday;0;6;2022
2022-06-28;1345;1;Tuesday;0;6;2022
2022-06-29;1294;2;Wednesday;0;6;2022
2022-06-30;1312;3;Thursday;0;6;2022
2022-07-01;1294;4;Friday;0;7;2022
2022-07-02;663;5;Saturday;1;7;2022
2022-07-03;816;6;Sunday;1;7;2022
2022-07-04;1373;0;Monday;0;7;2022
2022-07-05;1358;1;Tuesday;0;7;2022
2022-07-06;1317;2;Wednesday;0;7;2022
2022-07-07;1267;3;Thursday;0;7;2022
2022-07-08;1385;4;Friday;0;7;2022
2022-07-09;718;5;Saturday;1;7;2022
2022-07-10;758;6;Sunday;1;7;2022
2022-07-11;1296;0;Monday;0;7;2022
2022-07-12;1355;1;Tuesday;0;7;2022
2022-07-13;1305;2;Wednesday;0;7;2022
2022-07-14;1311;3;Thursday;0;7;2022
2022-07-15;1365;4;Friday;0;7;2022
2022-07-16;643;5;Saturday;1;7;2022
2022-07-17;648;6;Sunday;1;7;2022
2022-07-18;1303;0;Monday;0;7;2022
2022-07-19;1345;1;Tuesday;0;7;2022
2022-07-20;1432;2;Wednesday;0;7;2022
2022-07-21;1355;3;Thursday;0;7;2022
2022-07-22;1370;4;Friday;0;7;2022
2022-07-23;751;5;Saturday;1;7;2022
2022-07-24;803;6;Sunday;1;7;2022
2022-07-25;1314;0;Monday;0;7;2022
2022-07-26;1375;1;Tuesday;0;7;2022
2022-07-27;1419;2;Wednesday;0;7;2022
2022-07-28;1408;3;Thursday;0;7;2022
2022-07-29;1394;4;Friday;0;7;2022
2022-07-30;798;5;Saturday;1;7;2022
2022-07-31;838;6;Sunday;1;7;2022
2022-08-01;1566;0;Monday;0;8;2022
2022-08-02;1347;1;Tuesday;0;8;2022
2022-08-03;1570;2;Wednesday;0;8;2022
2022-08-04;1352;3;Thursday;0;8;2022
2022-08-05;1262;4;Friday;0;8;2022
2022-08-06;780;5;Saturday;1;8;2022
2022-08-07;843;6;Sunday;1;8;2022
2022-08-08;1547;0;Monday;0;8;2022
2022-08-09;1366;1;Tuesday;0;8;2022
2022-08-10;1458;2;Wednesday;0;8;2022
2022-08-11;1349;3;Thursday;0;8;2022
2022-08-12;1541;4;Friday;0;8;2022
2022-08-13;903;5;Saturday;1;8;2022
2022-08-14;812;6;Sunday;1;8;2022
2022-08-15;1349;0;Monday;0;8;2022
2022-08-16;1512;1;Tuesday;0;8;2022
2022-08-17;1439;2;Wednesday;0;8;2022
2022-08-18;1505;3;Thursday;0;8;2022
2022-08-19;1450;4;Friday;0;8;2022
2022-08-20;854;5;Saturday;1;8;2022
2022-08-21;836;6;Sunday;1;8;2022
2022-08-22;1481;0;Monday;0;8;2022
2022-08-23;1463;1;Tuesday;0;8;2022
2022-08-24;1479;2;Wednesday;0;8;2022
2022-08-25;1411;3;Thursday;0;8;2022
2022-08-26;1505;4;Friday;0;8;2022
2022-08-27;913;5;Saturday;1;8;2022
2022-08-28;872;6;Sunday;1;8;2022
2022-08-29;1526;0;Monday;0;8;2022
2022-08-30;1518;1;Tuesday;0;8;2022
2022-08-31;1490;2;Wednesday;0;8;2022
2022-09-01;1508;3;Thursday;0;9;2022
2022-09-02;1501;4;Friday;0;9;2022
2022-09-03;840;5;Saturday;1;9;2022
2022-09-04;875;6;Sunday;1;9;2022
2022-09-05;1497;0;Monday;0;9;2022
2022-09-06;1516;1;Tuesday;0;9;2022
2022-09-07;1457;2;Wednesday;0;9;2022
2022-09-08;1452;3;Thursday;0;9;2022
2022-09-09;1486;4;Friday;0;9;2022
2022-09-10;847;5;Saturday;1;9;2022
2022-09-11;888;6;Sunday;1;9;2022
2022-09-12;1498;0;Monday;0;9;2022
2022-09-13;1471;1;Tuesday;0;9;2022
2022-09-14;1491;2;Wednesday;0;9;2022
2022-09-15;1516;3;Thursday;0;9;2022
2022-09-16;1482;4;Friday;0;9;2022
2022-09-17;875;5;Saturday;1;9;2022
2022-09-18;893;6;Sunday;1;9;2022
2022-09-19;1468;0;Monday;0;9;2022
2022-09-20;1555;1;Tuesday;0;9;2022
2022-09-21;1499;2;Wednesday;0;9;2022
2022-09-22;1476;3;Thursday;0;9;2022
2022-09-23;1506;4;Friday;0;9;2022
2022-09-24;895;5;Saturday;1;9;2022
2022-09-25;891;6;Sunday;1;9;2022
2022-09-26;1479;0;Monday;0;9;2022
2022-09-27;1476;1;Tuesday;0;9;2022
2022-09-28;1434;2;Wednesday;0;9;2022
2022-09-29;1563;3;Thursday;0;9;2022
2022-09-30;1528;4;Friday;0;9;2022
2022-10-01;916;5;Saturday;1;10;2022
2022-10-02;894;6;Sunday;1;10;2022
2022-10-03;1448;0;Monday;0;10;2022
2022-10-04;1457;1;Tuesday;0;10;2022
2022-10-05;1417;2;Wednesday;0;10;2022
2022-10-06;1461;3;Thursday;0;10;2022
2022-10-07;1432;4;Friday;0;10;2022
2022-10-08;1006;5;Saturday;1;10;2022
2022-10-09;956;6;Sunday;1;10;2022
2022-10-10;1503;0;Monday;0;10;2022
2022-10-11;1437;1;Tuesday;0;10;2022
2022-10-12;1423;2;Wednesday;0;10;2022
2022-10-13;1482;3;Thursday;0;10;2022
2022-10-14;1563;4;Friday;0;10;2022
2022-10-15;1037;5;Saturday;1;10;2022
2022-10-16;787;6;Sunday;1;10;2022
2022-10-17;1535;0;Monday;0;10;2022
2022-10-18;1441;1;Tuesday;0;10;2022
2022-10-19;1452;2;Wednesday;0;10;2022
2022-10-20;1493;3;Thursday;0;10;2022
2022-10-21;1422;4;Friday;0;10;2022
2022-10-22;867;5;Saturday;1;10;2022
2022-10-23;813;6;Sunday;1;10;2022
2022-10-24;1438;0;Monday;0;10;2022
2022-10-25;1543;1;Tuesday;0;10;2022
2022-10-26;1489;2;Wednesday;0;10;2022
2022-10-27;1539;3;Thursday;0;10;2022
2022-10-28;1426;4;Friday;0;10;2022
2022-10-29;921;5;Saturday;1;10;2022
2022-10-30;749;6;Sunday;1;10;2022
2022-10-31;1477;0;Monday;0;10;2022
2022-11-01;1519;1;Tuesday;0;11;2022
2022-11-02;1346;2;Wednesday;0;11;2022
2022-11-03;1420;3;Thursday;0;11;2022
2022-11-04;1069;4;Friday;0;11;2022
2022-11-05;934;5;Saturday;1;11;2022
2022-11-06;822;6;Sunday;1;11;2022
2022-11-07;1495;0;Monday;0;11;2022
2022-11-08;1551;1;Tuesday;0;11;2022
2022-11-09;1492;2;Wednesday;0;11;2022
2022-11-10;1441;3;Thursday;0;11;2022
2022-11-11;1473;4;Friday;0;11;2022
2022-11-12;814;5;Saturday;1;11;2022
2022-11-13;851;6;Sunday;1;11;2022
2022-11-14;1436;0;Monday;0;11;2022
2022-11-15;1459;1;Tuesday;0;11;2022
2022-11-16;1419;2;Wednesday;0;11;2022
2022-11-17;1455;3;Thursday;0;11;2022
2022-11-18;1415;4;Friday;0;11;2022
2022-11-19;869;5;Saturday;1;11;2022
2022-11-20;816;6;Sunday;1;11;2022
2022-11-21;1347;0;Monday;0;11;2022
2022-11-22;1386;1;Tuesday;0;11;2022
2022-11-23;1421;2;Wednesday;0;11;2022
2022-11-24;1474;3;Thursday;0;11;2022
2022-11-25;1441;4;Friday;0;11;2022
2022-11-26;746;5;Saturday;1;11;2022
2022-11-27;767;6;Sunday;1;11;2022
2022-11-28;1438;0;Monday;0;11;2022
2022-11-29;1420;1;Tuesday;0;11;2022
2022-11-30;1457;2;Wednesday;0;11;2022
2022-12-01;1387;3;Thursday;0;12;2022
2022-12-02;1375;4;Friday;0;12;2022
2022-12-03;793;5;Saturday;1;12;2022
2022-12-04;778;6;Sunday;1;12;2022
2022-12-05;1407;0;Monday;0;12;2022
2022-12-06;1372;1;Tuesday;0;12;2022
2022-12-07;1374;2;Wednesday;0;12;2022
2022-12-08;1356;3;Thursday;0;12;2022
2022-12-09;1388;4;Friday;0;12;2022
2022-12-10;751;5;Saturday;1;12;2022
2022-12-11;775;6;Sunday;1;12;2022
2022-12-12;1403;0;Monday;0;12;2022
2022-12-13;1321;1;Tuesday;0;12;2022
2022-12-14;1390;2;Wednesday;0;12;2022
2022-12-15;1360;3;Thursday;0;12;2022
2022-12-16;1323;4;Friday;0;12;2022
2022-12-17;749;5;Saturday;1;12;2022
2022-12-18;762;6;Sunday;1;12;2022
2022-12-19;1318;0;Monday;0;12;2022
2022-12-20;1350;1;Tuesday;0;12;2022
2022-12-21;1382;2;Wednesday;0;12;2022
2022-12-22;1313;3;Thursday;0;12;2022
2022-12-23;1292;4;Friday;0;12;2022
2022-12-24;718;5;Saturday;1;12;2022
2022-12-25;722;6;Sunday;1;12;2022
2022-12-26;1360;0;Monday;0;12;2022
2022-12-27;1306;1;Tuesday;0;12;2022
2022-12-28;1290;2;Wednesday;0;12;2022
2022-12-29;496;3;Thursday;0;12;2022
2022-12-30;1257;4;Friday;0;12;2022
2022-12-31;221;5;Saturday;1;12;2022
2023-01-01;150;6;Sunday;1;1;2023
2023-01-02;917;0;Monday;0;1;2023
2023-01-03;803;1;Tuesday;0;1;2023
2023-01-04;945;2;Wednesday;0;1;2023
2023-01-05;840;3;Thursday;0;1;2023
2023-01-06;883;4;Friday;0;1;2023
2023-01-07;180;5;Saturday;1;1;2023
2023-01-08;344;6;Sunday;1;1;2023
2023-01-09;1280;0;Monday;0;1;2023
2023-01-10;1191;1;Tuesday;0;1;2023
2023-01-11;1182;2;Wednesday;0;1;2023
2023-01-12;1217;3;Thursday;0;1;2023
2023-01-13;1337;4;Friday;0;1;2023
2023-01-14;732;5;Saturday;1;1;2023
2023-01-15;618;6;Sunday;1;1;2023
2023-01-16;1263;0;Monday;0;1;2023
2023-01-17;1382;1;Tuesday;0;1;2023
2023-01-18;1363;2;Wednesday;0;1;2023
2023-01-19;1233;3;Thursday;0;1;2023
2023-01-20;1240;4;Friday;0;1;2023
2023-01-21;614;5;Saturday;1;1;2023
2023-01-22;738;6;Sunday;1;1;2023
2023-01-23;1232;0;Monday;0;1;2023
2023-01-24;1198;1;Tuesday;0;1;2023
2023-01-25;1297;2;Wednesday;0;1;2023
2023-01-26;1214;3;Thursday;0;1;2023
2023-01-27;1098;4;Friday;0;1;2023
2023-01-28;681;5;Saturday;1;1;2023
2023-01-29;617;6;Sunday;1;1;2023
2023-01-30;1296;0;Monday;0;1;2023
2023-01-31;1229;1;Tuesday;0;1;2023
2023-02-01;1174;2;Wednesday;0;2;2023
2023-02-02;1115;3;Thursday;0;2;2023
2023-02-03;1286;4;Friday;0;2;2023
2023-02-04;640;5;Saturday;1;2;2023
2023-02-05;606;6;Sunday;1;2;2023
2023-02-06;1238;0;Monday;0;2;2023
2023-02-07;1080;1;Tuesday;0;2;2023
2023-02-08;1247;2;Wednesday;0;2;2023
2023-02-09;1245;3;Thursday;0;2;2023
2023-02-10;1130;4;Friday;0;2;2023
2023-02-11;547;5;Saturday;1;2;2023
2023-02-12;579;6;Sunday;1;2;2023
2023-02-13;1091;0;Monday;0;2;2023
2023-02-14;1153;1;Tuesday;0;2;2023
2023-02-15;1200;2;Wednesday;0;2;2023
2023-02-16;1204;3;Thursday;0;2;2023
2023-02-17;1107;4;Friday;0;2;2023
2023-02-18;629;5;Saturday;1;2;2023
2023-02-19;593;6;Sunday;1;2;2023
2023-02-20;1190;0;Monday;0;2;2023
2023-02-21;1143;1;Tuesday;0;2;2023
2023-02-22;1189;2;Wednesday;0;2;2023
2023-02-23;800;3;Thursday;0;2;2023
2023-02-24;1137;4;Friday;0;2;2023
2023-02-25;508;5;Saturday;1;2;2023
2023-02-26;507;6;Sunday;1;2;2023
2023-02-27;1129;0;Monday;0;2;2023
2023-02-28;1189;1;Tuesday;0;2;2023
2023-03-01;1163;2;Wednesday;0;3;2023
2023-03-02;1115;3;Thursday;0;3;2023
2023-03-03;1128;4;Friday;0;3;2023
2023-03-04;518;5;Saturday;1;3;2023
2023-03-05;539;6;Sunday;1;3;2023
2023-03-06;1117;0;Monday;0;3;2023
2023-03-07;1116;1;Tuesday;0;3;2023
2023-03-08;728;2;Wednesday;0;3;2023
2023-03-09;1081;3;Thursday;0;3;2023
2023-03-10;1112;4;Friday;0;3;2023
2023-03-11;518;5;Saturday;1;3;2023
2023-03-12;517;6;Sunday;1;3;2023
2023-03-13;1101;0;Monday;0;3;2023
2023-03-14;1160;1;Tuesday;0;3;2023
2023-03-15;1146;2;Wednesday;0;3;2023
2023-03-16;1092;3;Thursday;0;3;2023
2023-03-17;1131;4;Friday;0;3;2023
2023-03-18;491;5;Saturday;1;3;2023
2023-03-19;511;6;Sunday;1;3;2023
2023-03-20;1159;0;Monday;0;3;2023
2023-03-21;1124;1;Tuesday;0;3;2023
2023-03-22;1143;2;Wednesday;0;3;2023
2023-03-23;1104;3;Thursday;0;3;2023
2023-03-24;1103;4;Friday;0;3;2023
2023-03-25;492;5;Saturday;1;3;2023
2023-03-26;506;6;Sunday;1;3;2023
2023-03-27;1051;0;Monday;0;3;2023
2023-03-28;1210;1;Tuesday;0;3;2023
2023-03-29;1065;2;Wednesday;0;3;2023
2023-03-30;1129;3;Thursday;0;3;2023
2023-03-31;1132;4;Friday;0;3;2023
2023-04-01;540;5;Saturday;1;4;2023
2023-04-02;615;6;Sunday;1;4;2023
2023-04-03;1119;0;Monday;0;4;2023
2023-04-04;1053;1;Tuesday;0;4;2023
2023-04-05;1261;2;Wednesday;0;4;2023
2023-04-06;976;3;Thursday;0;4;2023
2023-04-07;1022;4;Friday;0;4;2023
2023-04-08;633;5;Saturday;1;4;2023
2023-04-09;535;6;Sunday;1;4;2023
2023-04-10;1171;0;Monday;0;4;2023
2023-04-11;1090;1;Tuesday;0;4;2023
2023-04-12;1073;2;Wednesday;0;4;2023
2023-04-13;1020;3;Thursday;0;4;2023
2023-04-14;1297;4;Friday;0;4;2023
2023-04-15;458;5;Saturday;1;4;2023
2023-04-16;487;6;Sunday;1;4;2023
2023-04-17;1057;0;Monday;0;4;2023
2023-04-18;1109;1;Tuesday;0;4;2023
2023-04-19;1100;2;Wednesday;0;4;2023
2023-04-20;1164;3;Thursday;0;4;2023
2023-04-21;1241;4;Friday;0;4;2023
2023-04-22;438;5;Saturday;1;4;2023
2023-04-23;493;6;Sunday;1;4;2023
2023-04-24;1162;0;Monday;0;4;2023
2023-04-25;995;1;Tuesday;0;4;2023
2023-04-26;1185;2;Wednesday;0;4;2023
2023-04-27;1137;3;Thursday;0;4;2023
2023-04-28;1111;4;Friday;0;4;2023
2023-04-29;472;5;Saturday;1;4;2023
2023-04-30;516;6;Sunday;1;4;2023
2023-05-01;689;0;Monday;0;5;2023
2023-05-02;1164;1;Tuesday;0;5;2023
2023-05-03;1168;2;Wednesday;0;5;2023
2023-05-04;1315;3;Thursday;0;5;2023
2023-05-05;1168;4;Friday;0;5;2023
2023-05-06;408;5;Saturday;1;5;2023
2023-05-07;755;6;Sunday;1;5;2023
2023-05-08;1289;0;Monday;0;5;2023
2023-05-09;699;1;Tuesday;0;5;2023
2023-05-10;1003;2;Wednesday;0;5;2023
2023-05-11;1093;3;Thursday;0;5;2023
2023-05-12;1145;4;Friday;0;5;2023
2023-05-13;541;5;Saturday;1;5;2023
2023-05-14;500;6;Sunday;1;5;2023
2023-05-15;311;0;Monday;0;5;2023
2023-05-16;1115;1;Tuesday;0;5;2023
2023-05-17;1160;2;Wednesday;0;5;2023
2023-05-18;1000;3;Thursday;0;5;2023
2023-05-19;1127;4;Friday;0;5;2023
2023-05-20;625;5;Saturday;1;5;2023
2023-05-21;525;6;Sunday;1;5;2023
2023-05-22;1183;0;Monday;0;5;2023
2023-05-23;1188;1;Tuesday;0;5;2023
2023-05-24;1193;2;Wednesday;0;5;2023
2023-05-25;1206;3;Thursday;0;5;2023
2023-05-26;1217;4;Friday;0;5;2023
2023-05-27;633;5;Saturday;1;5;2023
2023-05-28;580;6;Sunday;1;5;2023
2023-05-29;1170;0;Monday;0;5;2023
2023-05-30;1207;1;Tuesday;0;5;2023
2023-05-31;1209;2;Wednesday;0;5;2023
2023-06-01;2696;3;Thursday;0;6;2023
2023-06-02;1191;4;Friday;0;6;2023
2023-06-03;603;5;Saturday;1;6;2023
2023-06-04;615;6;Sunday;1;6;2023
2023-06-05;1239;0;Monday;0;6;2023
2023-06-06;1212;1;Tuesday;0;6;2023
2023-06-07;1236;2;Wednesday;0;6;2023
2023-06-08;1237;3;Thursday;0;6;2023
2023-06-09;1242;4;Friday;0;6;2023
2023-06-10;650;5;Saturday;1;6;2023
2023-06-11;675;6;Sunday;1;6;2023
2023-06-12;821;0;Monday;0;6;2023
2023-06-13;1264;1;Tuesday;0;6;2023
2023-06-14;1233;2;Wednesday;0;6;2023
2023-06-15;2713;3;Thursday;0;6;2023
2023-06-16;1196;4;Friday;0;6;2023
2023-06-17;627;5;Saturday;1;6;2023
2023-06-18;675;6;Sunday;1;6;2023
2023-06-19;1224;0;Monday;0;6;2023
2023-06-20;1289;1;Tuesday;0;6;2023
2023-06-21;1287;2;Wednesday;0;6;2023
2023-06-22;1267;3;Thursday;0;6;2023
2023-06-23;1221;4;Friday;0;6;2023
2023-06-24;652;5;Saturday;1;6;2023
2023-06-25;671;6;Sunday;1;6;2023
2023-06-26;1298;0;Monday;0;6;2023
2023-06-27;1235;1;Tuesday;0;6;2023
2023-06-28;1354;2;Wednesday;0;6;2023
2023-06-29;1310;3;Thursday;0;6;2023
2023-06-30;1319;4;Friday;0;6;2023
2023-07-01;733;5;Saturday;1;7;2023
2023-07-02;773;6;Sunday;1;7;2023
2023-07-03;1318;0;Monday;0;7;2023
2023-07-04;1351;1;Tuesday;0;7;2023
2023-07-05;1275;2;Wednesday;0;7;2023
2023-07-06;1426;3;Thursday;0;7;2023
2023-07-07;1329;4;Friday;0;7;2023
2023-07-08;681;5;Saturday;1;7;2023
2023-07-09;699;6;Sunday;1;7;2023
2023-07-10;2704;0;Monday;0;7;2023
2023-07-11;1358;1;Tuesday;0;7;2023
2023-07-12;1333;2;Wednesday;0;7;2023
2023-07-13;1360;3;Thursday;0;7;2023
2023-07-14;1380;4;Friday;0;7;2023
2023-07-15;761;5;Saturday;1;7;2023
2023-07-16;683;6;Sunday;1;7;2023
2023-07-17;1308;0;Monday;0;7;2023
2023-07-18;1269;1;Tuesday;0;7;2023
2023-07-19;1367;2;Wednesday;0;7;2023
2023-07-20;1303;3;Thursday;0;7;2023
2023-07-21;1331;4;Friday;0;7;2023
2023-07-22;857;5;Saturday;1;7;2023
2023-07-23;825;6;Sunday;1;7;2023
2023-07-24;1300;0;Monday;0;7;2023
2023-07-25;1409;1;Tuesday;0;7;2023
2023-07-26;1395;2;Wednesday;0;7;2023
2023-07-27;1522;3;Thursday;0;7;2023
2023-07-28;1499;4;Friday;0;7;2023
2023-07-29;892;5;Saturday;1;7;2023
2023-07-30;840;6;Sunday;1;7;2023
2023-07-31;1449;0;Monday;0;7;2023
2023-08-01;1551;1;Tuesday;0;8;2023
2023-08-02;1363;2;Wednesday;0;8;2023
2023-08-03;1407;3;Thursday;0;8;2023
2023-08-04;1458;4;Friday;0;8;2023
2023-08-05;924;5;Saturday;1;8;2023
2023-08-06;711;6;Sunday;1;8;2023
2023-08-07;1490;0;Monday;0;8;2023
2023-08-08;1410;1;Tuesday;0;8;2023
2023-08-09;1491;2;Wednesday;0;8;2023
2023-08-10;1459;3;Thursday;0;8;2023
2023-08-11;1312;4;Friday;0;8;2023
2023-08-12;755;5;Saturday;1;8;2023
