date;visits;conversion_rate;orders;revenue;avg_order_value;organic_visits;paid_visits;social_visits;email_visits;day_of_week;is_weekend;month;year;is_campaign_day
2022-09-12;10843;2,92;317;98495,22;310,71;5095;3087;1630;1031;0;0;9;2022;0
2022-09-13;12582;2,65;333;108020,49;324,39;5501;3330;2639;1112;1;0;9;2022;0
2022-09-14;10606;2,22;235;75768,42;322,42;4645;2808;2215;938;2;0;9;2022;0
2022-09-15;19269;2,06;396;133978,66;338,33;6548;9231;2169;1321;3;0;9;2022;1
2022-09-16;12240;2,4;293;85986,58;293,47;5231;3157;2798;1054;4;0;9;2022;0
2022-09-17;8389;2,91;243;82416,94;339,16;3798;2290;1536;765;5;1;9;2022;0
2022-09-18;8292;2,34;194;60086,65;309,72;3786;2282;1462;762;6;1;9;2022;0
2022-09-19;7850;2,8;219;60324,29;275,45;3195;1924;2088;643;0;0;9;2022;0
2022-09-20;7003;1,89;132;44186,12;334,74;3046;1833;1512;612;1;0;9;2022;0
2022-09-21;8285;2,81;233;69814,4;299,63;3954;2378;1158;795;2;0;9;2022;0
2022-09-22;7868;2,16;170;55973,11;329,25;3601;2165;1379;723;3;0;9;2022;0
2022-09-23;7174;2,34;167;52168,79;312,39;3361;2020;1118;675;4;0;9;2022;0
2022-09-24;4791;2,62;125;38418,62;307,35;2238;1344;760;449;5;1;9;2022;0
2022-09-25;6475;2,62;169;43358,21;256,56;3186;1913;737;639;6;1;9;2022;0
2022-09-26;9472;2,39;226;69907,95;309,33;3983;2391;2299;799;0;0;9;2022;0
2022-09-27;11094;2,42;268;80247,11;299,43;5333;3201;1492;1068;1;0;9;2022;0
2022-09-28;10210;2,36;240;74323,57;309,68;4859;2916;1461;974;2;0;9;2022;0
2022-09-29;10772;3,27;351;104154,76;296,74;4791;2874;2147;960;3;0;9;2022;0
2022-09-30;10958;2,3;251;76987,42;306,72;4977;2986;1998;997;4;0;9;2022;0
2022-10-01;6907;2,11;145;41659,23;287,31;3056;1833;1405;613;5;1;10;2022;0
2022-10-02;7840;2,98;233;81157,0;348,31;3719;2231;1145;745;6;1;10;2022;0
2022-10-03;11176;2,59;289;100965,86;349,36;5313;3188;1610;1065;0;0;10;2022;0
2022-10-04;9424;2,2;207;46726,35;225,73;4409;2646;1486;883;1;0;10;2022;0
2022-10-05;9515;2,58;245;72617,35;296,4;3921;2354;2453;787;2;0;10;2022;0
2022-10-06;8679;2,21;191;49823,07;260,85;3839;2306;1764;770;3;0;10;2022;0
2022-10-07;6884;3,42;235;75295,31;320,41;3208;1927;1104;645;4;0;10;2022;0
2022-10-08;4384;3,18;139;39381,45;283,32;1864;1120;1024;376;5;1;10;2022;0
2022-10-09;4450;2,2;97;27815,02;286,75;2015;1211;819;405;6;1;10;2022;0
2022-10-10;7588;2,81;213;54528,91;256,0;3470;2088;1332;698;0;0;10;2022;0
2022-10-11;8045;2,76;221;67846,47;307,0;3888;2341;1034;782;1;0;10;2022;0
2022-10-12;6733;3,14;211;62482,74;296,13;3183;1918;991;641;2;0;10;2022;0
2022-10-13;9190;2,56;235;75294,35;320,4;4150;2502;1702;836;3;0;10;2022;0
2022-10-14;9599;3,38;324;90547,36;279,47;4130;2492;2145;832;4;0;10;2022;0
2022-10-15;5650;3,18;179;46351,62;258,95;2466;1489;1197;498;5;1;10;2022;0
2022-10-16;5871;1,62;95;24005,55;252,69;2991;1808;468;604;6;1;10;2022;0
2022-10-17;7750;2,86;221;72854,97;329,66;3492;2113;1439;706;0;0;10;2022;0
2022-10-18;9264;1,81;167;39709,79;237,78;4202;2544;1668;850;1;0;10;2022;0
2022-10-19;8273;2,48;205;46606,57;227,35;3757;2278;1478;760;2;0;10;2022;0
2022-10-20;6928;2,83;196;58233,43;297,11;3299;2002;958;669;3;0;10;2022;0
2022-10-21;7558;1,97;148;42151,31;284,81;3241;1969;1689;659;4;0;10;2022;0
2022-10-22;4788;2,75;131;35554,08;271,41;2258;1373;698;459;5;1;10;2022;0
2022-10-23;5254;1,98;104;28156,42;270,73;2535;1544;659;516;6;1;10;2022;0
2022-10-24;9531;2,52;239;63705,03;266,55;4243;2588;1836;864;0;0;10;2022;0
2022-10-25;10237;2,39;244;74225,95;304,2;4423;2702;2210;902;1;0;10;2022;0
2022-10-26;9802;2,21;216;60203,41;278,72;5047;3088;637;1030;2;0;10;2022;0
2022-10-27;8780;3,18;279;93115,62;333,75;3999;2451;1511;819;3;0;10;2022;0
2022-10-28;10941;2,66;290;108704,77;374,84;4626;2839;2528;948;4;0;10;2022;0
2022-10-29;6806;2,02;137;32956,91;240,56;3018;1855;1312;621;5;1;10;2022;0
2022-10-30;6370;1,79;113;30292,09;268,07;3035;1869;841;625;6;1;10;2022;0
2022-10-31;12075;2,94;355;101662,79;286,37;4997;3082;2967;1029;0;0;10;2022;0
2022-11-01;10407;2,07;215;61936,79;288,08;4519;2793;2163;932;1;0;11;2022;0
2022-11-02;9251;2,4;222;50640,32;228,11;4475;2770;1080;926;2;0;11;2022;0
2022-11-03;11270;3,45;389;83648,93;215,04;4877;3025;2357;1011;3;0;11;2022;0
2022-11-04;9638;2,26;217;51036,26;235,19;4512;2805;1385;936;4;0;11;2022;0
2022-11-05;6901;2,08;143;36716,88;256,76;3081;1919;1260;641;5;1;11;2022;0
2022-11-06;5153;2,05;105;24735,98;235,58;2199;1372;1122;460;6;1;11;2022;0
2022-11-07;8308;2,01;167;42164,71;252,48;3542;2216;1810;740;0;0;11;2022;0
2022-11-08;6586;2,77;182;42485,06;233,43;2832;1775;1386;593;1;0;11;2022;0
2022-11-09;7296;1,6;116;24280,13;209,31;3224;2025;1370;677;2;0;11;2022;0
2022-11-10;8097;2,05;165;43884,19;265,96;3949;2487;831;830;3;0;11;2022;0
2022-11-11;7832;1,89;148;34588,21;233,7;3452;2179;1473;728;4;0;11;2022;0
2022-11-12;4799;2,31;110;30267,31;275,16;2188;1384;763;464;5;1;11;2022;0
2022-11-13;5684;1,94;109;28693,72;263,25;2318;1470;1404;492;6;1;11;2022;0
2022-11-14;5917;2,1;124;32788,92;264,43;2634;1675;1048;560;0;0;11;2022;0
2022-11-15;8142;2,2;178;44885,32;252,16;3610;2301;1462;769;1;0;11;2022;0
2022-11-16;8758;2,63;230;59441,22;258,44;3934;2515;1469;840;2;0;11;2022;0
2022-11-17;7451;2,28;170;44176,42;259,86;3344;2143;1248;716;3;0;11;2022;0
2022-11-18;8049;3,54;284;77184,99;271,78;3587;2305;1386;771;4;0;11;2022;0
2022-11-19;5834;2,3;133;26473,24;199,05;2702;1741;809;582;5;1;11;2022;0
2022-11-20;4228;2,32;98;24545,13;250,46;1684;1088;1091;365;6;1;11;2022;0
2022-11-21;8047;2,39;192;51981,15;270,74;4004;2595;582;866;0;0;11;2022;0
2022-11-22;11947;2,89;344;73284,16;213,04;4878;3171;2839;1059;1;0;11;2022;0
2022-11-23;12049;2,29;276;73366,19;265,82;4634;3021;3386;1008;2;0;11;2022;0
2022-11-24;11849;2,62;310;73939,95;238,52;5394;3527;1751;1177;3;0;11;2022;0
2022-11-25;27268;1,57;428;107765,76;251,79;8729;13359;3270;1910;4;0;11;2022;1
2022-11-26;10537;2,67;281;77538,72;275,94;4685;3082;1740;1030;5;1;11;2022;0
2022-11-27;9768;2,01;196;46822,96;238,89;4121;2720;2018;909;6;1;11;2022;0
2022-11-28;16173;2,04;329;89402,51;271,74;6459;4277;4010;1427;0;0;11;2022;0
2022-11-29;10420;3,44;358;82574,59;230,66;4816;3199;1336;1069;1;0;11;2022;0
2022-11-30;8213;3,25;266;70851,53;266,36;3531;2353;1543;786;2;0;11;2022;0
2022-12-01;10251;1,94;198;49285,18;248,92;4353;2911;2016;971;3;0;12;2022;0
2022-12-02;10064;2,86;288;60370,61;209,62;4242;2846;2025;951;4;0;12;2022;0
2022-12-03;6101;2,74;166;39448,32;237,64;2413;1625;1520;543;5;1;12;2022;0
2022-12-04;7666;2,24;172;30995,76;180,21;3284;2218;1423;741;6;1;12;2022;0
2022-12-05;9956;3,05;303;50343,66;166,15;3884;2633;2561;878;0;0;12;2022;0
2022-12-06;7481;2,29;171;30738,6;179,76;3503;2383;800;795;1;0;12;2022;0
2022-12-07;8211;2,54;208;36233,76;174,2;3751;2561;1044;855;2;0;12;2022;0
2022-12-08;7318;3,33;244;47533,19;194,81;3380;2316;848;774;3;0;12;2022;0
2022-12-09;7371;2,36;174;25414,83;146,06;3112;2140;1403;716;4;0;12;2022;0
2022-12-10;4912;2,85;139;32940,1;236,98;1936;1337;1192;447;5;1;12;2022;0
2022-12-11;4882;1,95;95;23889,38;251,47;2039;1413;958;472;6;1;12;2022;0
2022-12-12;7521;2,49;187;38140,84;203,96;3172;2206;1407;736;0;0;12;2022;0
2022-12-13;7065;2,23;157;31297,15;199,34;3044;2125;1186;710;1;0;12;2022;0
2022-12-14;6946;2,55;177;34497,38;194,9;2658;1863;1802;623;2;0;12;2022;0
2022-12-15;5485;3,05;167;37561,92;224,92;2592;1824;459;610;3;0;12;2022;0
2022-12-16;7192;2,31;166;28527,06;171,85;3123;2206;1127;736;4;0;12;2022;0
2022-12-17;4404;3,38;148;32369,61;218,71;1694;1201;1106;403;5;1;12;2022;0
2022-12-18;5300;1,94;102;19329,98;189,51;2125;1513;1156;506;6;1;12;2022;0
2022-12-19;6494;2,86;185;36110,8;195,19;2733;1953;1156;652;0;0;12;2022;0
2022-12-20;7906;2,72;215;41447,85;192,78;3038;2180;1959;729;1;0;12;2022;0
2022-12-21;6568;2,81;184;38982,61;211,86;2740;1974;1194;660;2;0;12;2022;0
2022-12-22;7587;1,87;142;31024,24;218,48;3134;2268;1428;757;3;0;12;2022;0
2022-12-23;6947;3,02;210;39041,76;185,91;3089;2244;864;750;4;0;12;2022;0
2022-12-24;4116;2,8;115;20055,01;174,39;1515;1106;1125;370;5;1;12;2022;0
2022-12-25;5007;3,35;167;34104,8;204,22;2042;1496;968;501;6;1;12;2022;0
2022-12-26;8947;2,7;241;48018,6;199,25;3396;2499;2217;835;0;0;12;2022;0
2022-12-27;9548;2,58;245;47218,3;192,73;3866;2856;1872;954;1;0;12;2022;0
2022-12-28;9707;1,64;159;27512,77;173,04;3741;2776;2263;927;2;0;12;2022;0
2022-12-29;9555;2,41;230;46084,8;200,37;3758;2800;2061;936;3;0;12;2022;0
2022-12-30;8866;2,11;187;38132,46;203,92;3772;2823;1329;942;4;0;12;2022;0
2022-12-31;6487;1,65;106;23381,81;220,58;2519;1894;1441;633;5;1;12;2022;0
2023-01-01;6376;2,99;190;33246,6;174,98;2394;1807;1571;604;6;1;1;2023;0
2023-01-02;7590;1,86;141;19828,51;140,63;3011;2283;1534;762;0;0;1;2023;0
2023-01-03;9760;2,14;208;31782,71;152,8;4053;3086;1591;1030;1;0;1;2023;0
2023-01-04;8691;1,8;156;21239,63;136,15;3741;2861;1134;955;2;0;1;2023;0
2023-01-05;8333;3,03;252;34211,27;135,76;2833;2176;2597;727;3;0;1;2023;0
2023-01-06;7435;2,59;192;26327,93;137,12;2804;2163;1745;723;4;0;1;2023;0
2023-01-07;4440;2,56;113;21289,34;188,4;1751;1357;878;454;5;1;1;2023;0
2023-01-08;5240;2,15;112;16741,22;149,48;1850;1439;1469;482;6;1;1;2023;0
2023-01-09;6591;3,41;224;35978,05;160,62;2662;2081;1153;695;0;0;1;2023;0
2023-01-10;7458;2,99;222;35370,63;159,33;3209;2520;888;841;1;0;1;2023;0
2023-01-11;6488;2,38;154;22928,06;148,88;2424;1912;1512;640;2;0;1;2023;0
2023-01-12;7103;1,83;130;20241,39;155,7;2649;2098;1655;701;3;0;1;2023;0
2023-01-13;7352;3,04;223;36239,47;162,51;2759;2195;1665;733;4;0;1;2023;0
2023-01-14;4597;1,67;76;11889,76;156,44;1746;1396;988;467;5;1;1;2023;0
2023-01-15;4743;1,86;88;11773,01;133,78;1709;1372;1203;459;6;1;1;2023;0
2023-01-16;6882;2,84;195;29332,83;150,42;2628;2120;1426;708;0;0;1;2023;0
2023-01-17;7539;2,24;169;25593,67;151,44;2961;2399;1377;802;1;0;1;2023;0
2023-01-18;6576;2,35;154;23613,13;153,33;2579;2098;1198;701;2;0;1;2023;0
2023-01-19;7719;2,05;158;23257,11;147,2;3012;2461;1424;822;3;0;1;2023;0
2023-01-20;7831;2,6;203;33591,97;165,48;3265;2680;990;896;4;0;1;2023;0
2023-01-21;4671;2,94;137;20719,09;151,23;1653;1363;1199;456;5;1;1;2023;0
2023-01-22;4303;3,2;137;25274,24;184,48;1657;1372;815;459;6;1;1;2023;0
2023-01-23;6488;3,23;209;36301,96;173,69;2517;2094;1177;700;0;0;1;2023;0
2023-01-24;6490;2,36;153;19864,49;129,83;2577;2153;1040;720;1;0;1;2023;0
2023-01-25;7903;2,12;167;24963,11;149,48;2908;2440;1741;814;2;0;1;2023;0
2023-01-26;10124;2,0;202;33282,5;164,76;3821;3220;2009;1074;3;0;1;2023;0
2023-01-27;8701;2,84;246;32757,16;133,16;3155;2670;1984;892;4;0;1;2023;0
2023-01-28;5912;2,75;162;25002,68;154,34;1896;1612;1866;538;5;1;1;2023;0
2023-01-29;5432;2,23;121;17019,0;140,65;2079;1775;986;592;6;1;1;2023;0
2023-01-30;8129;3,09;251;42998,2;171,31;3106;2663;1471;889;0;0;1;2023;0
2023-01-31;7942;2,74;217;30752,51;141,72;2805;2415;1916;806;1;0;1;2023;0
2023-02-01;8818;1,74;153;20034,7;130,95;2900;2508;2573;837;2;0;2;2023;0
2023-02-02;8095;2,31;186;21694,87;116,64;2896;2515;1845;839;3;0;2;2023;0
2023-02-03;9171;3,51;321;35756,49;111,39;3520;3070;1556;1025;4;0;2;2023;0
2023-02-04;4934;2,13;105;11867,29;113,02;1609;1409;1445;471;5;1;2;2023;0
2023-02-05;5415;2,61;141;15962,78;113,21;1824;1604;1450;537;6;1;2;2023;0
2023-02-06;8237;2,23;184;19843,91;107,85;2792;2464;2158;823;0;0;2;2023;0
2023-02-07;7009;3,42;239;28684,55;120,02;2587;2293;1364;765;1;0;2;2023;0
2023-02-08;6935;3,05;211;25890,02;122,7;2416;2150;1651;718;2;0;2;2023;0
2023-02-09;7232;3,08;223;28782,79;129,07;2491;2225;1772;744;3;0;2;2023;0
2023-02-10;6413;2,57;165;20968,03;127,08;2422;2172;1093;726;4;0;2;2023;0
2023-02-11;6749;2,3;155;17627,13;113,72;2226;2004;1849;670;5;1;2;2023;0
2023-02-12;6620;2,52;167;16700,0;100,0;2249;2033;1659;679;6;1;2;2023;0
2023-02-13;10354;3,58;370;40665,71;109,91;3627;3291;2338;1098;0;0;2;2023;0
2023-02-14;16584;2,79;462;51890,38;112,32;4058;8623;2670;1233;1;0;2;2023;1
2023-02-15;10279;2,59;266;28817,11;108,34;3589;3280;2314;1096;2;0;2;2023;0
2023-02-16;10712;1,99;212;24359,92;114,91;3958;3631;1912;1211;3;0;2;2023;0
2023-02-17;10810;1,74;187;20020,11;107,06;3713;3419;2537;1141;4;0;2;2023;0
2023-02-18;4955;2,47;122;13066,4;107,1;1550;1432;1494;479;5;1;2;2023;0
2023-02-19;3658;1,4;51;6037,74;118,39;1324;1228;695;411;6;1;2;2023;0
2023-02-20;5751;2,85;164;19050,58;116,16;2087;1941;1075;648;0;0;2;2023;0
2023-02-21;5577;2,94;163;19685,6;120,77;1958;1827;1182;610;1;0;2;2023;0
2023-02-22;7565;1,96;148;14800,0;100,0;2757;2582;1364;862;2;0;2;2023;0
2023-02-23;6348;2,62;166;18369,88;110,66;2155;2024;1492;677;3;0;2;2023;0
2023-02-24;5571;3,22;179;20131,39;112,47;1799;1696;1509;567;4;0;2;2023;0
2023-02-25;5700;2,73;155;18578,06;119,86;1915;1811;1369;605;5;1;2;2023;0
2023-02-26;5858;3,16;185;21390,8;115,63;1932;1832;1481;613;6;1;2;2023;0
2023-02-27;8172;3,22;263;27806,29;105,73;2518;2395;2459;800;0;0;2;2023;0
2023-02-28;8203;1,78;146;16768,12;114,85;2953;2816;1494;940;1;0;2;2023;0
2023-03-01;8919;2,17;193;19300,0;100,0;3495;3343;965;1116;2;0;3;2023;0
2023-03-02;7847;1,29;101;10100,0;100,0;2561;2456;2010;820;3;0;3;2023;0
2023-03-03;8855;2,71;240;24000,0;100,0;3038;2922;1920;975;4;0;3;2023;0
2023-03-04;5466;1,92;104;11963,53;115,03;1764;1701;1432;569;5;1;3;2023;0
2023-03-05;5342;2,51;134;13679,23;102,08;2104;2033;525;680;6;1;3;2023;0
2023-03-06;6143;2,16;132;13200,0;100,0;2130;2064;1260;689;0;0;3;2023;0
2023-03-07;7425;2,82;209;20900,0;100,0;2431;2361;1844;789;1;0;3;2023;0
2023-03-08;7169;2,96;212;21326,42;100,6;2541;2473;1329;826;2;0;3;2023;0
2023-03-09;6724;2,7;181;19720,3;108,95;2186;2133;1693;712;3;0;3;2023;0
2023-03-10;6941;2,23;154;17428,79;113,17;2318;2266;1600;757;4;0;3;2023;0
2023-03-11;5054;2,16;108;12674,84;117,36;1686;1651;1166;551;5;1;3;2023;0
2023-03-12;3911;2,26;88;8800,0;100,0;1284;1260;946;421;6;1;3;2023;0
2023-03-13;6601;2,21;146;14600,0;100,0;1948;1915;2097;641;0;0;3;2023;0
2023-03-14;7354;2,72;199;19975,63;100,38;2456;2419;1671;808;1;0;3;2023;0
2023-03-15;6654;1,99;132;13200,0;100,0;2516;2482;826;830;2;0;3;2023;0
2023-03-16;6519;2,82;184;18400,0;100,0;1983;1959;1923;654;3;0;3;2023;0
2023-03-17;5499;1,77;97;9917,72;102,24;1725;1707;1496;571;4;0;3;2023;0
2023-03-18;4882;2,27;110;12186,55;110,79;1641;1626;1071;544;5;1;3;2023;0
2023-03-19;4106;2,94;120;12782,79;106,52;1537;1524;535;510;6;1;3;2023;0
2023-03-20;7194;3,19;229;22900,0;100,0;2347;2331;1738;778;0;0;3;2023;0
2023-03-21;6579;2,63;173;17300,0;100,0;2304;2291;1219;765;1;0;3;2023;0
2023-03-22;6255;3,09;193;20349,15;105,44;2144;2134;1264;713;2;0;3;2023;0
2023-03-23;6757;1,08;72;8027,11;111,49;2553;2544;810;850;3;0;3;2023;0
2023-03-24;6048;1,94;117;11700,0;100,0;1875;1869;1680;624;4;0;3;2023;0
2023-03-25;5187;2,67;138;13800,0;100,0;1678;1674;1276;559;5;1;3;2023;0
2023-03-26;5486;1,86;101;11106,23;109,96;1892;1889;1073;632;6;1;3;2023;0
2023-03-27;6899;2,29;157;18056,19;115,01;2177;2175;1820;727;0;0;3;2023;0
2023-03-28;7892;2,33;183;18300,0;100,0;2311;2310;2499;772;1;0;3;2023;0
2023-03-29;8496;2,72;230;25369,65;110,3;2788;2787;1991;930;2;0;3;2023;0
2023-03-30;7978;2,4;191;19100,0;100,0;2666;2665;1757;890;3;0;3;2023;0
2023-03-31;8794;2,53;222;23826,46;107,33;2947;2947;1917;983;4;0;3;2023;0
2023-04-01;5513;1,5;82;10150,65;123,79;1796;1796;1321;600;5;1;4;2023;0
2023-04-02;6022;1,05;63;8635,98;137,08;2026;2026;1294;676;6;1;4;2023;0
2023-04-03;9135;1,98;180;21662,31;120,35;3275;3274;1493;1093;0;0;4;2023;0
2023-04-04;7720;3,46;266;29588,56;111,24;2537;2536;1801;846;1;0;4;2023;0
2023-04-05;8961;2,75;246;28315,38;115,1;2917;2915;2156;973;2;0;4;2023;0
2023-04-06;7876;2,47;194;22441,51;115,68;2455;2452;2150;819;3;0;4;2023;0
2023-04-07;7062;3,09;218;26299,63;120,64;2551;2546;1115;850;4;0;4;2023;0
2023-04-08;4939;1,93;95;11098,78;116,83;1736;1731;893;579;5;1;4;2023;0
2023-04-09;4225;2,66;112;13108,66;117,04;1372;1368;1027;458;6;1;4;2023;0
2023-04-10;7420;2,73;202;22347,01;110,63;2330;2320;1994;776;0;0;4;2023;0
2023-04-11;7161;1,89;135;16223,2;120,17;2288;2276;1837;760;1;0;4;2023;0
2023-04-12;6220;3,19;198;22115,78;111,7;2064;2051;1419;686;2;0;4;2023;0
2023-04-13;6312;2,51;158;15952,62;100,97;2338;2321;878;775;3;0;4;2023;0
2023-04-14;7462;2,08;154;15731,92;102,16;2919;2894;683;966;4;0;4;2023;0
2023-04-15;4024;1,84;73;9637,28;132,02;1265;1252;1088;419;5;1;4;2023;0
2023-04-16;4011;3,63;145;18056,91;124,53;1376;1361;819;455;6;1;4;2023;0
2023-04-17;4857;3,65;177;17700,0;100,0;1833;1809;610;605;0;0;4;2023;0
2023-04-18;7154;3,72;266;34339,21;129,09;2320;2287;1783;764;1;0;4;2023;0
2023-04-19;6892;2,93;201;24522,71;122,0;2279;2243;1621;749;2;0;4;2023;0
2023-04-20;6588;2,47;162;16985,33;104,85;2264;2224;1357;743;3;0;4;2023;0
2023-04-21;5429;2,45;133;13590,88;102,19;1978;1939;864;648;4;0;4;2023;0
