order_id;customer_age;order_amount;delivery_time;product_rating;gender;age_group;customer_type;order_date;month;season
DIST00030;40;8712,08;1;4;М;Средние;Постоянный;2024-01-11;2024-01;Зима
DIST00031;52;2399,41;1;4;Ж;Пожилые;Постоянный;2024-01-11;2024-01;Зима
DIST00032;41;1990,33;4;3;Ж;Средние;Постоянный;2024-01-12;2024-01;Зима
DIST00033;35;3378,28;2;3;Ж;Средние;Постоянный;2024-01-12;2024-01;Зима
DIST00034;44;6347,82;4;4;Ж;Средние;Постоянный;2024-01-12;2024-01;Зима
DIST00035;50;1641,03;4;4;Ж;Пожилые;Новый;2024-01-13;2024-01;Зима
DIST00036;22;7803,03;3;2;М;Молодые;Постоянный;2024-01-13;2024-01;Зима
DIST00037;37;8558,01;2;2;М;Средние;Постоянный;2024-01-14;2024-01;Зима
DIST00038;61;5911,41;6;4;Ж;Пожилые;Постоянный;2024-01-14;2024-01;Зима
DIST00039;32;10112,87;6;4;М;Средние;Новый;2024-01-15;2024-01;Зима
DIST00040;47;9637,64;5;4;Ж;Средние;Постоянный;2024-01-16;2024-01;Зима
DIST00041;62;30315,64;3;5;М;Пожилые;Новый;2024-01-17;2024-01;Зима
DIST00042;65;7173,31;4;4;Ж;Пожилые;Постоянный;2024-01-18;2024-01;Зима
DIST00043;57;3075,25;5;4;М;Пожилые;Постоянный;2024-01-18;2024-01;Зима
DIST00044;38;3833,7;4;3;Ж;Средние;Новый;2024-01-18;2024-01;Зима
DIST00045;44;858,9;7;4;М;Средние;Новый;2024-01-19;2024-01;Зима
DIST00046;31;20646,81;4;5;Ж;Средние;Постоянный;2024-01-19;2024-01;Зима
DIST00047;23;8099,06;2;2;М;Молодые;Постоянный;2024-01-19;2024-01;Зима
DIST00048;25;14520,31;5;5;Ж;Молодые;Новый;2024-01-20;2024-01;Зима
DIST00049;35;3100,89;3;1;Ж;Средние;Постоянный;2024-01-21;2024-01;Зима
DIST00050;39;5112,14;5;4;М;Средние;Постоянный;2024-01-21;2024-01;Зима
DIST00051;49;4366,2;3;5;Ж;Средние;Новый;2024-01-21;2024-01;Зима
DIST00052;38;14994,97;5;3;М;Средние;Постоянный;2024-01-21;2024-01;Зима
DIST00053;37;3565,36;1;5;Ж;Средние;Постоянный;2024-01-22;2024-01;Зима
DIST00054;33;1856,96;6;3;Ж;Средние;Новый;2024-01-22;2024-01;Зима
DIST00055;18;1963,67;5;4;Ж;Молодые;Новый;2024-01-23;2024-01;Зима
DIST00056;44;2988,4;2;5;М;Средние;Новый;2024-01-23;2024-01;Зима
DIST00057;36;4460,19;1;2;М;Средние;Новый;2024-01-24;2024-01;Зима
DIST00058;40;11159,55;5;4;М;Средние;Постоянный;2024-01-24;2024-01;Зима
DIST00059;43;3769,44;4;4;Ж;Средние;Постоянный;2024-01-24;2024-01;Зима
DIST00060;33;1464,86;4;3;М;Средние;Постоянный;2024-01-24;2024-01;Зима
DIST00061;37;6648,63;4;3;М;Средние;Новый;2024-01-25;2024-01;Зима
DIST00062;54;11123,1;6;4;Ж;Пожилые;Постоянный;2024-01-25;2024-01;Зима
DIST00063;42;3545,08;3;4;М;Средние;Постоянный;2024-01-26;2024-01;Зима
DIST00064;54;12273,51;7;5;Ж;Пожилые;Новый;2024-01-27;2024-01;Зима
DIST00065;56;10523,79;4;5;Ж;Пожилые;Постоянный;2024-01-27;2024-01;Зима
DIST00066;30;8204,5;4;4;М;Средние;Новый;2024-01-27;2024-01;Зима
DIST00067;49;1271,17;4;3;М;Средние;Новый;2024-01-28;2024-01;Зима
DIST00068;36;1740,96;3;2;Ж;Средние;Постоянный;2024-01-28;2024-01;Зима
DIST00069;27;3242,75;3;5;Ж;Молодые;Постоянный;2024-01-28;2024-01;Зима
DIST00070;27;4937,77;2;5;М;Молодые;Постоянный;2024-01-28;2024-01;Зима
DIST00071;45;8149,47;4;3;М;Средние;Постоянный;2024-01-29;2024-01;Зима
DIST00072;45;1898,21;7;4;М;Средние;Постоянный;2024-01-29;2024-01;Зима
DIST00073;23;1406,83;3;5;Ж;Молодые;Новый;2024-01-29;2024-01;Зима
DIST00074;52;11778,84;6;3;Ж;Пожилые;Постоянный;2024-01-29;2024-01;Зима
DIST00075;39;8689,54;7;2;Ж;Средние;Новый;2024-01-30;2024-01;Зима
DIST00076;35;8705,47;8;3;Ж;Средние;Постоянный;2024-01-31;2024-01;Зима
DIST00077;37;4640,32;4;3;Ж;Средние;Постоянный;2024-01-31;2024-01;Зима
DIST00078;40;12814,79;3;4;М;Средние;Постоянный;2024-01-31;2024-01;Зима
DIST00079;46;7130,29;9;2;М;Средние;Постоянный;2024-01-31;2024-01;Зима
DIST00080;45;6742,55;5;4;М;Средние;Новый;2024-01-31;2024-01;Зима
DIST00081;35;8511,72;4;3;Ж;Средние;Постоянный;2024-02-01;2024-02;Зима
DIST00082;32;6705,33;5;5;Ж;Средние;Новый;2024-02-02;2024-02;Зима
DIST00083;48;10630,98;4;5;М;Средние;Постоянный;2024-02-03;2024-02;Зима
DIST00084;37;14972,43;5;2;Ж;Средние;Постоянный;2024-02-03;2024-02;Зима
DIST00085;35;5334,55;3;3;М;Средние;Новый;2024-02-03;2024-02;Зима
DIST00086;64;3152,92;3;1;М;Пожилые;Постоянный;2024-02-03;2024-02;Зима
DIST00087;42;5690,23;2;5;Ж;Средние;Новый;2024-02-04;2024-02;Зима
DIST00088;44;2916,25;3;5;Ж;Средние;Постоянный;2024-02-04;2024-02;Зима
DIST00089;52;6764,94;3;5;М;Пожилые;Постоянный;2024-02-05;2024-02;Зима
DIST00090;49;3186,82;3;5;Ж;Средние;Постоянный;2024-02-05;2024-02;Зима
DIST00091;57;2387,4;7;4;Ж;Пожилые;Постоянный;2024-02-05;2024-02;Зима
DIST00092;38;7001,52;4;3;М;Средние;Постоянный;2024-02-06;2024-02;Зима
DIST00093;47;6363,41;3;3;М;Средние;Постоянный;2024-02-06;2024-02;Зима
DIST00094;30;14836,92;3;5;Ж;Средние;Постоянный;2024-02-06;2024-02;Зима
DIST00095;46;13450,86;2;3;М;Средние;Постоянный;2024-02-07;2024-02;Зима
DIST00096;18;9133,59;1;1;М;Молодые;Постоянный;2024-02-07;2024-02;Зима
DIST00097;29;2613,61;3;4;М;Молодые;Постоянный;2024-02-07;2024-02;Зима
DIST00098;22;6886,02;3;2;Ж;Молодые;Новый;2024-02-08;2024-02;Зима
DIST00099;32;18484,76;7;5;М;Средние;Новый;2024-02-08;2024-02;Зима
DIST00100;58;5160,9;4;4;Ж;Пожилые;Новый;2024-02-08;2024-02;Зима
DIST00101;37;11690,94;3;5;Ж;Средние;Новый;2024-02-09;2024-02;Зима
DIST00102;29;4181,26;5;3;М;Молодые;Постоянный;2024-02-09;2024-02;Зима
DIST00103;28;3638,64;4;5;Ж;Молодые;Новый;2024-02-09;2024-02;Зима
DIST00104;41;16453,2;3;1;Ж;Средние;Новый;2024-02-09;2024-02;Зима
DIST00105;41;750,6;5;2;М;Средние;Постоянный;2024-02-10;2024-02;Зима
DIST00106;54;3601,25;4;4;Ж;Пожилые;Постоянный;2024-02-10;2024-02;Зима
DIST00107;54;12361,96;8;3;Ж;Пожилые;Постоянный;2024-02-10;2024-02;Зима
DIST00108;45;862,94;1;3;Ж;Средние;Постоянный;2024-02-11;2024-02;Зима
DIST00109;46;7846,06;3;4;М;Средние;Новый;2024-02-11;2024-02;Зима
DIST00110;47;2041,09;4;4;М;Средние;Постоянный;2024-02-11;2024-02;Зима
DIST00111;37;3035,89;4;4;М;Средние;Новый;2024-02-11;2024-02;Зима
DIST00112;35;4951,62;5;4;Ж;Средние;Постоянный;2024-02-11;2024-02;Зима
DIST00113;37;5083,03;2;4;Ж;Средние;Постоянный;2024-02-12;2024-02;Зима
DIST00114;33;3927,86;5;4;М;Средние;Новый;2024-02-12;2024-02;Зима
DIST00115;57;4011,75;5;2;Ж;Пожилые;Постоянный;2024-02-13;2024-02;Зима
DIST00116;54;3403,16;2;4;М;Пожилые;Новый;2024-02-13;2024-02;Зима
DIST00117;32;6485,1;3;4;М;Средние;Постоянный;2024-02-13;2024-02;Зима
DIST00118;52;17043,42;4;3;М;Пожилые;Постоянный;2024-02-14;2024-02;Зима
DIST00119;48;5191,25;4;3;М;Средние;Новый;2024-02-14;2024-02;Зима
DIST00120;46;2422,27;4;4;М;Средние;Новый;2024-02-15;2024-02;Зима
DIST00121;25;2922,72;3;5;Ж;Молодые;Новый;2024-02-15;2024-02;Зима
DIST00122;18;885,78;7;3;Ж;Молодые;Постоянный;2024-02-15;2024-02;Зима
DIST00123;51;2973,5;5;3;М;Пожилые;Постоянный;2024-02-16;2024-02;Зима
DIST00124;52;1968,49;3;1;Ж;Пожилые;Постоянный;2024-02-16;2024-02;Зима
DIST00125;46;1680,6;1;5;М;Средние;Новый;2024-02-16;2024-02;Зима
DIST00126;59;4250,66;3;4;Ж;Пожилые;Постоянный;2024-02-17;2024-02;Зима
DIST00127;39;8009,37;3;5;М;Средние;Постоянный;2024-02-17;2024-02;Зима
DIST00128;42;2548,64;1;4;М;Средние;Постоянный;2024-02-17;2024-02;Зима
DIST00129;53;19847,76;7;3;Ж;Пожилые;Новый;2024-02-17;2024-02;Зима
DIST00130;46;2290,54;7;5;Ж;Средние;Постоянный;2024-02-17;2024-02;Зима
DIST00131;44;3535,77;5;2;М;Средние;Постоянный;2024-02-18;2024-02;Зима
DIST00132;18;9556,91;4;4;Ж;Молодые;Постоянный;2024-02-19;2024-02;Зима
DIST00133;39;7755,75;6;4;Ж;Средние;Постоянный;2024-02-19;2024-02;Зима
DIST00134;39;14136,08;7;5;М;Средние;Новый;2024-02-19;2024-02;Зима
DIST00135;40;7671,49;4;4;Ж;Средние;Постоянный;2024-02-19;2024-02;Зима
DIST00136;34;2535,77;5;5;Ж;Средние;Постоянный;2024-02-19;2024-02;Зима
DIST00137;29;9774,7;3;4;М;Молодые;Новый;2024-02-20;2024-02;Зима
DIST00138;46;15232,47;4;4;М;Средние;Постоянный;2024-02-22;2024-02;Зима
DIST00139;35;7237,64;4;5;Ж;Средние;Постоянный;2024-02-23;2024-02;Зима
DIST00140;44;5188,35;5;5;М;Средние;Постоянный;2024-02-24;2024-02;Зима
DIST00141;45;1125,02;4;3;Ж;Средние;Постоянный;2024-02-24;2024-02;Зима
DIST00142;70;4186,14;4;5;М;Пожилые;Новый;2024-02-24;2024-02;Зима
DIST00143;38;2742,51;4;5;М;Средние;Новый;2024-02-24;2024-02;Зима
DIST00144;40;1673,73;2;5;М;Средние;Постоянный;2024-02-24;2024-02;Зима
DIST00145;35;13920,91;2;3;Ж;Средние;Постоянный;2024-02-24;2024-02;Зима
DIST00146;53;9274,12;3;4;М;Пожилые;Новый;2024-02-25;2024-02;Зима
DIST00147;41;2212,62;4;5;Ж;Средние;Новый;2024-02-26;2024-02;Зима
DIST00148;34;24899,05;3;4;Ж;Средние;Новый;2024-02-26;2024-02;Зима
DIST00149;58;655,98;4;4;Ж;Пожилые;Постоянный;2024-02-26;2024-02;Зима
DIST00150;28;4081,74;6;5;М;Молодые;Постоянный;2024-02-27;2024-02;Зима
DIST00151;41;4079,71;5;4;Ж;Средние;Постоянный;2024-02-28;2024-02;Зима
DIST00152;20;11777,48;5;3;М;Молодые;Постоянный;2024-02-28;2024-02;Зима
DIST00153;61;6174,11;8;5;Ж;Пожилые;Новый;2024-02-29;2024-02;Зима
DIST00154;48;18183,65;4;5;Ж;Средние;Постоянный;2024-03-01;2024-03;Весна
DIST00155;63;6378,85;3;5;М;Пожилые;Постоянный;2024-03-01;2024-03;Весна
DIST00156;60;11444,5;5;4;М;Пожилые;Постоянный;2024-03-01;2024-03;Весна
DIST00157;35;729,52;3;5;М;Средние;Новый;2024-03-01;2024-03;Весна
DIST00158;34;673,61;4;4;Ж;Средние;Новый;2024-03-02;2024-03;Весна
DIST00159;35;1383,5;6;4;Ж;Средние;Постоянный;2024-03-02;2024-03;Весна
DIST00160;35;5061,14;3;5;Ж;Средние;Постоянный;2024-03-02;2024-03;Весна
DIST00161;46;13701,7;5;4;М;Средние;Постоянный;2024-03-02;2024-03;Весна
DIST00162;45;3865,43;5;5;М;Средние;Новый;2024-03-02;2024-03;Весна
DIST00163;35;5051,71;5;4;Ж;Средние;Постоянный;2024-03-02;2024-03;Весна
DIST00164;19;3542,79;3;4;Ж;Молодые;Постоянный;2024-03-03;2024-03;Весна
DIST00165;33;3500,2;5;5;Ж;Средние;Новый;2024-03-03;2024-03;Весна
DIST00166;46;3008,92;3;4;М;Средние;Постоянный;2024-03-03;2024-03;Весна
DIST00167;42;1621,59;4;4;Ж;Средние;Постоянный;2024-03-03;2024-03;Весна
DIST00168;58;10229,85;3;4;М;Пожилые;Постоянный;2024-03-04;2024-03;Весна
DIST00169;39;6988,65;5;3;М;Средние;Новый;2024-03-05;2024-03;Весна
DIST00170;25;4388,91;4;3;М;Молодые;Постоянный;2024-03-06;2024-03;Весна
DIST00171;28;2275,73;5;2;Ж;Молодые;Новый;2024-03-07;2024-03;Весна
DIST00172;56;1385,91;4;4;Ж;Пожилые;Новый;2024-03-07;2024-03;Весна
DIST00173;40;1772,38;8;4;Ж;Средние;Постоянный;2024-03-08;2024-03;Весна
DIST00174;30;5847,24;4;4;Ж;Средние;Новый;2024-03-08;2024-03;Весна
DIST00175;47;6367,53;3;4;М;Средние;Новый;2024-03-09;2024-03;Весна
DIST00176;32;9785,51;5;2;Ж;Средние;Постоянный;2024-03-09;2024-03;Весна
DIST00177;34;12028,87;4;5;Ж;Средние;Постоянный;2024-03-09;2024-03;Весна
DIST00178;30;5032,55;5;3;М;Средние;Постоянный;2024-03-10;2024-03;Весна
DIST00179;32;44313,25;4;1;М;Средние;Новый;2024-03-10;2024-03;Весна
DIST00180;38;3552,99;3;4;Ж;Средние;Постоянный;2024-03-10;2024-03;Весна
DIST00181;44;2709,55;3;5;Ж;Средние;Новый;2024-03-10;2024-03;Весна
DIST00182;18;2992,72;3;4;Ж;Молодые;Новый;2024-03-11;2024-03;Весна
DIST00183;51;7900,72;4;4;Ж;Пожилые;Новый;2024-03-11;2024-03;Весна
DIST00184;56;2590,76;3;4;М;Пожилые;Новый;2024-03-11;2024-03;Весна
DIST00185;46;3855,03;6;3;М;Средние;Постоянный;2024-03-11;2024-03;Весна
DIST00186;48;790,16;3;4;Ж;Средние;Постоянный;2024-03-12;2024-03;Весна
DIST00187;48;3480,92;6;4;Ж;Средние;Постоянный;2024-03-13;2024-03;Весна
DIST00188;26;20555,71;5;4;М;Молодые;Постоянный;2024-03-13;2024-03;Весна
DIST00189;50;946,0;10;5;Ж;Пожилые;Новый;2024-03-13;2024-03;Весна
DIST00190;18;5035,74;5;3;М;Молодые;Новый;2024-03-13;2024-03;Весна
DIST00191;34;2301,03;2;4;М;Средние;Постоянный;2024-03-13;2024-03;Весна
DIST00192;34;16613,64;3;4;Ж;Средние;Новый;2024-03-13;2024-03;Весна
DIST00193;37;1300,86;3;3;М;Средние;Постоянный;2024-03-14;2024-03;Весна
DIST00194;54;6239,18;1;5;Ж;Пожилые;Новый;2024-03-15;2024-03;Весна
DIST00195;54;14829,94;1;5;Ж;Пожилые;Постоянный;2024-03-15;2024-03;Весна
DIST00196;26;17653,23;4;4;Ж;Молодые;Новый;2024-03-15;2024-03;Весна
DIST00197;37;18890,95;4;4;М;Средние;Новый;2024-03-15;2024-03;Весна
DIST00198;50;9082,69;3;5;М;Пожилые;Постоянный;2024-03-16;2024-03;Весна
DIST00199;28;4907,19;5;4;М;Молодые;Постоянный;2024-03-16;2024-03;Весна
DIST00200;40;737,87;3;4;М;Средние;Постоянный;2024-03-17;2024-03;Весна
DIST00201;50;5450,63;5;2;Ж;Пожилые;Постоянный;2024-03-17;2024-03;Весна
DIST00202;57;1865,92;4;5;М;Пожилые;Новый;2024-03-17;2024-03;Весна
DIST00203;43;10363,22;4;4;М;Средние;Новый;2024-03-17;2024-03;Весна
DIST00204;56;10702,6;4;2;Ж;Пожилые;Постоянный;2024-03-18;2024-03;Весна
DIST00205;40;4887,85;7;4;Ж;Средние;Постоянный;2024-03-18;2024-03;Весна
DIST00206;35;4757,23;4;4;М;Средние;Постоянный;2024-03-18;2024-03;Весна
DIST00207;38;10380,06;5;2;Ж;Средние;Постоянный;2024-03-19;2024-03;Весна
DIST00208;29;1517,4;3;3;Ж;Молодые;Постоянный;2024-03-20;2024-03;Весна
DIST00209;38;1738,16;6;4;М;Средние;Постоянный;2024-03-20;2024-03;Весна
DIST00210;54;4057,64;4;4;Ж;Пожилые;Постоянный;2024-03-20;2024-03;Весна
DIST00211;55;500,0;2;3;М;Пожилые;Новый;2024-03-20;2024-03;Весна
DIST00212;25;15003,47;1;1;Ж;Молодые;Новый;2024-03-20;2024-03;Весна
DIST00213;49;7083,9;4;2;М;Средние;Постоянный;2024-03-20;2024-03;Весна
DIST00214;37;6614,39;3;2;Ж;Средние;Постоянный;2024-03-20;2024-03;Весна
DIST00215;28;6827,12;3;4;М;Молодые;Постоянный;2024-03-21;2024-03;Весна
DIST00216;39;2143,03;4;3;М;Средние;Постоянный;2024-03-21;2024-03;Весна
DIST00217;34;2958,13;4;5;М;Средние;Постоянный;2024-03-21;2024-03;Весна
DIST00218;18;3325,7;5;5;М;Молодые;Новый;2024-03-21;2024-03;Весна
DIST00219;39;7877,33;6;1;Ж;Средние;Постоянный;2024-03-22;2024-03;Весна
DIST00220;40;5638,17;4;4;Ж;Средние;Постоянный;2024-03-22;2024-03;Весна
DIST00221;37;5140,76;3;4;Ж;Средние;Постоянный;2024-03-22;2024-03;Весна
DIST00222;38;10672,75;1;4;М;Средние;Постоянный;2024-03-22;2024-03;Весна
DIST00223;41;9145,4;4;4;М;Средние;Постоянный;2024-03-23;2024-03;Весна
DIST00224;38;10664,15;4;5;Ж;Средние;Постоянный;2024-03-23;2024-03;Весна
DIST00225;38;6421,97;7;4;М;Средние;Новый;2024-03-23;2024-03;Весна
DIST00226;37;1650,05;6;3;Ж;Средние;Новый;2024-03-23;2024-03;Весна
DIST00227;44;13826,51;3;5;М;Средние;Постоянный;2024-03-24;2024-03;Весна
DIST00228;33;7868,88;4;4;Ж;Средние;Новый;2024-03-24;2024-03;Весна
DIST00229;31;6826,6;4;3;М;Средние;Постоянный;2024-03-24;2024-03;Весна
DIST00230;39;30582,49;4;5;М;Средние;Постоянный;2024-03-25;2024-03;Весна
DIST00231;49;5953,83;4;5;Ж;Средние;Постоянный;2024-03-25;2024-03;Весна
DIST00232;39;8632,27;2;3;М;Средние;Новый;2024-03-25;2024-03;Весна
DIST00233;35;10155,27;2;3;Ж;Средние;Постоянный;2024-03-25;2024-03;Весна
DIST00234;25;5148,89;2;4;Ж;Молодые;Постоянный;2024-03-26;2024-03;Весна
DIST00235;31;5611,99;2;3;М;Средние;Постоянный;2024-03-28;2024-03;Весна
DIST00236;24;9619,44;1;3;Ж;Молодые;Постоянный;2024-03-28;2024-03;Весна
DIST00237;46;1744,33;4;4;Ж;Средние;Постоянный;2024-03-28;2024-03;Весна
DIST00238;32;2220,97;7;4;М;Средние;Постоянный;2024-03-28;2024-03;Весна
DIST00239;57;5362,43;4;3;Ж;Пожилые;Постоянный;2024-03-28;2024-03;Весна
DIST00240;35;5462,43;5;5;М;Средние;Постоянный;2024-03-28;2024-03;Весна
DIST00241;26;5100,32;4;5;Ж;Молодые;Постоянный;2024-03-28;2024-03;Весна
DIST00242;45;3014,7;6;4;Ж;Средние;Постоянный;2024-03-29;2024-03;Весна
DIST00243;22;3883,84;2;5;Ж;Молодые;Новый;2024-03-29;2024-03;Весна
DIST00244;33;8196,25;5;5;М;Средние;Постоянный;2024-03-29;2024-03;Весна
DIST00245;61;8466,64;5;4;Ж;Пожилые;Постоянный;2024-03-30;2024-03;Весна
DIST00246;40;7582,71;7;4;Ж;Средние;Постоянный;2024-03-31;2024-03;Весна
DIST00247;62;4360,25;4;4;Ж;Пожилые;Постоянный;2024-03-31;2024-03;Весна
DIST00248;41;1822,03;5;4;Ж;Средние;Постоянный;2024-03-31;2024-03;Весна
DIST00249;31;4318,65;3;4;М;Средние;Постоянный;2024-04-01;2024-04;Весна
DIST00250;45;2003,89;3;5;М;Средние;Новый;2024-04-01;2024-04;Весна
DIST00251;38;3433,46;3;3;М;Средние;Постоянный;2024-04-01;2024-04;Весна
DIST00252;42;500,0;3;2;М;Средние;Новый;2024-04-01;2024-04;Весна
DIST00253;51;6838,81;3;5;Ж;Пожилые;Постоянный;2024-04-02;2024-04;Весна
DIST00254;18;26258,31;5;1;Ж;Молодые;Новый;2024-04-02;2024-04;Весна
DIST00255;18;2643,69;3;5;Ж;Молодые;Постоянный;2024-04-03;2024-04;Весна
DIST00256;39;3702,64;2;1;Ж;Средние;Постоянный;2024-04-03;2024-04;Весна
DIST00257;40;8615,99;3;3;М;Средние;Новый;2024-04-03;2024-04;Весна
DIST00258;30;14199,08;4;4;М;Средние;Постоянный;2024-04-03;2024-04;Весна
DIST00259;54;7318,86;1;4;М;Пожилые;Новый;2024-04-03;2024-04;Весна
DIST00260;49;1292,93;3;4;Ж;Средние;Постоянный;2024-04-03;2024-04;Весна
DIST00261;59;4388,19;3;4;М;Пожилые;Новый;2024-04-03;2024-04;Весна
DIST00262;44;2498,87;6;5;М;Средние;Новый;2024-04-03;2024-04;Весна
DIST00263;26;3213,69;4;4;М;Молодые;Постоянный;2024-04-04;2024-04;Весна
DIST00264;36;5489,52;3;3;Ж;Средние;Новый;2024-04-04;2024-04;Весна
DIST00265;43;5428,82;6;5;Ж;Средние;Постоянный;2024-04-04;2024-04;Весна
DIST00266;63;1797,6;3;5;М;Пожилые;Постоянный;2024-04-04;2024-04;Весна
DIST00267;18;18029,07;3;5;Ж;Молодые;Новый;2024-04-04;2024-04;Весна
DIST00268;32;17307,05;3;4;М;Средние;Новый;2024-04-05;2024-04;Весна
DIST00269;45;3757,65;6;3;М;Средние;Постоянный;2024-04-05;2024-04;Весна
DIST00270;29;13090,66;4;2;Ж;Молодые;Постоянный;2024-04-05;2024-04;Весна
DIST00271;47;6806,67;7;3;Ж;Средние;Новый;2024-04-06;2024-04;Весна
DIST00272;44;4471,67;5;4;Ж;Средние;Постоянный;2024-04-06;2024-04;Весна
DIST00273;33;6017,89;4;4;Ж;Средние;Постоянный;2024-04-07;2024-04;Весна
DIST00274;34;100000,0;8;4;М;Средние;Новый;2024-04-07;2024-04;Весна
DIST00275;35;3227,21;5;5;М;Средние;Новый;2024-04-07;2024-04;Весна
DIST00276;55;3629,35;6;4;Ж;Пожилые;Постоянный;2024-04-08;2024-04;Весна
DIST00277;45;9369,17;3;4;М;Средние;Постоянный;2024-04-09;2024-04;Весна
DIST00278;44;7332,89;7;5;М;Средние;Постоянный;2024-04-09;2024-04;Весна
DIST00279;50;4992,02;4;3;М;Пожилые;Новый;2024-04-09;2024-04;Весна
DIST00280;49;10732,96;5;1;Ж;Средние;Постоянный;2024-04-09;2024-04;Весна
DIST00281;47;7456,12;3;5;М;Средние;Новый;2024-04-09;2024-04;Весна
DIST00282;49;12816,74;3;4;Ж;Средние;Новый;2024-04-10;2024-04;Весна
DIST00283;34;4251,62;3;5;М;Средние;Постоянный;2024-04-10;2024-04;Весна
DIST00284;56;6304,01;4;5;Ж;Пожилые;Новый;2024-04-11;2024-04;Весна
DIST00285;27;2843,73;6;3;Ж;Молодые;Постоянный;2024-04-11;2024-04;Весна
DIST00286;41;32303,89;5;3;Ж;Средние;Постоянный;2024-04-12;2024-04;Весна
DIST00287;45;2240,21;5;2;М;Средние;Новый;2024-04-12;2024-04;Весна
DIST00288;19;7160,31;3;3;М;Молодые;Новый;2024-04-12;2024-04;Весна
DIST00289;40;3570,62;3;5;Ж;Средние;Новый;2024-04-13;2024-04;Весна
DIST00290;21;993,03;8;3;Ж;Молодые;Постоянный;2024-04-13;2024-04;Весна
DIST00291;45;5916,73;5;4;Ж;Средние;Постоянный;2024-04-13;2024-04;Весна
DIST00292;25;5676,85;3;3;Ж;Молодые;Постоянный;2024-04-13;2024-04;Весна
DIST00293;24;12340,97;4;3;М;Молодые;Постоянный;2024-04-13;2024-04;Весна
DIST00294;23;2766,09;4;5;Ж;Молодые;Постоянный;2024-04-13;2024-04;Весна
DIST00295;55;15412,8;6;5;Ж;Пожилые;Постоянный;2024-04-14;2024-04;Весна
DIST00296;47;9288,37;6;4;Ж;Средние;Постоянный;2024-04-14;2024-04;Весна
DIST00297;63;10940,79;4;4;М;Пожилые;Постоянный;2024-04-14;2024-04;Весна
DIST00298;38;7796,73;3;5;М;Средние;Новый;2024-04-14;2024-04;Весна
DIST00299;42;7944,78;3;5;М;Средние;Новый;2024-04-15;2024-04;Весна
DIST00300;42;19691,43;3;3;Ж;Средние;Постоянный;2024-04-15;2024-04;Весна
DIST00301;57;8533,36;8;5;Ж;Пожилые;Постоянный;2024-04-15;2024-04;Весна
DIST00302;18;22010,23;2;5;М;Молодые;Постоянный;2024-04-15;2024-04;Весна
