session_id;customer_id;session_start;session_duration;pages_viewed;traffic_source;device_type;converted
SES_2024440028;CUST_10782;2024-01-28 14:56:00;33.3;5;organic_search;tablet;False
SES_2024480029;;2024-01-19 19:00:00;41.7;8;referral;desktop;True
SES_2024140030;;2024-03-16 20:15:00;8.0;15;paid_search;desktop;False
SES_2024330031;CUST_10036;2024-01-28 12:32:00;37.0;2;referral;mobile;False
SES_2024360032;;2024-01-15 10:49:00;56.7;2;direct;mobile;False
SES_2024360033;;2024-01-26 09:33:00;41.7;15;referral;desktop;False
SES_2024820034;CUST_10547;2024-01-12 08:43:00;19.5;10;paid_search;desktop;False
SES_2024800035;CUST_10097;2024-01-12 12:57:00;26.9;19;paid_search;mobile;False
SES_2024230036;CUST_10666;2024-01-11 12:44:00;0.9;14;social;desktop;False
SES_2024930037;CUST_10698;2024-02-23 10:40:00;35.4;7;referral;desktop;False
SES_2024340038;CUST_10341;2024-01-25 17:18:00;33.4;1;paid_search;desktop;False
SES_2024660039;;2024-02-24 22:22:00;40.2;17;email;mobile;False
SES_2024160040;CUST_10165;2024-02-24 15:24:00;41.3;5;organic_search;mobile;True
SES_2024650041;;2024-01-11 10:28:00;35.6;10;direct;mobile;False
SES_2024250042;;2024-03-02 14:28:00;29.6;5;organic_search;tablet;True
SES_2024340043;CUST_10213;2024-03-09 12:12:00;50.1;16;referral;tablet;True
SES_2024760044;CUST_10339;2024-02-24 13:17:00;11.5;8;paid_search;mobile;False
SES_2024360045;;2024-03-28 15:08:00;58.7;17;email;tablet;False
SES_2024930046;;2024-01-06 10:57:00;20.3;8;paid_search;desktop;False
SES_2024670047;;2024-02-21 14:40:00;35.0;7;direct;mobile;False
SES_2024240048;CUST_10488;2024-01-11 16:56:00;29.9;16;paid_search;desktop;False
SES_2024330049;;2024-03-21 18:10:00;58.7;2;direct;desktop;True
SES_2024910050;CUST_10677;2024-02-05 22:03:00;11.7;18;paid_search;tablet;False
SES_2024480051;CUST_10786;2024-01-12 21:02:00;47.7;5;referral;tablet;True
SES_2024620052;CUST_10203;2024-02-13 14:36:00;17.1;7;direct;tablet;False
SES_2024580053;;2024-02-20 09:38:00;34.8;18;direct;tablet;False
SES_2024240054;;2024-03-21 22:19:00;18.0;11;paid_search;tablet;False
SES_2024300055;CUST_10509;2024-02-07 15:54:00;19.3;10;paid_search;tablet;False
SES_2024360056;CUST_10662;2024-03-17 18:25:00;7.0;14;paid_search;mobile;False
SES_2024330057;;2024-01-20 09:06:00;20.7;4;paid_search;mobile;False
SES_2024870058;;2024-02-01 20:22:00;40.8;9;organic_search;desktop;False
SES_2024960059;;2024-02-02 21:27:00;22.6;9;social;mobile;False
SES_2024220060;;2024-02-16 18:40:00;48.3;9;organic_search;mobile;False
SES_2024550061;;2024-02-04 11:32:00;15.3;12;email;desktop;False
SES_2024380062;CUST_10615;2024-02-14 21:21:00;7.0;18;referral;desktop;False
SES_2024160063;CUST_10306;2024-02-13 08:21:00;34.3;15;referral;mobile;False
SES_2024950064;;2024-01-06 12:36:00;55.0;7;direct;mobile;False
SES_2024220065;CUST_10497;2024-03-27 14:37:00;44.1;7;paid_search;mobile;False
SES_2024960066;CUST_10629;2024-01-26 12:41:00;35.9;16;direct;tablet;False
SES_2024930067;;2024-03-02 16:59:00;13.9;3;referral;tablet;False
SES_2024750068;CUST_10706;2024-02-27 12:49:00;49.3;17;email;mobile;False
SES_2024350069;CUST_10468;2024-01-18 09:06:00;24.5;9;organic_search;tablet;False
SES_2024800070;;2024-02-25 17:31:00;56.6;3;social;tablet;False
SES_2024170071;;2024-02-08 19:36:00;33.6;15;organic_search;mobile;False
SES_2024440072;CUST_10066;2024-03-26 21:48:00;35.4;10;referral;tablet;False
SES_2024780073;;2024-03-26 09:54:00;7.8;16;social;desktop;False
SES_2024490074;CUST_10454;2024-02-01 12:22:00;5.4;6;email;tablet;False
SES_2024520075;;2024-03-19 18:49:00;54.6;15;organic_search;desktop;True
SES_2024400076;CUST_10699;2024-02-08 22:05:00;33.6;4;direct;tablet;True
SES_2024840077;;2024-02-13 08:53:00;45.6;5;direct;mobile;False
SES_2024950078;;2024-03-24 20:40:00;27.7;6;paid_search;desktop;False
SES_2024930079;CUST_10524;2024-01-01 16:27:00;26.5;2;referral;desktop;False
SES_2024840080;CUST_10703;2024-02-20 08:13:00;19.7;2;social;mobile;False
SES_2024290081;;2024-03-06 11:54:00;21.9;17;email;tablet;False
SES_2024720082;CUST_10637;2024-03-03 16:45:00;48.1;10;email;tablet;False
SES_2024460083;CUST_10179;2024-01-05 11:18:00;34.4;2;referral;desktop;False
SES_2024730084;CUST_10401;2024-01-15 10:14:00;20.4;13;paid_search;mobile;False
SES_2024210085;CUST_10530;2024-03-16 08:45:00;19.6;4;social;desktop;False
SES_2024890086;CUST_10509;2024-03-12 22:19:00;30.5;2;organic_search;tablet;False
SES_2024650087;CUST_10120;2024-02-13 17:39:00;17.1;8;email;tablet;False
SES_2024550088;CUST_10045;2024-01-14 20:27:00;30.4;18;social;mobile;False
SES_2024660089;CUST_10340;2024-01-24 10:19:00;37.3;11;email;desktop;False
SES_2024150090;CUST_10400;2024-01-28 17:36:00;34.0;5;organic_search;desktop;False
SES_2024790091;;2024-03-24 14:07:00;38.1;15;direct;desktop;False
SES_2024340092;;2024-03-07 15:47:00;31.7;7;social;desktop;False
SES_2024800093;CUST_10551;2024-03-01 15:18:00;57.4;4;organic_search;mobile;False
SES_2024620094;CUST_10334;2024-02-11 14:24:00;13.7;13;paid_search;mobile;False
SES_2024340095;;2024-03-22 20:07:00;12.9;20;referral;desktop;True
SES_2024320096;CUST_10059;2024-02-25 10:06:00;3.9;16;email;tablet;False
SES_2024330097;;2024-02-21 16:28:00;34.0;7;organic_search;desktop;False
SES_2024320098;CUST_10343;2024-02-27 19:36:00;48.8;7;referral;mobile;False
SES_2024540099;CUST_10082;2024-01-20 10:37:00;50.1;20;paid_search;desktop;True
SES_2024180100;CUST_10454;2024-01-24 12:20:00;53.1;9;referral;tablet;False
SES_2024510101;CUST_10741;2024-02-23 12:38:00;38.5;3;email;desktop;False
SES_2024780102;CUST_10421;2024-03-14 19:19:00;37.6;18;social;tablet;False
SES_2024380103;CUST_10561;2024-01-23 08:45:00;41.3;8;paid_search;mobile;False
SES_2024680104;;2024-01-23 14:04:00;18.3;2;referral;mobile;False
SES_2024190105;;2024-02-14 09:57:00;40.3;11;email;desktop;False
SES_2024920106;CUST_10407;2024-03-20 17:18:00;39.9;5;email;desktop;False
SES_2024310107;;2024-01-24 17:31:00;44.7;19;direct;tablet;False
SES_2024960108;CUST_10594;2024-01-21 18:09:00;3.0;2;email;tablet;False
SES_2024760109;;2024-01-16 10:14:00;9.3;5;referral;mobile;False
SES_2024480110;;2024-02-17 11:51:00;2.6;20;direct;mobile;False
SES_2024250111;CUST_10548;2024-01-10 20:17:00;15.4;11;direct;desktop;False
SES_2024440112;CUST_10307;2024-01-26 15:32:00;20.2;9;social;desktop;False
SES_2024290113;CUST_10133;2024-03-22 18:12:00;5.4;20;social;desktop;True
SES_2024860114;;2024-01-10 18:15:00;44.5;15;referral;desktop;False
SES_2024400115;;2024-01-01 18:47:00;52.0;10;organic_search;mobile;True
SES_2024870116;;2024-01-04 08:58:00;22.9;6;email;mobile;False
SES_2024460117;;2024-03-15 20:50:00;28.3;14;email;tablet;False
SES_2024630118;CUST_10480;2024-02-21 16:28:00;42.3;19;paid_search;tablet;False
SES_2024120119;CUST_10786;2024-03-16 13:50:00;42.7;3;organic_search;tablet;True
SES_2024490120;CUST_10739;2024-01-17 19:09:00;21.0;19;paid_search;desktop;False
SES_2024590121;CUST_10118;2024-02-14 16:10:00;50.8;11;direct;desktop;False
SES_2024740122;CUST_10043;2024-02-20 22:26:00;56.5;12;email;desktop;False
SES_2024570123;;2024-03-10 18:41:00;35.4;11;organic_search;mobile;False
SES_2024110124;;2024-01-26 08:48:00;17.3;7;email;mobile;False
SES_2024810125;CUST_10451;2024-02-05 14:14:00;10.1;17;direct;desktop;False
SES_2024390126;CUST_10196;2024-02-18 18:03:00;51.8;3;social;tablet;True
SES_2024710127;CUST_10145;2024-01-27 11:20:00;32.8;7;organic_search;mobile;False
SES_2024320128;CUST_10685;2024-01-24 20:53:00;47.1;16;email;tablet;False
SES_2024350129;CUST_10402;2024-01-09 09:24:00;6.4;8;direct;desktop;False
SES_2024480130;CUST_10114;2024-03-25 18:45:00;30.4;5;direct;tablet;False
SES_2024500131;CUST_10293;2024-03-14 18:18:00;43.5;7;organic_search;mobile;False
SES_2024120132;CUST_10045;2024-03-22 21:58:00;42.3;18;email;desktop;False
SES_2024560133;;2024-02-08 13:00:00;51.4;14;paid_search;mobile;True
SES_2024780134;;2024-03-24 17:51:00;36.0;20;email;tablet;True
SES_2024420135;;2024-02-07 11:13:00;4.5;20;referral;tablet;False
SES_2024580136;;2024-02-11 14:49:00;33.3;2;paid_search;desktop;False
SES_2024910137;CUST_10383;2024-01-18 19:19:00;45.4;19;paid_search;mobile;False
SES_2024860138;CUST_10217;2024-01-25 19:17:00;24.1;3;referral;mobile;False
SES_2024860139;CUST_10445;2024-01-21 10:02:00;7.3;9;social;tablet;True
SES_2024740140;;2024-02-01 08:28:00;49.4;3;referral;mobile;False
SES_2024900141;CUST_10753;2024-01-18 19:51:00;44.1;4;social;desktop;False
SES_2024490142;;2024-03-19 14:12:00;10.9;12;referral;desktop;False
SES_2024880143;;2024-02-07 09:31:00;58.9;5;email;mobile;False
SES_2024220144;;2024-03-06 12:01:00;53.9;2;direct;tablet;True
SES_2024350145;CUST_10725;2024-02-28 16:05:00;32.2;11;organic_search;desktop;True
SES_2024280146;CUST_10764;2024-02-01 18:33:00;35.7;12;social;tablet;False
SES_2024760147;;2024-01-08 13:05:00;37.9;2;paid_search;mobile;False
SES_2024490148;CUST_10651;2024-02-19 10:55:00;32.2;17;social;tablet;False
SES_2024390149;;2024-03-09 22:18:00;29.7;19;social;tablet;False
SES_2024890150;CUST_10761;2024-01-20 18:54:00;49.3;1;organic_search;mobile;False
SES_2024930151;CUST_10257;2024-02-28 19:12:00;44.3;8;paid_search;mobile;True
SES_2024890152;CUST_10114;2024-02-19 16:58:00;30.9;5;email;mobile;False
SES_2024470153;CUST_10244;2024-03-16 22:13:00;7.1;9;organic_search;desktop;False
SES_2024870154;CUST_10020;2024-01-18 09:50:00;41.4;1;organic_search;desktop;False
SES_2024240155;;2024-01-16 13:23:00;58.5;15;social;desktop;False
SES_2024190156;;2024-01-09 16:19:00;44.5;10;organic_search;mobile;False
SES_2024370157;CUST_10267;2024-03-16 13:57:00;21.6;17;paid_search;tablet;True
SES_2024280158;CUST_10546;2024-03-04 22:25:00;5.3;15;email;mobile;False
SES_2024970159;CUST_10791;2024-01-16 11:50:00;49.9;5;organic_search;mobile;False
SES_2024580160;CUST_10351;2024-02-05 16:19:00;26.4;17;paid_search;tablet;False
SES_2024790161;CUST_10053;2024-01-28 10:12:00;31.8;5;social;desktop;False
SES_2024490162;;2024-01-05 15:44:00;17.9;6;direct;tablet;False
SES_2024510163;;2024-02-12 16:59:00;3.5;8;paid_search;desktop;False
SES_2024130164;CUST_10516;2024-02-21 12:46:00;32.4;1;referral;tablet;False
SES_2024210165;CUST_10675;2024-03-17 19:11:00;28.7;16;direct;tablet;False
SES_2024150166;CUST_10265;2024-03-09 15:05:00;32.3;3;paid_search;mobile;False
SES_2024140167;CUST_10073;2024-03-10 14:06:00;14.3;12;paid_search;tablet;False
SES_2024410168;CUST_10172;2024-02-11 13:48:00;49.4;13;referral;tablet;True
SES_2024250169;;2024-01-28 22:41:00;21.5;15;email;desktop;False
SES_2024670170;;2024-03-05 10:48:00;39.9;7;social;mobile;False
SES_2024560171;CUST_10649;2024-02-23 09:40:00;15.9;19;paid_search;mobile;True
SES_2024450172;CUST_10463;2024-02-12 14:22:00;51.5;19;email;desktop;False
SES_2024570173;CUST_10439;2024-01-08 15:53:00;41.5;8;paid_search;mobile;False
SES_2024390174;CUST_10185;2024-01-10 14:15:00;3.7;2;organic_search;tablet;False
SES_2024520175;CUST_10021;2024-02-06 20:48:00;53.2;13;paid_search;desktop;False
SES_2024160176;CUST_10367;2024-03-11 15:18:00;28.9;10;social;mobile;False
SES_2024720177;CUST_10147;2024-01-13 08:33:00;15.2;2;email;tablet;False
SES_2024680178;;2024-01-20 11:48:00;50.4;19;email;tablet;False
SES_2024980179;CUST_10486;2024-03-07 13:14:00;37.4;11;paid_search;desktop;False
SES_2024510180;CUST_10721;2024-02-05 21:26:00;27.5;3;email;tablet;False
SES_2024920181;;2024-02-24 15:03:00;5.8;14;organic_search;mobile;True
SES_2024590182;CUST_10190;2024-01-04 19:47:00;38.8;15;email;mobile;False
SES_2024180183;CUST_10498;2024-02-24 10:01:00;46.2;11;paid_search;mobile;False
SES_2024590184;CUST_10467;2024-03-04 19:27:00;8.7;13;direct;desktop;False
SES_2024830185;CUST_10051;2024-02-08 08:02:00;59.3;19;paid_search;desktop;False
SES_2024370186;;2024-03-18 17:56:00;5.0;17;paid_search;tablet;False
SES_2024900187;CUST_10428;2024-01-20 10:04:00;7.0;15;organic_search;tablet;False
SES_2024590188;CUST_10658;2024-03-17 15:28:00;13.6;4;direct;tablet;False
SES_2024910189;;2024-01-10 12:49:00;54.0;17;organic_search;desktop;False
SES_2024890190;CUST_10631;2024-03-09 15:48:00;40.1;19;paid_search;tablet;True
SES_2024610191;;2024-03-04 14:54:00;25.0;5;referral;tablet;False
SES_2024150192;CUST_10587;2024-01-19 14:34:00;59.4;13;social;tablet;False
SES_2024720193;CUST_10437;2024-01-20 14:24:00;14.2;12;paid_search;mobile;True
SES_2024110194;CUST_10463;2024-02-12 08:16:00;1.0;18;referral;desktop;False
SES_2024750195;CUST_10512;2024-03-02 09:04:00;27.8;5;referral;desktop;False
SES_2024100196;;2024-03-16 17:00:00;59.1;16;email;tablet;False
SES_2024740197;;2024-03-22 14:07:00;55.0;6;referral;desktop;False
SES_2024630198;CUST_10041;2024-01-18 18:00:00;8.3;18;paid_search;desktop;True
SES_2024960199;CUST_10397;2024-02-03 19:26:00;19.9;16;direct;tablet;False
SES_2024650200;CUST_10187;2024-02-12 15:52:00;3.6;7;email;desktop;False
SES_2024350201;;2024-01-07 18:46:00;31.6;1;referral;desktop;False
SES_2024330202;;2024-03-03 15:25:00;46.1;19;social;mobile;False
SES_2024470203;CUST_10214;2024-02-19 16:16:00;57.1;15;direct;mobile;True
SES_2024690204;CUST_10770;2024-03-05 14:17:00;51.0;13;paid_search;tablet;False
SES_2024620205;CUST_10608;2024-02-16 09:32:00;36.4;3;social;tablet;False
SES_2024150206;CUST_10731;2024-01-24 08:01:00;55.5;15;social;mobile;False
SES_2024590207;;2024-01-02 10:10:00;1.3;8;social;mobile;False
SES_2024260208;CUST_10170;2024-01-08 13:20:00;11.3;1;organic_search;desktop;False
SES_2024430209;;2024-03-23 14:11:00;38.2;4;organic_search;desktop;True
SES_2024560210;CUST_10662;2024-01-19 12:06:00;5.2;7;social;mobile;False
SES_2024430211;CUST_10337;2024-03-11 09:28:00;46.7;11;email;tablet;False
SES_2024380212;CUST_10616;2024-02-01 21:38:00;39.5;6;email;tablet;False
SES_2024710213;CUST_10502;2024-01-02 19:42:00;43.7;4;paid_search;desktop;False
SES_2024610214;CUST_10242;2024-01-17 16:23:00;56.5;19;social;desktop;False
SES_2024860215;;2024-01-14 17:36:00;43.9;18;email;desktop;True
SES_2024380216;;2024-02-03 08:16:00;18.5;2;referral;desktop;False
SES_2024380217;;2024-02-14 16:39:00;3.7;13;email;mobile;False
SES_2024750218;CUST_10026;2024-01-20 09:09:00;38.8;15;social;tablet;False
SES_2024140219;CUST_10687;2024-03-24 15:21:00;5.0;17;email;mobile;False
SES_2024370220;;2024-02-06 21:36:00;27.4;2;referral;mobile;False
SES_2024730221;CUST_10526;2024-01-28 08:16:00;54.3;9;paid_search;desktop;False
SES_2024930222;;2024-03-14 19:43:00;38.9;20;referral;mobile;False
SES_2024250223;;2024-02-25 10:13:00;48.9;1;referral;tablet;True
SES_2024800224;;2024-02-18 14:11:00;41.9;7;direct;tablet;False
SES_2024720225;CUST_10630;2024-01-10 21:10:00;53.9;3;social;tablet;False
SES_2024460226;CUST_10322;2024-02-08 10:44:00;19.3;9;social;desktop;True
SES_2024680227;;2024-01-06 12:14:00;9.4;19;paid_search;mobile;False
SES_2024700228;;2024-03-13 09:29:00;16.8;8;referral;desktop;False
SES_2024140229;CUST_10340;2024-02-17 12:07:00;51.4;5;direct;desktop;False
SES_2024600230;CUST_10502;2024-02-09 09:14:00;59.4;6;referral;tablet;False
SES_2024100231;;2024-03-04 20:50:00;50.1;2;email;tablet;False
SES_2024840232;CUST_10628;2024-03-07 08:37:00;9.5;3;paid_search;mobile;False
SES_2024130233;CUST_10329;2024-03-02 11:41:00;59.9;14;social;desktop;False
SES_2024890234;CUST_10035;2024-02-05 16:29:00;11.7;9;paid_search;tablet;False
SES_2024570235;;2024-03-15 18:43:00;59.8;18;direct;tablet;False
SES_2024590236;CUST_10737;2024-01-04 14:57:00;52.6;5;social;desktop;False
SES_2024470237;CUST_10451;2024-02-25 22:23:00;43.3;4;organic_search;mobile;True
SES_2024870238;;2024-02-11 20:49:00;9.9;4;referral;tablet;False
SES_2024520239;CUST_10407;2024-01-11 14:51:00;23.7;18;email;mobile;False
SES_2024230240;CUST_10074;2024-01-27 10:38:00;9.3;18;email;desktop;False
SES_2024110241;CUST_10217;2024-03-21 18:20:00;37.8;9;social;mobile;False
SES_2024980242;;2024-02-12 08:51:00;30.3;11;email;mobile;False
SES_2024860243;CUST_10647;2024-03-28 08:24:00;34.6;10;email;mobile;False
SES_2024750244;CUST_10620;2024-03-19 12:39:00;38.6;18;direct;mobile;False
SES_2024100245;CUST_10149;2024-02-19 20:59:00;2.6;12;organic_search;mobile;False
SES_2024960246;;2024-01-19 16:36:00;37.2;6;social;mobile;False
SES_2024730247;CUST_10545;2024-03-03 13:14:00;1.7;19;paid_search;mobile;False
SES_2024690248;CUST_10353;2024-01-19 15:37:00;8.6;8;organic_search;tablet;False
SES_2024280249;;2024-03-15 17:40:00;6.7;8;paid_search;desktop;False
SES_2024270250;;2024-03-25 16:32:00;47.0;1;organic_search;mobile;False
SES_2024320251;CUST_10181;2024-01-04 10:42:00;49.7;3;direct;mobile;False
SES_2024930252;CUST_10662;2024-03-25 13:00:00;9.2;10;referral;desktop;False
SES_2024120253;;2024-01-13 21:34:00;6.1;1;paid_search;mobile;False
SES_2024720254;;2024-03-16 11:00:00;56.5;11;referral;mobile;False
SES_2024910255;;2024-02-01 15:12:00;52.0;6;organic_search;desktop;True
SES_2024910256;CUST_10691;2024-02-01 12:19:00;55.5;4;social;tablet;False
SES_2024530257;;2024-03-21 22:55:00;12.7;10;organic_search;mobile;True
SES_2024530258;CUST_10033;2024-01-06 17:01:00;15.5;3;email;mobile;False
SES_2024780259;;2024-02-15 15:22:00;23.3;13;email;tablet;False
SES_2024350260;CUST_10211;2024-01-02 17:18:00;31.6;4;direct;desktop;False
SES_2024200261;;2024-03-22 17:00:00;41.4;16;organic_search;desktop;False
SES_2024480262;CUST_10527;2024-02-02 20:40:00;42.5;16;paid_search;tablet;False
SES_2024260263;CUST_10399;2024-02-18 20:14:00;5.8;13;direct;desktop;False
SES_2024750264;;2024-03-06 11:09:00;46.5;7;email;mobile;False
SES_2024900265;;2024-03-22 15:43:00;49.4;7;paid_search;mobile;False
SES_2024300266;CUST_10605;2024-03-23 10:38:00;10.4;3;paid_search;mobile;False
SES_2024100267;;2024-01-17 14:43:00;37.1;10;direct;mobile;False
SES_2024850268;;2024-01-15 12:59:00;22.6;12;social;tablet;False
SES_2024550269;;2024-01-13 09:58:00;51.4;14;organic_search;desktop;False
SES_2024450270;;2024-03-25 16:43:00;45.2;5;email;desktop;False
SES_2024330271;CUST_10401;2024-01-03 17:28:00;16.6;14;referral;mobile;True
SES_2024170272;CUST_10272;2024-01-10 10:44:00;40.8;11;social;desktop;False
SES_2024600273;CUST_10413;2024-02-08 08:56:00;43.3;15;social;mobile;True
SES_2024590274;;2024-01-12 20:45:00;13.5;7;social;tablet;False
SES_2024360275;CUST_10489;2024-02-13 20:46:00;36.4;8;referral;mobile;False
SES_2024330276;CUST_10763;2024-01-09 10:30:00;30.8;3;email;tablet;False
SES_2024720277;;2024-01-05 20:47:00;30.5;14;paid_search;mobile;False
SES_2024840278;;2024-03-15 15:38:00;34.3;10;email;desktop;False
SES_2024840279;CUST_10038;2024-02-23 16:07:00;11.1;15;organic_search;tablet;False
SES_2024110280;CUST_10037;2024-03-14 15:53:00;59.1;5;email;mobile;False
SES_2024740281;;2024-03-03 08:24:00;51.1;9;social;mobile;False
SES_2024600282;;2024-03-28 20:44:00;47.2;18;direct;desktop;False
SES_2024330283;CUST_10269;2024-01-12 20:08:00;30.4;16;direct;mobile;False
SES_2024710284;CUST_10430;2024-03-13 10:58:00;1.5;5;paid_search;mobile;False
SES_2024260285;CUST_10031;2024-02-12 20:15:00;40.6;3;social;tablet;False
SES_2024850286;CUST_10396;2024-03-05 22:12:00;20.0;8;organic_search;desktop;False
SES_2024850287;;2024-02-12 16:51:00;34.2;14;email;mobile;False
SES_2024870288;;2024-01-10 21:54:00;3.4;2;direct;desktop;False
SES_2024120289;;2024-03-13 20:26:00;1.3;18;email;mobile;False
SES_2024820290;CUST_10267;2024-01-19 18:41:00;30.5;11;referral;tablet;False
SES_2024410291;CUST_10383;2024-02-02 10:07:00;6.9;18;social;tablet;False
SES_2024150292;CUST_10551;2024-03-22 19:11:00;31.7;3;email;tablet;False
SES_2024600293;;2024-02-28 18:37:00;39.9;4;social;tablet;False
SES_2024240294;;2024-02-09 18:48:00;33.4;7;organic_search;tablet;False
SES_2024180295;CUST_10571;2024-01-08 14:24:00;45.8;10;paid_search;mobile;False
SES_2024690296;;2024-01-02 11:18:00;38.8;14;social;tablet;False
SES_2024440297;;2024-02-14 19:55:00;4.3;11;social;tablet;False
SES_2024920298;CUST_10418;2024-01-20 14:19:00;40.5;12;social;mobile;False
SES_2024630299;CUST_10791;2024-03-03 15:59:00;32.9;20;organic_search;mobile;False
SES_2024900300;CUST_10017;2024-02-10 22:34:00;43.3;5;social;tablet;False
SES_2024990301;CUST_10508;2024-01-01 09:52:00;35.5;20;email;mobile;False
SES_2024600302;;2024-01-04 15:18:00;52.5;13;email;tablet;False
SES_2024790303;CUST_10200;2024-03-14 16:18:00;49.7;8;organic_search;tablet;False
SES_2024600304;;2024-02-04 21:19:00;22.7;19;direct;tablet;False
SES_2024680305;CUST_10067;2024-02-21 14:45:00;27.4;20;referral;desktop;False
SES_2024770306;CUST_10434;2024-01-07 18:01:00;7.9;8;social;mobile;False
SES_2024370307;CUST_10092;2024-02-23 18:49:00;37.4;20;email;mobile;False
SES_2024600308;CUST_10696;2024-03-13 13:37:00;54.5;10;social;desktop;False
SES_2024780309;;2024-01-22 22:30:00;21.7;8;email;mobile;False
SES_2024230310;;2024-03-21 17:28:00;46.4;12;social;mobile;True
SES_2024630311;;2024-02-27 12:03:00;25.0;5;email;desktop;True
SES_2024590312;;2024-01-14 17:26:00;37.4;14;paid_search;mobile;False
SES_2024740313;;2024-01-07 10:51:00;48.7;13;social;desktop;False
SES_2024180314;CUST_10529;2024-01-10 11:26:00;35.1;3;organic_search;desktop;False
SES_2024650315;CUST_10704;2024-03-15 10:27:00;27.8;12;email;desktop;False
SES_2024910316;CUST_10730;2024-02-26 08:04:00;9.9;18;referral;tablet;False
SES_2024420317;;2024-02-03 22:50:00;23.2;13;referral;desktop;True
SES_2024540318;CUST_10441;2024-03-23 18:25:00;21.2;6;paid_search;desktop;False
SES_2024140319;CUST_10383;2024-02-23 18:32:00;53.1;18;direct;tablet;False
SES_2024330320;CUST_10129;2024-03-02 08:49:00;23.4;12;email;mobile;False
SES_2024920321;CUST_10657;2024-01-10 12:08:00;38.5;3;organic_search;desktop;False
SES_2024460322;;2024-01-23 14:46:00;55.8;15;paid_search;desktop;False
SES_2024730323;CUST_10741;2024-02-14 16:30:00;38.7;1;referral;tablet;False
SES_2024810324;CUST_10500;2024-03-13 10:07:00;5.3;14;paid_search;desktop;False
SES_2024150325;CUST_10713;2024-02-17 11:56:00;24.1;12;email;desktop;False
SES_2024960326;;2024-01-14 18:26:00;21.8;4;social;mobile;False
SES_2024990327;CUST_10779;2024-01-28 21:02:00;32.8;3;paid_search;desktop;False
SES_2024400328;;2024-03-23 13:01:00;52.5;13;email;tablet;False
SES_2024430329;CUST_10198;2024-02-17 16:04:00;41.9;13;referral;tablet;True
SES_2024280330;CUST_10454;2024-02-01 19:29:00;34.2;10;direct;mobile;False
SES_2024460331;;2024-03-15 21:23:00;22.9;13;email;mobile;True
SES_2024330332;CUST_10174;2024-01-19 22:11:00;37.4;1;referral;tablet;True
SES_2024710333;;2024-01-02 20:12:00;8.5;4;email;tablet;False
SES_2024100334;;2024-02-05 14:42:00;28.8;2;direct;tablet;False
SES_2024190335;;2024-03-08 21:33:00;32.3;2;direct;mobile;False
SES_2024900336;CUST_10404;2024-03-16 21:11:00;36.3;3;paid_search;desktop;False
SES_2024440337;CUST_10033;2024-01-18 13:37:00;4.2;12;paid_search;desktop;False
SES_2024200338;;2024-02-13 13:55:00;25.0;6;organic_search;desktop;True
