date;federal_district;region;city;category;subcategory;product_name;brand;price_segment;manager_id;customer_id;customer_segment;customer_type;sales_amount;quantity;unit_price;discount_amount;profit_margin_pct
2024-01-03;Уральский ФО;Свердловская область;Екатеринбург;Книги и канцелярия;Художественная литература;Эксмо Художественная литература Model 18;Эксмо;Budget;MGR_004;CUST_00003;Premium;B2B;2693,69;1;2824,21;130,52;42,9
2024-01-28;Уральский ФО;Свердловская область;Екатеринбург;Товары для дома;Текстиль;Леруа Мерлен Текстиль Model 19;Леруа Мерлен;Medium;MGR_004;CUST_00003;Mass;B2C;29739,71;1;38869,07;9129,36;35,3
2024-01-08;Дальневосточный ФО;Приморский край;Владивосток;Электроника;Смартфоны;ASUS Смартфоны Model 20;ASUS;Premium;MGR_001;CUST_00003;Mass;B2C;73656,86;1;95716,5;22059,64;9,4
2024-01-22;Северо-Западный ФО;Санкт-Петербург;Санкт-Петербург;Красота и здоровье;Парфюмерия;L'Oreal Парфюмерия Model 21;L'Oreal;Budget;MGR_008;CUST_00003;Mass;B2B;7020,32;1;7100,61;80,29;27,8
2024-01-06;Приволжский ФО;Нижегородская область;Нижний Новгород;Электроника;Ноутбуки;Lenovo Ноутбуки Model 22;Lenovo;Premium;MGR_001;CUST_00003;Premium;B2B;62894,35;1;67471,43;4577,08;25,4
2024-01-03;Северо-Кавказский ФО;Ставропольский край;Пятигорск;Спорт и отдых;Туризм;Спортмастер Туризм Model 23;Спортмастер;Medium;MGR_001;CUST_00004;VIP;B2B;110927,67;4;29826,76;8379,37;31,5
2024-01-13;Приволжский ФО;Нижегородская область;Дзержинск;Спорт и отдых;Велосипеды;Giant Велосипеды Model 24;Giant;Budget;MGR_001;CUST_00004;Mass;B2B;31159,61;3;12992,09;7816,66;15,8
2024-01-31;Центральный ФО;Тульская область;Тула;Красота и здоровье;Парфюмерия;L'Oreal Парфюмерия Model 25;L'Oreal;Medium;MGR_001;CUST_00004;Mass;B2C;27875,68;1;34544,98;6669,3;19,2
2024-01-02;Северо-Западный ФО;Санкт-Петербург;Санкт-Петербург;Книги и канцелярия;Художественная литература;АСТ Художественная литература Model 26;АСТ;Budget;MGR_002;CUST_00004;VIP;B2B;360,66;2;226,51;92,36;31,6
2024-01-20;Северо-Западный ФО;Ленинградская область;Выборг;Товары для дома;Мебель;JYSK Мебель Model 27;JYSK;Medium;MGR_001;CUST_00004;Mass;B2B;29531,45;1;36585,85;7054,4;16,1
2024-01-15;Уральский ФО;Свердловская область;Екатеринбург;Спорт и отдых;Велосипеды;Giant Велосипеды Model 28;Giant;Medium;MGR_004;CUST_00004;Mass;B2B;145462,31;5;29960,33;4339,34;40,7
2024-01-05;Уральский ФО;Свердловская область;Екатеринбург;Товары для дома;Посуда;Hoff Посуда Model 29;Hoff;Medium;MGR_004;CUST_00004;Mass;B2B;57519,15;2;31353,26;5187,37;19,1
2024-01-22;Приволжский ФО;Самарская область;Самара;Одежда;Женская одежда;Nike Женская одежда Model 30;Nike;Budget;MGR_001;CUST_00004;Premium;B2B;32368,08;4;8808,08;2864,24;52,2
2024-01-20;Северо-Кавказский ФО;Ставропольский край;Ставрополь;Красота и здоровье;Витамины;Chanel Витамины Model 31;Chanel;Medium;MGR_001;CUST_00004;Mass;B2C;34899,39;2;22423,24;9947,09;25,2
2024-01-03;Сибирский ФО;Красноярский край;Красноярск;Электроника;Ноутбуки;Samsung Ноутбуки Model 32;Samsung;Medium;MGR_001;CUST_00004;Mass;B2C;51183,36;2;31145,22;11107,08;21,1
2024-01-18;Центральный ФО;Москва;Москва;Красота и здоровье;Косметика;Solgar Косметика Model 33;Solgar;Medium;MGR_007;CUST_00005;Mass;B2B;15964,6;1;19776,32;3811,72;26,6
2024-01-05;Центральный ФО;Московская область;Мытищи;Электроника;Ноутбуки;Samsung Ноутбуки Model 34;Samsung;Premium;MGR_001;CUST_00005;Premium;B2B;229268,62;3;85568,93;27438,17;12,2
2024-01-20;Южный ФО;Краснодарский край;Краснодар;Одежда;Женская одежда;Nike Женская одежда Model 35;Nike;Budget;MGR_006;CUST_00005;VIP;B2C;4003,74;1;4035,45;31,71;52,5
2024-01-26;Северо-Кавказский ФО;Ставропольский край;Ставрополь;Красота и здоровье;Косметика;Dior Косметика Model 36;Dior;Budget;MGR_001;CUST_00005;Premium;B2B;39132,46;4;11208,15;5700,14;38,9
2024-01-12;Приволжский ФО;Татарстан;Казань;Электроника;Планшеты;Samsung Планшеты Model 37;Samsung;Medium;MGR_003;CUST_00005;Mass;B2B;43662,71;1;48654,45;4991,74;23,3
2024-01-12;Сибирский ФО;Красноярский край;Красноярск;Электроника;Ноутбуки;Samsung Ноутбуки Model 38;Samsung;Medium;MGR_001;CUST_00005;VIP;B2B;90009,28;2;45887,75;1766,22;18,8
2024-01-12;Уральский ФО;Челябинская область;Челябинск;Спорт и отдых;Велосипеды;Спортмастер Велосипеды Model 39;Спортмастер;Budget;MGR_001;CUST_00005;Premium;B2B;11187,61;1;14575,26;3387,65;33,2
2024-01-12;Сибирский ФО;Новосибирская область;Бердск;Книги и канцелярия;Канцтовары;Эксмо Канцтовары Model 40;Эксмо;Budget;MGR_005;CUST_00005;Mass;B2B;7603,15;3;3240,34;2117,87;33,6
2024-01-11;Сибирский ФО;Красноярский край;Красноярск;Одежда;Женская одежда;H&M Женская одежда Model 41;H&M;Budget;MGR_001;CUST_00005;VIP;B2B;13714,07;3;5884,4;3939,13;44,1
2024-01-13;Центральный ФО;Московская область;Мытищи;Одежда;Женская одежда;Uniqlo Женская одежда Model 42;Uniqlo;Medium;MGR_001;CUST_00005;Mass;B2B;31776,02;2;20474,84;9173,66;39,6
2024-01-17;Дальневосточный ФО;Приморский край;Владивосток;Товары для дома;Текстиль;OBI Текстиль Model 43;OBI;Budget;MGR_001;CUST_00006;Premium;B2C;5608,65;1;5947,57;338,92;29,0
2024-01-08;Северо-Кавказский ФО;Ставропольский край;Ставрополь;Электроника;Смартфоны;ASUS Смартфоны Model 44;ASUS;Premium;MGR_001;CUST_00006;Premium;B2B;196882,41;2;125431,99;53981,57;8,6
2024-01-23;Сибирский ФО;Красноярский край;Норильск;Одежда;Мужская одежда;Nike Мужская одежда Model 45;Nike;Budget;MGR_001;CUST_00006;Premium;B2C;48374,12;4;13502,56;5636,12;41,3
2024-01-08;Южный ФО;Ростовская область;Ростов-на-Дону;Книги и канцелярия;Художественная литература;Эксмо Художественная литература Model 46;Эксмо;Budget;MGR_001;CUST_00006;Premium;B2B;1419,82;2;775,35;130,88;41,0
2024-01-31;Дальневосточный ФО;Приморский край;Находка;Одежда;Детская одежда;H&M Детская одежда Model 47;H&M;Budget;MGR_001;CUST_00006;Premium;B2C;15831,27;2;9095,27;2359,27;50,2
2024-01-25;Дальневосточный ФО;Приморский край;Находка;Спорт и отдых;Спортивное оборудование;Nordway Спортивное оборудование Model 48;Nordway;Medium;MGR_001;CUST_00006;Mass;B2C;22986,53;1;30363,11;7376,58;36,8
2024-01-05;Южный ФО;Краснодарский край;Сочи;Красота и здоровье;Косметика;Nivea Косметика Model 49;Nivea;Budget;MGR_006;CUST_00006;Mass;B2B;7913,46;1;9036,85;1123,39;23,8
2024-01-02;Северо-Кавказский ФО;Ставропольский край;Пятигорск;Книги и канцелярия;Учебная литература;Эксмо Учебная литература Model 50;Эксмо;Budget;MGR_001;CUST_00006;Premium;B2B;6211,11;4;1567,23;57,81;35,0
2024-01-31;Уральский ФО;Челябинская область;Магнитогорск;Спорт и отдых;Велосипеды;Giant Велосипеды Model 1;Giant;Medium;MGR_001;CUST_00006;Premium;B2B;122035,84;3;41208,96;1591,04;26,6
2024-01-14;Дальневосточный ФО;Приморский край;Находка;Товары для дома;Текстиль;Леруа Мерлен Текстиль Model 2;Леруа Мерлен;Medium;MGR_001;CUST_00006;Premium;B2C;128209,77;3;45459,16;8167,71;21,8
2024-01-30;Сибирский ФО;Новосибирская область;Новосибирск;Красота и здоровье;Парфюмерия;Nivea Парфюмерия Model 3;Nivea;Medium;MGR_005;CUST_00007;Mass;B2B;52100,05;4;17284,01;17035,99;18,7
2024-01-07;Дальневосточный ФО;Приморский край;Находка;Спорт и отдых;Туризм;Trek Туризм Model 4;Trek;Premium;MGR_001;CUST_00007;Mass;B2B;44063,48;1;54426,57;10363,09;20,2
2024-01-31;Уральский ФО;Свердловская область;Екатеринбург;Красота и здоровье;Косметика;L'Oreal Косметика Model 5;L'Oreal;Medium;MGR_004;CUST_00007;Mass;B2B;92872,55;4;25569,11;9403,89;33,0
2024-01-08;Южный ФО;Ростовская область;Ростов-на-Дону;Книги и канцелярия;Художественная литература;Staedtler Художественная литература Model 6;Staedtler;Budget;MGR_001;CUST_00007;Premium;B2B;8420,51;3;3240,94;1302,31;18,2
2024-01-25;Южный ФО;Ростовская область;Ростов-на-Дону;Книги и канцелярия;Художественная литература;Альпина Художественная литература Model 7;Альпина;Budget;MGR_001;CUST_00007;VIP;B2B;7743,75;2;4209,45;675,15;22,3
2024-01-03;Северо-Кавказский ФО;Ставропольский край;Пятигорск;Красота и здоровье;Витамины;L'Oreal Витамины Model 8;L'Oreal;Budget;MGR_001;CUST_00007;Mass;B2B;4384,71;3;1714,9;759,99;32,5
2024-01-22;Уральский ФО;Свердловская область;Нижний Тагил;Электроника;Ноутбуки;ASUS Ноутбуки Model 9;ASUS;Medium;MGR_001;CUST_00007;VIP;B2B;15032,32;1;17239,36;2207,04;14,6
2024-01-23;Южный ФО;Ростовская область;Ростов-на-Дону;Красота и здоровье;Витамины;Chanel Витамины Model 10;Chanel;Medium;MGR_001;CUST_00007;VIP;B2C;43397,03;2;22687,5;1977,97;36,0
2024-01-14;Приволжский ФО;Нижегородская область;Нижний Новгород;Электроника;Ноутбуки;ASUS Ноутбуки Model 11;ASUS;Premium;MGR_001;CUST_00007;Mass;B2B;51470,04;1;67209,27;15739,23;10,0
2024-01-11;Центральный ФО;Московская область;Мытищи;Одежда;Женская одежда;Adidas Женская одежда Model 12;Adidas;Budget;MGR_001;CUST_00007;Mass;B2B;9245,13;1;9515,06;269,93;57,6
2024-01-18;Центральный ФО;Тульская область;Тула;Электроника;Смартфоны;ASUS Смартфоны Model 13;ASUS;Premium;MGR_001;CUST_00008;Premium;B2B;249671,65;2;133440,81;17209,97;23,0
2024-01-15;Центральный ФО;Москва;Москва;Одежда;Женская одежда;Adidas Женская одежда Model 14;Adidas;Medium;MGR_007;CUST_00008;Mass;B2B;17830,9;1;20704,72;2873,82;46,4
2024-01-14;Уральский ФО;Челябинская область;Магнитогорск;Товары для дома;Посуда;JYSK Посуда Model 15;JYSK;Budget;MGR_001;CUST_00008;Premium;B2B;12181,4;1;12471,69;290,29;41,7
2024-01-07;Северо-Кавказский ФО;Ставропольский край;Пятигорск;Красота и здоровье;Витамины;Solgar Витамины Model 16;Solgar;Medium;MGR_001;CUST_00008;VIP;B2C;53103,58;2;31544,51;9985,44;23,7
2024-01-08;Уральский ФО;Свердловская область;Нижний Тагил;Электроника;Планшеты;Lenovo Планшеты Model 17;Lenovo;Premium;MGR_001;CUST_00008;Mass;B2B;50864,97;1;62143,29;11278,32;23,0
2024-01-23;Южный ФО;Ростовская область;Ростов-на-Дону;Электроника;Планшеты;Xiaomi Планшеты Model 18;Xiaomi;Premium;MGR_001;CUST_00008;Mass;B2B;216966,62;2;134756,67;52546,72;18,8
2024-01-09;Дальневосточный ФО;Приморский край;Владивосток;Спорт и отдых;Туризм;Decathlon Туризм Model 19;Decathlon;Budget;MGR_001;CUST_00008;Premium;B2B;16433,83;2;8562,92;692,01;41,3
2024-01-03;Северо-Кавказский ФО;Ставропольский край;Пятигорск;Книги и канцелярия;Учебная литература;Pilot Учебная литература Model 20;Pilot;Budget;MGR_001;CUST_00008;Mass;B2B;3103,71;1;3110,86;7,15;22,5
2024-01-10;Сибирский ФО;Красноярский край;Красноярск;Книги и канцелярия;Учебная литература;Эксмо Учебная литература Model 21;Эксмо;Budget;MGR_001;CUST_00008;Mass;B2B;13522,11;4;3384,81;17,13;24,0
2024-01-06;Северо-Кавказский ФО;Ставропольский край;Ставрополь;Одежда;Мужская одежда;H&M Мужская одежда Model 22;H&M;Budget;MGR_001;CUST_00008;Mass;B2B;23810,48;2;14395,24;4980,0;47,9
2024-01-10;Приволжский ФО;Самарская область;Тольятти;Электроника;Планшеты;Samsung Планшеты Model 23;Samsung;Medium;MGR_001;CUST_00009;Premium;B2B;148860,56;4;45276,36;32244,88;13,2
2024-01-14;Северо-Западный ФО;Новгородская область;Великий Новгород;Красота и здоровье;Косметика;Chanel Косметика Model 24;Chanel;Budget;MGR_001;CUST_00009;Mass;B2B;28284,47;3;11591,37;6489,64;30,6
2024-01-20;Приволжский ФО;Нижегородская область;Нижний Новгород;Спорт и отдых;Велосипеды;Nordway Велосипеды Model 25;Nordway;Premium;MGR_001;CUST_00009;VIP;B2B;171061,94;3;68239,43;33656,35;29,3
2024-01-15;Северо-Западный ФО;Новгородская область;Великий Новгород;Спорт и отдых;Велосипеды;Nordway Велосипеды Model 26;Nordway;Budget;MGR_001;CUST_00009;Mass;B2B;16902,16;2;9306,63;1711,1;23,9
2024-01-25;Приволжский ФО;Самарская область;Самара;Одежда;Женская одежда;Uniqlo Женская одежда Model 27;Uniqlo;Budget;MGR_001;CUST_00009;VIP;B2B;16422,39;3;7233,76;5278,89;40,6
2024-01-21;Дальневосточный ФО;Приморский край;Находка;Товары для дома;Посуда;JYSK Посуда Model 28;JYSK;Medium;MGR_001;CUST_00009;Mass;B2B;37610,22;1;44656,3;7046,08;35,1
2024-01-23;Дальневосточный ФО;Приморский край;Находка;Книги и канцелярия;Художественная литература;Staedtler Художественная литература Model 29;Staedtler;Budget;MGR_001;CUST_00009;Mass;B2B;2235,85;1;2612,66;376,81;28,0
2024-01-28;Центральный ФО;Тульская область;Новомосковск;Спорт и отдых;Спортивное оборудование;Спортмастер Спортивное оборудование Model 30;Спортмастер;Medium;MGR_001;CUST_00009;Premium;B2B;28234,35;2;17228,95;6223,55;21,6
2024-01-25;Центральный ФО;Москва;Москва;Книги и канцелярия;Художественная литература;Альпина Художественная литература Model 31;Альпина;Budget;MGR_001;CUST_00009;Premium;B2B;531,22;2;316,72;102,22;19,6
2024-01-23;Южный ФО;Ростовская область;Ростов-на-Дону;Книги и канцелярия;Канцтовары;Эксмо Канцтовары Model 32;Эксмо;Budget;MGR_001;CUST_00009;Premium;B2B;3589,95;1;4714,2;1124,25;35,7
2024-01-21;Южный ФО;Ростовская область;Таганрог;Книги и канцелярия;Учебная литература;Альпина Учебная литература Model 33;Альпина;Budget;MGR_001;CUST_00010;Mass;B2B;3938,24;2;1976,76;15,28;43,1
2024-01-18;Южный ФО;Ростовская область;Ростов-на-Дону;Книги и канцелярия;Учебная литература;АСТ Учебная литература Model 34;АСТ;Budget;MGR_001;CUST_00010;Mass;B2C;6841,04;4;2255,28;2180,08;36,8
2024-01-11;Приволжский ФО;Татарстан;Набережные Челны;Красота и здоровье;Парфюмерия;Solgar Парфюмерия Model 35;Solgar;Medium;MGR_001;CUST_00010;Premium;B2C;55396,93;2;29899,43;4401,93;27,4
2024-01-18;Дальневосточный ФО;Приморский край;Находка;Книги и канцелярия;Учебная литература;Staedtler Учебная литература Model 36;Staedtler;Budget;MGR_001;CUST_00010;Mass;B2B;7891,84;2;4285,46;679,08;21,9
2024-01-19;Сибирский ФО;Новосибирская область;Бердск;Электроника;Ноутбуки;ASUS Ноутбуки Model 37;ASUS;Premium;MGR_005;CUST_00010;Premium;B2B;207195,99;3;90168,17;63308,52;18,4
2024-01-16;Центральный ФО;Москва;Москва;Электроника;Ноутбуки;Apple Ноутбуки Model 38;Apple;Premium;MGR_007;CUST_00010;Mass;B2C;179448,43;2;91958,26;4468,09;23,5
2024-01-28;Южный ФО;Краснодарский край;Сочи;Товары для дома;Посуда;OBI Посуда Model 39;OBI;Medium;MGR_006;CUST_00010;Premium;B2C;143321,59;3;49507,67;5201,42;31,9
2024-01-31;Уральский ФО;Челябинская область;Челябинск;Книги и канцелярия;Художественная литература;АСТ Художественная литература Model 40;АСТ;Budget;MGR_001;CUST_00010;VIP;B2C;7188,87;2;4411,39;1633,91;31,9
2024-01-14;Северо-Западный ФО;Новгородская область;Великий Новгород;Спорт и отдых;Спортивное оборудование;Nordway Спортивное оборудование Model 41;Nordway;Premium;MGR_001;CUST_00010;Mass;B2C;206758,19;4;56793,76;20416,85;24,6
2024-01-12;Уральский ФО;Челябинская область;Челябинск;Одежда;Детская одежда;H&M Детская одежда Model 42;H&M;Medium;MGR_001;CUST_00010;Premium;B2B;32728,22;2;20519,99;8311,76;51,3
2024-01-20;Сибирский ФО;Новосибирская область;Бердск;Книги и канцелярия;Художественная литература;АСТ Художественная литература Model 43;АСТ;Budget;MGR_005;CUST_00011;Mass;B2B;7995,22;2;4583,55;1171,88;28,7
2024-01-29;Дальневосточный ФО;Приморский край;Владивосток;Электроника;Ноутбуки;Xiaomi Ноутбуки Model 44;Xiaomi;Premium;MGR_001;CUST_00011;Mass;B2C;514104,28;5;122769,85;99744,97;20,7
2024-01-15;Приволжский ФО;Татарстан;Набережные Челны;Спорт и отдых;Спортивное оборудование;Спортмастер Спортивное оборудование Model 45;Спортмастер;Premium;MGR_001;CUST_00011;Mass;B2B;49815,76;1;64071,83;14256,07;21,8
2024-01-01;Сибирский ФО;Красноярский край;Красноярск;Книги и канцелярия;Учебная литература;Эксмо Учебная литература Model 46;Эксмо;Budget;MGR_001;CUST_00011;Premium;B2C;7822,97;4;2002,8;188,23;33,8
2024-01-25;Северо-Кавказский ФО;Ставропольский край;Ставрополь;Красота и здоровье;Косметика;Solgar Косметика Model 47;Solgar;Budget;MGR_001;CUST_00011;Premium;B2C;1367,11;1;1547,2;180,09;30,1
2024-01-21;Северо-Западный ФО;Новгородская область;Великий Новгород;Товары для дома;Посуда;IKEA Посуда Model 48;IKEA;Budget;MGR_001;CUST_00011;Premium;B2B;25029,74;2;14683,79;4337,84;16,3
2024-01-11;Сибирский ФО;Новосибирская область;Новосибирск;Одежда;Детская одежда;Zara Детская одежда Model 49;Zara;Budget;MGR_005;CUST_00011;VIP;B2C;3777,42;2;2377,68;977,94;41,0
2024-01-30;Дальневосточный ФО;Приморский край;Находка;Электроника;Ноутбуки;Apple Ноутбуки Model 50;Apple;Medium;MGR_001;CUST_00011;VIP;B2C;27955,23;1;32153,17;4197,94;22,6
2024-01-31;Уральский ФО;Свердловская область;Нижний Тагил;Электроника;Ноутбуки;Lenovo Ноутбуки Model 1;Lenovo;Medium;MGR_001;CUST_00011;Mass;B2C;37262,89;1;44135,84;6872,95;11,6
2024-01-19;Сибирский ФО;Красноярский край;Красноярск;Красота и здоровье;Косметика;Dior Косметика Model 2;Dior;Budget;MGR_001;CUST_00011;Premium;B2B;1815,28;1;2093,36;278,08;29,5
2024-01-21;Северо-Западный ФО;Новгородская область;Великий Новгород;Красота и здоровье;Парфюмерия;Dior Парфюмерия Model 3;Dior;Medium;MGR_001;CUST_00012;Mass;B2B;18349,29;1;22418,82;4069,53;39,0
2024-01-04;Северо-Западный ФО;Санкт-Петербург;Санкт-Петербург;Спорт и отдых;Туризм;Nordway Туризм Model 4;Nordway;Medium;MGR_008;CUST_00012;Premium;B2C;116575,42;3;42271,43;10238,87;37,5
2024-01-19;Южный ФО;Ростовская область;Ростов-на-Дону;Спорт и отдых;Велосипеды;Trek Велосипеды Model 5;Trek;Medium;MGR_001;CUST_00012;Mass;B2B;82348,5;4;23124,92;10151,18;18,7
2024-01-15;Дальневосточный ФО;Приморский край;Находка;Электроника;Планшеты;Xiaomi Планшеты Model 6;Xiaomi;Medium;MGR_001;CUST_00012;VIP;B2B;27977,58;2;18422,35;8867,12;20,3
2024-01-09;Северо-Кавказский ФО;Ставропольский край;Пятигорск;Электроника;Планшеты;Samsung Планшеты Model 7;Samsung;Premium;MGR_001;CUST_00012;Mass;B2B;195634,0;2;108956,52;22279,04;14,5
2024-01-08;Южный ФО;Краснодарский край;Краснодар;Книги и канцелярия;Художественная литература;Pilot Художественная литература Model 8;Pilot;Budget;MGR_006;CUST_00012;Premium;B2B;891,41;1;950,9;59,49;31,9
2024-01-26;Центральный ФО;Московская область;Подольск;Одежда;Детская одежда;Zara Детская одежда Model 9;Zara;Medium;MGR_001;CUST_00012;Mass;B2C;45821,26;3;18293,0;9057,74;40,6
2024-01-01;Уральский ФО;Свердловская область;Нижний Тагил;Электроника;Смартфоны;Xiaomi Смартфоны Model 10;Xiaomi;Premium;MGR_001;CUST_00012;Premium;B2B;117359,71;1;143906,81;26547,1;17,8
2024-01-16;Дальневосточный ФО;Приморский край;Владивосток;Спорт и отдых;Велосипеды;Спортмастер Велосипеды Model 11;Спортмастер;Medium;MGR_001;CUST_00012;Mass;B2C;177996,79;4;49714,22;20860,09;23,0
2024-01-15;Центральный ФО;Москва;Москва;Спорт и отдых;Туризм;Decathlon Туризм Model 12;Decathlon;Medium;MGR_001;CUST_00012;VIP;B2B;48252,77;2;29765,87;11278,97;14,7
2024-01-11;Южный ФО;Краснодарский край;Краснодар;Товары для дома;Текстиль;OBI Текстиль Model 13;OBI;Budget;MGR_006;CUST_00013;Mass;B2C;12347,54;2;6245,6;143,66;20,7
2024-01-15;Сибирский ФО;Новосибирская область;Новосибирск;Красота и здоровье;Витамины;Solgar Витамины Model 14;Solgar;Medium;MGR_005;CUST_00013;Mass;B2B;74129,33;3;29984,48;15824,11;26,6
2024-01-14;Уральский ФО;Челябинская область;Магнитогорск;Спорт и отдых;Велосипеды;Decathlon Велосипеды Model 15;Decathlon;Budget;MGR_001;CUST_00013;Mass;B2B;8447,36;1;9631,06;1183,7;28,1
2024-01-22;Дальневосточный ФО;Приморский край;Владивосток;Электроника;Смартфоны;ASUS Смартфоны Model 16;ASUS;Medium;MGR_001;CUST_00013;Premium;B2C;34219,2;1;38382,25;4163,05;17,7
2024-01-19;Уральский ФО;Свердловская область;Нижний Тагил;Товары для дома;Текстиль;Леруа Мерлен Текстиль Model 17;Леруа Мерлен;Medium;MGR_001;CUST_00013;Premium;B2C;104260,21;4;30984,58;19678,11;16,4
2024-01-12;Северо-Западный ФО;Новгородская область;Великий Новгород;Одежда;Детская одежда;H&M Детская одежда Model 18;H&M;Budget;MGR_001;CUST_00013;Mass;B2C;8691,28;1;10303,4;1612,12;45,4
2024-01-04;Приволжский ФО;Самарская область;Самара;Спорт и отдых;Велосипеды;Giant Велосипеды Model 19;Giant;Premium;MGR_001;CUST_00013;Premium;B2B;114951,31;2;68806,21;22661,11;19,1
2024-01-01;Южный ФО;Ростовская область;Таганрог;Товары для дома;Посуда;IKEA Посуда Model 20;IKEA;Budget;MGR_001;CUST_00013;Mass;B2B;3351,83;1;3993,15;641,32;15,8
2024-01-05;Центральный ФО;Москва;Москва;Спорт и отдых;Туризм;Trek Туризм Model 21;Trek;Medium;MGR_001;CUST_00013;Mass;B2C;36480,49;1;47690,5;11210,01;27,3
2024-01-29;Центральный ФО;Москва;Москва;Книги и канцелярия;Художественная литература;Эксмо Художественная литература Model 22;Эксмо;Budget;MGR_007;CUST_00013;Premium;B2B;1731,41;1;2063,22;331,81;26,6
2024-01-14;Приволжский ФО;Татарстан;Казань;Товары для дома;Посуда;IKEA Посуда Model 23;IKEA;Medium;MGR_003;CUST_00014;Premium;B2B;21033,57;1;27508,03;6474,46;22,6
2024-01-02;Северо-Кавказский ФО;Ставропольский край;Ставрополь;Электроника;Смартфоны;Xiaomi Смартфоны Model 24;Xiaomi;Premium;MGR_001;CUST_00014;Premium;B2C;447983,7;4;144760,73;131059,22;11,1
2024-01-11;Северо-Западный ФО;Санкт-Петербург;Санкт-Петербург;Красота и здоровье;Парфюмерия;Nivea Парфюмерия Model 25;Nivea;Budget;MGR_008;CUST_00014;Mass;B2B;2638,64;1;2706,84;68,2;19,7
2024-01-03;Сибирский ФО;Новосибирская область;Бердск;Электроника;Ноутбуки;Apple Ноутбуки Model 26;Apple;Medium;MGR_005;CUST_00014;Mass;B2B;92045,9;4;27749,8;18953,3;10,9
