transaction_id;date;city;store_id;category;brand;quantity;item_price;total_amount;cost;profit;customer_id;payment_method;month;quarter;year;day_of_week
T100068;2023-01-05;Екатеринбург;ТМ-ЕКТ-003;Бытовая техника;Indesit;1;30231,74;30231,74;23033,71;7198,03;CUST_43167;Онлайн;2023-01;Q1 2023;2023;Четверг
T100069;2023-01-05;Москва;ТМ-МСК-005;Ноутбуки;HP;1;79017,81;79017,81;53488,98;25528,83;CUST_41501;Карта;2023-01;Q1 2023;2023;Четверг
T100070;2023-01-05;Екатеринбург;ТМ-ЕКТ-002;Телевизоры;TCL;1;52766,11;52766,11;41207,82;11558,29;CUST_74574;Онлайн;2023-01;Q1 2023;2023;Четверг
T100071;2023-01-05;Нижний Новгород;ТМ-НН-002;Ноутбуки;HP;1;49790,66;49790,66;48684,2;1106,46;CUST_44824;Карта;2023-01;Q1 2023;2023;Четверг
T100072;2023-01-06;Санкт-Петербург;ТМ-СПБ-003;Аксессуары;NoName;1;2347,13;2347,13;1224,59;1122,54;CUST_55303;Карта;2023-01;Q1 2023;2023;Пятница
T100073;2023-01-06;Екатеринбург;ТМ-ЕКТ-003;Смартфоны;Samsung;2;46676,08;93352,16;75570,8;17781,36;CUST_10024;Карта;2023-01;Q1 2023;2023;Пятница
T100074;2023-01-06;Самара;ТМ-СМР-001;Телевизоры;LG;1;44758,5;44758,5;43178,79;1579,71;CUST_55946;Карта;2023-01;Q1 2023;2023;Пятница
T100075;2023-01-06;Екатеринбург;ТМ-ЕКТ-001;Бытовая техника;LG;1;26633,19;26633,19;20291,95;6341,24;CUST_61635;Карта;2023-01;Q1 2023;2023;Пятница
T100076;2023-01-06;Новосибирск;ТМ-НСК-002;Аксессуары;OEM;2;2061,98;4123,97;2604,61;1519,36;CUST_87378;Карта;2023-01;Q1 2023;2023;Пятница
T100077;2023-01-06;Санкт-Петербург;ТМ-СПБ-003;Бытовая техника;Bosch;1;34378,48;34378,48;23915,46;10463,02;CUST_40316;Карта;2023-01;Q1 2023;2023;Пятница
T100078;2023-01-06;Екатеринбург;ТМ-ЕКТ-001;Аудиотехника;JBL;1;9245,04;9245,04;6603,6;2641,44;CUST_43365;Карта;2023-01;Q1 2023;2023;Пятница
T100079;2023-01-06;Москва;ТМ-МСК-003;Игровые консоли;Nintendo;1;57876,69;57876,69;40068,48;17808,21;CUST_93076;Онлайн;2023-01;Q1 2023;2023;Пятница
T100080;2023-01-06;Москва;ТМ-МСК-003;Игровые консоли;Microsoft Xbox;1;44436,44;44436,44;30763,69;13672,75;CUST_63741;Карта;2023-01;Q1 2023;2023;Пятница
T100081;2023-01-06;Москва;ТМ-МСК-002;Аудиотехника;Sennheiser;2;8776,42;17552,83;10126,64;7426,19;CUST_71594;Карта;2023-01;Q1 2023;2023;Пятница
T100082;2023-01-06;Санкт-Петербург;ТМ-СПБ-002;Ноутбуки;ASUS;1;91162,1;91162,1;69758,82;21403,28;CUST_56565;Наличные;2023-01;Q1 2023;2023;Пятница
T100083;2023-01-06;Новосибирск;ТМ-НСК-002;Игровые консоли;Microsoft Xbox;1;38830,65;38830,65;36786,93;2043,72;CUST_11125;Карта;2023-01;Q1 2023;2023;Пятница
T100084;2023-01-06;Москва;ТМ-МСК-001;Бытовая техника;Bosch;1;32518,97;32518,97;20011,68;12507,29;CUST_62269;Карта;2023-01;Q1 2023;2023;Пятница
T100085;2023-01-07;Москва;ТМ-МСК-003;Аудиотехника;Sony;1;12362,57;12362,57;7132,26;5230,31;CUST_83965;Карта;2023-01;Q1 2023;2023;Суббота
T100086;2023-01-07;Казань;ТМ-КЗН-001;Ноутбуки;Acer;1;45246,52;45246,52;44241,04;1005,48;CUST_51346;Онлайн;2023-01;Q1 2023;2023;Суббота
T100087;2023-01-07;Ростов-на-Дону;ТМ-РСТ-002;Бытовая техника;Samsung;1;23536,39;23536,39;20921,23;2615,16;CUST_71636;Наличные;2023-01;Q1 2023;2023;Суббота
T100088;2023-01-07;Екатеринбург;ТМ-ЕКТ-001;Аудиотехника;Sennheiser;1;7693,4;7693,4;5495,29;2198,11;CUST_14128;Онлайн;2023-01;Q1 2023;2023;Суббота
T100089;2023-01-07;Нижний Новгород;ТМ-НН-002;Аксессуары;Разные бренды;4;2171,19;8684,75;5789,84;2894,91;CUST_48545;Карта;2023-01;Q1 2023;2023;Суббота
T100090;2023-01-07;Санкт-Петербург;ТМ-СПБ-002;Смартфоны;Apple;1;48091,46;48091,46;35545,86;12545,6;CUST_47772;Онлайн;2023-01;Q1 2023;2023;Суббота
T100091;2023-01-07;Москва;ТМ-МСК-002;Аудиотехника;Bose;1;10479,38;10479,38;6045,79;4433,59;CUST_43997;Карта;2023-01;Q1 2023;2023;Суббота
T100092;2023-01-07;Нижний Новгород;ТМ-НН-001;Аудиотехника;Sennheiser;1;5614,34;5614,34;4678,61;935,73;CUST_30219;Онлайн;2023-01;Q1 2023;2023;Суббота
T100093;2023-01-07;Москва;ТМ-МСК-001;Ноутбуки;Lenovo;1;109755,18;109755,18;74295,81;35459,37;CUST_82181;Карта;2023-01;Q1 2023;2023;Суббота
T100094;2023-01-07;Ростов-на-Дону;ТМ-РСТ-002;Телевизоры;TCL;1;30711,44;30711,44;27981,53;2729,91;CUST_72204;Наличные;2023-01;Q1 2023;2023;Суббота
T100095;2023-01-07;Казань;ТМ-КЗН-001;Игровые консоли;Sony PlayStation;1;34051,93;34051,93;34051,94;-0,01;CUST_17902;Наличные;2023-01;Q1 2023;2023;Суббота
T100096;2023-01-07;Новосибирск;ТМ-НСК-001;Аудиотехника;Sony;1;7096,91;7096,91;5602,82;1494,09;CUST_44291;Карта;2023-01;Q1 2023;2023;Суббота
T100097;2023-01-07;Москва;ТМ-МСК-001;Аудиотехника;Sony;1;13165,96;13165,96;7595,75;5570,21;CUST_10494;Онлайн;2023-01;Q1 2023;2023;Суббота
T100098;2023-01-07;Москва;ТМ-МСК-002;Телевизоры;Sony;1;74395,66;74395,66;46926,49;27469,17;CUST_26808;Наличные;2023-01;Q1 2023;2023;Суббота
T100099;2023-01-07;Ростов-на-Дону;ТМ-РСТ-002;Аудиотехника;JBL;1;7196,48;7196,48;5997,07;1199,41;CUST_58423;Наличные;2023-01;Q1 2023;2023;Суббота
T100100;2023-01-07;Москва;ТМ-МСК-005;Аксессуары;Разные бренды;2;3265,2;6530,39;3014,02;3516,37;CUST_61927;Карта;2023-01;Q1 2023;2023;Суббота
T100101;2023-01-07;Уфа;ТМ-УФА-001;Телевизоры;Philips;1;29691,59;29691,59;30433,88;-742,29;CUST_29742;Наличные;2023-01;Q1 2023;2023;Суббота
T100102;2023-01-07;Санкт-Петербург;ТМ-СПБ-001;Аудиотехника;JBL;1;9126,68;9126,68;5952,18;3174,5;CUST_84564;Наличные;2023-01;Q1 2023;2023;Суббота
T100103;2023-01-07;Москва;ТМ-МСК-005;Игровые консоли;Nintendo;1;38529,11;38529,11;26674,0;11855,11;CUST_67304;Онлайн;2023-01;Q1 2023;2023;Суббота
T100104;2023-01-07;Москва;ТМ-МСК-003;Ноутбуки;HP;1;85449,58;85449,58;57842,79;27606,8;CUST_51309;Карта;2023-01;Q1 2023;2023;Суббота
T100105;2023-01-07;Санкт-Петербург;ТМ-СПБ-003;Телевизоры;LG;1;36900,13;36900,13;26311,39;10588,74;CUST_82198;Онлайн;2023-01;Q1 2023;2023;Суббота
T100106;2023-01-07;Ростов-на-Дону;ТМ-РСТ-001;Аудиотехника;Sennheiser;1;9179,89;9179,89;7649,91;1529,98;CUST_37036;Карта;2023-01;Q1 2023;2023;Суббота
T100107;2023-01-08;Новосибирск;ТМ-НСК-002;Аудиотехника;Audio-Technica;1;5675,29;5675,29;4480,49;1194,8;CUST_14121;Онлайн;2023-01;Q1 2023;2023;Воскресенье
T100108;2023-01-08;Ростов-на-Дону;ТМ-РСТ-001;Смартфоны;Samsung;1;26500,26;26500,26;25028,02;1472,24;CUST_17839;Карта;2023-01;Q1 2023;2023;Воскресенье
T100109;2023-01-08;Ростов-на-Дону;ТМ-РСТ-001;Телевизоры;LG;2;50257,22;100514,43;91579,82;8934,61;CUST_52623;Наличные;2023-01;Q1 2023;2023;Воскресенье
T100110;2023-01-08;Екатеринбург;ТМ-ЕКТ-002;Бытовая техника;Electrolux;1;28152,69;28152,69;21449,67;6703,02;CUST_58484;Карта;2023-01;Q1 2023;2023;Воскресенье
T100111;2023-01-08;Москва;ТМ-МСК-005;Смартфоны;OPPO;1;48930,8;48930,8;31993,22;16937,58;CUST_48216;Карта;2023-01;Q1 2023;2023;Воскресенье
T100112;2023-01-08;Новосибирск;ТМ-НСК-002;Ноутбуки;Dell;1;48618,69;48618,69;45036,26;3582,43;CUST_70662;Наличные;2023-01;Q1 2023;2023;Воскресенье
T100113;2023-01-08;Санкт-Петербург;ТМ-СПБ-002;Игровые консоли;Microsoft Xbox;1;61374,97;61374,97;48032,59;13342,38;CUST_79484;Наличные;2023-01;Q1 2023;2023;Воскресенье
T100114;2023-01-08;Екатеринбург;ТМ-ЕКТ-001;Телевизоры;TCL;1;37391,94;37391,94;29201,32;8190,62;CUST_76883;Наличные;2023-01;Q1 2023;2023;Воскресенье
T100115;2023-01-08;Уфа;ТМ-УФА-001;Аудиотехника;Audio-Technica;1;6911,54;6911,54;6479,56;431,98;CUST_14781;Карта;2023-01;Q1 2023;2023;Воскресенье
T100116;2023-01-08;Самара;ТМ-СМР-001;Ноутбуки;Lenovo;1;61447,32;61447,32;63616,06;-2168,74;CUST_15971;Наличные;2023-01;Q1 2023;2023;Воскресенье
T100117;2023-01-08;Ростов-на-Дону;ТМ-РСТ-002;Телевизоры;TCL;1;28971,73;28971,73;26396,46;2575,27;CUST_58919;Карта;2023-01;Q1 2023;2023;Воскресенье
T100118;2023-01-08;Санкт-Петербург;ТМ-СПБ-002;Аудиотехника;Sennheiser;1;11450,48;11450,48;7467,7;3982,78;CUST_69160;Карта;2023-01;Q1 2023;2023;Воскресенье
T100119;2023-01-08;Новосибирск;ТМ-НСК-001;Аудиотехника;Sony;1;7324,25;7324,25;5782,3;1541,95;CUST_24534;Карта;2023-01;Q1 2023;2023;Воскресенье
T100120;2023-01-08;Екатеринбург;ТМ-ЕКТ-002;Аксессуары;Разные бренды;2;3143,03;6286,06;3592,03;2694,03;CUST_89997;Карта;2023-01;Q1 2023;2023;Воскресенье
T100121;2023-01-08;Казань;ТМ-КЗН-002;Ноутбуки;Dell;1;56969,74;56969,74;55703,74;1266,0;CUST_92975;Наличные;2023-01;Q1 2023;2023;Воскресенье
T100122;2023-01-08;Санкт-Петербург;ТМ-СПБ-003;Телевизоры;Philips;1;54735,56;54735,56;39028,83;15706,73;CUST_72676;Наличные;2023-01;Q1 2023;2023;Воскресенье
T100123;2023-01-09;Ростов-на-Дону;ТМ-РСТ-002;Аудиотехника;Sennheiser;1;5857,67;5857,67;4881,39;976,28;CUST_57320;Карта;2023-01;Q1 2023;2023;Понедельник
T100124;2023-01-09;Москва;ТМ-МСК-003;Игровые консоли;Nintendo;1;41005,44;41005,44;28388,38;12617,06;CUST_29711;Карта;2023-01;Q1 2023;2023;Понедельник
T100125;2023-01-09;Ростов-на-Дону;ТМ-РСТ-002;Аксессуары;NoName;2;2265,28;4530,56;3020,38;1510,18;CUST_84344;Карта;2023-01;Q1 2023;2023;Понедельник
T100126;2023-01-09;Екатеринбург;ТМ-ЕКТ-001;Ноутбуки;Dell;1;62054,96;62054,96;52007,97;10046,99;CUST_54273;Онлайн;2023-01;Q1 2023;2023;Понедельник
T100127;2023-01-09;Казань;ТМ-КЗН-002;Бытовая техника;Indesit;1;23717,57;23717,57;21082,29;2635,28;CUST_92421;Карта;2023-01;Q1 2023;2023;Понедельник
T100128;2023-01-09;Москва;ТМ-МСК-002;Бытовая техника;Indesit;1;35276,46;35276,46;21708,59;13567,87;CUST_46805;Карта;2023-01;Q1 2023;2023;Понедельник
T100129;2023-01-09;Казань;ТМ-КЗН-002;Ноутбуки;ASUS;1;66744,24;66744,24;65261,04;1483,2;CUST_72813;Карта;2023-01;Q1 2023;2023;Понедельник
T100130;2023-01-09;Казань;ТМ-КЗН-002;Аудиотехника;Sennheiser;1;5779,3;5779,3;4816,08;963,22;CUST_41480;Карта;2023-01;Q1 2023;2023;Понедельник
T100131;2023-01-09;Санкт-Петербург;ТМ-СПБ-002;Игровые консоли;Sony PlayStation;2;47147,02;94294,04;73795,34;20498,7;CUST_55635;Наличные;2023-01;Q1 2023;2023;Понедельник
T100132;2023-01-09;Санкт-Петербург;ТМ-СПБ-003;Аудиотехника;JBL;2;7520,45;15040,9;9809,28;5231,62;CUST_44235;Карта;2023-01;Q1 2023;2023;Понедельник
T100133;2023-01-09;Ростов-на-Дону;ТМ-РСТ-001;Аксессуары;NoName;1;2614,1;2614,1;1742,74;871,36;CUST_11413;Онлайн;2023-01;Q1 2023;2023;Понедельник
T100134;2023-01-09;Челябинск;ТМ-ЧЛБ-001;Телевизоры;Philips;1;38308,11;38308,11;36956,06;1352,05;CUST_57942;Карта;2023-01;Q1 2023;2023;Понедельник
T100135;2023-01-09;Екатеринбург;ТМ-ЕКТ-003;Бытовая техника;Indesit;2;23599,37;47198,74;35960,95;11237,79;CUST_61302;Карта;2023-01;Q1 2023;2023;Понедельник
T100136;2023-01-09;Екатеринбург;ТМ-ЕКТ-003;Телевизоры;Samsung;1;59243,66;59243,66;46266,48;12977,18;CUST_27467;Наличные;2023-01;Q1 2023;2023;Понедельник
T100137;2023-01-09;Москва;ТМ-МСК-002;Аксессуары;NoName;1;3099,89;3099,89;1430,72;1669,17;CUST_63329;Наличные;2023-01;Q1 2023;2023;Понедельник
T100138;2023-01-09;Уфа;ТМ-УФА-001;Смартфоны;Apple;1;28239,7;28239,7;30004,69;-1764,99;CUST_87846;Онлайн;2023-01;Q1 2023;2023;Понедельник
T100139;2023-01-09;Санкт-Петербург;ТМ-СПБ-003;Бытовая техника;Indesit;1;31762,29;31762,29;22095,5;9666,79;CUST_11231;Карта;2023-01;Q1 2023;2023;Понедельник
T100140;2023-01-10;Новосибирск;ТМ-НСК-001;Аксессуары;Разные бренды;1;2144,69;2144,69;1354,54;790,15;CUST_46602;Карта;2023-01;Q1 2023;2023;Вторник
T100141;2023-01-10;Казань;ТМ-КЗН-001;Аудиотехника;Bose;2;7539,67;15079,34;12566,12;2513,22;CUST_13748;Карта;2023-01;Q1 2023;2023;Вторник
T100142;2023-01-10;Москва;ТМ-МСК-004;Игровые консоли;Nintendo;1;67161,0;67161,0;46496,08;20664,92;CUST_59667;Карта;2023-01;Q1 2023;2023;Вторник
T100143;2023-01-10;Новосибирск;ТМ-НСК-002;Смартфоны;Huawei;2;37728,22;75456,45;67513,66;7942,79;CUST_60858;Наличные;2023-01;Q1 2023;2023;Вторник
