order_id;category;returned;return_reason;order_value;days_to_return
RET-010108;Аксессуары;1;changed_mind;3040.72;4.0
RET-010109;Смартфоны;0;;46069.08;
RET-010110;Ноутбуки;0;;44191.48;
RET-010111;Планшеты;0;;25097.59;
RET-010112;Смартфоны;0;;49905.84;
RET-010113;Аксессуары;0;;4501.85;
RET-010114;Аксессуары;0;;3070.5;
RET-010115;Планшеты;0;;11054.36;
RET-010116;Планшеты;0;;34154.16;
RET-010117;Аксессуары;0;;2149.84;
RET-010118;Планшеты;0;;36395.84;
RET-010119;Ноутбуки;0;;32715.51;
RET-010120;Смартфоны;0;;71746.46;
RET-010121;Аксессуары;0;;1852.1;
RET-010122;Наушники;0;;8029.49;
RET-010123;Наушники;0;;5853.1;
RET-010124;Смартфоны;0;;39423.78;
RET-010125;Смартфоны;0;;63972.58;
RET-010126;Наушники;0;;14342.77;
RET-010127;Смартфоны;0;;60349.12;
RET-010128;Смартфоны;0;;19986.66;
RET-010129;Наушники;1;changed_mind;9893.44;5.0
RET-010130;Ноутбуки;0;;33860.36;
RET-010131;Ноутбуки;0;;89726.04;
RET-010132;Смартфоны;0;;23287.67;
RET-010133;Смартфоны;0;;46293.05;
RET-010134;Ноутбуки;0;;46126.4;
RET-010135;Аксессуары;0;;1245.73;
RET-010136;Ноутбуки;0;;74089.73;
RET-010137;Аксессуары;0;;1968.77;
RET-010138;Смартфоны;0;;48869.46;
RET-010139;Аксессуары;0;;2500.05;
RET-010140;Планшеты;0;;23406.8;
RET-010141;Наушники;0;;13480.81;
RET-010142;Смартфоны;0;;63507.48;
RET-010143;Наушники;0;;5782.89;
RET-010144;Планшеты;0;;12312.98;
RET-010145;Смартфоны;0;;41996.2;
RET-010146;Ноутбуки;0;;63430.51;
RET-010147;Смартфоны;0;;54454.45;
RET-010148;Смартфоны;0;;24446.08;
RET-010149;Наушники;0;;11347.06;
RET-010150;Планшеты;0;;40462.15;
RET-010151;Аксессуары;0;;2564.15;
RET-010152;Аксессуары;0;;3775.77;
RET-010153;Смартфоны;0;;18799.58;
RET-010154;Ноутбуки;0;;93775.93;
RET-010155;Наушники;0;;3564.83;
RET-010156;Планшеты;0;;23612.38;
RET-010157;Ноутбуки;0;;42072.88;
RET-010158;Планшеты;0;;36347.59;
RET-010159;Смартфоны;0;;22014.75;
RET-010160;Аксессуары;0;;4352.62;
RET-010161;Ноутбуки;0;;31528.14;
RET-010162;Аксессуары;0;;4117.83;
RET-010163;Смартфоны;0;;27522.13;
RET-010164;Наушники;0;;3885.19;
RET-010165;Планшеты;0;;30952.64;
RET-010166;Планшеты;0;;19447.36;
RET-010167;Смартфоны;0;;15545.99;
RET-010168;Смартфоны;0;;45470.29;
RET-010169;Смартфоны;0;;64854.31;
RET-010170;Ноутбуки;0;;92528.77;
RET-010171;Наушники;0;;2782.55;
RET-010172;Ноутбуки;0;;37277.72;
RET-010173;Аксессуары;0;;360.47;
RET-010174;Ноутбуки;0;;91805.91;
RET-010175;Наушники;0;;11078.24;
RET-010176;Планшеты;0;;43763.59;
RET-010177;Смартфоны;0;;57213.46;
RET-010178;Смартфоны;0;;75457.65;
RET-010179;Аксессуары;0;;4037.29;
RET-010180;Смартфоны;0;;40434.95;
RET-010181;Наушники;0;;11080.59;
RET-010182;Аксессуары;0;;646.1;
RET-010183;Ноутбуки;0;;59373.23;
RET-010184;Аксессуары;1;defect;1244.94;7.0
RET-010185;Наушники;0;;10349.8;
RET-010186;Аксессуары;0;;4213.23;
RET-010187;Наушники;0;;10638.93;
RET-010188;Смартфоны;0;;31310.68;
RET-010189;Планшеты;0;;43255.6;
RET-010190;Планшеты;0;;29535.76;
RET-010191;Планшеты;0;;36995.89;
RET-010192;Ноутбуки;0;;70929.73;
RET-010193;Смартфоны;0;;60565.57;
RET-010194;Наушники;0;;12960.43;
RET-010195;Планшеты;0;;26518.4;
RET-010196;Ноутбуки;0;;75479.86;
RET-010197;Аксессуары;0;;318.7;
RET-010198;Смартфоны;0;;45342.33;
RET-010199;Наушники;0;;4445.29;
RET-010200;Смартфоны;0;;41905.51;
RET-010201;Планшеты;0;;14161.37;
RET-010202;Ноутбуки;0;;64805.61;
RET-010203;Аксессуары;0;;3629.64;
RET-010204;Аксессуары;1;changed_mind;4329.86;10.0
RET-010205;Ноутбуки;0;;53718.63;
RET-010206;Планшеты;0;;38132.72;
RET-010207;Планшеты;0;;44509.83;
RET-010208;Наушники;0;;13859.8;
RET-010209;Аксессуары;0;;1897.7;
RET-010210;Смартфоны;0;;20876.26;
RET-010211;Планшеты;0;;35558.13;
RET-010212;Аксессуары;0;;2952.31;
RET-010213;Планшеты;0;;35994.75;
RET-010214;Наушники;0;;9108.43;
RET-010215;Планшеты;0;;9135.57;
RET-010216;Наушники;0;;10398.97;
RET-010217;Наушники;0;;8488.71;
RET-010218;Наушники;0;;1406.95;
RET-010219;Ноутбуки;0;;79552.25;
RET-010220;Аксессуары;0;;353.61;
RET-010221;Аксессуары;0;;2540.66;
RET-010222;Ноутбуки;0;;47940.7;
RET-010223;Наушники;0;;8046.02;
RET-010224;Наушники;0;;7440.01;
RET-010225;Смартфоны;0;;37587.95;
RET-010226;Планшеты;0;;39893.42;
RET-010227;Ноутбуки;0;;33057.06;
RET-010228;Планшеты;0;;30238.36;
RET-010229;Смартфоны;0;;15366.44;
RET-010230;Планшеты;0;;28340.8;
RET-010231;Аксессуары;0;;3677.8;
RET-010232;Смартфоны;0;;47669.89;
RET-010233;Аксессуары;0;;1853.42;
RET-010234;Смартфоны;0;;26446.33;
RET-010235;Наушники;0;;7934.73;
RET-010236;Аксессуары;0;;2948.69;
RET-010237;Аксессуары;1;changed_mind;725.93;12.0
RET-010238;Планшеты;0;;30510.67;
RET-010239;Наушники;1;wrong_item;1358.06;5.0
RET-010240;Аксессуары;0;;4648.52;
RET-010241;Наушники;0;;5483.16;
RET-010242;Наушники;0;;4245.1;
RET-010243;Планшеты;0;;39248.33;
RET-010244;Аксессуары;0;;4856.26;
RET-010245;Аксессуары;0;;804.37;
RET-010246;Аксессуары;0;;2639.71;
RET-010247;Аксессуары;0;;4807.57;
RET-010248;Планшеты;0;;28037.87;
RET-010249;Планшеты;0;;21263.09;
RET-010250;Смартфоны;0;;52890.1;
RET-010251;Смартфоны;0;;34515.05;
RET-010252;Смартфоны;0;;52531.83;
RET-010253;Смартфоны;0;;44151.25;
RET-010254;Аксессуары;0;;3724.88;
RET-010255;Ноутбуки;0;;80203.99;
RET-010256;Наушники;0;;6448.64;
RET-010257;Наушники;0;;12639.47;
RET-010258;Аксессуары;0;;4978.16;
RET-010259;Смартфоны;0;;69044.13;
RET-010260;Смартфоны;0;;68176.9;
RET-010261;Наушники;0;;5014.78;
RET-010262;Ноутбуки;0;;47689.76;
RET-010263;Ноутбуки;0;;89805.84;
RET-010264;Аксессуары;0;;3616.53;
RET-010265;Ноутбуки;0;;75881.95;
RET-010266;Смартфоны;0;;35079.62;
RET-010267;Смартфоны;0;;29512.09;
RET-010268;Смартфоны;0;;41972.49;
RET-010269;Планшеты;0;;39161.99;
RET-010270;Наушники;0;;10860.84;
RET-010271;Аксессуары;0;;456.84;
RET-010272;Ноутбуки;0;;117311.1;
RET-010273;Наушники;0;;1468.95;
RET-010274;Аксессуары;0;;1419.67;
RET-010275;Смартфоны;1;changed_mind;43463.9;2.0
RET-010276;Аксессуары;0;;3324.02;
RET-010277;Планшеты;0;;42366.17;
RET-010278;Наушники;0;;7514.69;
RET-010279;Ноутбуки;0;;105737.49;
RET-010280;Наушники;0;;2326.43;
RET-010281;Планшеты;0;;36324.15;
RET-010282;Планшеты;0;;37850.2;
RET-010283;Аксессуары;0;;1818.75;
RET-010284;Наушники;0;;9028.23;
RET-010285;Смартфоны;0;;38744.52;
RET-010286;Смартфоны;0;;22294.12;
RET-010287;Наушники;0;;4251.13;
RET-010288;Планшеты;0;;18613.42;
RET-010289;Наушники;1;wrong_item;6155.77;4.0
RET-010290;Наушники;0;;8448.81;
RET-010291;Аксессуары;0;;1284.74;
RET-010292;Смартфоны;0;;43204.66;
RET-010293;Смартфоны;0;;48094.45;
RET-010294;Наушники;0;;5188.73;
RET-010295;Планшеты;0;;39602.08;
RET-010296;Аксессуары;0;;3231.24;
RET-010297;Планшеты;0;;24726.6;
RET-010298;Планшеты;0;;40330.22;
RET-010299;Наушники;0;;9931.55;
RET-010300;Наушники;0;;12534.42;
RET-010301;Ноутбуки;0;;119583.32;
RET-010302;Ноутбуки;0;;89858.33;
RET-010303;Наушники;0;;10632.28;
RET-010304;Наушники;0;;11301.71;
RET-010305;Наушники;0;;14337.44;
RET-010306;Ноутбуки;0;;91607.69;
RET-010307;Планшеты;0;;28729.86;
RET-010308;Наушники;0;;6784.91;
RET-010309;Смартфоны;0;;74670.43;
RET-010310;Аксессуары;0;;4771.69;
RET-010311;Смартфоны;0;;26420.56;
RET-010312;Ноутбуки;0;;30087.87;
RET-010313;Наушники;0;;9116.72;
RET-010314;Смартфоны;0;;37212.19;
RET-010315;Планшеты;0;;14074.9;
RET-010316;Аксессуары;0;;4606.79;
RET-010317;Смартфоны;1;wrong_item;72885.12;7.0
RET-010318;Планшеты;1;wrong_item;41469.42;13.0
RET-010319;Ноутбуки;0;;47170.56;
RET-010320;Планшеты;1;defect;44402.6;4.0
RET-010321;Аксессуары;0;;2087.43;
RET-010322;Наушники;0;;8052.44;
RET-010323;Наушники;0;;3068.63;
RET-010324;Планшеты;0;;39466.06;
RET-010325;Наушники;0;;5090.41;
RET-010326;Ноутбуки;0;;91670.03;
RET-010327;Аксессуары;0;;1121.74;
RET-010328;Смартфоны;0;;50384.37;
RET-010329;Ноутбуки;0;;87588.34;
RET-010330;Наушники;0;;3988.56;
RET-010331;Ноутбуки;0;;31480.16;
RET-010332;Аксессуары;1;changed_mind;2504.72;1.0
RET-010333;Наушники;0;;11772.83;
RET-010334;Ноутбуки;0;;66470.31;
RET-010335;Аксессуары;0;;1634.71;
RET-010336;Наушники;0;;2264.27;
RET-010337;Ноутбуки;0;;50031.27;
RET-010338;Смартфоны;0;;61366.42;
RET-010339;Смартфоны;0;;39397.45;
RET-010340;Ноутбуки;0;;77174.54;
RET-010341;Планшеты;0;;18733.86;
RET-010342;Смартфоны;0;;54995.89;
RET-010343;Наушники;0;;5927.93;
RET-010344;Смартфоны;0;;49258.17;
RET-010345;Смартфоны;0;;65318.93;
RET-010346;Смартфоны;0;;26872.65;
RET-010347;Наушники;0;;9275.93;
RET-010348;Смартфоны;0;;36807.53;
RET-010349;Аксессуары;0;;4572.37;
RET-010350;Наушники;0;;5371.69;
RET-010351;Смартфоны;0;;55721.62;
RET-010352;Аксессуары;0;;2512.0;
RET-010353;Ноутбуки;0;;36853.77;
RET-010354;Планшеты;0;;33281.91;
RET-010355;Ноутбуки;0;;81501.19;
RET-010356;Планшеты;0;;38911.97;
RET-010357;Наушники;0;;13950.07;
RET-010358;Наушники;0;;6248.07;
RET-010359;Ноутбуки;0;;119142.26;
RET-010360;Смартфоны;0;;21128.58;
RET-010361;Аксессуары;0;;3388.17;
RET-010362;Смартфоны;0;;44580.31;
RET-010363;Планшеты;0;;10441.55;
RET-010364;Аксессуары;0;;3566.5;
RET-010365;Планшеты;0;;13794.72;
RET-010366;Ноутбуки;0;;79398.68;
RET-010367;Планшеты;0;;26833.41;
RET-010368;Планшеты;0;;40298.76;
RET-010369;Аксессуары;0;;1042.24;
RET-010370;Аксессуары;0;;513.79;
RET-010371;Планшеты;0;;16435.0;
RET-010372;Ноутбуки;0;;35701.98;
RET-010373;Аксессуары;1;defect;4146.18;3.0
RET-010374;Ноутбуки;0;;45154.79;
RET-010375;Планшеты;0;;37168.1;
RET-010376;Ноутбуки;0;;55354.3;
RET-010377;Смартфоны;0;;78239.2;
RET-010378;Ноутбуки;0;;53120.16;
RET-010379;Аксессуары;0;;4261.99;
RET-010380;Аксессуары;0;;390.04;
RET-010381;Ноутбуки;0;;87650.91;
RET-010382;Смартфоны;0;;30976.48;
RET-010383;Ноутбуки;0;;58739.1;
RET-010384;Смартфоны;0;;68941.79;
RET-010385;Аксессуары;0;;1872.53;
RET-010386;Смартфоны;0;;23141.73;
RET-010387;Ноутбуки;0;;35341.85;
RET-010388;Смартфоны;0;;45583.82;
RET-010389;Ноутбуки;0;;72449.9;
RET-010390;Наушники;0;;1138.4;
RET-010391;Ноутбуки;0;;77508.6;
RET-010392;Аксессуары;0;;2790.8;
RET-010393;Планшеты;0;;15699.97;
RET-010394;Планшеты;0;;22979.87;
RET-010395;Смартфоны;0;;39598.96;
RET-010396;Смартфоны;0;;66670.32;
RET-010397;Планшеты;1;wrong_item;11908.08;5.0
RET-010398;Смартфоны;0;;28695.89;
RET-010399;Ноутбуки;0;;101146.53;
RET-010400;Аксессуары;1;defect;1314.94;4.0
RET-010401;Ноутбуки;0;;31639.31;
RET-010402;Наушники;0;;7764.12;
RET-010403;Наушники;0;;7027.82;
RET-010404;Аксессуары;0;;541.2;
RET-010405;Смартфоны;0;;49010.58;
RET-010406;Наушники;0;;10065.36;
RET-010407;Смартфоны;0;;40055.79;
RET-010408;Планшеты;0;;43032.04;
RET-010409;Ноутбуки;0;;48827.36;
RET-010410;Аксессуары;0;;3117.25;
RET-010411;Ноутбуки;0;;65741.84;
RET-010412;Аксессуары;0;;1184.57;
RET-010413;Аксессуары;0;;4434.42;
RET-010414;Планшеты;1;defect;11111.23;14.0
RET-010415;Аксессуары;0;;3683.1;
RET-010416;Наушники;0;;7852.22;
RET-010417;Наушники;1;changed_mind;11651.92;8.0
RET-010418;Аксессуары;0;;2456.46;
RET-010419;Смартфоны;0;;66470.68;
RET-010420;Планшеты;0;;16621.53;
RET-010421;Наушники;0;;10286.53;
RET-010422;Планшеты;0;;41615.38;
RET-010423;Наушники;0;;9127.8;
RET-010424;Смартфоны;0;;34066.97;
RET-010425;Смартфоны;0;;72437.68;
RET-010426;Наушники;0;;4004.08;
RET-010427;Наушники;0;;12271.64;
RET-010428;Аксессуары;0;;3410.25;
RET-010429;Смартфоны;0;;75007.82;
RET-010430;Аксессуары;0;;2474.19;
RET-010431;Ноутбуки;0;;36312.99;
RET-010432;Смартфоны;0;;43577.49;
RET-010433;Аксессуары;0;;4685.31;
RET-010434;Смартфоны;0;;67599.1;
RET-010435;Ноутбуки;0;;117191.91;
RET-010436;Аксессуары;0;;2605.56;
RET-010437;Аксессуары;0;;2691.79;
RET-010438;Ноутбуки;0;;82425.0;
RET-010439;Аксессуары;1;defect;2790.19;9.0
RET-010440;Смартфоны;0;;79960.26;
RET-010441;Планшеты;0;;34390.7;
RET-010442;Смартфоны;0;;44622.65;
RET-010443;Наушники;0;;6157.74;
RET-010444;Наушники;1;wrong_item;12502.13;4.0
RET-010445;Наушники;0;;4573.77;
RET-010446;Смартфоны;0;;15310.57;
RET-010447;Планшеты;0;;23181.01;
RET-010448;Ноутбуки;0;;41073.36;
RET-010449;Наушники;0;;7223.46;
RET-010450;Аксессуары;0;;2763.06;
RET-010451;Ноутбуки;0;;89555.08;
RET-010452;Планшеты;0;;24777.73;
RET-010453;Ноутбуки;0;;82982.13;
RET-010454;Наушники;0;;3088.83;
RET-010455;Планшеты;0;;42028.92;
RET-010456;Наушники;0;;6710.12;
RET-010457;Планшеты;0;;42767.0;
RET-010458;Аксессуары;0;;2933.37;
RET-010459;Ноутбуки;0;;36023.41;
RET-010460;Смартфоны;0;;78304.73;
RET-010461;Ноутбуки;0;;34962.91;
RET-010462;Наушники;0;;2685.21;
RET-010463;Планшеты;0;;36410.47;
RET-010464;Смартфоны;0;;60541.6;
RET-010465;Планшеты;0;;20957.19;
RET-010466;Смартфоны;0;;73524.69;
RET-010467;Наушники;0;;7507.88;
RET-010468;Ноутбуки;0;;69403.67;
RET-010469;Ноутбуки;0;;93596.21;
RET-010470;Наушники;0;;11378.05;
RET-010471;Планшеты;0;;36159.8;
RET-010472;Ноутбуки;0;;81252.29;
RET-010473;Аксессуары;0;;1290.1;
RET-010474;Аксессуары;0;;3680.66;
RET-010475;Наушники;0;;3351.3;
RET-010476;Наушники;0;;5368.15;
RET-010477;Смартфоны;0;;30088.75;
RET-010478;Смартфоны;0;;42365.5;
RET-010479;Наушники;0;;12566.26;
RET-010480;Наушники;0;;8173.22;
RET-010481;Смартфоны;0;;16393.76;
RET-010482;Смартфоны;0;;37809.87;
RET-010483;Ноутбуки;0;;53162.97;
RET-010484;Аксессуары;0;;739.9;
RET-010485;Ноутбуки;0;;34988.06;
RET-010486;Наушники;0;;14581.97;
RET-010487;Планшеты;0;;35227.69;
RET-010488;Ноутбуки;0;;88673.63;
RET-010489;Наушники;0;;5689.16;
RET-010490;Ноутбуки;0;;69090.24;
RET-010491;Смартфоны;0;;38770.05;
RET-010492;Смартфоны;0;;17081.44;
RET-010493;Планшеты;0;;16272.39;
RET-010494;Наушники;0;;13776.66;
RET-010495;Аксессуары;0;;4211.15;
RET-010496;Ноутбуки;0;;32715.51;
RET-010497;Смартфоны;0;;38750.77;
RET-010498;Наушники;0;;3190.15;
RET-010499;Планшеты;0;;26230.34;
RET-010500;Планшеты;0;;15065.22;
RET-010501;Аксессуары;0;;3583.7;
RET-010502;Аксессуары;0;;4688.23;
RET-010503;Аксессуары;0;;2176.09;
RET-010504;Планшеты;0;;31981.81;
RET-010505;Планшеты;0;;11233.52;
RET-010506;Аксессуары;0;;4774.97;
RET-010507;Смартфоны;0;;72037.15;
RET-010508;Планшеты;0;;38899.11;
RET-010509;Ноутбуки;0;;98870.81;
RET-010510;Планшеты;0;;31915.53;
RET-010511;Смартфоны;0;;59701.65;
RET-010512;Смартфоны;0;;64614.12;
RET-010513;Наушники;0;;5477.81;
RET-010514;Наушники;0;;12373.71;
RET-010515;Ноутбуки;0;;111265.29;
RET-010516;Наушники;0;;2326.93;
RET-010517;Смартфоны;0;;22029.13;
RET-010518;Аксессуары;0;;2924.34;
RET-010519;Планшеты;0;;30240.36;
RET-010520;Планшеты;0;;43090.86;
RET-010521;Аксессуары;0;;3345.04;
RET-010522;Смартфоны;0;;48496.22;
RET-010523;Наушники;0;;1116.0;
RET-010524;Смартфоны;1;defect;48474.03;9.0
RET-010525;Аксессуары;1;changed_mind;4307.99;2.0
RET-010526;Аксессуары;0;;375.57;
RET-010527;Ноутбуки;0;;60592.46;
RET-010528;Смартфоны;0;;60167.08;
RET-010529;Смартфоны;0;;61163.24;
RET-010530;Планшеты;0;;38473.27;
RET-010531;Наушники;0;;1532.51;
RET-010532;Ноутбуки;0;;119968.5;
RET-010533;Смартфоны;0;;34724.94;
RET-010534;Смартфоны;0;;19880.61;
RET-010535;Планшеты;0;;38690.02;
RET-010536;Планшеты;0;;34109.15;
RET-010537;Планшеты;0;;22671.94;
RET-010538;Ноутбуки;0;;54072.85;
RET-010539;Аксессуары;0;;1538.26;
RET-010540;Планшеты;0;;22385.33;
RET-010541;Аксессуары;0;;671.46;
RET-010542;Планшеты;0;;43838.88;
RET-010543;Планшеты;0;;12439.38;
RET-010544;Наушники;0;;13048.69;
RET-010545;Аксессуары;0;;1641.42;
RET-010546;Аксессуары;0;;1725.07;
RET-010547;Аксессуары;0;;1666.3;
RET-010548;Смартфоны;0;;49343.61;
RET-010549;Ноутбуки;0;;80718.51;
RET-010550;Планшеты;0;;36447.94;
RET-010551;Ноутбуки;0;;119389.58;
RET-010552;Аксессуары;0;;741.92;
RET-010553;Ноутбуки;0;;90255.11;
RET-010554;Аксессуары;0;;3962.61;
RET-010555;Наушники;0;;2659.98;
RET-010556;Смартфоны;0;;28005.04;
RET-010557;Ноутбуки;0;;76627.04;
RET-010558;Планшеты;0;;18332.38;
RET-010559;Ноутбуки;0;;77736.06;
RET-010560;Аксессуары;0;;3070.7;
RET-010561;Смартфоны;0;;39757.88;
RET-010562;Ноутбуки;0;;83811.2;
RET-010563;Ноутбуки;0;;44690.93;
RET-010564;Ноутбуки;0;;102558.04;
RET-010565;Наушники;0;;2718.72;
RET-010566;Ноутбуки;0;;97733.43;
RET-010567;Планшеты;0;;25401.08;
RET-010568;Аксессуары;0;;453.77;
RET-010569;Ноутбуки;1;defect;107480.43;10.0
RET-010570;Наушники;0;;6886.93;
RET-010571;Аксессуары;0;;383.33;
RET-010572;Наушники;0;;4744.39;
RET-010573;Ноутбуки;0;;54981.57;
RET-010574;Планшеты;0;;9134.08;
RET-010575;Ноутбуки;0;;93019.95;
RET-010576;Аксессуары;0;;2306.68;
RET-010577;Наушники;0;;13438.1;
RET-010578;Наушники;0;;4598.11;
RET-010579;Наушники;0;;1724.36;
RET-010580;Смартфоны;0;;34192.9;
RET-010581;Аксессуары;0;;3785.89;
RET-010582;Аксессуары;1;defect;699.18;7.0
RET-010583;Аксессуары;0;;3993.49;
RET-010584;Планшеты;0;;42528.21;
RET-010585;Планшеты;0;;29884.5;
RET-010586;Аксессуары;0;;1992.39;
RET-010587;Наушники;0;;7383.83;
RET-010588;Планшеты;0;;9772.35;
RET-010589;Смартфоны;0;;72022.16;
RET-010590;Ноутбуки;0;;55377.67;
RET-010591;Планшеты;0;;34306.09;
RET-010592;Ноутбуки;0;;65661.25;
RET-010593;Аксессуары;0;;4403.95;
RET-010594;Ноутбуки;1;changed_mind;97327.12;3.0
RET-010595;Планшеты;0;;31156.61;
RET-010596;Аксессуары;0;;3417.92;
RET-010597;Аксессуары;0;;563.1;
RET-010598;Наушники;0;;12611.49;
RET-010599;Аксессуары;0;;914.77;
RET-010600;Смартфоны;0;;35620.11;
RET-010601;Наушники;0;;10312.3;
RET-010602;Наушники;0;;11445.83;
RET-010603;Наушники;0;;12103.49;
RET-010604;Аксессуары;0;;4000.76;
RET-010605;Ноутбуки;0;;37058.58;
RET-010606;Ноутбуки;0;;94678.2;
RET-010607;Планшеты;0;;34057.74;
RET-010608;Смартфоны;0;;63640.96;
RET-010609;Ноутбуки;0;;116510.98;
RET-010610;Смартфоны;0;;28894.67;
RET-010611;Наушники;0;;10445.57;
RET-010612;Аксессуары;0;;4451.7;
RET-010613;Планшеты;0;;42915.24;
RET-010614;Наушники;0;;10912.0;
RET-010615;Аксессуары;0;;4366.14;
RET-010616;Ноутбуки;0;;88032.4;
RET-010617;Смартфоны;0;;31608.97;
RET-010618;Аксессуары;0;;3101.91;
RET-010619;Наушники;0;;7838.2;
RET-010620;Аксессуары;0;;3038.65;
RET-010621;Смартфоны;0;;21380.07;
RET-010622;Смартфоны;1;defect;61356.22;19.0
RET-010623;Планшеты;0;;14785.53;
RET-010624;Ноутбуки;0;;90604.87;
RET-010625;Планшеты;0;;29797.25;
RET-010626;Наушники;0;;2799.12;
RET-010627;Планшеты;0;;9660.33;
RET-010628;Планшеты;0;;25195.7;
RET-010629;Планшеты;0;;39991.87;
RET-010630;Планшеты;0;;20119.23;
RET-010631;Наушники;0;;10517.84;
RET-010632;Наушники;0;;11110.59;
RET-010633;Ноутбуки;0;;60132.58;
RET-010634;Наушники;0;;1974.39;
RET-010635;Планшеты;0;;30172.82;
RET-010636;Планшеты;0;;10775.45;
RET-010637;Ноутбуки;0;;100963.92;
