order_id;customer_id;order_amount;order_date;category_main;payment_method;city
ORD-2024-100033;9761;1409.11;2024-12-23;Ноутбуки;Карта онлайн;Казань
ORD-2024-100034;1796;6342.78;2024-12-13;Аксессуары;Карта онлайн;Уфа
ORD-2024-100035;1785;7681.38;2024-12-05;Умные устройства;Карта онлайн;Москва
ORD-2024-100036;2771;590.03;2024-10-08;Аксессуары;Карта онлайн;Санкт-Петербург
ORD-2024-100037;1323;1216.4;2024-12-24;Аксессуары;Карта онлайн;Москва
ORD-2024-100038;1790;4027.71;2024-12-13;Смартфоны;Карта онлайн;Санкт-Петербург
ORD-2024-100039;2897;4803.32;2024-12-05;Наушники;Банковский перевод;Челябинск
ORD-2024-100040;7828;1589.58;2024-11-02;Смартфоны;Карта онлайн;Казань
ORD-2024-100041;8279;3304.1;2024-11-06;Смартфоны;Карта онлайн;Нижний Новгород
ORD-2024-100042;7230;4244.82;2024-12-03;Умные устройства;Карта онлайн;Москва
ORD-2024-100043;3024;994.36;2024-12-15;Ноутбуки;Карта онлайн;Нижний Новгород
ORD-2024-100044;9966;1433.22;2024-12-28;Планшеты;Банковский перевод;Москва
ORD-2024-100045;5140;13728.7;2024-12-04;Аксессуары;Карта онлайн;Нижний Новгород
ORD-2024-100046;8772;5657.21;2024-12-09;Аксессуары;Электронные деньги;Москва
ORD-2024-100047;3508;1223.87;2024-11-10;Умные устройства;Карта онлайн;Москва
ORD-2024-100048;4366;4706.29;2024-12-31;Смартфоны;Наличные;Санкт-Петербург
ORD-2024-100049;1152;4233.31;2024-12-17;Смартфоны;Карта онлайн;Самара
ORD-2024-100050;5933;601.01;2024-12-04;Ноутбуки;Банковский перевод;Москва
ORD-2024-100051;7895;722.45;2024-11-21;Смартфоны;Карта онлайн;Санкт-Петербург
ORD-2024-100052;2654;1690.79;2024-11-12;Смартфоны;Карта онлайн;Челябинск
ORD-2024-100053;9524;5350.99;2024-12-25;Ноутбуки;Карта онлайн;Санкт-Петербург
ORD-2024-100054;5423;1034.79;2024-12-20;Планшеты;Карта онлайн;Москва
ORD-2024-100055;3247;1745.67;2024-11-30;Наушники;Банковский перевод;Санкт-Петербург
ORD-2024-100056;7862;2882.91;2024-12-26;Ноутбуки;Карта онлайн;Санкт-Петербург
ORD-2024-100057;2718;4411.01;2024-11-29;Планшеты;Карта онлайн;Нижний Новгород
ORD-2024-100058;9381;5247.25;2024-11-24;Смартфоны;Наличные;Новосибирск
ORD-2024-100059;2928;1712.67;2024-11-25;Смартфоны;Карта онлайн;Санкт-Петербург
ORD-2024-100060;5631;1879.13;2024-11-22;Планшеты;Электронные деньги;Уфа
ORD-2024-100061;2867;4171.66;2024-12-09;Наушники;Наличные;Санкт-Петербург
ORD-2024-100062;2741;1329.29;2024-12-31;Планшеты;Карта онлайн;Москва
ORD-2024-100063;9154;4354.23;2024-10-18;Смартфоны;Банковский перевод;Москва
ORD-2024-100064;4254;4557.52;2024-12-23;Аксессуары;Карта онлайн;Санкт-Петербург
ORD-2024-100065;4272;5134.77;2024-12-21;Наушники;Карта онлайн;Москва
ORD-2024-100066;5308;1697.98;2024-12-15;Наушники;Карта онлайн;Самара
ORD-2024-100067;9571;4323.75;2024-10-08;Наушники;Карта онлайн;Новосибирск
ORD-2024-100068;4304;4554.74;2024-10-01;Аксессуары;Наличные;Москва
ORD-2024-100069;6864;23538.73;2024-11-08;Наушники;Банковский перевод;Екатеринбург
ORD-2024-100070;7713;3914.22;2024-10-23;Наушники;Карта онлайн;Казань
ORD-2024-100071;5839;1754.79;2024-11-29;Умные устройства;Карта онлайн;Самара
ORD-2024-100072;3627;8720.92;2024-10-11;Планшеты;Электронные деньги;Нижний Новгород
ORD-2024-100073;1645;5364.89;2024-10-08;Ноутбуки;Карта онлайн;Санкт-Петербург
ORD-2024-100074;9980;3397.69;2024-10-16;Планшеты;Карта онлайн;Новосибирск
ORD-2024-100075;9132;631.48;2024-10-05;Ноутбуки;Карта онлайн;Екатеринбург
ORD-2024-100076;4402;2424.7;2024-12-19;Смартфоны;Банковский перевод;Екатеринбург
ORD-2024-100077;8875;1042.52;2024-12-26;Наушники;Карта онлайн;Москва
ORD-2024-100078;6416;577.54;2024-11-22;Аксессуары;Наличные;Москва
ORD-2024-100079;4842;4577.57;2024-12-15;Аксессуары;Наличные;Санкт-Петербург
ORD-2024-100080;1044;562.31;2024-11-21;Ноутбуки;Карта онлайн;Москва
ORD-2024-100081;1208;11133.87;2024-11-13;Наушники;Карта онлайн;Москва
ORD-2024-100082;2458;610.18;2024-12-04;Смартфоны;Наличные;Казань
ORD-2024-100083;2809;804.7;2024-10-07;Умные устройства;Карта онлайн;Москва
ORD-2024-100084;9095;1590.53;2024-11-06;Умные устройства;Наличные;Екатеринбург
ORD-2024-100085;3443;699.7;2024-10-08;Наушники;Банковский перевод;Санкт-Петербург
ORD-2024-100086;2475;1674.54;2024-11-26;Аксессуары;Карта онлайн;Ростов-на-Дону
ORD-2024-100087;9383;1090.61;2024-12-02;Планшеты;Наличные;Санкт-Петербург
ORD-2024-100088;2229;6275.37;2024-12-01;Наушники;Наличные;Москва
ORD-2024-100089;2659;8583.11;2024-12-28;Смартфоны;Наличные;Екатеринбург
ORD-2024-100090;5192;1335.25;2024-10-14;Наушники;Карта онлайн;Челябинск
ORD-2024-100091;4787;4083.31;2024-11-13;Планшеты;Карта онлайн;Уфа
ORD-2024-100092;8483;2921.26;2024-11-01;Планшеты;Карта онлайн;Санкт-Петербург
ORD-2024-100093;5850;1122.22;2024-11-26;Ноутбуки;Наличные;Москва
ORD-2024-100094;5327;5237.66;2024-11-23;Аксессуары;Карта онлайн;Нижний Новгород
ORD-2024-100095;8606;2861.71;2024-12-18;Смартфоны;Наличные;Москва
ORD-2024-100096;1820;10466.52;2024-12-07;Наушники;Карта онлайн;Екатеринбург
ORD-2024-100097;2635;5837.67;2024-10-31;Планшеты;Карта онлайн;Санкт-Петербург
ORD-2024-100098;3862;2991.85;2024-10-24;Планшеты;Карта онлайн;Москва
ORD-2024-100099;1646;5479.25;2024-12-02;Наушники;Наличные;Москва
ORD-2024-100100;5760;6090.58;2024-10-16;Ноутбуки;Карта онлайн;Москва
ORD-2024-100101;6901;1875.9;2024-12-06;Смартфоны;Карта онлайн;Казань
ORD-2024-100102;6123;4634.23;2024-10-17;Наушники;Карта онлайн;Самара
ORD-2024-100103;7979;2794.88;2024-10-06;Наушники;Наличные;Москва
ORD-2024-100104;2898;932.11;2024-10-03;Смартфоны;Карта онлайн;Челябинск
ORD-2024-100105;2556;1796.99;2024-11-04;Планшеты;Карта онлайн;Москва
ORD-2024-100106;1751;1475.83;2024-12-19;Наушники;Электронные деньги;Санкт-Петербург
ORD-2024-100107;1158;3502.72;2024-12-14;Планшеты;Наличные;Москва
ORD-2024-100108;3267;7815.45;2024-12-11;Аксессуары;Электронные деньги;Самара
ORD-2024-100109;3793;2626.72;2024-11-23;Смартфоны;Карта онлайн;Новосибирск
ORD-2024-100110;6384;513.46;2024-11-05;Смартфоны;Карта онлайн;Казань
ORD-2024-100111;6857;5216.01;2024-11-11;Планшеты;Банковский перевод;Челябинск
ORD-2024-100112;8171;3841.85;2024-12-01;Наушники;Карта онлайн;Екатеринбург
ORD-2024-100113;5395;1498.33;2024-12-04;Планшеты;Наличные;Ростов-на-Дону
ORD-2024-100114;2522;5187.18;2024-10-07;Аксессуары;Карта онлайн;Казань
ORD-2024-100115;7105;934.5;2024-11-12;Аксессуары;Карта онлайн;Самара
ORD-2024-100116;6615;587.36;2024-12-12;Умные устройства;Карта онлайн;Санкт-Петербург
ORD-2024-100117;3996;2163.64;2024-10-15;Наушники;Карта онлайн;Москва
ORD-2024-100118;2865;1110.06;2024-12-20;Наушники;Карта онлайн;Санкт-Петербург
ORD-2024-100119;7566;1618.13;2024-12-17;Ноутбуки;Карта онлайн;Москва
ORD-2024-100120;7557;861.66;2024-10-27;Смартфоны;Электронные деньги;Екатеринбург
ORD-2024-100121;8479;4282.27;2024-12-04;Наушники;Карта онлайн;Санкт-Петербург
ORD-2024-100122;5453;1010.94;2024-11-04;Ноутбуки;Наличные;Екатеринбург
ORD-2024-100123;7319;1721.05;2024-12-05;Аксессуары;Наличные;Москва
ORD-2024-100124;8835;10283.42;2024-10-20;Наушники;Карта онлайн;Москва
ORD-2024-100125;7909;10104.52;2024-10-11;Наушники;Карта онлайн;Санкт-Петербург
ORD-2024-100126;3732;1329.73;2024-10-21;Ноутбуки;Наличные;Самара
ORD-2024-100127;2852;1328.73;2024-12-09;Смартфоны;Карта онлайн;Санкт-Петербург
ORD-2024-100128;3171;4654.09;2024-12-03;Смартфоны;Наличные;Санкт-Петербург
ORD-2024-100129;1960;14776.79;2024-12-02;Ноутбуки;Наличные;Казань
ORD-2024-100130;3611;1730.4;2024-10-25;Смартфоны;Электронные деньги;Екатеринбург
ORD-2024-100131;2699;7937.01;2024-10-09;Наушники;Карта онлайн;Москва
ORD-2024-100132;7816;921.02;2024-10-15;Аксессуары;Карта онлайн;Санкт-Петербург
ORD-2024-100133;8908;3811.19;2024-12-01;Аксессуары;Карта онлайн;Москва
ORD-2024-100134;8178;21531.07;2024-10-31;Планшеты;Карта онлайн;Ростов-на-Дону
ORD-2024-100135;3969;477.62;2024-12-18;Смартфоны;Банковский перевод;Москва
ORD-2024-100136;7221;3309.75;2024-10-12;Аксессуары;Карта онлайн;Санкт-Петербург
ORD-2024-100137;6875;2814.51;2024-11-05;Аксессуары;Карта онлайн;Москва
ORD-2024-100138;1472;953.36;2024-10-12;Смартфоны;Наличные;Москва
ORD-2024-100139;3140;6604.76;2024-12-28;Планшеты;Карта онлайн;Новосибирск
ORD-2024-100140;8914;1504.95;2024-10-12;Ноутбуки;Карта онлайн;Москва
ORD-2024-100141;8997;990.5;2024-10-08;Аксессуары;Карта онлайн;Москва
ORD-2024-100142;2850;1013.72;2024-11-18;Умные устройства;Банковский перевод;Санкт-Петербург
ORD-2024-100143;7738;6004.89;2024-12-20;Смартфоны;Карта онлайн;Москва
ORD-2024-100144;8220;2730.59;2024-12-08;Аксессуары;Банковский перевод;Москва
ORD-2024-100145;1753;3645.18;2024-12-26;Наушники;Карта онлайн;Новосибирск
ORD-2024-100146;2037;7269.55;2024-10-14;Умные устройства;Наличные;Новосибирск
ORD-2024-100147;5286;7385.25;2024-10-24;Наушники;Наличные;Нижний Новгород
ORD-2024-100148;6148;1101.26;2024-12-14;Аксессуары;Карта онлайн;Челябинск
ORD-2024-100149;1202;2308.78;2024-12-26;Смартфоны;Карта онлайн;Казань
ORD-2024-100150;9598;1832.57;2024-10-06;Ноутбуки;Карта онлайн;Москва
ORD-2024-100151;4669;5926.5;2024-11-28;Смартфоны;Наличные;Новосибирск
ORD-2024-100152;6542;19182.45;2024-10-16;Умные устройства;Карта онлайн;Челябинск
ORD-2024-100153;9504;8162.17;2024-10-27;Аксессуары;Карта онлайн;Новосибирск
ORD-2024-100154;9570;9395.0;2024-11-27;Аксессуары;Карта онлайн;Санкт-Петербург
ORD-2024-100155;2560;2873.21;2024-11-01;Аксессуары;Карта онлайн;Москва
ORD-2024-100156;8091;1911.16;2024-11-09;Смартфоны;Карта онлайн;Челябинск
ORD-2024-100157;5072;6992.32;2024-12-09;Ноутбуки;Карта онлайн;Казань
ORD-2024-100158;8895;628.31;2024-12-22;Смартфоны;Карта онлайн;Уфа
ORD-2024-100159;6664;2903.94;2024-12-31;Смартфоны;Банковский перевод;Москва
ORD-2024-100160;7305;3899.57;2024-10-29;Смартфоны;Наличные;Москва
ORD-2024-100161;3435;1862.55;2024-11-09;Наушники;Карта онлайн;Москва
ORD-2024-100162;1894;3477.05;2024-10-20;Ноутбуки;Электронные деньги;Новосибирск
ORD-2024-100163;1190;450.0;2024-12-11;Смартфоны;Наличные;Москва
ORD-2024-100164;3571;2437.87;2024-12-04;Смартфоны;Банковский перевод;Москва
ORD-2024-100165;9283;1932.24;2024-12-09;Смартфоны;Карта онлайн;Уфа
ORD-2024-100166;8688;1018.0;2024-10-14;Умные устройства;Карта онлайн;Москва
ORD-2024-100167;9123;1162.1;2024-10-30;Планшеты;Карта онлайн;Челябинск
ORD-2024-100168;3709;3792.51;2024-12-31;Умные устройства;Наличные;Санкт-Петербург
ORD-2024-100169;2226;696.79;2024-12-12;Ноутбуки;Карта онлайн;Челябинск
ORD-2024-100170;9055;3565.05;2024-12-30;Ноутбуки;Карта онлайн;Екатеринбург
ORD-2024-100171;6253;1389.5;2024-11-28;Планшеты;Карта онлайн;Нижний Новгород
ORD-2024-100172;4946;5199.83;2024-10-29;Ноутбуки;Карта онлайн;Самара
ORD-2024-100173;6421;3695.38;2024-11-14;Ноутбуки;Карта онлайн;Москва
ORD-2024-100174;5557;3084.57;2024-12-18;Смартфоны;Карта онлайн;Москва
ORD-2024-100175;1824;5688.68;2024-10-14;Смартфоны;Карта онлайн;Москва
ORD-2024-100176;9305;5861.92;2024-11-24;Ноутбуки;Карта онлайн;Казань
ORD-2024-100177;4648;1173.9;2024-12-10;Ноутбуки;Электронные деньги;Нижний Новгород
ORD-2024-100178;7203;2077.82;2024-12-10;Планшеты;Наличные;Санкт-Петербург
ORD-2024-100179;7607;697.57;2024-10-14;Смартфоны;Банковский перевод;Екатеринбург
ORD-2024-100180;4850;5302.41;2024-12-11;Смартфоны;Наличные;Москва
ORD-2024-100181;2291;3666.04;2024-12-07;Аксессуары;Карта онлайн;Новосибирск
ORD-2024-100182;8521;1355.56;2024-12-31;Смартфоны;Карта онлайн;Ростов-на-Дону
ORD-2024-100183;8277;4755.9;2024-11-03;Ноутбуки;Наличные;Москва
ORD-2024-100184;8341;7208.65;2024-10-22;Аксессуары;Карта онлайн;Санкт-Петербург
ORD-2024-100185;2442;1590.52;2024-11-27;Смартфоны;Карта онлайн;Москва
ORD-2024-100186;9166;11751.6;2024-11-10;Смартфоны;Карта онлайн;Екатеринбург
ORD-2024-100187;8324;988.62;2024-10-07;Наушники;Карта онлайн;Санкт-Петербург
ORD-2024-100188;6178;4743.37;2024-10-02;Ноутбуки;Карта онлайн;Москва
ORD-2024-100189;2944;1354.37;2024-10-16;Наушники;Карта онлайн;Санкт-Петербург
ORD-2024-100190;9148;3286.32;2024-12-15;Аксессуары;Карта онлайн;Москва
ORD-2024-100191;1291;18842.87;2024-12-07;Смартфоны;Наличные;Санкт-Петербург
ORD-2024-100192;2681;6845.45;2024-11-13;Наушники;Карта онлайн;Екатеринбург
ORD-2024-100193;7609;5494.32;2024-10-21;Наушники;Карта онлайн;Москва
ORD-2024-100194;7755;4360.92;2024-12-28;Смартфоны;Карта онлайн;Новосибирск
ORD-2024-100195;1587;854.76;2024-11-14;Наушники;Наличные;Казань
ORD-2024-100196;9996;9638.58;2024-10-26;Ноутбуки;Карта онлайн;Санкт-Петербург
ORD-2024-100197;1002;4022.07;2024-12-02;Наушники;Карта онлайн;Москва
ORD-2024-100198;2489;1876.07;2024-12-04;Смартфоны;Карта онлайн;Новосибирск
ORD-2024-100199;5990;3132.39;2024-12-22;Наушники;Карта онлайн;Самара
ORD-2024-100200;9328;5088.64;2024-12-11;Ноутбуки;Банковский перевод;Москва
ORD-2024-100201;4389;720.21;2024-12-20;Аксессуары;Банковский перевод;Москва
ORD-2024-100202;8474;3311.52;2024-12-14;Смартфоны;Карта онлайн;Москва
ORD-2024-100203;6584;4488.32;2024-12-29;Ноутбуки;Карта онлайн;Екатеринбург
ORD-2024-100204;6953;450.0;2024-10-28;Наушники;Наличные;Москва
ORD-2024-100205;1889;450.0;2024-11-08;Планшеты;Карта онлайн;Санкт-Петербург
ORD-2024-100206;4652;2220.32;2024-11-25;Наушники;Карта онлайн;Казань
ORD-2024-100207;8445;1288.34;2024-12-09;Планшеты;Карта онлайн;Екатеринбург
ORD-2024-100208;6439;7349.46;2024-12-08;Планшеты;Банковский перевод;Санкт-Петербург
ORD-2024-100209;8751;1330.37;2024-10-11;Аксессуары;Карта онлайн;Санкт-Петербург
ORD-2024-100210;6952;4344.56;2024-11-05;Ноутбуки;Карта онлайн;Екатеринбург
ORD-2024-100211;8414;3694.47;2024-10-23;Наушники;Наличные;Москва
ORD-2024-100212;2868;4146.85;2024-10-07;Аксессуары;Карта онлайн;Москва
ORD-2024-100213;2596;891.44;2024-10-14;Умные устройства;Карта онлайн;Нижний Новгород
ORD-2024-100214;4633;5030.13;2024-12-02;Аксессуары;Электронные деньги;Москва
ORD-2024-100215;1035;1242.32;2024-10-14;Ноутбуки;Карта онлайн;Казань
ORD-2024-100216;6592;5025.31;2024-12-31;Смартфоны;Карта онлайн;Самара
ORD-2024-100217;6818;1475.47;2024-12-25;Наушники;Карта онлайн;Москва
ORD-2024-100218;5783;1486.06;2024-12-31;Планшеты;Карта онлайн;Санкт-Петербург
ORD-2024-100219;9973;4606.72;2024-12-28;Наушники;Карта онлайн;Екатеринбург
ORD-2024-100220;9552;5329.88;2024-12-18;Наушники;Карта онлайн;Нижний Новгород
ORD-2024-100221;7125;616.03;2024-12-20;Аксессуары;Карта онлайн;Самара
ORD-2024-100222;2741;19977.04;2024-12-09;Ноутбуки;Наличные;Новосибирск
ORD-2024-100223;1750;2704.87;2024-11-11;Аксессуары;Карта онлайн;Москва
ORD-2024-100224;3689;450.0;2024-12-24;Ноутбуки;Карта онлайн;Казань
ORD-2024-100225;9067;3204.57;2024-10-15;Ноутбуки;Карта онлайн;Санкт-Петербург
ORD-2024-100226;3301;6591.33;2024-12-18;Наушники;Наличные;Санкт-Петербург
ORD-2024-100227;7704;3009.15;2024-10-13;Планшеты;Карта онлайн;Москва
ORD-2024-100228;2752;569.44;2024-12-03;Смартфоны;Карта онлайн;Москва
ORD-2024-100229;5166;1311.41;2024-11-15;Смартфоны;Карта онлайн;Новосибирск
ORD-2024-100230;4209;450.0;2024-10-09;Умные устройства;Карта онлайн;Санкт-Петербург
ORD-2024-100231;4072;2929.49;2024-11-11;Смартфоны;Карта онлайн;Москва
ORD-2024-100232;2978;7924.13;2024-12-09;Наушники;Наличные;Санкт-Петербург
ORD-2024-100233;7437;3315.23;2024-12-09;Наушники;Карта онлайн;Челябинск
ORD-2024-100234;4532;1397.06;2024-12-24;Наушники;Карта онлайн;Новосибирск
ORD-2024-100235;8488;2199.6;2024-12-12;Наушники;Карта онлайн;Москва
ORD-2024-100236;4122;5012.72;2024-10-03;Смартфоны;Наличные;Москва
ORD-2024-100237;6536;11284.07;2024-12-25;Наушники;Карта онлайн;Москва
ORD-2024-100238;2765;3427.61;2024-10-08;Ноутбуки;Карта онлайн;Самара
ORD-2024-100239;7790;1004.15;2024-10-01;Планшеты;Карта онлайн;Екатеринбург
ORD-2024-100240;1761;1117.82;2024-11-16;Смартфоны;Карта онлайн;Санкт-Петербург
ORD-2024-100241;3018;6383.66;2024-12-07;Наушники;Карта онлайн;Екатеринбург
ORD-2024-100242;8381;4721.89;2024-11-12;Смартфоны;Карта онлайн;Санкт-Петербург
ORD-2024-100243;8493;4652.39;2024-10-20;Ноутбуки;Карта онлайн;Новосибирск
ORD-2024-100244;9260;1749.91;2024-12-25;Смартфоны;Карта онлайн;Санкт-Петербург
ORD-2024-100245;3205;7354.58;2024-12-04;Смартфоны;Карта онлайн;Москва
ORD-2024-100246;9172;3714.0;2024-12-19;Аксессуары;Карта онлайн;Москва
ORD-2024-100247;1071;1046.4;2024-12-13;Ноутбуки;Карта онлайн;Санкт-Петербург
ORD-2024-100248;9689;3361.55;2024-11-19;Аксессуары;Наличные;Самара
ORD-2024-100249;1795;15392.9;2024-12-04;Умные устройства;Электронные деньги;Москва
ORD-2024-100250;8091;5032.63;2024-11-22;Наушники;Электронные деньги;Челябинск
ORD-2024-100251;8912;9986.26;2024-11-19;Смартфоны;Банковский перевод;Новосибирск
ORD-2024-100252;9328;10132.59;2024-11-14;Ноутбуки;Карта онлайн;Москва
ORD-2024-100253;3903;1869.1;2024-11-21;Планшеты;Наличные;Москва
ORD-2024-100254;3845;1245.8;2024-12-27;Ноутбуки;Карта онлайн;Москва
ORD-2024-100255;3103;5255.33;2024-12-12;Смартфоны;Карта онлайн;Казань
ORD-2024-100256;2696;2593.8;2024-12-23;Наушники;Карта онлайн;Москва
ORD-2024-100257;7347;450.0;2024-10-06;Аксессуары;Карта онлайн;Санкт-Петербург
ORD-2024-100258;6273;526.97;2024-12-09;Планшеты;Наличные;Санкт-Петербург
ORD-2024-100259;9259;3776.96;2024-12-25;Смартфоны;Карта онлайн;Казань
ORD-2024-100260;7302;450.0;2024-12-24;Планшеты;Карта онлайн;Москва
ORD-2024-100261;7859;4164.35;2024-11-08;Смартфоны;Банковский перевод;Санкт-Петербург
ORD-2024-100262;5067;5473.89;2024-11-29;Смартфоны;Карта онлайн;Санкт-Петербург
ORD-2024-100263;5482;3054.98;2024-12-19;Аксессуары;Карта онлайн;Санкт-Петербург
ORD-2024-100264;7518;3290.73;2024-11-01;Смартфоны;Банковский перевод;Челябинск
ORD-2024-100265;6617;7792.15;2024-11-16;Ноутбуки;Карта онлайн;Москва
ORD-2024-100266;5819;3195.93;2024-10-26;Смартфоны;Карта онлайн;Новосибирск
ORD-2024-100267;8419;2730.02;2024-10-09;Аксессуары;Карта онлайн;Казань
ORD-2024-100268;3185;4119.84;2024-12-09;Планшеты;Карта онлайн;Екатеринбург
ORD-2024-100269;3263;2885.09;2024-12-07;Наушники;Банковский перевод;Казань
ORD-2024-100270;7762;14280.09;2024-10-24;Планшеты;Карта онлайн;Санкт-Петербург
ORD-2024-100271;9393;3489.91;2024-12-08;Смартфоны;Карта онлайн;Москва
ORD-2024-100272;5897;641.54;2024-12-16;Наушники;Карта онлайн;Казань
ORD-2024-100273;9975;1109.98;2024-11-10;Ноутбуки;Карта онлайн;Санкт-Петербург
ORD-2024-100274;6143;912.61;2024-10-23;Смартфоны;Электронные деньги;Екатеринбург
ORD-2024-100275;4560;2992.58;2024-10-22;Наушники;Карта онлайн;Москва
ORD-2024-100276;4291;3905.56;2024-12-17;Аксессуары;Карта онлайн;Нижний Новгород
ORD-2024-100277;4435;1036.58;2024-12-18;Смартфоны;Карта онлайн;Екатеринбург
ORD-2024-100278;5760;589.96;2024-12-09;Ноутбуки;Наличные;Москва
ORD-2024-100279;6657;7758.91;2024-11-24;Смартфоны;Банковский перевод;Санкт-Петербург
ORD-2024-100280;3173;2069.6;2024-10-04;Смартфоны;Карта онлайн;Новосибирск
ORD-2024-100281;3913;1765.03;2024-12-23;Аксессуары;Карта онлайн;Новосибирск
ORD-2024-100282;9255;1356.18;2024-10-07;Наушники;Карта онлайн;Санкт-Петербург
ORD-2024-100283;9888;2476.16;2024-11-19;Наушники;Наличные;Нижний Новгород
ORD-2024-100284;6281;2790.5;2024-12-10;Планшеты;Карта онлайн;Москва
ORD-2024-100285;2890;2287.25;2024-12-10;Смартфоны;Банковский перевод;Санкт-Петербург
ORD-2024-100286;6771;2980.49;2024-10-06;Наушники;Карта онлайн;Нижний Новгород
ORD-2024-100287;8870;510.19;2024-12-05;Ноутбуки;Банковский перевод;Нижний Новгород
ORD-2024-100288;7839;9402.75;2024-10-02;Наушники;Карта онлайн;Казань
ORD-2024-100289;9747;2485.32;2024-12-05;Умные устройства;Карта онлайн;Челябинск
ORD-2024-100290;5684;1533.94;2024-12-04;Планшеты;Карта онлайн;Москва
ORD-2024-100291;7920;2037.95;2024-12-16;Ноутбуки;Карта онлайн;Челябинск
ORD-2024-100292;1209;2881.63;2024-11-02;Аксессуары;Банковский перевод;Москва
ORD-2024-100293;9564;4789.85;2024-10-28;Смартфоны;Наличные;Москва
ORD-2024-100294;2744;9359.66;2024-12-13;Смартфоны;Наличные;Москва
ORD-2024-100295;1414;12279.1;2024-12-22;Смартфоны;Карта онлайн;Санкт-Петербург
ORD-2024-100296;7240;1898.17;2024-10-05;Ноутбуки;Карта онлайн;Москва
ORD-2024-100297;3381;6158.37;2024-12-03;Наушники;Наличные;Москва
ORD-2024-100298;1869;2973.22;2024-11-25;Наушники;Карта онлайн;Москва
ORD-2024-100299;1927;4008.54;2024-12-20;Аксессуары;Карта онлайн;Москва
ORD-2024-100300;4275;5527.94;2024-10-17;Наушники;Карта онлайн;Екатеринбург
ORD-2024-100301;5374;2371.87;2024-12-10;Наушники;Карта онлайн;Санкт-Петербург
ORD-2024-100302;3636;3383.39;2024-12-10;Смартфоны;Карта онлайн;Москва
ORD-2024-100303;5695;566.33;2024-11-24;Смартфоны;Карта онлайн;Новосибирск
ORD-2024-100304;5105;3107.97;2024-10-25;Наушники;Карта онлайн;Нижний Новгород
ORD-2024-100305;3399;5376.04;2024-10-07;Ноутбуки;Электронные деньги;Новосибирск
ORD-2024-100306;2016;1554.29;2024-10-03;Аксессуары;Карта онлайн;Москва
