ticket_id;response_time;priority;channel;operator_id;timestamp;resolved
TIC-001035;2.49;medium;phone;112;2025-08-09 23:34:28;1
TIC-001036;4.57;low;phone;117;2025-08-30 20:17:28;1
TIC-001037;3.28;medium;email;120;2025-08-09 19:37:28;1
TIC-001038;2.48;high;email;101;2025-08-28 20:23:28;1
TIC-001039;1.52;medium;email;107;2025-08-31 22:44:28;1
TIC-001040;1.17;medium;phone;113;2025-08-21 01:39:28;1
TIC-001041;3.77;medium;email;111;2025-09-01 00:35:28;1
TIC-001042;2.27;high;email;105;2025-09-03 00:24:28;1
TIC-001043;4.43;medium;email;104;2025-09-01 15:47:28;1
TIC-001044;1.92;medium;email;101;2025-09-04 22:40:28;1
TIC-001045;2.0;medium;phone;116;2025-08-12 21:59:28;1
TIC-001046;1.38;medium;phone;119;2025-08-11 09:17:28;1
TIC-001047;5.57;medium;email;105;2025-08-15 01:24:28;1
TIC-001048;0.3;high;phone;106;2025-08-22 19:59:28;1
TIC-001049;3.03;medium;email;108;2025-08-25 04:05:28;1
TIC-001050;2.36;medium;phone;109;2025-08-25 21:33:28;1
TIC-001051;9.21;low;email;104;2025-09-01 13:20:28;1
TIC-001052;1.09;medium;phone;120;2025-08-17 01:23:28;1
TIC-001053;5.43;medium;email;105;2025-08-14 08:06:28;1
TIC-001054;5.47;low;chat;109;2025-08-26 00:27:28;1
TIC-001055;5.93;low;email;115;2025-08-08 00:06:28;1
TIC-001056;1.2;medium;phone;105;2025-08-31 10:59:28;1
TIC-001057;5.94;low;email;120;2025-08-19 07:23:28;1
TIC-001058;1.4;high;chat;120;2025-08-08 13:21:28;1
TIC-001059;6.7;low;email;102;2025-08-30 06:28:28;1
TIC-001060;0.48;high;chat;112;2025-08-18 02:48:28;1
TIC-001061;3.46;medium;email;112;2025-08-14 03:58:28;1
TIC-001062;3.18;medium;chat;111;2025-08-30 18:07:28;0
TIC-001063;3.98;medium;email;101;2025-08-06 19:20:28;1
TIC-001064;2.36;medium;email;102;2025-08-13 13:08:28;0
TIC-001065;0.65;high;email;103;2025-08-07 13:48:28;1
TIC-001066;1.76;medium;phone;115;2025-08-25 01:50:28;1
TIC-001067;0.5;high;chat;110;2025-08-25 05:23:28;0
TIC-001068;1.29;medium;phone;116;2025-08-21 02:22:28;1
TIC-001069;8.24;medium;email;109;2025-08-27 16:25:28;1
TIC-001070;1.1;medium;phone;102;2025-08-27 09:37:28;1
TIC-001071;1.75;medium;email;114;2025-08-17 16:45:28;1
TIC-001072;6.35;medium;email;117;2025-08-24 01:06:28;0
TIC-001073;0.46;medium;phone;114;2025-08-12 13:11:28;1
TIC-001074;5.44;low;phone;112;2025-08-11 04:09:28;1
TIC-001075;1.4;high;chat;115;2025-08-10 17:18:28;1
TIC-001076;3.52;medium;email;110;2025-08-24 10:03:28;1
TIC-001077;2.36;medium;phone;104;2025-09-05 02:39:28;1
TIC-001078;2.51;medium;phone;115;2025-08-25 01:49:28;1
TIC-001079;1.39;medium;email;112;2025-08-16 21:38:28;1
TIC-001080;3.63;medium;email;103;2025-09-03 15:47:28;1
TIC-001081;1.46;medium;phone;120;2025-08-10 03:31:28;1
TIC-001082;0.89;medium;phone;109;2025-08-21 16:31:28;1
TIC-001083;0.51;high;chat;113;2025-08-24 12:43:28;0
TIC-001084;0.62;high;email;104;2025-08-27 04:33:28;1
TIC-001085;5.07;low;chat;113;2025-08-30 06:17:28;1
TIC-001086;3.91;medium;email;102;2025-08-28 10:57:28;1
TIC-001087;2.13;low;email;119;2025-08-14 14:02:28;1
TIC-001088;4.25;low;email;117;2025-08-28 02:31:28;0
TIC-001089;7.25;low;email;115;2025-08-25 05:57:28;1
TIC-001090;0.49;high;phone;108;2025-08-10 19:03:28;1
TIC-001091;0.68;medium;phone;109;2025-08-13 02:19:28;1
TIC-001092;1.34;medium;chat;110;2025-08-12 22:55:28;1
TIC-001093;4.06;low;phone;120;2025-08-21 11:08:28;1
TIC-001094;6.76;low;email;104;2025-08-13 03:54:28;1
TIC-001095;3.93;low;chat;104;2025-08-09 00:57:28;1
TIC-001096;3.59;low;phone;105;2025-09-01 18:26:28;1
TIC-001097;1.75;high;email;105;2025-08-06 13:23:28;1
TIC-001098;2.33;high;email;101;2025-08-17 04:15:28;1
TIC-001099;8.63;medium;email;105;2025-09-01 20:14:28;1
TIC-001100;0.73;medium;phone;109;2025-08-11 13:23:28;1
TIC-001101;13.4;low;email;102;2025-08-06 22:19:28;1
TIC-001102;1.53;medium;email;112;2025-08-30 17:16:28;1
TIC-001103;2.31;medium;phone;108;2025-09-02 10:18:28;1
TIC-001104;2.12;low;phone;101;2025-08-14 06:06:28;0
TIC-001105;1.5;low;phone;120;2025-08-20 14:22:28;1
TIC-001106;3.86;medium;email;111;2025-08-30 17:55:28;1
TIC-001107;5.28;medium;email;105;2025-08-06 21:09:28;1
TIC-001108;5.21;medium;email;116;2025-08-31 04:01:28;1
TIC-001109;5.96;medium;email;107;2025-08-28 03:42:28;1
TIC-001110;3.28;medium;email;108;2025-08-07 20:28:28;1
TIC-001111;2.91;medium;email;105;2025-08-20 04:02:28;1
TIC-001112;1.08;medium;phone;114;2025-08-18 05:35:28;1
TIC-001113;10.55;low;email;112;2025-09-05 06:16:28;1
TIC-001114;17.63;low;email;101;2025-08-12 05:36:28;1
TIC-001115;0.47;high;phone;109;2025-08-15 14:24:28;1
TIC-001116;3.66;medium;email;117;2025-08-07 15:58:28;1
TIC-001117;2.64;medium;chat;113;2025-08-07 00:27:28;0
TIC-001118;1.12;low;phone;116;2025-08-07 23:10:28;1
TIC-001119;9.87;low;email;108;2025-09-04 23:29:28;1
TIC-001120;1.82;medium;phone;101;2025-08-19 04:36:28;1
TIC-001121;7.29;low;email;118;2025-09-04 12:49:28;1
TIC-001122;3.96;low;chat;119;2025-09-03 19:01:28;0
TIC-001123;1.38;medium;email;107;2025-08-21 19:46:28;1
TIC-001124;5.65;medium;email;108;2025-08-31 15:10:28;1
TIC-001125;4.63;low;chat;107;2025-08-28 07:53:28;0
TIC-001126;2.16;medium;email;110;2025-09-04 04:57:28;1
TIC-001127;2.65;medium;chat;115;2025-08-24 15:00:28;1
TIC-001128;1.48;medium;phone;101;2025-08-22 16:55:28;1
TIC-001129;2.31;medium;email;101;2025-09-03 19:31:28;1
TIC-001130;0.88;medium;phone;106;2025-08-15 14:10:28;1
TIC-001131;13.78;low;email;103;2025-08-12 07:07:28;0
TIC-001132;9.85;medium;email;119;2025-08-27 23:29:28;1
TIC-001133;0.96;high;email;108;2025-08-15 12:20:28;1
TIC-001134;8.09;medium;email;119;2025-09-04 06:25:28;1
TIC-001135;2.68;medium;email;107;2025-08-25 14:42:28;1
TIC-001136;1.25;medium;phone;120;2025-08-21 23:33:28;1
TIC-001137;3.81;low;phone;115;2025-08-10 15:39:28;1
TIC-001138;0.27;medium;phone;107;2025-09-04 17:07:28;1
TIC-001139;2.29;medium;email;118;2025-08-23 09:44:28;1
TIC-001140;3.83;medium;email;120;2025-09-02 20:19:28;1
TIC-001141;2.77;medium;phone;101;2025-08-10 11:23:28;1
TIC-001142;1.37;high;email;104;2025-08-07 10:37:28;0
TIC-001143;9.86;medium;email;115;2025-08-18 21:09:28;1
TIC-001144;0.69;medium;phone;112;2025-08-10 19:20:28;1
TIC-001145;2.95;low;email;111;2025-08-26 10:03:28;1
TIC-001146;8.28;low;email;111;2025-09-02 01:19:28;1
TIC-001147;5.51;medium;email;102;2025-08-09 20:29:28;1
TIC-001148;3.88;medium;email;108;2025-08-17 00:57:28;1
TIC-001149;2.22;medium;chat;113;2025-08-30 18:13:28;1
TIC-001150;7.88;low;email;111;2025-08-07 07:22:28;1
TIC-001151;0.56;medium;phone;105;2025-08-11 02:59:28;1
TIC-001152;0.97;high;email;118;2025-08-14 23:42:28;1
TIC-001153;2.08;medium;chat;102;2025-08-14 01:42:28;1
TIC-001154;3.21;medium;email;113;2025-08-20 22:24:28;1
TIC-001155;1.47;low;phone;107;2025-08-17 03:46:28;0
TIC-001156;1.1;medium;phone;119;2025-09-01 20:50:28;0
TIC-001157;4.72;low;chat;113;2025-09-03 20:05:28;1
TIC-001158;3.4;low;email;118;2025-08-13 21:04:28;1
TIC-001159;14.34;medium;email;117;2025-08-08 11:43:28;1
TIC-001160;0.32;high;phone;112;2025-08-22 02:01:28;1
TIC-001161;6.79;low;chat;103;2025-09-03 09:15:28;0
TIC-001162;7.89;low;email;114;2025-08-31 21:22:28;1
TIC-001163;1.85;medium;email;103;2025-08-17 02:59:28;1
TIC-001164;2.02;medium;email;119;2025-08-17 00:27:28;1
TIC-001165;6.2;low;email;115;2025-09-03 05:23:28;1
TIC-001166;1.45;low;phone;119;2025-08-10 07:13:28;1
TIC-001167;12.79;low;email;109;2025-08-14 15:07:28;1
TIC-001168;13.27;low;email;105;2025-08-28 02:41:28;0
TIC-001169;7.92;medium;email;115;2025-08-27 20:40:28;1
TIC-001170;14.13;medium;email;110;2025-08-15 16:28:28;1
TIC-001171;5.04;medium;email;113;2025-08-10 17:47:28;1
TIC-001172;6.8;medium;email;115;2025-08-10 16:29:28;1
TIC-001173;0.75;high;chat;114;2025-08-07 16:32:28;0
TIC-001174;1.82;medium;email;102;2025-08-12 02:58:28;1
TIC-001175;2.12;medium;email;106;2025-08-29 23:51:28;1
TIC-001176;2.57;low;phone;116;2025-08-24 21:43:28;1
TIC-001177;2.27;medium;chat;116;2025-09-03 05:46:28;0
TIC-001178;0.72;high;chat;108;2025-08-19 00:11:28;1
TIC-001179;1.52;medium;phone;117;2025-08-24 16:33:28;1
TIC-001180;17.01;low;email;112;2025-08-14 01:29:28;1
TIC-001181;2.27;low;phone;111;2025-08-24 10:40:28;1
TIC-001182;5.2;medium;email;119;2025-08-13 09:44:28;1
TIC-001183;6.1;low;email;111;2025-08-10 17:27:28;0
TIC-001184;0.62;medium;phone;114;2025-09-03 12:27:28;1
TIC-001185;0.43;high;phone;101;2025-08-07 02:36:28;1
TIC-001186;0.72;high;chat;108;2025-08-23 23:59:28;1
TIC-001187;6.94;medium;email;107;2025-08-20 00:13:28;1
TIC-001188;0.63;high;phone;118;2025-08-07 13:02:28;1
TIC-001189;9.07;low;email;115;2025-08-10 19:48:28;1
TIC-001190;4.76;medium;email;101;2025-08-11 09:13:28;1
TIC-001191;2.62;low;phone;102;2025-08-27 22:34:28;1
TIC-001192;0.58;high;phone;109;2025-08-28 20:38:28;1
TIC-001193;2.89;high;email;102;2025-08-12 16:35:28;1
TIC-001194;2.53;medium;email;116;2025-08-08 01:28:28;0
TIC-001195;1.63;medium;chat;113;2025-09-02 12:54:28;1
TIC-001196;4.14;medium;email;113;2025-08-06 12:11:28;1
TIC-001197;3.79;medium;email;114;2025-09-02 22:43:28;1
TIC-001198;1.34;high;chat;116;2025-08-11 00:47:28;1
TIC-001199;3.64;medium;phone;101;2025-08-27 22:47:28;1
TIC-001200;4.36;medium;chat;117;2025-09-01 18:31:28;1
TIC-001201;0.82;medium;phone;110;2025-08-12 19:21:28;1
TIC-001202;5.32;low;chat;103;2025-08-20 18:17:28;1
TIC-001203;0.76;high;phone;108;2025-08-28 06:54:28;1
TIC-001204;3.53;medium;email;120;2025-08-21 05:14:28;1
TIC-001205;1.07;high;email;107;2025-08-14 16:29:28;1
TIC-001206;3.4;medium;email;103;2025-09-01 03:55:28;1
TIC-001207;4.69;medium;email;108;2025-08-17 17:43:28;1
TIC-001208;12.08;medium;email;106;2025-08-18 10:40:28;1
TIC-001209;3.92;medium;chat;115;2025-09-02 03:45:28;1
TIC-001210;2.95;medium;phone;105;2025-09-05 00:55:28;1
TIC-001211;11.71;low;email;109;2025-08-27 23:14:28;0
TIC-001212;10.04;low;email;115;2025-08-21 08:17:28;0
TIC-001213;4.97;medium;email;109;2025-08-21 13:56:28;1
TIC-001214;6.78;low;chat;113;2025-08-27 00:14:28;1
TIC-001215;3.62;medium;email;118;2025-08-28 16:35:28;1
TIC-001216;2.87;medium;email;104;2025-08-09 11:21:28;1
TIC-001217;0.42;high;email;112;2025-08-23 18:42:28;1
TIC-001218;39.99;low;email;115;2025-08-23 22:48:28;1
TIC-001219;4.34;medium;email;116;2025-08-23 21:45:28;1
TIC-001220;2.41;medium;phone;109;2025-08-24 09:05:28;1
TIC-001221;0.74;medium;phone;112;2025-08-19 12:53:28;1
TIC-001222;2.25;medium;chat;111;2025-08-31 16:13:28;1
TIC-001223;2.9;medium;chat;110;2025-08-26 05:36:28;1
TIC-001224;0.33;high;phone;116;2025-08-26 16:01:28;1
TIC-001225;1.28;medium;phone;118;2025-08-20 06:03:28;1
TIC-001226;0.46;high;chat;118;2025-08-31 20:17:28;1
TIC-001227;16.25;low;email;110;2025-09-01 05:40:28;1
TIC-001228;6.06;medium;email;114;2025-08-13 17:17:28;1
TIC-001229;4.59;low;chat;102;2025-08-17 05:02:28;1
TIC-001230;8.65;medium;email;118;2025-08-15 02:59:28;1
TIC-001231;2.72;low;phone;117;2025-08-15 02:38:28;1
TIC-001232;3.45;low;chat;102;2025-08-21 06:21:28;1
TIC-001233;0.86;high;chat;114;2025-08-23 04:03:28;1
TIC-001234;1.1;low;phone;102;2025-08-11 08:24:28;1
TIC-001235;1.59;medium;phone;108;2025-09-02 16:56:28;1
TIC-001236;2.77;medium;email;107;2025-08-10 03:25:28;0
TIC-001237;1.23;medium;phone;101;2025-09-02 06:49:28;0
TIC-001238;2.87;medium;email;117;2025-09-04 22:18:28;1
TIC-001239;3.53;medium;email;109;2025-08-26 00:07:28;1
TIC-001240;0.7;medium;phone;116;2025-08-31 12:22:28;1
TIC-001241;2.31;low;phone;112;2025-08-24 07:19:28;1
TIC-001242;2.07;medium;phone;103;2025-08-22 15:11:28;1
TIC-001243;1.85;medium;phone;109;2025-08-13 18:27:28;1
TIC-001244;2.78;medium;email;111;2025-08-21 15:44:28;1
TIC-001245;0.44;high;phone;118;2025-08-19 19:55:28;1
TIC-001246;3.41;high;email;103;2025-08-25 23:15:28;1
TIC-001247;8.09;low;chat;114;2025-08-23 02:58:28;0
TIC-001248;3.61;low;phone;107;2025-08-18 11:49:28;1
TIC-001249;2.06;medium;email;119;2025-08-07 11:06:28;1
TIC-001250;3.61;medium;email;114;2025-09-02 19:59:28;1
TIC-001251;2.07;medium;email;118;2025-08-25 13:16:28;0
TIC-001252;2.48;medium;email;102;2025-08-16 14:53:28;1
TIC-001253;1.84;medium;email;119;2025-08-11 11:13:28;0
TIC-001254;9.32;medium;email;105;2025-08-22 15:21:28;1
TIC-001255;1.21;high;email;116;2025-08-30 16:28:28;1
TIC-001256;4.29;medium;email;113;2025-08-14 17:22:28;1
TIC-001257;9.95;low;email;105;2025-08-08 22:47:28;1
TIC-001258;1.47;medium;email;104;2025-08-17 20:28:28;1
TIC-001259;7.53;low;phone;114;2025-08-12 14:44:28;1
TIC-001260;5.32;medium;email;102;2025-08-08 10:32:28;1
TIC-001261;6.67;medium;email;116;2025-08-17 08:57:28;1
TIC-001262;4.94;medium;email;120;2025-08-12 10:57:28;1
TIC-001263;9.22;medium;email;105;2025-08-29 16:58:28;1
TIC-001264;8.82;low;email;115;2025-08-07 06:33:28;1
TIC-001265;5.96;low;email;112;2025-08-18 09:00:28;1
TIC-001266;0.8;medium;chat;109;2025-08-12 22:30:28;0
TIC-001267;4.78;medium;email;110;2025-08-13 02:14:28;1
TIC-001268;1.6;medium;chat;106;2025-09-01 22:19:28;1
TIC-001269;2.66;medium;email;114;2025-08-16 03:02:28;1
TIC-001270;0.55;high;chat;107;2025-08-25 09:07:28;0
TIC-001271;3.45;medium;phone;105;2025-08-13 06:16:28;1
TIC-001272;1.08;medium;phone;105;2025-08-14 17:35:28;1
TIC-001273;2.02;high;email;109;2025-09-03 14:09:28;1
TIC-001274;5.44;low;chat;111;2025-08-08 14:52:28;1
TIC-001275;2.4;medium;chat;117;2025-09-02 13:23:28;1
TIC-001276;3.83;medium;email;106;2025-08-08 01:07:28;1
TIC-001277;2.33;low;phone;110;2025-08-25 09:09:28;1
TIC-001278;6.47;low;chat;109;2025-08-11 11:02:28;1
TIC-001279;1.81;medium;email;107;2025-08-29 05:08:28;1
TIC-001280;2.85;medium;phone;102;2025-08-15 16:02:28;1
TIC-001281;0.77;medium;phone;115;2025-08-28 02:40:28;1
TIC-001282;5.24;medium;email;110;2025-08-30 08:39:28;0
TIC-001283;1.2;medium;chat;120;2025-08-21 06:58:28;1
TIC-001284;6.79;low;email;118;2025-08-14 23:56:28;1
TIC-001285;1.42;low;phone;108;2025-08-31 19:10:28;0
TIC-001286;1.12;high;chat;108;2025-08-25 00:24:28;1
TIC-001287;1.98;high;email;115;2025-08-22 06:12:28;1
TIC-001288;1.04;high;email;112;2025-08-29 00:20:28;1
TIC-001289;3.12;medium;email;110;2025-09-02 01:11:28;1
TIC-001290;3.41;medium;email;104;2025-08-23 21:13:28;1
TIC-001291;3.67;medium;email;104;2025-08-15 03:03:28;1
TIC-001292;2.13;medium;email;107;2025-08-17 10:45:28;1
TIC-001293;8.42;medium;email;105;2025-08-30 19:55:28;1
TIC-001294;1.83;medium;phone;102;2025-09-02 23:37:28;1
TIC-001295;4.63;low;email;104;2025-08-28 03:00:28;1
TIC-001296;10.62;low;email;108;2025-08-23 05:10:28;1
TIC-001297;3.8;medium;chat;120;2025-08-18 14:59:28;1
TIC-001298;0.71;high;email;111;2025-08-08 00:49:28;1
TIC-001299;0.83;medium;phone;115;2025-08-29 11:44:28;1
TIC-001300;3.86;medium;chat;119;2025-08-31 14:45:28;1
TIC-001301;3.9;medium;email;120;2025-08-28 19:42:28;1
TIC-001302;15.77;low;email;104;2025-09-02 06:12:28;1
TIC-001303;2.98;low;chat;112;2025-08-17 11:50:28;1
TIC-001304;2.55;medium;chat;112;2025-08-15 08:22:28;1
TIC-001305;1.61;medium;phone;106;2025-08-13 08:14:28;1
TIC-001306;1.82;medium;email;106;2025-09-03 12:15:28;0
TIC-001307;0.85;medium;phone;111;2025-09-04 09:55:28;1
TIC-001308;3.42;medium;chat;109;2025-08-29 22:24:28;1
TIC-001309;3.31;medium;email;107;2025-08-27 02:27:28;1
TIC-001310;6.37;medium;email;106;2025-08-17 21:03:28;1
TIC-001311;0.27;high;phone;103;2025-08-30 11:52:28;1
TIC-001312;5.85;medium;email;101;2025-08-21 14:31:28;1
TIC-001313;0.94;medium;chat;106;2025-08-21 21:55:28;0
TIC-001314;6.36;medium;email;117;2025-08-30 20:08:28;1
TIC-001315;1.74;high;email;102;2025-08-19 19:42:28;1
TIC-001316;0.93;low;phone;118;2025-08-21 07:37:28;1
TIC-001317;2.08;medium;phone;120;2025-08-29 16:52:28;0
TIC-001318;3.16;medium;email;112;2025-09-05 09:03:28;1
TIC-001319;9.06;low;email;102;2025-08-14 21:27:28;0
TIC-001320;14.68;low;email;105;2025-08-12 20:59:28;1
TIC-001321;1.09;medium;phone;116;2025-08-08 00:22:28;0
TIC-001322;5.11;medium;email;113;2025-08-23 07:10:28;1
TIC-001323;2.72;low;phone;106;2025-08-26 19:59:28;1
TIC-001324;11.89;low;email;101;2025-08-27 21:00:28;1
TIC-001325;2.15;medium;email;107;2025-08-14 00:48:28;1
TIC-001326;3.34;medium;email;113;2025-08-10 13:14:28;1
TIC-001327;0.65;high;phone;117;2025-08-10 08:19:28;1
TIC-001328;6.05;low;chat;110;2025-08-13 04:19:28;1
TIC-001329;5.37;medium;email;104;2025-08-21 04:20:28;1
TIC-001330;7.26;low;email;103;2025-08-19 23:34:28;1
TIC-001331;6.67;medium;email;116;2025-08-14 22:18:28;1
TIC-001332;1.06;medium;chat;119;2025-08-17 21:20:28;1
TIC-001333;2.56;medium;email;114;2025-08-10 13:42:28;1
TIC-001334;0.99;high;phone;108;2025-08-21 11:20:28;1
TIC-001335;5.18;medium;chat;105;2025-08-09 21:53:28;1
TIC-001336;9.76;low;chat;109;2025-08-16 06:35:28;1
TIC-001337;3.72;medium;email;101;2025-08-31 06:20:28;1
TIC-001338;1.12;medium;chat;103;2025-08-25 23:10:28;1
TIC-001339;4.19;medium;email;119;2025-08-09 11:28:28;1
TIC-001340;6.96;medium;email;115;2025-08-28 19:15:28;1
TIC-001341;1.72;low;phone;114;2025-09-03 01:31:28;1
TIC-001342;6.24;low;chat;114;2025-09-04 05:01:28;1
TIC-001343;2.17;medium;email;116;2025-09-03 02:50:28;1
TIC-001344;1.69;medium;phone;116;2025-08-17 17:31:28;1
TIC-001345;1.16;medium;email;104;2025-08-12 04:17:28;1
TIC-001346;2.43;medium;phone;105;2025-08-15 04:02:28;1
TIC-001347;3.84;medium;phone;105;2025-08-15 23:38:28;1
TIC-001348;4.37;medium;email;103;2025-08-14 12:41:28;1
TIC-001349;3.49;medium;email;110;2025-08-08 06:05:28;1
TIC-001350;11.19;medium;chat;109;2025-08-10 20:57:28;1
TIC-001351;2.0;low;chat;119;2025-08-29 15:37:28;1
TIC-001352;0.47;medium;phone;118;2025-08-07 03:58:28;1
TIC-001353;2.79;medium;chat;110;2025-08-23 19:57:28;1
TIC-001354;2.68;medium;phone;120;2025-08-21 18:31:28;1
TIC-001355;1.92;medium;email;110;2025-08-22 22:16:28;1
TIC-001356;0.89;high;phone;120;2025-08-19 03:13:28;1
TIC-001357;3.43;medium;email;101;2025-08-17 14:21:28;1
TIC-001358;2.4;medium;email;107;2025-08-20 04:44:28;1
TIC-001359;0.75;medium;phone;112;2025-09-04 18:20:28;0
TIC-001360;6.77;medium;email;111;2025-08-25 14:13:28;1
TIC-001361;3.25;medium;chat;106;2025-08-11 05:16:28;1
TIC-001362;11.5;low;email;113;2025-08-09 06:27:28;1
TIC-001363;1.48;medium;phone;105;2025-08-13 05:09:28;1
TIC-001364;2.77;medium;chat;108;2025-08-26 11:48:28;1
TIC-001365;2.7;medium;email;114;2025-08-09 12:02:28;0
TIC-001366;2.3;medium;chat;106;2025-09-03 10:57:28;1
TIC-001367;1.53;high;email;109;2025-08-29 12:57:28;1
TIC-001368;13.66;low;email;108;2025-08-27 21:14:28;1
TIC-001369;4.42;low;phone;113;2025-08-25 06:41:28;1
TIC-001370;0.28;high;phone;110;2025-08-12 22:35:28;1
TIC-001371;1.61;medium;phone;118;2025-08-23 18:15:28;1
TIC-001372;1.48;medium;chat;106;2025-08-18 21:52:28;1
TIC-001373;3.5;high;email;117;2025-08-20 15:30:28;1
TIC-001374;3.99;medium;email;109;2025-08-17 01:44:28;0
TIC-001375;2.35;low;phone;101;2025-08-14 13:57:28;1
TIC-001376;0.91;high;phone;120;2025-08-19 21:01:28;1
TIC-001377;9.07;low;email;111;2025-09-03 02:58:28;1
TIC-001378;1.66;low;phone;110;2025-08-08 17:06:28;1
TIC-001379;0.75;medium;phone;108;2025-08-29 07:06:28;1
TIC-001380;0.62;high;email;108;2025-09-01 22:03:28;1
TIC-001381;1.31;medium;email;107;2025-08-22 16:36:28;1
TIC-001382;9.71;low;email;105;2025-08-11 04:09:28;1
TIC-001383;1.67;high;email;116;2025-08-11 03:00:28;1
TIC-001384;3.45;medium;email;120;2025-09-05 07:51:28;1
TIC-001385;1.45;medium;phone;106;2025-08-11 10:36:28;1
TIC-001386;3.38;medium;email;113;2025-08-19 23:29:28;1
TIC-001387;2.22;medium;phone;101;2025-09-01 03:03:28;1
TIC-001388;0.39;high;phone;104;2025-08-30 07:41:28;1
TIC-001389;1.87;medium;email;107;2025-08-09 22:00:28;1
TIC-001390;6.68;medium;email;107;2025-08-27 10:03:28;1
TIC-001391;1.32;high;email;118;2025-08-30 19:38:28;1
TIC-001392;3.63;low;chat;106;2025-08-18 14:42:28;1
TIC-001393;1.09;high;email;114;2025-09-04 07:29:28;1
TIC-001394;4.77;low;email;120;2025-09-05 03:34:28;1
TIC-001395;2.05;high;email;115;2025-08-25 21:43:28;1
TIC-001396;4.07;medium;chat;119;2025-09-05 09:56:28;1
TIC-001397;2.19;medium;email;101;2025-08-15 16:00:28;1
TIC-001398;1.41;medium;email;103;2025-08-23 23:47:28;0
TIC-001399;1.34;medium;phone;107;2025-08-31 00:46:28;1
TIC-001400;2.41;medium;chat;110;2025-08-28 03:50:28;1
TIC-001401;1.58;medium;phone;117;2025-08-21 07:17:28;0
TIC-001402;4.7;high;email;103;2025-08-12 19:21:28;1
TIC-001403;3.3;medium;email;114;2025-09-01 20:00:28;1
TIC-001404;2.94;medium;email;102;2025-08-13 17:12:28;0
TIC-001405;0.34;medium;phone;101;2025-08-31 17:29:28;1
TIC-001406;13.06;low;email;102;2025-09-04 09:01:28;1
TIC-001407;1.92;medium;chat;108;2025-08-12 11:07:28;1
TIC-001408;0.93;high;chat;101;2025-08-18 11:28:28;1
TIC-001409;1.58;medium;phone;110;2025-08-17 14:33:28;1
TIC-001410;1.56;high;email;106;2025-08-31 07:16:28;1
TIC-001411;1.14;high;email;101;2025-08-08 14:45:28;1
TIC-001412;17.97;low;email;107;2025-08-14 08:06:28;1
TIC-001413;8.56;low;email;108;2025-08-12 23:29:28;1
TIC-001414;4.61;medium;email;115;2025-08-25 05:59:28;1
TIC-001415;2.1;medium;phone;102;2025-09-03 03:33:28;0
TIC-001416;2.89;medium;email;104;2025-08-17 22:54:28;1
TIC-001417;5.35;medium;email;110;2025-08-07 11:27:28;1
TIC-001418;2.26;low;phone;106;2025-08-20 13:39:28;0
TIC-001419;2.14;low;chat;104;2025-09-02 22:12:28;1
TIC-001420;3.91;medium;chat;117;2025-08-10 20:41:28;1
