order_id;city;region;order_amount;delivery_days;customer_type;order_month
REG-МОС-000045;Москва;Центральный;3516.96;1;returning;2024-11
REG-МОС-000046;Москва;Центральный;1616.18;2;new;2024-10
REG-МОС-000047;Москва;Центральный;4635.62;4;new;2024-12
REG-МОС-000048;Москва;Центральный;3575.51;2;new;2024-10
REG-МОС-000049;Москва;Центральный;3723.94;1;new;2024-10
REG-МОС-000050;Москва;Центральный;1674.19;1;returning;2024-11
REG-МОС-000051;Москва;Центральный;1014.75;1;new;2024-11
REG-МОС-000052;Москва;Центральный;2495.19;3;returning;2024-11
REG-МОС-000053;Москва;Центральный;3643.07;1;returning;2024-10
REG-МОС-000054;Москва;Центральный;3136.21;2;returning;2024-10
REG-МОС-000055;Москва;Центральный;4573.32;3;returning;2024-11
REG-МОС-000056;Москва;Центральный;5825.11;2;returning;2024-11
REG-МОС-000057;Москва;Центральный;4082.45;2;returning;2024-10
REG-МОС-000058;Москва;Центральный;4876.08;1;new;2024-12
REG-МОС-000059;Москва;Центральный;2889.09;1;new;2024-10
REG-МОС-000060;Москва;Центральный;3974.6;1;new;2024-10
REG-МОС-000061;Москва;Центральный;5311.48;2;new;2024-10
REG-МОС-000062;Москва;Центральный;5446.16;1;new;2024-11
REG-МОС-000063;Москва;Центральный;2232.76;3;returning;2024-12
REG-МОС-000064;Москва;Центральный;3232.68;3;new;2024-10
REG-МОС-000065;Москва;Центральный;3627.71;1;returning;2024-11
REG-МОС-000066;Москва;Центральный;7844.97;1;returning;2024-10
REG-МОС-000067;Москва;Центральный;2204.12;2;returning;2024-10
REG-МОС-000068;Москва;Центральный;2028.81;1;returning;2024-10
REG-МОС-000069;Москва;Центральный;2179.99;2;returning;2024-11
REG-МОС-000070;Москва;Центральный;9327.23;2;new;2024-12
REG-МОС-000071;Москва;Центральный;2227.94;3;new;2024-10
REG-МОС-000072;Москва;Центральный;2352.57;1;returning;2024-11
REG-МОС-000073;Москва;Центральный;3941.04;3;returning;2024-12
REG-МОС-000074;Москва;Центральный;3314.84;1;returning;2024-11
REG-МОС-000075;Москва;Центральный;10214.35;1;new;2024-11
REG-МОС-000076;Москва;Центральный;2418.83;1;new;2024-12
REG-МОС-000077;Москва;Центральный;4215.3;1;returning;2024-11
REG-МОС-000078;Москва;Центральный;4815.21;1;new;2024-10
REG-МОС-000079;Москва;Центральный;2728.14;1;returning;2024-12
REG-МОС-000080;Москва;Центральный;3160.04;2;returning;2024-11
REG-МОС-000081;Москва;Центральный;3144.28;2;new;2024-10
REG-МОС-000082;Москва;Центральный;2171.83;1;returning;2024-11
REG-МОС-000083;Москва;Центральный;3192.39;2;returning;2024-11
REG-МОС-000084;Москва;Центральный;3277.37;1;returning;2024-10
REG-МОС-000085;Москва;Центральный;3318.76;2;returning;2024-11
REG-МОС-000086;Москва;Центральный;3011.9;1;returning;2024-12
REG-МОС-000087;Москва;Центральный;4148.62;1;new;2024-12
REG-МОС-000088;Москва;Центральный;2199.05;1;new;2024-11
REG-МОС-000089;Москва;Центральный;2391.15;2;new;2024-11
REG-МОС-000090;Москва;Центральный;6535.72;2;new;2024-10
REG-МОС-000091;Москва;Центральный;3539.16;3;returning;2024-11
REG-МОС-000092;Москва;Центральный;3664.48;2;new;2024-12
REG-МОС-000093;Москва;Центральный;3439.47;1;new;2024-11
REG-МОС-000094;Москва;Центральный;4003.6;4;returning;2024-10
REG-МОС-000095;Москва;Центральный;1653.23;1;returning;2024-10
REG-МОС-000096;Москва;Центральный;2088.93;1;new;2024-11
REG-МОС-000097;Москва;Центральный;5899.51;1;returning;2024-10
REG-МОС-000098;Москва;Центральный;4593.46;1;returning;2024-10
REG-МОС-000099;Москва;Центральный;2318.05;1;new;2024-12
REG-МОС-000100;Москва;Центральный;6590.78;2;returning;2024-10
REG-МОС-000101;Москва;Центральный;1892.49;3;new;2024-12
REG-МОС-000102;Москва;Центральный;2810.61;2;returning;2024-10
REG-МОС-000103;Москва;Центральный;3276.11;1;returning;2024-11
REG-МОС-000104;Москва;Центральный;2115.47;3;returning;2024-11
REG-МОС-000105;Москва;Центральный;5118.19;1;new;2024-12
REG-МОС-000106;Москва;Центральный;3550.69;1;new;2024-12
REG-МОС-000107;Москва;Центральный;5663.99;1;returning;2024-11
REG-МОС-000108;Москва;Центральный;2179.44;2;returning;2024-11
REG-МОС-000109;Москва;Центральный;5799.1;2;returning;2024-12
REG-МОС-000110;Москва;Центральный;4259.71;1;returning;2024-12
REG-МОС-000111;Москва;Центральный;1689.09;1;returning;2024-10
REG-МОС-000112;Москва;Центральный;5411.61;1;returning;2024-10
REG-МОС-000113;Москва;Центральный;4837.03;1;returning;2024-12
REG-МОС-000114;Москва;Центральный;3176.81;1;returning;2024-11
REG-МОС-000115;Москва;Центральный;2716.56;1;returning;2024-10
REG-МОС-000116;Москва;Центральный;2730.07;1;new;2024-12
REG-МОС-000117;Москва;Центральный;1371.21;2;returning;2024-10
REG-МОС-000118;Москва;Центральный;4264.36;1;returning;2024-10
REG-МОС-000119;Москва;Центральный;1751.61;4;new;2024-11
REG-МОС-000120;Москва;Центральный;3637.27;1;new;2024-12
REG-МОС-000121;Москва;Центральный;2583.09;1;new;2024-11
REG-МОС-000122;Москва;Центральный;2226.49;3;returning;2024-11
REG-МОС-000123;Москва;Центральный;3631.44;2;returning;2024-11
REG-МОС-000124;Москва;Центральный;2986.79;3;returning;2024-12
REG-МОС-000125;Москва;Центральный;2655.14;2;returning;2024-12
REG-МОС-000126;Москва;Центральный;4082.88;1;returning;2024-12
REG-МОС-000127;Москва;Центральный;1121.71;1;new;2024-11
REG-МОС-000128;Москва;Центральный;10166.55;2;new;2024-12
REG-МОС-000129;Москва;Центральный;4536.9;3;returning;2024-11
REG-МОС-000130;Москва;Центральный;1823.39;1;new;2024-11
REG-МОС-000131;Москва;Центральный;1841.82;4;returning;2024-12
REG-МОС-000132;Москва;Центральный;1943.0;3;new;2024-10
REG-МОС-000133;Москва;Центральный;2301.81;2;returning;2024-10
REG-МОС-000134;Москва;Центральный;6039.42;2;new;2024-11
REG-МОС-000135;Москва;Центральный;2996.14;4;new;2024-12
REG-МОС-000136;Москва;Центральный;1279.15;1;new;2024-12
REG-МОС-000137;Москва;Центральный;2741.06;3;returning;2024-10
REG-МОС-000138;Москва;Центральный;2487.64;3;new;2024-11
REG-МОС-000139;Москва;Центральный;1352.48;3;returning;2024-10
REG-МОС-000140;Москва;Центральный;5002.48;1;new;2024-11
REG-МОС-000141;Москва;Центральный;3145.28;1;returning;2024-12
REG-МОС-000142;Москва;Центральный;4007.76;3;returning;2024-10
REG-МОС-000143;Москва;Центральный;2274.21;2;returning;2024-11
REG-МОС-000144;Москва;Центральный;3618.16;2;returning;2024-12
REG-МОС-000145;Москва;Центральный;6624.81;2;new;2024-11
REG-МОС-000146;Москва;Центральный;1743.08;2;new;2024-12
REG-МОС-000147;Москва;Центральный;7125.15;2;returning;2024-11
REG-МОС-000148;Москва;Центральный;6291.36;1;new;2024-12
REG-МОС-000149;Москва;Центральный;3936.48;1;returning;2024-11
REG-МОС-000150;Москва;Центральный;2359.01;2;new;2024-10
REG-МОС-000151;Москва;Центральный;4472.8;2;returning;2024-10
REG-МОС-000152;Москва;Центральный;6069.71;1;new;2024-11
REG-МОС-000153;Москва;Центральный;6672.7;1;returning;2024-12
REG-МОС-000154;Москва;Центральный;1731.25;3;new;2024-12
REG-МОС-000155;Москва;Центральный;1834.78;3;returning;2024-12
REG-МОС-000156;Москва;Центральный;1074.76;1;new;2024-11
REG-МОС-000157;Москва;Центральный;4961.4;2;new;2024-11
REG-МОС-000158;Москва;Центральный;857.33;1;new;2024-11
REG-МОС-000159;Москва;Центральный;1356.99;2;returning;2024-10
REG-МОС-000160;Москва;Центральный;3282.92;1;new;2024-10
REG-МОС-000161;Москва;Центральный;3033.73;1;returning;2024-11
REG-МОС-000162;Москва;Центральный;2216.98;3;returning;2024-12
REG-МОС-000163;Москва;Центральный;2505.05;1;returning;2024-12
REG-МОС-000164;Москва;Центральный;5657.88;1;new;2024-12
REG-МОС-000165;Москва;Центральный;6705.82;3;returning;2024-11
REG-МОС-000166;Москва;Центральный;1925.89;3;returning;2024-10
REG-МОС-000167;Москва;Центральный;1085.61;2;returning;2024-10
REG-МОС-000168;Москва;Центральный;1932.6;2;returning;2024-10
REG-МОС-000169;Москва;Центральный;3745.6;1;new;2024-10
REG-МОС-000170;Москва;Центральный;1852.68;3;returning;2024-12
REG-МОС-000171;Москва;Центральный;3150.3;1;returning;2024-11
REG-МОС-000172;Москва;Центральный;2475.65;1;returning;2024-12
REG-МОС-000173;Москва;Центральный;3045.02;2;new;2024-10
REG-МОС-000174;Москва;Центральный;5160.68;3;new;2024-12
REG-МОС-000175;Москва;Центральный;2857.48;2;new;2024-11
REG-МОС-000176;Москва;Центральный;2894.56;3;returning;2024-12
REG-МОС-000177;Москва;Центральный;2995.01;2;returning;2024-11
REG-МОС-000178;Москва;Центральный;3159.0;2;returning;2024-11
REG-МОС-000179;Москва;Центральный;4388.09;3;returning;2024-10
REG-МОС-000180;Москва;Центральный;5864.21;2;returning;2024-11
REG-МОС-000181;Москва;Центральный;3131.84;1;returning;2024-10
REG-МОС-000182;Москва;Центральный;5297.56;2;new;2024-10
REG-МОС-000183;Москва;Центральный;10957.23;1;returning;2024-12
REG-МОС-000184;Москва;Центральный;6847.6;3;returning;2024-12
REG-МОС-000185;Москва;Центральный;6786.41;1;returning;2024-11
REG-МОС-000186;Москва;Центральный;3067.91;1;returning;2024-12
REG-МОС-000187;Москва;Центральный;6685.49;1;returning;2024-12
REG-МОС-000188;Москва;Центральный;2396.44;2;new;2024-10
REG-МОС-000189;Москва;Центральный;1647.52;2;returning;2024-10
REG-МОС-000190;Москва;Центральный;1808.58;1;new;2024-10
REG-МОС-000191;Москва;Центральный;5702.26;1;returning;2024-11
REG-МОС-000192;Москва;Центральный;3730.05;3;returning;2024-11
REG-МОС-000193;Москва;Центральный;1810.79;2;returning;2024-12
REG-МОС-000194;Москва;Центральный;4421.93;1;new;2024-10
REG-МОС-000195;Москва;Центральный;1904.65;3;returning;2024-10
REG-МОС-000196;Москва;Центральный;1804.2;1;new;2024-11
REG-МОС-000197;Москва;Центральный;1167.93;1;returning;2024-11
REG-МОС-000198;Москва;Центральный;4717.29;3;returning;2024-11
REG-МОС-000199;Москва;Центральный;4759.0;1;returning;2024-11
REG-МОС-000200;Москва;Центральный;1869.4;2;new;2024-11
REG-МОС-000201;Москва;Центральный;2566.06;1;returning;2024-11
REG-МОС-000202;Москва;Центральный;3246.56;3;returning;2024-11
REG-МОС-000203;Москва;Центральный;5575.14;3;new;2024-12
REG-МОС-000204;Москва;Центральный;3723.06;1;new;2024-12
REG-МОС-000205;Москва;Центральный;4291.8;2;new;2024-12
REG-МОС-000206;Москва;Центральный;2813.97;2;returning;2024-11
REG-МОС-000207;Москва;Центральный;4021.14;1;returning;2024-11
REG-МОС-000208;Москва;Центральный;2293.3;1;new;2024-11
REG-МОС-000209;Москва;Центральный;3638.14;3;new;2024-12
REG-МОС-000210;Москва;Центральный;2380.89;1;returning;2024-10
REG-МОС-000211;Москва;Центральный;4115.86;3;new;2024-12
REG-МОС-000212;Москва;Центральный;8655.92;3;new;2024-10
REG-МОС-000213;Москва;Центральный;3121.98;1;returning;2024-10
REG-МОС-000214;Москва;Центральный;4336.2;1;returning;2024-11
REG-МОС-000215;Москва;Центральный;2896.66;4;new;2024-10
REG-МОС-000216;Москва;Центральный;6397.29;2;new;2024-10
REG-МОС-000217;Москва;Центральный;3049.33;2;returning;2024-11
REG-МОС-000218;Москва;Центральный;1478.62;3;returning;2024-11
REG-МОС-000219;Москва;Центральный;6121.39;1;returning;2024-11
REG-МОС-000220;Москва;Центральный;2337.64;3;new;2024-10
REG-МОС-000221;Москва;Центральный;2720.87;3;new;2024-11
REG-МОС-000222;Москва;Центральный;2164.48;1;returning;2024-11
REG-МОС-000223;Москва;Центральный;4147.28;1;returning;2024-12
REG-МОС-000224;Москва;Центральный;2644.27;1;returning;2024-10
REG-МОС-000225;Москва;Центральный;4529.65;3;returning;2024-10
REG-МОС-000226;Москва;Центральный;4094.02;1;returning;2024-11
REG-МОС-000227;Москва;Центральный;6341.35;2;new;2024-12
REG-МОС-000228;Москва;Центральный;5410.91;1;new;2024-10
REG-МОС-000229;Москва;Центральный;5736.84;1;new;2024-10
REG-МОС-000230;Москва;Центральный;2564.95;2;new;2024-12
REG-МОС-000231;Москва;Центральный;1147.83;2;new;2024-12
REG-МОС-000232;Москва;Центральный;2786.5;3;new;2024-12
REG-МОС-000233;Москва;Центральный;3664.81;1;returning;2024-11
REG-МОС-000234;Москва;Центральный;2143.78;1;returning;2024-11
REG-МОС-000235;Москва;Центральный;10778.61;1;new;2024-10
REG-МОС-000236;Москва;Центральный;2442.03;2;returning;2024-11
REG-МОС-000237;Москва;Центральный;6665.29;4;new;2024-11
REG-МОС-000238;Москва;Центральный;3044.53;2;returning;2024-11
REG-МОС-000239;Москва;Центральный;2746.73;1;new;2024-11
REG-МОС-000240;Москва;Центральный;1897.34;1;returning;2024-11
REG-МОС-000241;Москва;Центральный;3747.88;1;new;2024-10
REG-МОС-000242;Москва;Центральный;2913.64;2;new;2024-10
REG-МОС-000243;Москва;Центральный;3621.46;2;new;2024-11
REG-МОС-000244;Москва;Центральный;7916.26;1;new;2024-12
REG-МОС-000245;Москва;Центральный;1254.1;1;new;2024-12
REG-МОС-000246;Москва;Центральный;2885.81;2;new;2024-10
REG-МОС-000247;Москва;Центральный;4596.06;1;returning;2024-10
REG-МОС-000248;Москва;Центральный;1745.19;3;new;2024-12
REG-МОС-000249;Москва;Центральный;3752.74;2;new;2024-10
REG-МОС-000250;Москва;Центральный;3652.15;2;returning;2024-10
REG-МОС-000251;Москва;Центральный;2860.1;1;new;2024-12
REG-МОС-000252;Москва;Центральный;2443.45;4;new;2024-12
REG-МОС-000253;Москва;Центральный;7888.13;3;returning;2024-11
REG-МОС-000254;Москва;Центральный;3094.27;2;returning;2024-12
REG-МОС-000255;Москва;Центральный;1569.89;3;new;2024-12
REG-МОС-000256;Москва;Центральный;2837.73;2;returning;2024-12
REG-МОС-000257;Москва;Центральный;3360.71;1;new;2024-11
REG-МОС-000258;Москва;Центральный;4782.69;3;new;2024-10
REG-МОС-000259;Москва;Центральный;4911.79;2;returning;2024-12
REG-МОС-000260;Москва;Центральный;1877.87;2;new;2024-12
REG-МОС-000261;Москва;Центральный;3078.78;2;returning;2024-11
REG-МОС-000262;Москва;Центральный;2318.38;1;new;2024-11
REG-МОС-000263;Москва;Центральный;3714.89;3;returning;2024-10
REG-МОС-000264;Москва;Центральный;3454.27;3;returning;2024-11
REG-МОС-000265;Москва;Центральный;1690.79;2;returning;2024-11
REG-МОС-000266;Москва;Центральный;1685.75;5;new;2024-12
REG-МОС-000267;Москва;Центральный;6255.96;2;new;2024-12
REG-МОС-000268;Москва;Центральный;1435.04;1;returning;2024-11
REG-МОС-000269;Москва;Центральный;8255.36;1;new;2024-11
REG-МОС-000270;Москва;Центральный;4109.17;4;new;2024-12
REG-МОС-000271;Москва;Центральный;3374.05;1;returning;2024-11
REG-МОС-000272;Москва;Центральный;1317.18;2;new;2024-11
REG-МОС-000273;Москва;Центральный;1842.59;2;returning;2024-10
REG-МОС-000274;Москва;Центральный;1878.51;1;new;2024-10
REG-МОС-000275;Москва;Центральный;2407.16;1;new;2024-12
REG-МОС-000276;Москва;Центральный;2209.91;2;returning;2024-11
REG-МОС-000277;Москва;Центральный;5268.84;1;returning;2024-12
REG-МОС-000278;Москва;Центральный;3645.81;1;returning;2024-10
REG-МОС-000279;Москва;Центральный;1461.42;2;returning;2024-12
REG-МОС-000280;Москва;Центральный;4967.75;1;returning;2024-12
REG-МОС-000281;Москва;Центральный;3057.17;2;returning;2024-10
REG-МОС-000282;Москва;Центральный;3698.12;1;new;2024-10
REG-МОС-000283;Москва;Центральный;3277.04;3;new;2024-12
REG-МОС-000284;Москва;Центральный;2081.8;3;new;2024-11
REG-МОС-000285;Москва;Центральный;1598.7;3;returning;2024-11
REG-МОС-000286;Москва;Центральный;3287.57;1;new;2024-11
REG-МОС-000287;Москва;Центральный;1274.1;3;returning;2024-11
REG-МОС-000288;Москва;Центральный;2005.93;1;new;2024-12
REG-МОС-000289;Москва;Центральный;4049.8;4;returning;2024-10
REG-МОС-000290;Москва;Центральный;2678.65;2;new;2024-10
REG-МОС-000291;Москва;Центральный;3936.08;2;returning;2024-11
REG-МОС-000292;Москва;Центральный;2186.97;3;returning;2024-10
REG-МОС-000293;Москва;Центральный;2541.32;2;returning;2024-11
REG-МОС-000294;Москва;Центральный;2871.13;1;returning;2024-11
REG-МОС-000295;Москва;Центральный;5404.72;2;returning;2024-10
REG-МОС-000296;Москва;Центральный;1073.55;2;returning;2024-12
REG-МОС-000297;Москва;Центральный;2338.73;1;new;2024-11
REG-МОС-000298;Москва;Центральный;5162.51;1;returning;2024-12
REG-МОС-000299;Москва;Центральный;3648.56;3;returning;2024-10
REG-МОС-000300;Москва;Центральный;2834.65;2;returning;2024-11
REG-МОС-000301;Москва;Центральный;2276.75;3;new;2024-10
REG-МОС-000302;Москва;Центральный;2922.03;2;returning;2024-11
REG-МОС-000303;Москва;Центральный;6792.7;1;new;2024-11
REG-МОС-000304;Москва;Центральный;2271.77;1;returning;2024-12
REG-МОС-000305;Москва;Центральный;3410.84;2;new;2024-10
REG-МОС-000306;Москва;Центральный;5891.77;1;new;2024-10
REG-МОС-000307;Москва;Центральный;2893.01;3;new;2024-11
REG-МОС-000308;Москва;Центральный;3789.22;1;new;2024-11
REG-МОС-000309;Москва;Центральный;1311.9;1;new;2024-12
REG-МОС-000310;Москва;Центральный;4217.12;2;new;2024-12
REG-МОС-000311;Москва;Центральный;2047.4;2;new;2024-11
REG-МОС-000312;Москва;Центральный;3629.58;1;returning;2024-11
REG-МОС-000313;Москва;Центральный;2368.92;1;returning;2024-10
REG-МОС-000314;Москва;Центральный;1764.17;1;returning;2024-10
REG-МОС-000315;Москва;Центральный;1476.65;4;new;2024-10
REG-МОС-000316;Москва;Центральный;2619.85;1;returning;2024-10
REG-МОС-000317;Москва;Центральный;3945.28;2;returning;2024-11
REG-МОС-000318;Москва;Центральный;3524.04;1;returning;2024-10
REG-МОС-000319;Москва;Центральный;4368.92;1;returning;2024-11
REG-МОС-000320;Москва;Центральный;4758.7;3;new;2024-12
REG-МОС-000321;Москва;Центральный;3098.85;1;new;2024-11
REG-МОС-000322;Москва;Центральный;4779.8;1;returning;2024-12
REG-МОС-000323;Москва;Центральный;3670.51;2;new;2024-12
REG-МОС-000324;Москва;Центральный;2134.69;4;returning;2024-10
REG-МОС-000325;Москва;Центральный;3130.56;1;new;2024-11
REG-МОС-000326;Москва;Центральный;5274.41;3;returning;2024-11
REG-МОС-000327;Москва;Центральный;1138.58;1;returning;2024-12
REG-МОС-000328;Москва;Центральный;2171.35;4;new;2024-10
REG-МОС-000329;Москва;Центральный;2518.32;3;new;2024-12
REG-МОС-000330;Москва;Центральный;3572.29;1;returning;2024-12
REG-МОС-000331;Москва;Центральный;4970.21;2;new;2024-10
REG-МОС-000332;Москва;Центральный;2079.27;1;new;2024-12
REG-МОС-000333;Москва;Центральный;1893.35;1;new;2024-11
REG-МОС-000334;Москва;Центральный;4447.66;1;returning;2024-12
REG-МОС-000335;Москва;Центральный;3337.91;2;new;2024-10
REG-МОС-000336;Москва;Центральный;3113.92;1;returning;2024-11
REG-МОС-000337;Москва;Центральный;4653.36;1;new;2024-10
REG-МОС-000338;Москва;Центральный;2400.37;1;returning;2024-10
REG-МОС-000339;Москва;Центральный;3149.44;2;new;2024-10
REG-МОС-000340;Москва;Центральный;4509.01;1;returning;2024-11
REG-МОС-000341;Москва;Центральный;1741.53;3;returning;2024-12
REG-МОС-000342;Москва;Центральный;2618.59;1;returning;2024-12
REG-МОС-000343;Москва;Центральный;1940.12;1;new;2024-12
REG-МОС-000344;Москва;Центральный;6582.2;1;returning;2024-10
REG-МОС-000345;Москва;Центральный;1732.43;1;new;2024-10
REG-МОС-000346;Москва;Центральный;3751.76;1;new;2024-11
REG-МОС-000347;Москва;Центральный;1453.65;1;returning;2024-10
REG-МОС-000348;Москва;Центральный;2599.27;1;new;2024-10
REG-МОС-000349;Москва;Центральный;9726.11;4;returning;2024-10
REG-МОС-000350;Москва;Центральный;5731.32;2;returning;2024-12
REG-МОС-000351;Москва;Центральный;3866.44;3;new;2024-12
REG-МОС-000352;Москва;Центральный;3416.2;1;returning;2024-10
REG-МОС-000353;Москва;Центральный;9251.24;2;new;2024-10
REG-МОС-000354;Москва;Центральный;6617.22;4;new;2024-12
REG-МОС-000355;Москва;Центральный;1319.21;1;new;2024-10
REG-МОС-000356;Москва;Центральный;2890.67;2;returning;2024-11
REG-МОС-000357;Москва;Центральный;5060.27;1;returning;2024-10
REG-МОС-000358;Москва;Центральный;6107.7;2;returning;2024-10
REG-МОС-000359;Москва;Центральный;4313.3;1;returning;2024-11
REG-МОС-000360;Москва;Центральный;3747.31;2;returning;2024-10
REG-МОС-000361;Москва;Центральный;5178.67;1;returning;2024-12
REG-МОС-000362;Москва;Центральный;4545.89;1;returning;2024-10
REG-МОС-000363;Москва;Центральный;2088.6;2;new;2024-10
REG-МОС-000364;Москва;Центральный;2104.49;2;returning;2024-10
REG-МОС-000365;Москва;Центральный;2018.83;2;returning;2024-11
REG-МОС-000366;Москва;Центральный;3276.72;1;returning;2024-11
REG-МОС-000367;Москва;Центральный;5545.62;2;returning;2024-10
REG-МОС-000368;Москва;Центральный;4096.03;3;new;2024-10
REG-МОС-000369;Москва;Центральный;5865.15;1;new;2024-12
REG-МОС-000370;Москва;Центральный;4625.71;2;new;2024-12
REG-МОС-000371;Москва;Центральный;6166.51;1;returning;2024-12
REG-МОС-000372;Москва;Центральный;2265.6;1;returning;2024-12
REG-МОС-000373;Москва;Центральный;6452.75;1;new;2024-11
REG-МОС-000374;Москва;Центральный;3134.31;1;returning;2024-12
REG-МОС-000375;Москва;Центральный;4736.03;2;new;2024-11
REG-МОС-000376;Москва;Центральный;2438.22;1;returning;2024-11
REG-МОС-000377;Москва;Центральный;4707.83;2;returning;2024-11
REG-МОС-000378;Москва;Центральный;2296.32;2;returning;2024-12
REG-МОС-000379;Москва;Центральный;4405.41;3;new;2024-10
REG-МОС-000380;Москва;Центральный;4887.0;1;returning;2024-10
REG-МОС-000381;Москва;Центральный;2186.32;4;returning;2024-12
REG-МОС-000382;Москва;Центральный;2474.95;1;new;2024-12
REG-МОС-000383;Москва;Центральный;1749.14;1;returning;2024-10
REG-МОС-000384;Москва;Центральный;5893.18;4;returning;2024-11
REG-МОС-000385;Москва;Центральный;3625.82;1;new;2024-12
REG-МОС-000386;Москва;Центральный;5835.76;2;new;2024-10
REG-МОС-000387;Москва;Центральный;5921.85;2;returning;2024-10
REG-МОС-000388;Москва;Центральный;1601.23;2;new;2024-12
REG-МОС-000389;Москва;Центральный;1470.57;1;returning;2024-12
REG-МОС-000390;Москва;Центральный;5363.96;3;returning;2024-12
REG-МОС-000391;Москва;Центральный;1996.15;1;returning;2024-10
REG-МОС-000392;Москва;Центральный;3242.54;4;new;2024-12
REG-МОС-000393;Москва;Центральный;4235.83;4;new;2024-12
REG-МОС-000394;Москва;Центральный;2947.25;3;returning;2024-12
REG-МОС-000395;Москва;Центральный;2732.38;1;returning;2024-12
REG-МОС-000396;Москва;Центральный;1988.5;2;returning;2024-12
REG-МОС-000397;Москва;Центральный;6113.77;1;returning;2024-12
REG-МОС-000398;Москва;Центральный;6513.17;4;new;2024-10
REG-МОС-000399;Москва;Центральный;4938.16;2;new;2024-12
REG-МОС-000400;Москва;Центральный;2288.59;3;new;2024-11
REG-МОС-000401;Москва;Центральный;1808.89;2;new;2024-11
REG-МОС-000402;Москва;Центральный;1679.69;1;returning;2024-11
REG-МОС-000403;Москва;Центральный;3103.3;2;new;2024-12
REG-МОС-000404;Москва;Центральный;5288.62;2;new;2024-10
REG-МОС-000405;Москва;Центральный;2597.07;1;returning;2024-10
REG-МОС-000406;Москва;Центральный;4541.06;2;new;2024-11
REG-МОС-000407;Москва;Центральный;3497.01;2;returning;2024-12
REG-МОС-000408;Москва;Центральный;7127.55;3;returning;2024-10
REG-МОС-000409;Москва;Центральный;1576.98;3;returning;2024-12
REG-МОС-000410;Москва;Центральный;6383.96;1;returning;2024-12
REG-МОС-000411;Москва;Центральный;5141.3;5;new;2024-12
REG-МОС-000412;Москва;Центральный;4072.84;1;new;2024-12
REG-МОС-000413;Москва;Центральный;3042.74;2;returning;2024-10
REG-МОС-000414;Москва;Центральный;1454.35;1;new;2024-12
REG-МОС-000415;Москва;Центральный;3663.36;1;new;2024-10
