session_id;user_type;traffic_source;pages_viewed;time_on_site;conversion;device_type
SES-20250906-100457;new;direct;1;41;0;mobile
SES-20250906-100458;new;direct;3;117;0;mobile
SES-20250906-100459;new;social;2;135;0;desktop
SES-20250906-100460;new;organic;1;47;0;desktop
SES-20250906-100461;new;paid;1;31;0;mobile
SES-20250906-100462;new;social;1;24;0;desktop
SES-20250906-100463;returning;social;6;536;1;desktop
SES-20250906-100464;new;paid;2;109;0;mobile
SES-20250906-100465;new;direct;1;22;0;mobile
SES-20250906-100466;returning;direct;2;91;0;desktop
SES-20250906-100467;returning;organic;3;113;0;desktop
SES-20250906-100468;returning;organic;4;128;0;tablet
SES-20250906-100469;new;social;4;216;0;mobile
SES-20250906-100470;returning;organic;13;770;0;mobile
SES-20250906-100471;new;organic;1;37;0;mobile
SES-20250906-100472;returning;organic;1;57;0;mobile
SES-20250906-100473;returning;direct;3;187;0;mobile
SES-20250906-100474;new;organic;2;131;0;desktop
SES-20250906-100475;returning;social;9;505;0;mobile
SES-20250906-100476;returning;organic;3;149;0;mobile
SES-20250906-100477;new;organic;1;51;0;mobile
SES-20250906-100478;new;direct;4;219;0;mobile
SES-20250906-100479;returning;paid;3;138;0;mobile
SES-20250906-100480;new;email;2;48;0;mobile
SES-20250906-100481;new;social;2;120;0;desktop
SES-20250906-100482;returning;paid;6;312;0;desktop
SES-20250906-100483;returning;email;10;196;1;mobile
SES-20250906-100484;new;organic;1;64;0;desktop
SES-20250906-100485;returning;organic;1;47;0;mobile
SES-20250906-100486;new;organic;1;43;0;mobile
SES-20250906-100487;new;direct;2;51;0;desktop
SES-20250906-100488;returning;paid;1;15;0;desktop
SES-20250906-100489;returning;referral;15;578;0;mobile
SES-20250906-100490;new;paid;1;51;0;mobile
SES-20250906-100491;new;paid;3;35;0;desktop
SES-20250906-100492;returning;paid;5;392;0;desktop
SES-20250906-100493;returning;email;1;73;0;mobile
SES-20250906-100494;new;direct;1;58;0;mobile
SES-20250906-100495;new;direct;3;81;0;mobile
SES-20250906-100496;returning;direct;1;50;0;desktop
SES-20250906-100497;returning;paid;6;230;0;mobile
SES-20250906-100498;new;social;10;163;0;mobile
SES-20250906-100499;new;social;6;326;0;desktop
SES-20250906-100500;returning;organic;1;31;0;desktop
SES-20250906-100501;new;organic;5;242;0;desktop
SES-20250906-100502;returning;email;4;182;0;mobile
SES-20250906-100503;new;paid;2;153;0;mobile
SES-20250906-100504;returning;organic;7;471;0;mobile
SES-20250906-100505;new;organic;7;407;0;mobile
SES-20250906-100506;new;direct;1;72;0;mobile
SES-20250906-100507;returning;email;1;26;0;mobile
SES-20250906-100508;returning;paid;3;112;0;desktop
SES-20250906-100509;returning;direct;1;70;1;desktop
SES-20250906-100510;returning;direct;2;140;0;desktop
SES-20250906-100511;returning;organic;3;305;0;mobile
SES-20250906-100512;returning;direct;8;348;0;desktop
SES-20250906-100513;new;organic;2;43;0;mobile
SES-20250906-100514;returning;direct;1;39;0;mobile
SES-20250906-100515;returning;organic;6;167;0;desktop
SES-20250906-100516;new;paid;1;50;0;desktop
SES-20250906-100517;new;email;4;189;0;desktop
SES-20250906-100518;new;organic;1;66;0;desktop
SES-20250906-100519;returning;organic;5;158;0;desktop
SES-20250906-100520;returning;direct;1;44;0;desktop
SES-20250906-100521;new;paid;1;48;0;desktop
SES-20250906-100522;new;organic;1;52;0;desktop
SES-20250906-100523;new;organic;1;53;0;mobile
SES-20250906-100524;new;direct;6;112;0;mobile
SES-20250906-100525;new;email;3;94;0;desktop
SES-20250906-100526;new;organic;3;46;0;desktop
SES-20250906-100527;new;direct;1;40;0;mobile
SES-20250906-100528;returning;direct;3;204;0;desktop
SES-20250906-100529;new;organic;3;212;0;mobile
SES-20250906-100530;new;paid;3;104;0;desktop
SES-20250906-100531;returning;organic;11;640;0;mobile
SES-20250906-100532;new;email;1;17;0;mobile
SES-20250906-100533;new;direct;1;24;0;mobile
SES-20250906-100534;new;organic;5;213;0;mobile
SES-20250906-100535;new;paid;2;120;0;mobile
SES-20250906-100536;returning;organic;2;126;1;mobile
SES-20250906-100537;new;social;2;97;0;mobile
SES-20250906-100538;new;organic;14;583;0;desktop
SES-20250906-100539;new;email;1;78;1;desktop
SES-20250906-100540;new;email;2;61;0;mobile
SES-20250906-100541;returning;organic;3;144;0;mobile
SES-20250906-100542;new;social;2;65;0;mobile
SES-20250906-100543;new;organic;5;199;0;desktop
SES-20250906-100544;returning;organic;4;192;1;mobile
SES-20250906-100545;new;direct;2;76;0;desktop
SES-20250906-100546;new;paid;3;79;0;desktop
SES-20250906-100547;returning;organic;6;459;0;desktop
SES-20250906-100548;new;paid;1;51;0;mobile
SES-20250906-100549;new;direct;5;72;0;mobile
SES-20250906-100550;new;paid;1;32;0;mobile
SES-20250906-100551;returning;direct;1;17;0;mobile
