item_id;order_id;product_id;quantity;price
131;39;4;2;25597.76
132;39;22;2;6097.58
133;40;24;1;2793.81
134;40;27;2;1501.23
135;40;23;3;5795.44
136;41;28;3;4868.55
137;41;8;1;3765.77
138;42;17;3;3655.23
139;42;1;1;5950.2
140;42;28;3;5461.78
141;42;25;1;3186.05
142;43;23;2;5922.38
143;43;21;2;1688.48
144;43;9;1;1588.62
145;44;27;1;1653.63
146;44;20;3;1422.54
147;44;13;2;7057.3
148;44;19;3;5717.03
149;44;4;2;26088.56
150;45;3;2;927.03
151;45;11;2;1877.59
152;45;9;3;1534.91
153;45;21;1;1708.33
154;46;29;3;2388.55
155;46;2;2;15086.11
156;47;21;2;1871.82
157;48;30;2;2511.36
158;48;14;3;4437.23
159;48;13;3;7412.24
160;49;24;3;2939.52
161;49;23;2;5934.51
162;49;8;3;3836.38
163;50;28;3;5539.7
164;50;6;1;2455.53
165;50;27;2;1527.06
166;51;24;1;3180.24
167;51;26;2;11026.81
168;51;18;1;6525.63
169;52;14;2;4150.63
170;52;26;3;10255.85
171;52;29;1;2420.91
172;53;19;1;5595.53
173;53;20;3;1270.36
174;53;3;2;849.51
175;53;16;1;6797.49
176;53;29;1;2358.63
177;54;29;3;2279.58
178;54;30;1;2391.87
179;54;15;3;1635.93
180;54;5;2;434.61
181;54;11;1;1803.28
182;55;25;3;3529.36
183;55;6;2;2707.25
184;56;5;3;417.62
185;57;13;1;7018.71
186;57;14;3;4151.84
187;57;16;1;7903.65
188;57;1;3;5422.16
189;58;21;3;1616.92
190;59;10;2;2422.48
191;59;5;2;395.04
192;59;4;1;24145.1
193;60;15;3;1498.02
194;60;24;2;3145.82
195;60;17;1;3925.86
196;61;12;2;1494.46
197;61;25;1;3504.35
198;61;7;1;5058.47
199;61;6;1;2607.1
200;62;4;3;25918.11
201;62;12;1;1612.21
202;63;25;1;3415.02
203;63;18;1;6937.82
204;63;20;3;1388.62
205;64;23;1;5396.93
206;65;4;3;23415.07
207;65;18;3;6969.77
208;65;9;1;1535.66
209;65;16;3;6744.15
210;66;9;1;1602.98
211;66;20;3;1201.67
212;66;23;1;5800.85
213;66;5;2;397.72
214;66;14;1;4496.78
215;67;7;1;4874.02
216;67;12;2;1789.18
217;67;23;3;5963.7
218;67;14;2;4033.76
219;67;10;1;2503.96
220;68;27;3;1705.6
221;69;3;3;791.05
222;69;25;3;3084.75
223;70;21;2;1622.13
224;70;8;1;3632.11
225;70;15;1;1602.39
226;71;12;2;1629.01
227;71;26;1;9830.02
228;71;22;1;5676.44
229;72;22;1;6077.96
230;72;21;2;1857.39
231;73;29;2;2588.66
232;73;24;1;2693.83
233;73;3;2;944.47
234;74;27;2;1748.79
235;74;13;3;7509.99
236;74;23;1;5063.55
237;75;28;1;4743.46
238;76;16;1;7492.22
239;76;26;2;10934.66
240;76;19;3;6020.16
241;76;22;3;6889.57
242;76;15;1;1485.78
243;77;4;1;22963.23
244;77;29;3;2344.78
245;77;14;3;4573.78
246;77;15;3;1570.6
247;78;24;2;2930.45
248;78;19;3;5819.45
249;78;8;1;3895.09
250;78;22;3;5977.16
251;78;28;2;5320.46
252;79;5;3;385.53
253;79;27;3;1793.16
254;79;18;3;7188.99
255;79;29;2;2615.18
256;80;25;2;3231.8
257;81;9;1;1615.42
258;81;2;2;14278.11
259;81;17;1;3711.92
260;82;26;2;10583.19
261;82;19;1;6132.87
262;82;15;3;1536.56
263;82;3;1;847.83
264;83;18;3;6048.35
265;84;26;3;11687.29
266;85;29;1;2510.56
267;85;17;2;4418.44
268;85;18;2;7157.36
269;86;28;2;5213.76
270;86;15;3;1520.63
271;87;23;1;5772.92
272;87;15;1;1342.4
273;87;4;2;26820.58
274;88;18;3;6191.02
275;88;17;1;4047.21
276;88;12;3;1733.68
277;89;4;1;23252.12
278;89;9;2;1508.3
279;89;20;1;1357.56
280;89;7;1;5644.67
281;90;30;3;2559.67
282;91;4;3;27456.17
283;91;25;1;3663.02
284;91;29;1;2450.05
285;91;15;1;1506.7
286;91;22;2;6720.11
287;92;30;3;2435.5
288;92;17;3;4308.91
289;92;25;1;3276.57
290;92;6;3;2615.54
291;93;17;2;4442.07
292;93;29;3;2563.05
293;93;13;2;6829.21
294;94;10;1;2245.68
295;94;15;3;1550.47
296;94;26;3;10722.73
297;95;28;3;5288.39
298;95;11;1;1715.03
299;95;23;3;5258.41
300;95;24;2;3165.22
301;95;30;1;2628.66
302;96;17;3;4164.31
303;96;18;3;6203.22
304;97;18;3;7315.09
305;97;16;3;7208.08
306;97;19;3;6035.74
307;98;10;1;2431.87
308;98;29;1;2377.24
309;98;28;1;5327.2
310;98;14;1;4061.43
311;98;26;1;11730.84
312;99;5;3;447.3
313;99;27;1;1733.51
314;99;2;1;14148.25
315;100;4;3;25471.98
316;100;20;1;1364.23
317;100;28;3;5037.29
318;100;22;3;6651.49
