Дата;Клиент;Город;Товар;Количество;Цена;Сумма
04/13/23;Иванов ИП;спб;Товар Б;52;9672,20;502954,40
10/02/23;Иванов;;Товар Д;56;4420,30;247536,80
08.04.2023;"ООО ""Яндекс""";Екб;Товар Д;88;6739;593051,36
2023-06-19;РОМАШКА ООО;Saint-Petersburg;Товар Г;42;1360,15;57126,30
03/31/23;"ОАО ""Газпром""";Saint-Petersburg;Товар Г;75;4473,68;335526,00
03/28/23;Яндекс;Новосибирск;Товар Б;87; 1558,80₽ ;135615,60
11/09/23;ТЕХНОСИЛА;Yekaterinburg;Товар Г;64;6907,46;442077,44
06.08.2023;"ООО ""Яндекс""";МОСКВА;Товар А;59;5358,21;316134,39
2023-08-15;ГАЗПРОМ;екатеринбург;Товар Б;96;7542,59;724088,64
09/06/23;"ООО ""Ромашка""";спб;Товар В; 70 ;1593,22;111525,40
2023-08-01;;Novosibirsk;Товар Д; 90 ;8818,50;793665,00
2023-06-02;ТЕХНОСИЛА;N.Novgorod;Товар Д;29;4907,86;142327,94
2023-03-26;газпром оао;новосибирск;Товар А;11; 4670,81₽ ;51378,91
04/19/23;"ЗАО ""Техносила""";Novosibirsk;Товар А; 61 ;5440,25;331855,25
30.11.2023;ООО Ромашка;СПб;Товар Д;20;1232,46;24649,20
08.07.2023;газпром оао;нижний новгород;Товар Б;-40;3188,38;-127535,20
12.04.2023;"ООО ""Яндекс""";спб;Товар В;88;9840,06;865925,28
09.07.2023;ООО Яндекс;Novosibirsk;Товар А;56;8304,20;465035,20
30.11.2023;"ОАО ""Газпром""";НСК;Товар Д;35;9352,76;327346,60
10/19/23;ООО Ромашка;Новосибирск;Товар Б;46;8815,17;478173,18
13.02.2023;ТЕХНОСИЛА;НН;Товар Г;83;270,71;22468,93
12/06/23;ГАЗПРОМ;N.Novgorod;Товар В;90;2382,33;214409,70
20.12.2023;Иванов И.П.;С-Петербург;Товар Д;77;2021,76;157801,12
21.05.2023;ромашка;нижний новгород;Товар Г;14;4747,03;66458,42
02.09.2023;"ООО ""Ромашка""";москва;Товар А;20;3107,97;62159,40
2023-11-07;яндекс ооо;НСК;Товар В;76;6248,17;474860,92
04/17/23;"ООО ""Ромашка""";Санкт-Петербург;Товар Б;1; 4752,13₽ ;4752,13
05/25/23;Яндекс;С-Петербург;Товар Д;85;1236,29;105084,65
14.03.2023;ИП Иванов;ЕКБ;Товар Д;37;3110,50;115088,50
13.08.2023;ромашка;N.Novgorod;Товар В; 4 ;9622,92;38491,68
2023-12-11;яндекс ооо;Екатеринбург;Товар Г;36;6384;229837,32
06/20/23;ИП Иванов;нижний новгород;Товар Г;98;3213,72;314944,56
09/21/23;"ОАО ""Газпром""";МОСКВА;Товар В;80;7623,91;609912,80
08/13/23;ООО Ромашка;ЕКБ;Товар Б;40;1022,77;40910,80
03/02/23;"ООО ""Яндекс""";нижний новгород;Товар Г;61;3897,50;237747,50
05.02.2023;ТЕХНОСИЛА;Екб;Товар А;37;5841,24;216125,88
2023-09-05;"ОАО ""Газпром""";Новосибирск;Товар Б;74;4166,67;308333,58
2023-07-15;ООО Яндекс;Екатеринбург;Товар Б;65;1093;71084,65
01/08/23;ООО Яндекс;москва;Товар В;44;895,12;39385,28
2023-06-12;ОАО Газпром;МОСКВА;Товар Б;81; 2352,11₽ ;190520,91
11/21/23;ИП Иванов;;Товар А;38;2517,55;95666,90
31.03.2023;"ЗАО ""Техносила""";спб;Товар Д;19;4649,75;88345,25
05/28/23;Tehnosila LLC;Yekaterinburg;Товар Г;89;2072,25;184430,25
10/20/23;"ООО ""Яндекс""";Н.Новгород;Товар А;73;9738,67;710922,91
05/27/23;техносила;СПб;Товар Б; 81 ; 6311,84₽ ;511259,04
2023-01-18;"ООО ""Ромашка""";Новосибирск;Товар Б;26;9717,75;252661,50
2023-05-12;Иванов ИП;Новосибирск;Товар Г;10;8615,39;86153,90
2023-10-13;ООО Ромашка;Moskva;Товар В;75;3777,59;283319,25
2023-10-15;;НСК;Товар В;84;9467,99;795311,16
03.10.2023;Tehnosila LLC;N.Novgorod;Товар Д;54;8865,60;478742,40
24.05.2023;техносила;НСК;Товар В;13;9026;117348,27
2023-03-04;"ООО ""Ромашка""";Нижний Новгород;Товар А;7;1346;9426,55
2023-04-17;ИП ИВАНОВ;М.;Товар Д;1;9876,52;9876,52
14.01.2023;техносила;спб;Товар А;23; 4267,51₽ ;98152,73
2023-08-18;РОМАШКА ООО;спб;Товар А;94;5262,37;494662,78
09/03/23;РОМАШКА ООО;НСК;Товар А;42;2822,66;118551,72
11/02/23;газпром оао;нижний новгород;Товар Д;93;8892,10;826965,30
02/18/23;Иванов;М.;Товар Г; 9 ;945,11;8505,99
2023-03-08;"ОАО ""Газпром""";Н.Новгород;Товар В;86; 9166,85₽ ;788349,10
2023-06-09;Иванов И.П.;Екатеринбург;Товар А;45;7649,80;344241,00
2023-11-15;ООО Ромашка;Н.Новгород;Товар В;4;3158;12635,80
10/17/23;YANDEX;Москва;Товар Д;28;1658,35;46433,80
02.11.2023;ромашка;НН;Товар А;35;6110,05;213851,75
06/26/23;Яндекс;Екб;Товар А;29;176,10;5106,90
11.05.2023;;N.Novgorod;Товар Б;49;5631,36;275936,64
01/22/23;"ООО ""Ромашка""";Yekaterinburg;Товар Г;91;4109,82;373993,62
2023-08-24;"ООО ""Ромашка""";Moskva;Товар Д;52;3171,72;164929,44
2023-09-19;Иванов И.П.;Нск;Товар Б;31;1817,64;56346,84
2023-11-18;яндекс ооо;Н.Новгород;Товар Д;83;8656,04;718451,32
2023-08-15;;Екб;Товар Г; 58 ;3750,50;217529,00
2023-02-16;Tehnosila LLC;N.Novgorod;Товар Г;74;4808;355846,02
06/25/23;ООО Яндекс;спб;Товар Г;68;3791,23;257803,64
03.11.2023;ООО Яндекс;москва;Товар Д;87;8530,51;742154,37
02/11/23;техносила;Нижний Новгород;Товар Г;17;3164,86;53802,62
2023-12-10;Яндекс;москва;Товар Г;66;1884,60;124383,60
04/26/23;Иванов ИП;Moskva;Товар Д;-95;3433,97;-326227,15
25.03.2023;"ООО ""Яндекс""";Санкт-Петербург;Товар А;53;9698,93;514043,29
04/30/23;ОАО Газпром;СПб;Товар Д;57;3880,54;221190,78
06.11.2023;;Екатеринбург;Товар Д;14; 1334,31₽ ;18680,34
08/19/23;;спб;Товар В;4;3802;15208,88
2023-06-13;ООО Яндекс;М.;Товар В;61;7084;432173,41
12.05.2023;Romashka Ltd;N.Novgorod;Товар Г;15;1306,30;19594,50
02.02.2023;ОАО Газпром;Москва;Товар Д;31;115,49;3580,19
09.12.2023;;Екб;Товар Д; 71 ; 8745,98₽ ;620964,58
11.07.2023;ООО Ромашка;москва;Товар А;99;1420,75;140654,25
2023-12-17;ООО Яндекс;М.;Товар Г;-5; 2074,75₽ ;-10373,75
2023-09-21;ОАО Газпром;НН;Товар В;-46;6591,74;-303220,04
;;;;;;
2023-07-24;"ЗАО ""Техносила""";Санкт-Петербург;Товар Г;48;8031;385505,76
04/03/23;"ООО ""Ромашка""";Saint-Petersburg;Товар Д;92; 3580,32₽ ;329389,44
06/30/23;ООО Яндекс;МОСКВА;Товар Г;47; 1683,87₽ ;79141,89
12/14/23;"ООО ""Ромашка""";Нижний Новгород;Товар Г; 73 ;1619,04;118189,92
2023-02-09;"ЗАО ""Техносила""";С-Петербург;Товар А;4;3931,18;15724,72
17.08.2023;газпром оао;Екатеринбург;Товар Б;10; 4506,60₽ ;45066,00
2023-06-13;"ОАО ""Газпром""";Saint-Petersburg;Товар Б;47; 2089,71₽ ;98216,37
2023-01-14;Tehnosila LLC;екатеринбург;Товар А;9;7216,81;64951,29
07.02.2023;ЗАО Техносила;НСК;Товар Д;45;5557,90;250105,50
09/15/23;РОМАШКА ООО;Saint-Petersburg;Товар В;91;5237;476575,19
10.10.2023;ООО Яндекс;екатеринбург;Товар Б;76;6621,46;503230,96
16.10.2023;;Нижний Новгород;Товар В;84; 6219,27₽ ;522418,68
07.10.2023;Иванов ИП;Н.Новгород;Товар Г;10;4214,66;42146,60
2023-06-13;"ЗАО ""Техносила""";Нск;Товар А;41; 4551,00₽ ;186591,00
07/16/23;ИП Иванов;Yekaterinburg;Товар Б;98;4721,47;462704,06
2023-07-21;Иванов И.П.;МОСКВА;Товар Г;77;4758,81;366428,37
2023-05-16;;МОСКВА;Товар Б;47;5092,13;239330,11
12/15/23;РОМАШКА ООО;Новосибирск;Товар В;97; 4073,73₽ ;428912,29
08/31/23;ГАЗПРОМ;ЕКБ;Товар Г;79;3430,10;270977,90
06/03/23;ЗАО Техносила;Novosibirsk;Товар А;77;7850,75;604507,75
2023-10-26;YANDEX;новосибирск;Товар Б;5;1988,76;9943,80
2023-04-15;ОАО Газпром;N.Novgorod;Товар Б;67;6656,05;445955,35
09/30/23;яндекс ооо;Н.Новгород;Товар В;79;2862,16;226110,64
2023-05-28;ОАО Газпром;Нск;Товар В;37;3858,97;142781,89
16.03.2023;Иванов ИП;москва;Товар Г;84;2100,47;176439,48
12.03.2023;YANDEX;спб;Товар Д;29;4191,68;121558,72
2023-01-03;ИП Иванов;Екатеринбург;Товар Б;97;6494;629955,83
2023-10-01;ромашка;Санкт-Петербург;Товар Б;5;5004,30;25021,50
20.01.2023;Gazprom;Новосибирск;Товар Д;68;8525,49;579733,32
2023-03-25;"ООО ""Яндекс""";N.Novgorod;Товар В;73;6148,45;448836,85
17.06.2023;;М.;Товар Б;1;7562,19;7562,19
06.01.2023;техносила;МОСКВА;Товар Г;40;9238,75;369550,00
11/24/23;газпром оао;М.;Товар Г;96;7049,21;676724,16
2023-04-22;газпром оао;москва;Товар Д;91;1210,87;110189,17
02.10.2023;ЗАО Техносила;НСК;Товар Б;92;5152,72;474050,24
2023-08-22;Яндекс;;Товар В;1;548;548,37
02/05/23;Иванов ИП;НН;Товар Г;48;8709,24;418043,52
12/05/23;техносила;екатеринбург;Товар Б;94;7586,18;713100,92
2023-08-06;ИП ИВАНОВ;М.;Товар А;5;7683;38419,65
02/21/23;Яндекс;МОСКВА;Товар А;52;7568,42;393557,84
2023-04-30;ЗАО Техносила;НН;Товар В;31;6636,10;205719,10
2023-10-30;ООО Яндекс;екатеринбург;Товар В;83;3255,47;270204,01
2023-10-03;Иванов ИП;М.;Товар А;72;5346,92;384978,24
2023-02-10;"ООО ""Ромашка""";СПб;Товар Г;-87;820,56;-71388,72
2023-04-22;ЗАО Техносила;Москва;Товар Б;95;4841,32;459925,40
2023-05-03;"ЗАО ""Техносила""";Нижний Новгород;Товар В;47;1076,22;50582,34
04/15/23;Gazprom;N.Novgorod;Товар В;71;4234,02;300615,42
2023-05-06;Яндекс;НН;Товар Г;59;1775,73;104768,07
2023-10-05;;москва;Товар А; 98 ;1461;143194,66
04/22/23;газпром оао;ЕКБ;Товар Г; 3 ; 5561,27₽ ;16683,81
05/21/23;ГАЗПРОМ;Н.Новгород;Товар Б;14;2485,59;34798,26
23.07.2023;"ЗАО ""Техносила""";спб;Товар Б;39;6571,98;256307,22
07/14/23;;Санкт-Петербург;Товар Г;83; 8593,81₽ ;713286,23
22.01.2023;"ООО ""Яндекс""";Екатеринбург;Товар А;88; 5678,75₽ ;499730,00
11.06.2023;Иванов И.П.;НН;Товар Г;10;5710,29;57102,90
07/16/23;"ООО ""Яндекс""";Екб;Товар В; 7 ; 2398,23₽ ;16787,61
11/11/23;яндекс ооо;Нижний Новгород;Товар Г;63;3816,73;240453,99
13.11.2023;ИП ИВАНОВ;москва;Товар Г;92;3957;364067,92
08/16/23;;Novosibirsk;Товар Д;-66; 3603,75₽ ;-237847,50
06/16/23;ТЕХНОСИЛА;москва;Товар Д;32; 3869,25₽ ;123816,00
10.09.2023;ИП Иванов;Novosibirsk;Товар А;47;6287,83;295528,01
05.06.2023;"ЗАО ""Техносила""";ЕКБ;Товар В;57;8609,13;490720,41
22.12.2023;ЗАО Техносила;новосибирск;Товар В;95;5801,20;551114,00
2023-07-21;Иванов И.П.;екатеринбург;Товар Д;4;7112,83;28451,32
07/29/23;Иванов ИП;Н.Новгород;Товар Г; 49 ;9907,94;485489,06
12/21/23;техносила;екатеринбург;Товар А;14;3614;50604,26
2023-12-13;ЗАО Техносила;Novosibirsk;Товар А;34;5624,13;191220,42
2023-08-26;ГАЗПРОМ;Москва;Товар В;54;8330,05;449822,70
04/16/23;РОМАШКА ООО;нижний новгород;Товар А; 39 ; 7136,71₽ ;278331,69
02/25/23;YANDEX;Санкт-Петербург;Товар В;72;7997,78;575840,16
22.07.2023;газпром оао;НСК;Товар Г;1;7548;7548,02
02.10.2023;ЗАО Техносила;Moskva;Товар Г;68;3947,53;268432,04
2023-08-23;"ООО ""Яндекс""";ЕКБ;Товар Б;41;1912,14;78397,74
03/12/23;ОАО Газпром;нижний новгород;Товар Б;72;1952,28;140564,16
01/05/23;"ЗАО ""Техносила""";Екб;Товар Г;88;4494,13;395483,44
23.04.2023;Иванов;Saint-Petersburg;Товар Г;73; 5542,29₽ ;404587,17
10/06/23;;N.Novgorod;Товар Б;55;7538,32;414607,60
06/28/23;РОМАШКА ООО;спб;Товар Д;89;6364,43;566434,27
2023-04-16;"ОАО ""Газпром""";екатеринбург;Товар В;38;5192,71;197322,98
2023-07-30;ООО Яндекс;М.;Товар В;32;4945,64;158260,48
20.08.2023;;Екб;Товар В;59;124,48;7344,32
2023-08-23;"ООО ""Ромашка""";новосибирск;Товар Г;28;2907,57;81411,96
2023-06-25;;;Товар Б;57;4335,21;247106,97
04.06.2023;;Нск;Товар В;86;4023,78;346045,08
02.12.2023;;Екатеринбург;Товар Д;29;179,82;5214,78
22.12.2023;"ООО ""Ромашка""";москва;Товар А;14;1457,58;20406,12
13.12.2023;ГАЗПРОМ;ЕКБ;Товар Г;45;1598,60;71937,00
02/14/23;РОМАШКА ООО;новосибирск;Товар Г;41;6481,74;265751,34
2023-05-26;Яндекс;СПб;Товар Д;25;640,23;16005,75
27.02.2023;ООО Яндекс;Екб;Товар А;47;8622,06;405236,82
2023-08-30;ООО Ромашка;Москва;Товар А;8;2936,23;23489,84
25.07.2023;"ОАО ""Газпром""";М.;Товар В;11;8099,79;89097,69
11/29/23;"ООО ""Яндекс""";спб;Товар А;56;644,78;36107,68
2023-01-07;ИП Иванов;Нск;Товар В;22;8747,25;192439,50
06/21/23;"ООО ""Ромашка""";Yekaterinburg;Товар Г;59;8607,66;507851,94
10/21/23;YANDEX;МОСКВА;Товар А; 32 ;3703,37;118507,84
2023-01-19;YANDEX;спб;Товар Г;93; 5758,21₽ ;535513,53
27.01.2023;ГАЗПРОМ;новосибирск;Товар Г;37;955,22;35343,14
06/05/23;техносила;Екатеринбург;Товар Б;94; 2526,76₽ ;237515,44
2023-04-30;"ООО ""Яндекс""";;Товар Г;95;5345,16;507790,20
03/14/23;ИП ИВАНОВ;Екб;Товар В;59; 1046,21₽ ;61726,39
02/08/23;Яндекс;спб;Товар В;51;3248;165687,27
27.10.2023;РОМАШКА ООО;НСК;Товар А;69;4573,98;315604,62
2023-12-18;;Новосибирск;Товар Б;-46;3058,52;-140691,92
2023-08-20;РОМАШКА ООО;М.;Товар А;100;8254,37;825437,00
2023-10-26;;москва;Товар Г; 17 ;8488,03;144296,51
26.01.2023;Gazprom;N.Novgorod;Товар А;49;2225,69;109058,81
2023-01-18;ООО Яндекс;Novosibirsk;Товар Г; 8 ;3891,85;31134,80
2023-05-08;ООО Ромашка;нижний новгород;Товар Д;63;3283;206884,44
2023-01-16;ромашка;Екатеринбург;Товар Д;30;6602,96;198088,80
2023-01-29;Gazprom;новосибирск;Товар Б;23;7407,24;170366,52
2023-06-30;Gazprom;Екатеринбург;Товар Б; 63 ;656;41331,78
06/19/23;Romashka Ltd;Санкт-Петербург;Товар В; 8 ;5907,43;47259,44
07/06/23;Яндекс;Moskva;Товар В;18;4425,00;79650,00
2023-12-29;газпром оао;спб;Товар Б;49;1360,75;66676,75
2023-07-20;;ЕКБ;Товар Д;29;5012;145354,67
13.06.2023;"ООО ""Ромашка""";Н.Новгород;Товар В; 58 ;2175,87;126200,46
01.01.2023;Tehnosila LLC;Санкт-Петербург;Товар Г;49;8305,19;406954,31
26.04.2023;"ООО ""Ромашка""";МОСКВА;Товар В;34;1784,04;60657,36
2023-02-17;ОАО Газпром;Novosibirsk;Товар Б;78;1102,45;85991,10
04.10.2023;Иванов ИП;;Товар Д;71;3672,21;260726,91
11/04/23;Иванов И.П.;Saint-Petersburg;Товар Г;15;4942;74130,90
04/05/23;ИП Иванов;С-Петербург;Товар В;29;1596;46289,51
;;;;;;
2023-10-05;ИП ИВАНОВ;новосибирск;Товар Г;69;5769,87;398121,03
01.01.2024;Gazprom;Yekaterinburg;Товар Д;19;1811,50;34418,50
06.03.2023;"ООО ""Ромашка""";Novosibirsk;Товар Б;77; 9150,32₽ ;704574,64
2023-07-23;ГАЗПРОМ;Москва;Товар Д;76; 4202,98₽ ;319426,48
2023-02-21;РОМАШКА ООО;екатеринбург;Товар Г;34; 6128,73₽ ;208376,82
2023-03-15;;Новосибирск;Товар А;96;3787,16;363567,36
2023-09-09;ИП ИВАНОВ;N.Novgorod;Товар В;35;983,94;34437,90
2023-09-06;ромашка;Санкт-Петербург;Товар Д;52; 8805,39₽ ;457880,28
04/13/23;;Нск;Товар В;48; 6390,56₽ ;291098,71
2023-11-01;ОАО Газпром;Нск;Товар В;96; 371,76₽ ;35688,96
2023-04-20;Яндекс;Нижний Новгород;Товар А;100; 4793,56₽ ;479356,00
05.01.2023;газпром оао;Saint-Petersburg;Товар В;55;4644,08;255424,40
11/16/23;ГАЗПРОМ;Нск;Товар Д;78;4869,21;379798,38
22.05.2023;"ООО ""Яндекс""";Нижний Новгород;Товар Б;67;8073,76;540941,92
15.12.2023;ООО Ромашка;Saint-Petersburg;Товар Г;-52;7109,88;-369713,76
2023-04-24;ОАО Газпром;Н.Новгород;Товар В;22; 1893,24₽ ;41651,28
2023-05-13;ИП Иванов;Новосибирск;Товар Б;46;4262,68;196083,28
08/26/23;ООО Яндекс;ЕКБ;Товар Б;65;5345,40;347451,00
2023-04-13;Tehnosila LLC;нижний новгород;Товар А;63; 3202,80₽ ;201776,40
04/18/23;яндекс ооо;НН;Товар Б;79;4347;343440,65
2023-07-11;яндекс ооо;;Товар А;81;8782,15;711354,15
06.06.2023;ромашка;Saint-Petersburg;Товар Д;77; 6899,12₽ ;531232,24
09/08/23;;спб;Товар Б;28;1772,95;57119,65
2023-05-11;газпром оао;Н.Новгород;Товар А;7;3864,51;27051,57
12/22/23;ТЕХНОСИЛА;Н.Новгород;Товар Д;78;8996,36;701716,08
2023-02-24;яндекс ооо;Екб;Товар В;91;5526,57;502917,87
01.05.2023;;Moskva;Товар Г;20;842,98;16859,60
08/22/23;;Санкт-Петербург;Товар В;47; 7411,55₽ ;348342,85
24.01.2023;Romashka Ltd;Санкт-Петербург;Товар Г;80;3788,96;303116,80
22.08.2023;"ЗАО ""Техносила""";Екатеринбург;Товар Б;15;9817,53;147262,95
2023-09-05;ИП Иванов;НН;Товар А;88;8928,45;785703,60
14.08.2023;Иванов;Москва;Товар Д;99;2317,45;229427,55
12/19/23;Яндекс;Екатеринбург;Товар Г;20; 9879,14₽ ;197582,80
03/22/23;ОАО Газпром;москва;Товар В;31;5118,60;158676,60
2023-02-10;;Екатеринбург;Товар А;-64; 4094,05₽ ;-262019,20
2023-02-16;ООО Яндекс;Екб;Товар Г;44;2306,89;101503,16
08/31/23;Tehnosila LLC;НН;Товар А;44;8019,14;352842,16
2023-03-26;YANDEX;Moskva;Товар Б;25;2234,34;55858,50
01.08.2023;ООО Яндекс;Yekaterinburg;Товар Г;59;1432,90;99261,68
2023-10-27;ИП Иванов;Санкт-Петербург;Товар Б;14;8838,69;123741,66
12/21/23;ЗАО Техносила;НСК;Товар Б;53;5171,72;274101,16
10/11/23;газпром оао;Н.Новгород;Товар Б;91;5088,55;463058,05
2023-06-30;Яндекс;Н.Новгород;Товар Д;37; 226,43₽ ;8377,91
01/28/23;яндекс ооо;Saint-Petersburg;Товар Б;8; 7560,58₽ ;60484,64
2023-02-22;"ОАО ""Газпром""";N.Novgorod;Товар Г;31;6991;216741,77
2023-08-02;ЗАО Техносила;;Товар В;26;8714,17;226568,42
2023-11-28;YANDEX;НН;Товар Б;38;837,24;31815,12
2023-01-21;Romashka Ltd;;Товар Г;-91;9293,42;-845701,22
2023-12-05;"ОАО ""Газпром""";нижний новгород;Товар Б;24;1677,77;40266,48
04/20/23;Иванов ИП;НН;Товар Г;72;187,16;13475,52
11/11/23;ромашка;Новосибирск;Товар А;50;344,59;17229,50
09/18/23;ООО Яндекс;Екб;Товар А;22;5378,74;118332,28
04/20/23;РОМАШКА ООО;нижний новгород;Товар Г;83; 6891,83₽ ;572021,89
20.01.2023;ромашка;С-Петербург;Товар Д;30;4566,14;136984,20
2023-03-02;;N.Novgorod;Товар А;46;7890;362950,58
2023-08-13;ООО Ромашка;екатеринбург;Товар Г;70;3050,76;213553,20
2023-11-28;"ОАО ""Газпром""";М.;Товар А;74;9475,10;701157,40
26.06.2023;ООО Яндекс;М.;Товар Б;79;1895,44;149739,76
2023-10-09;Иванов ИП;С-Петербург;Товар Д;63;6745,83;424987,29
04/10/23;газпром оао;нижний новгород;Товар Д;73; 4340,24₽ ;316837,52
2023-04-24;Иванов;М.;Товар В;62;3124,17;193698,54
05/24/23;"ОАО ""Газпром""";N.Novgorod;Товар А; 94 ;284;26737,36
07/27/23;ромашка;екатеринбург;Товар Д;61;3985,73;243129,53
2023-03-10;"ЗАО ""Техносила""";Москва;Товар Д;88;4517,58;397547,04
03/16/23;;НН;Товар А;-34;2147,06;-73000,04
08/21/23;ООО Яндекс;нижний новгород;Товар В;95;1821,11;173005,45
;;;;;;
02/09/23;ИП ИВАНОВ;Нск;Товар В;63;165,32;10415,16
09/21/23;ИП Иванов;ЕКБ;Товар А;85;7230,53;614595,05
03/24/23;;Yekaterinburg;Товар Б;81;1553,96;125870,76
2023-07-27;ООО Ромашка;N.Novgorod;Товар В;11;4766,99;52436,89
2023-03-15;ИП Иванов;Екб;Товар В;59; 3844,29₽ ;228873,60
2023-09-16;;Екатеринбург;Товар Д;5; 7548,59₽ ;37742,95
11/05/23;яндекс ооо;Novosibirsk;Товар В;6;9390,37;56342,22
12/23/23;Иванов;спб;Товар А;37; 2652,27₽ ;98133,99
01/04/23;ООО Ромашка;СПб;Товар В;53;6550,60;347181,80
2023-07-07;"ЗАО ""Техносила""";Novosibirsk;Товар Д;62;4889,23;303132,26
2023-07-23;Яндекс;спб;Товар Б;13;3450,53;44856,89
2023-03-24;"ООО ""Ромашка""";Екатеринбург;Товар Г; 12 ; 2295,53₽ ;26271,80
2023-07-25;"ООО ""Яндекс""";МОСКВА;Товар Б;-82;8520,62;-698690,84
2023-11-03;газпром оао;МОСКВА;Товар А; 21 ;2831,78;59467,38
2023-04-13;"ООО ""Ромашка""";екатеринбург;Товар Д;75;2837,43;212807,25
22.10.2023;ИП Иванов;Moskva;Товар Д;38;5181,54;196898,52
2023-05-09;Gazprom;спб;Товар Г;88; 370,77₽ ;32627,76
11/21/23;"ООО ""Яндекс""";Новосибирск;Товар В;67;2707,16;181379,72
25.06.2023;ИП Иванов;Нск;Товар Д;35;9309,53;325833,55
05/04/23;Иванов И.П.;ЕКБ;Товар А;16;6667,90;106686,40
01/22/23;ЗАО Техносила;Yekaterinburg;Товар Г;24;2874,64;68991,36
2023-08-05;ГАЗПРОМ;Н.Новгород;Товар Г;16; 6923,18₽ ;110770,88
25.10.2023;техносила;С-Петербург;Товар В;31;3496,65;108396,15
07/10/23;Tehnosila LLC;М.;Товар Б;13;5597,87;72772,31
;;;;;;
03/18/23;ТЕХНОСИЛА;Нижний Новгород;Товар В;63;5721,56;360458,28
2023-05-11;Tehnosila LLC;С-Петербург;Товар Д;72; 296,37₽ ;21338,64
07.11.2023;Gazprom;екатеринбург;Товар В;46;7769;357418,62
08/26/23;ИП Иванов;Новосибирск;Товар Д;74;883,21;65357,54
30.12.2023;ООО Яндекс;НСК;Товар В;96;4198;403055,04
05.12.2023;YANDEX;москва;Товар Г; 14 ;9374;131239,64
09/26/23;Иванов;москва;Товар Г;40; 4487,29₽ ;179491,60
29.03.2023;Яндекс;Новосибирск;Товар Г;70;1437,64;100634,80
2023-08-22;Gazprom;Нижний Новгород;Товар В;45;986,58;44396,10
06.01.2023;яндекс ооо;Нск;Товар Д;2;7579,18;15158,36
02.11.2023;ООО Ромашка;СПб;Товар Д;56;7397,47;414258,32
2023-08-05;газпром оао;Н.Новгород;Товар Д;35;1905,83;66704,05
05/20/23;;МОСКВА;Товар А;24;1337;32109,36
01/08/23;Иванов ИП;Екатеринбург;Товар Г;90;8451;760599,90
02/06/23;Иванов;Москва;Товар Б;50; 7402,43₽ ;370121,50
2023-02-18;ОАО Газпром;Saint-Petersburg;Товар Б;81; 5540,84₽ ;448808,04
02.06.2023;ромашка;СПб;Товар Б;-82;7964,46;-653085,72
2023-01-22;"ООО ""Яндекс""";Нск;Товар Б;21;3450,38;72457,98
2023-07-02;РОМАШКА ООО;спб;Товар Д;83;4443,32;368795,56
10.03.2023;ромашка;НСК;Товар Д;90;5481,84;493365,60
2023-11-03;"ООО ""Ромашка""";НСК;Товар В;-70;6416,46;-513260,46
14.11.2023;;екатеринбург;Товар Б;68;1625,90;110561,20
02/19/23;Romashka Ltd;МОСКВА;Товар Г; 25 ;5753,02;143825,50
12/26/23;ИП ИВАНОВ;;Товар Б;84;891;74891,88
