id_кредита;возраст_заемщика;доход_руб;тип_занятости;семейное_положение;цель_кредита;сумма_кредита;срок_месяцев;процентная_ставка;ежемесячный_платеж;отношение_платеж_доход;дата_выдачи;просрочка_дней;текущий_статус;риск_скор
KR000043;29;70000;Госслужащий;Холост/Не замужем;Потребительский;878657;60;22.63;24582.92;0.351;25.09.2023;0;Норма;-0.05
KR000044;40;85000;Пенсионер;Разведен(а);Потребительский;244922;60;17.15;6106.68;0.072;15.09.2023;0;Норма;0.0
KR000045;39;200000;Пенсионер;Разведен(а);Ипотека;3441310;300;11.47;34904.89;0.175;26.01.2023;0;Норма;-0.05
KR000046;50;150000;Наемный работник;Холост/Не замужем;Потребительский;1473514;60;16.77;36439.66;0.243;28.02.2023;0;Норма;-0.1
KR000047;35;85000;ИП;Женат/Замужем;Автокредит;1567430;84;14.65;29940.43;0.352;12.04.2024;0;Норма;0.07
KR000048;38;70000;Наемный работник;Разведен(а);Автокредит;838947;36;14.92;29050.52;0.415;12.03.2023;0;Норма;0.05
KR000049;36;45000;ИП;Вдовец/Вдова;Потребительский;1285743;36;24.84;51010.52;1.134;01.09.2023;0;Норма;0.3
KR000050;48;100000;Пенсионер;Холост/Не замужем;Рефинансирование;1478077;12;17.46;135133.63;1.351;16.04.2024;0;Норма;0.2
KR000051;40;55000;Наемный работник;Вдовец/Вдова;Рефинансирование;720001;48;17.65;21018.45;0.382;03.07.2023;0;Норма;0.0
KR000052;35;70000;ИП;Вдовец/Вдова;Потребительский;771081;36;17.63;27732.02;0.396;30.06.2023;0;Норма;0.1
KR000053;53;150000;ИП;Женат/Замужем;Рефинансирование;158954;60;23.15;4494.5;0.03;28.09.2024;0;Норма;-0.03
KR000054;46;55000;Госслужащий;Разведен(а);Потребительский;675542;24;22.52;35218.5;0.64;22.03.2023;0;Норма;0.2
KR000055;55;25000;ИП;Холост/Не замужем;Автокредит;2043146;36;13.67;69501.71;2.78;14.07.2023;0;Норма;0.45
KR000056;57;25000;Госслужащий;Разведен(а);Ипотека;3964036;300;10.79;38242.32;1.53;21.04.2024;0;Норма;0.35
KR000057;63;120000;Пенсионер;Разведен(а);Рефинансирование;578592;36;23.64;22590.38;0.188;29.06.2023;0;Норма;0.05
KR000058;45;55000;ИП;Вдовец/Вдова;Автокредит;640770;84;13.27;11752.57;0.214;26.09.2024;0;Норма;0.05
KR000059;26;35000;Наемный работник;Холост/Не замужем;Рефинансирование;638251;48;19.29;19180.24;0.548;09.08.2024;0;Норма;0.35
KR000060;42;55000;Наемный работник;Женат/Замужем;Ипотека;7172955;180;13.47;92968.71;1.69;18.06.2023;0;Норма;0.17
KR000061;23;100000;ИП;Женат/Замужем;Потребительский;1487932;12;22.65;139725.57;1.397;26.08.2023;0;Норма;0.37
KR000062;59;25000;Пенсионер;Разведен(а);Рефинансирование;1064228;60;20.3;28372.77;1.135;27.02.2023;5;Просрочка;0.4
KR000063;51;45000;Госслужащий;Женат/Замужем;Ипотека;6483686;240;11.83;70603.4;1.569;22.05.2023;0;Норма;0.12
KR000064;49;85000;Наемный работник;Разведен(а);Рефинансирование;1241913;36;16.12;43735.54;0.515;17.01.2023;0;Норма;0.25
KR000065;64;45000;ИП;Женат/Замужем;Рефинансирование;1359607;12;16.02;123373.19;2.742;28.10.2023;0;Норма;0.37
KR000066;40;200000;Пенсионер;Женат/Замужем;Ипотека;5115944;300;13.32;58924.09;0.295;07.01.2024;0;Норма;-0.13
KR000067;26;85000;Пенсионер;Разведен(а);Потребительский;310424;12;23.41;29265.17;0.344;11.02.2023;0;Норма;0.05
KR000068;53;35000;Наемный работник;Холост/Не замужем;Ипотека;6596247;300;11.71;68079.22;1.945;08.03.2024;0;Норма;0.35
KR000069;40;150000;Госслужащий;Вдовец/Вдова;Автокредит;1296834;60;15.7;31330.52;0.209;30.03.2024;0;Норма;-0.15
KR000070;30;85000;ИП;Вдовец/Вдова;Рефинансирование;540674;60;20.14;14368.03;0.169;01.02.2024;0;Норма;0.05
KR000071;27;45000;Пенсионер;Разведен(а);Автокредит;726037;48;13.23;19560.03;0.435;18.05.2023;0;Норма;0.05
KR000072;28;120000;ИП;Холост/Не замужем;Потребительский;826272;36;15.04;28658.68;0.239;16.10.2024;0;Норма;0.0
KR000073;58;55000;Госслужащий;Холост/Не замужем;Рефинансирование;890778;60;14.75;21074.37;0.383;04.01.2023;0;Норма;-0.05
KR000074;61;25000;Наемный работник;Разведен(а);Ипотека;2836112;180;9.97;30432.27;1.217;05.12.2023;0;Норма;0.5
KR000075;48;35000;ИП;Холост/Не замужем;Автокредит;1283879;84;15.8;25353.71;0.724;21.12.2023;5;Просрочка;0.45
KR000076;39;70000;ИП;Холост/Не замужем;Автокредит;873420;36;13.53;29652.55;0.424;29.04.2023;0;Норма;0.1
KR000077;27;200000;Наемный работник;Холост/Не замужем;Потребительский;808653;60;14.27;18928.48;0.095;27.05.2023;0;Норма;-0.1
KR000078;56;55000;Пенсионер;Холост/Не замужем;Потребительский;365706;48;20.42;11210.48;0.204;19.06.2023;0;Норма;-0.05
KR000079;38;45000;Пенсионер;Вдовец/Вдова;Рефинансирование;957144;48;15.36;26811.0;0.596;21.04.2024;0;Норма;0.2
KR000080;58;35000;Наемный работник;Разведен(а);Автокредит;2741978;48;15.81;77438.04;2.213;02.08.2023;60;Просрочка;0.4
KR000081;24;55000;ИП;Холост/Не замужем;Рефинансирование;436481;36;18.52;15894.78;0.289;20.02.2024;0;Норма;0.15
KR000082;29;25000;Пенсионер;Женат/Замужем;Ипотека;5193061;120;11.89;74184.11;2.967;02.10.2023;0;Норма;0.32
KR000083;49;85000;Госслужащий;Вдовец/Вдова;Потребительский;1113379;12;17.27;101688.61;1.196;26.01.2024;0;Норма;0.15
KR000084;33;55000;Пенсионер;Женат/Замужем;Рефинансирование;266627;24;23.54;14035.34;0.255;05.11.2023;0;Норма;-0.08
KR000085;64;25000;Наемный работник;Разведен(а);Рефинансирование;809227;60;20.94;21864.41;0.875;23.02.2023;0;Норма;0.5
KR000086;24;120000;ИП;Женат/Замужем;Потребительский;1415957;36;19.88;52534.4;0.438;31.01.2024;0;Норма;0.12
KR000087;42;100000;Наемный работник;Разведен(а);Ипотека;4118497;120;12.7;60762.75;0.608;10.03.2024;15;Просрочка;0.25
KR000088;45;25000;Наемный работник;Разведен(а);Потребительский;1346921;36;24.99;53546.99;2.142;27.10.2024;0;Норма;0.4
KR000089;58;200000;Наемный работник;Женат/Замужем;Ипотека;7028031;300;12.18;74943.38;0.375;23.10.2023;0;Норма;-0.08
KR000090;64;35000;Пенсионер;Холост/Не замужем;Ипотека;5154044;300;10.89;50088.01;1.431;06.12.2024;0;Норма;0.45
KR000091;48;100000;ИП;Холост/Не замужем;Потребительский;368903;12;17.02;33649.99;0.336;16.11.2023;0;Норма;0.1
KR000092;28;35000;Наемный работник;Холост/Не замужем;Рефинансирование;605214;12;21.46;56486.25;1.614;02.02.2024;0;Норма;0.35
KR000093;25;85000;ИП;Холост/Не замужем;Потребительский;746002;36;14.12;25538.37;0.3;13.09.2024;0;Норма;0.1
KR000094;43;200000;ИП;Холост/Не замужем;Автокредит;1506092;84;13.81;28069.08;0.14;17.04.2024;0;Норма;0.0
KR000095;59;85000;Наемный работник;Разведен(а);Рефинансирование;198322;24;16.31;9740.19;0.115;08.08.2023;0;Норма;0.0
KR000096;41;70000;Наемный работник;Разведен(а);Ипотека;2374216;120;13.41;36025.44;0.515;04.08.2024;0;Норма;0.25
KR000097;35;25000;ИП;Вдовец/Вдова;Рефинансирование;726393;12;17.68;66484.67;2.659;02.03.2024;60;Просрочка;0.45
KR000098;50;200000;Госслужащий;Холост/Не замужем;Ипотека;6894900;240;10.75;69985.76;0.35;28.03.2024;0;Норма;-0.1
KR000099;38;150000;ИП;Вдовец/Вдова;Рефинансирование;506702;60;17.53;12736.36;0.085;03.07.2024;0;Норма;0.0
KR000100;59;200000;Госслужащий;Женат/Замужем;Рефинансирование;537184;36;17.91;19396.81;0.097;06.12.2023;0;Норма;-0.18
KR000101;37;120000;Госслужащий;Вдовец/Вдова;Автокредит;558191;36;16.63;19799.23;0.165;20.01.2023;0;Норма;-0.15
KR000102;58;150000;ИП;Вдовец/Вдова;Ипотека;7256454;300;12.29;78013.18;0.52;05.12.2023;0;Норма;0.25
KR000103;25;35000;Госслужащий;Холост/Не замужем;Ипотека;2761669;240;11.46;29379.52;0.839;01.11.2023;0;Норма;0.3
KR000104;45;200000;Госслужащий;Женат/Замужем;Ипотека;2559580;240;12.17;28484.83;0.142;12.01.2024;0;Норма;-0.18
KR000105;25;70000;Пенсионер;Холост/Не замужем;Автокредит;600397;84;13.03;10932.38;0.156;31.08.2023;0;Норма;-0.05
KR000106;40;25000;Госслужащий;Разведен(а);Автокредит;1473992;84;14.75;28234.47;1.129;01.07.2023;30;Просрочка;0.35
KR000107;24;85000;ИП;Разведен(а);Потребительский;1077262;12;21.77;100707.62;1.185;27.12.2023;0;Норма;0.45
KR000108;57;25000;Госслужащий;Женат/Замужем;Рефинансирование;436041;24;15.55;21256.62;0.85;09.06.2024;0;Норма;0.27
KR000109;46;100000;Наемный работник;Женат/Замужем;Потребительский;1444911;48;15.83;40826.15;0.408;04.03.2024;0;Норма;-0.03
KR000110;30;70000;Пенсионер;Разведен(а);Потребительский;79070;60;21.44;2158.95;0.031;31.08.2024;0;Норма;0.0
KR000111;39;150000;Госслужащий;Женат/Замужем;Автокредит;2241693;60;16.13;54673.95;0.364;11.04.2024;0;Норма;-0.13
KR000112;56;100000;Пенсионер;Разведен(а);Потребительский;1310064;24;24.66;69695.31;0.697;14.08.2023;0;Норма;0.25
KR000113;35;150000;ИП;Холост/Не замужем;Ипотека;3575915;240;12.95;41763.42;0.278;02.07.2024;0;Норма;0.0
KR000114;63;120000;Наемный работник;Вдовец/Вдова;Автокредит;626144;60;14.64;14778.6;0.123;28.11.2024;0;Норма;0.0
KR000115;62;55000;ИП;Холост/Не замужем;Ипотека;4684417;240;10.41;46480.72;0.845;18.03.2024;0;Норма;0.4
KR000116;53;25000;Пенсионер;Холост/Не замужем;Ипотека;3060602;180;10.51;33859.91;1.354;14.12.2023;15;Просрочка;0.35
KR000117;49;100000;Госслужащий;Разведен(а);Потребительский;123864;48;22.34;3925.44;0.039;10.03.2024;0;Норма;-0.05
KR000118;25;55000;Наемный работник;Разведен(а);Ипотека;6519889;240;10.46;64905.05;1.18;22.03.2023;0;Норма;0.25
KR000119;28;25000;Наемный работник;Разведен(а);Автокредит;1913478;60;13.53;44063.08;1.763;28.11.2024;5;Просрочка;0.4
KR000120;45;70000;Госслужащий;Холост/Не замужем;Потребительский;1097537;12;23.6;103569.27;1.48;27.10.2023;0;Норма;0.15
KR000121;46;120000;ИП;Вдовец/Вдова;Рефинансирование;1058499;36;22.3;40587.54;0.338;28.08.2023;0;Норма;0.05
KR000122;54;120000;ИП;Разведен(а);Потребительский;782405;24;15.38;38077.96;0.317;23.01.2023;0;Норма;0.1
KR000123;56;70000;ИП;Холост/Не замужем;Ипотека;5653854;300;9.68;50103.9;0.716;10.05.2024;360;Проблемный;0.3
KR000124;24;55000;Госслужащий;Разведен(а);Автокредит;2873951;48;12.16;75912.65;1.38;16.05.2024;0;Норма;0.3
KR000125;58;85000;Пенсионер;Холост/Не замужем;Рефинансирование;267592;24;17.69;13319.56;0.157;25.06.2023;0;Норма;-0.05
KR000126;26;100000;Госслужащий;Вдовец/Вдова;Ипотека;5822466;180;10.41;64053.34;0.641;08.10.2023;90;Просрочка;0.15
KR000127;56;150000;Наемный работник;Холост/Не замужем;Автокредит;510309;48;16.5;14594.24;0.097;29.11.2024;0;Норма;-0.1
KR000128;27;35000;ИП;Вдовец/Вдова;Рефинансирование;1377259;60;19.74;36291.48;1.037;03.11.2024;0;Норма;0.45
KR000129;25;100000;Пенсионер;Женат/Замужем;Рефинансирование;1135983;48;14.67;31423.61;0.314;28.01.2024;0;Норма;-0.03
KR000130;37;25000;ИП;Холост/Не замужем;Рефинансирование;1126077;24;18.55;56516.41;2.261;16.08.2023;0;Норма;0.45
KR000131;43;200000;ИП;Вдовец/Вдова;Потребительский;140052;60;14.09;3265.06;0.016;19.10.2023;0;Норма;0.0
KR000132;46;70000;Госслужащий;Холост/Не замужем;Потребительский;737646;24;15.97;36105.42;0.516;29.03.2023;0;Норма;0.15
KR000133;49;55000;ИП;Разведен(а);Автокредит;895693;60;12.39;20102.29;0.365;11.05.2024;0;Норма;0.15
KR000134;42;25000;Наемный работник;Вдовец/Вдова;Ипотека;6325742;180;12.31;77186.01;3.087;08.11.2024;0;Норма;0.35
KR000135;52;200000;Госслужащий;Разведен(а);Автокредит;1663673;84;13.24;30480.37;0.152;22.04.2024;0;Норма;-0.1
KR000136;44;70000;Госслужащий;Вдовец/Вдова;Автокредит;2518993;60;16.91;62482.99;0.893;07.08.2023;0;Норма;0.15
KR000137;40;85000;Госслужащий;Разведен(а);Потребительский;121991;48;15.23;3409.23;0.04;28.11.2023;0;Норма;-0.05
KR000138;63;35000;Пенсионер;Холост/Не замужем;Рефинансирование;869196;60;20.42;23231.61;0.664;12.10.2024;0;Норма;0.45
KR000139;28;70000;Пенсионер;Разведен(а);Потребительский;262537;12;15.67;23779.7;0.34;05.08.2023;0;Норма;0.05
KR000140;33;100000;Пенсионер;Вдовец/Вдова;Потребительский;1398909;24;21.29;72081.23;0.721;22.10.2024;0;Норма;0.2
KR000141;24;200000;ИП;Разведен(а);Ипотека;6614878;360;11.46;65314.68;0.327;09.02.2023;0;Норма;0.2
KR000142;29;25000;Госслужащий;Холост/Не замужем;Рефинансирование;1327174;12;14.48;119464.58;4.779;25.07.2023;0;Норма;0.3
KR000143;46;200000;Наемный работник;Вдовец/Вдова;Потребительский;670437;36;22.5;25779.52;0.129;15.10.2024;0;Норма;-0.1
KR000144;23;150000;Пенсионер;Холост/Не замужем;Потребительский;567982;24;22.72;29667.38;0.198;11.03.2024;0;Норма;0.0
KR000145;54;70000;ИП;Холост/Не замужем;Потребительский;1277855;60;22.08;35350.94;0.505;23.11.2023;0;Норма;0.3
KR000146;45;35000;ИП;Разведен(а);Ипотека;6618620;120;11.75;94010.26;2.686;20.07.2023;0;Норма;0.5
KR000147;44;150000;Пенсионер;Вдовец/Вдова;Автокредит;747967;36;12.73;25105.44;0.167;10.07.2024;0;Норма;-0.1
KR000148;23;85000;ИП;Разведен(а);Рефинансирование;1060149;24;20.01;53961.3;0.635;07.10.2023;0;Норма;0.45
KR000149;26;85000;ИП;Разведен(а);Рефинансирование;779475;12;23.26;73427.77;0.864;29.09.2024;0;Норма;0.35
KR000150;32;25000;Пенсионер;Вдовец/Вдова;Автокредит;997715;48;16.52;28543.63;1.142;20.05.2023;60;Просрочка;0.35
KR000151;45;100000;ИП;Разведен(а);Ипотека;6209499;120;9.57;80595.56;0.806;09.05.2023;360;Проблемный;0.35
KR000152;49;120000;Наемный работник;Женат/Замужем;Потребительский;350584;60;18.08;8918.54;0.074;04.06.2023;0;Норма;-0.13
KR000153;61;120000;ИП;Вдовец/Вдова;Автокредит;591776;60;12.3;13253.75;0.11;31.01.2023;0;Норма;0.1
KR000154;44;35000;Наемный работник;Холост/Не замужем;Потребительский;835126;48;18.6;24794.71;0.708;30.09.2024;0;Норма;0.35
KR000155;45;150000;Наемный работник;Женат/Замужем;Рефинансирование;544462;36;19.91;20209.12;0.135;07.09.2024;0;Норма;-0.13
KR000156;53;25000;ИП;Вдовец/Вдова;Рефинансирование;328529;24;16.66;16188.89;0.648;23.02.2023;5;Просрочка;0.45
KR000157;23;150000;Госслужащий;Вдовец/Вдова;Ипотека;2787265;300;11.28;27884.17;0.186;24.06.2024;0;Норма;-0.05
KR000158;54;55000;Госслужащий;Холост/Не замужем;Рефинансирование;849978;48;20.4;26046.02;0.474;16.06.2024;0;Норма;-0.05
KR000159;64;120000;ИП;Женат/Замужем;Автокредит;1071079;36;13.8;36501.73;0.304;17.03.2023;0;Норма;0.12
KR000160;26;200000;Госслужащий;Холост/Не замужем;Потребительский;703400;36;23.2;27301.31;0.137;25.05.2023;0;Норма;-0.15
KR000161;59;55000;Госслужащий;Вдовец/Вдова;Рефинансирование;1215359;60;22.03;33587.46;0.611;06.10.2024;0;Норма;0.15
KR000162;59;150000;Пенсионер;Разведен(а);Автокредит;2338006;60;14.74;55300.82;0.369;19.04.2024;0;Норма;0.0
KR000163;35;200000;Пенсионер;Разведен(а);Ипотека;4314709;360;12.8;47063.42;0.235;02.07.2024;0;Норма;-0.05
KR000164;37;45000;Пенсионер;Вдовец/Вдова;Ипотека;2949362;180;12.02;35438.71;0.788;17.05.2024;0;Норма;0.2
KR000165;61;45000;ИП;Женат/Замужем;Рефинансирование;386751;12;22.94;36372.68;0.808;26.06.2023;0;Норма;0.37
KR000166;47;35000;Госслужащий;Женат/Замужем;Рефинансирование;133746;36;19.16;4913.56;0.14;09.04.2024;60;Просрочка;0.02
KR000167;35;25000;Госслужащий;Женат/Замужем;Потребительский;90299;60;14.21;2110.73;0.084;03.03.2024;0;Норма;0.02
KR000168;41;85000;Госслужащий;Вдовец/Вдова;Автокредит;2659861;60;13.38;61043.59;0.718;26.06.2024;0;Норма;0.15
KR000169;59;70000;Наемный работник;Женат/Замужем;Потребительский;276804;36;21.23;10461.86;0.149;26.09.2023;0;Норма;-0.08
KR000170;51;200000;ИП;Вдовец/Вдова;Потребительский;454649;60;23.48;12943.72;0.065;21.10.2023;0;Норма;0.0
KR000171;48;120000;ИП;Холост/Не замужем;Рефинансирование;1392881;24;22.05;72293.36;0.602;22.10.2023;0;Норма;0.25
KR000172;29;85000;ИП;Разведен(а);Ипотека;7069368;300;12.47;76915.84;0.905;06.09.2024;0;Норма;0.35
KR000173;43;200000;Госслужащий;Женат/Замужем;Рефинансирование;1409432;48;20.07;42943.98;0.215;11.08.2024;0;Норма;-0.18
KR000174;46;200000;ИП;Разведен(а);Ипотека;6159201;300;10.68;58928.59;0.295;08.04.2024;0;Норма;0.05
KR000175;55;85000;Наемный работник;Холост/Не замужем;Ипотека;6215125;300;9.87;55913.45;0.658;07.04.2023;120;Проблемный;0.2
KR000176;45;150000;Госслужащий;Женат/Замужем;Автокредит;672568;60;12.42;15103.81;0.101;15.08.2024;0;Норма;-0.18
KR000177;35;55000;Наемный работник;Женат/Замужем;Потребительский;1381932;12;18.15;126796.07;2.305;27.04.2024;0;Норма;0.17
KR000178;28;70000;Госслужащий;Разведен(а);Потребительский;1130766;60;21.61;30979.19;0.443;19.12.2024;0;Норма;0.0
KR000179;40;25000;Пенсионер;Разведен(а);Рефинансирование;731848;60;15.55;17623.69;0.705;15.09.2024;0;Норма;0.4
KR000180;54;35000;ИП;Вдовец/Вдова;Потребительский;945170;48;14.86;26237.2;0.75;06.11.2024;5;Просрочка;0.45
KR000181;22;35000;ИП;Холост/Не замужем;Потребительский;143688;60;24.61;4184.73;0.12;12.05.2023;60;Просрочка;0.3
KR000182;37;120000;Пенсионер;Вдовец/Вдова;Автокредит;1632385;84;15.94;32365.06;0.27;14.10.2023;0;Норма;-0.1
KR000183;53;45000;Пенсионер;Разведен(а);Автокредит;2128172;60;13.08;48507.23;1.078;31.12.2024;0;Норма;0.25
KR000184;51;85000;ИП;Разведен(а);Ипотека;7147557;300;12.43;77586.17;0.913;27.05.2024;0;Норма;0.35
KR000185;37;55000;Пенсионер;Вдовец/Вдова;Ипотека;6600866;180;12.57;81670.04;1.485;26.02.2024;0;Норма;0.2
KR000186;48;45000;ИП;Вдовец/Вдова;Автокредит;2719877;84;16.08;54147.69;1.203;30.03.2023;0;Норма;0.3
KR000187;33;25000;Наемный работник;Вдовец/Вдова;Автокредит;1669929;84;13.11;30481.9;1.219;20.12.2023;0;Норма;0.35
KR000188;29;55000;ИП;Холост/Не замужем;Рефинансирование;1120618;48;16.94;32298.61;0.587;07.10.2024;0;Норма;0.3
KR000189;22;55000;Госслужащий;Женат/Замужем;Ипотека;2839858;300;11.71;29305.19;0.533;07.11.2024;0;Норма;0.22
KR000190;30;55000;Наемный работник;Женат/Замужем;Автокредит;2912857;60;16.86;72174.77;1.312;28.04.2024;0;Норма;0.17
KR000191;59;150000;Пенсионер;Холост/Не замужем;Ипотека;2312848;180;10.49;25558.49;0.17;19.02.2023;0;Норма;-0.1
KR000192;61;150000;ИП;Вдовец/Вдова;Рефинансирование;645681;36;14.45;22208.7;0.148;04.11.2023;0;Норма;0.1
KR000193;34;200000;Пенсионер;Разведен(а);Ипотека;7403377;240;10.7;74915.07;0.375;30.09.2023;0;Норма;0.0
KR000194;44;35000;Пенсионер;Холост/Не замужем;Рефинансирование;1113850;48;23.8;36188.95;1.034;13.08.2023;0;Норма;0.35
KR000195;64;45000;Наемный работник;Холост/Не замужем;Рефинансирование;1197417;48;23.95;39005.37;0.867;03.05.2023;0;Норма;0.3
KR000196;39;85000;Госслужащий;Женат/Замужем;Ипотека;4052644;300;13.49;47223.07;0.556;28.06.2024;0;Норма;0.12
KR000197;23;85000;ИП;Разведен(а);Рефинансирование;516975;24;18.15;25846.77;0.304;20.01.2024;0;Норма;0.25
KR000198;64;35000;ИП;Разведен(а);Автокредит;533459;84;15.22;10359.58;0.296;25.06.2024;5;Просрочка;0.35
KR000199;38;55000;ИП;Разведен(а);Автокредит;1548732;36;12.67;51934.2;0.944;21.01.2023;180;Проблемный;0.35
KR000200;31;200000;ИП;Женат/Замужем;Потребительский;368615;36;17.71;13273.61;0.066;11.03.2023;0;Норма;-0.03
KR000201;22;150000;ИП;Вдовец/Вдова;Рефинансирование;190013;24;19.24;9600.24;0.064;28.01.2023;0;Норма;0.1
KR000202;31;150000;Госслужащий;Разведен(а);Потребительский;1241872;24;14.38;59846.26;0.399;03.06.2024;0;Норма;-0.05
KR000203;39;35000;Наемный работник;Вдовец/Вдова;Автокредит;1444006;48;14.71;39973.07;1.142;09.05.2023;0;Норма;0.35
