дата;категория;описание;сумма;способ_оплаты;необходимость
18.09.2025;Образование;Покупка в категории Образование;4874;Перевод;Необходимое
18.09.2025;Прочее;Покупка в категории Прочее;399;Перевод;Импульсивное
18.09.2025;Образование;Покупка в категории Образование;19555;Перевод;Желательное
18.09.2025;Образование;Покупка в категории Образование;11974;Наличные;Желательное
18.09.2025;Транспорт;Покупка в категории Транспорт;1314;Перевод;Необходимое
19.09.2025;Прочее;Покупка в категории Прочее;323;Карта;Необходимое
19.09.2025;Развлечения;Покупка в категории Развлечения;4744;Карта;Необходимое
19.09.2025;Продукты;Покупка в категории Продукты;2455;Перевод;Необходимое
20.09.2025;Транспорт;Покупка в категории Транспорт;309;Карта;Импульсивное
20.09.2025;Продукты;Покупка в категории Продукты;1645;Наличные;Необходимое
21.09.2025;Образование;Покупка в категории Образование;6328;Наличные;Необходимое
21.09.2025;Прочее;Покупка в категории Прочее;2926;Перевод;Необходимое
21.09.2025;Здоровье;Покупка в категории Здоровье;5360;Перевод;Импульсивное
21.09.2025;Прочее;Покупка в категории Прочее;282;Наличные;Импульсивное
21.09.2025;Здоровье;Покупка в категории Здоровье;7265;Наличные;Необходимое
22.09.2025;Продукты;Покупка в категории Продукты;1623;Карта;Желательное
22.09.2025;Образование;Покупка в категории Образование;16788;Карта;Импульсивное
23.09.2025;Одежда;Покупка в категории Одежда;9769;Наличные;Импульсивное
23.09.2025;Здоровье;Покупка в категории Здоровье;7711;Перевод;Необходимое
23.09.2025;Развлечения;Покупка в категории Развлечения;4355;Наличные;Желательное
23.09.2025;Образование;Покупка в категории Образование;21033;Перевод;Необходимое
23.09.2025;Образование;Покупка в категории Образование;24287;Наличные;Желательное
24.09.2025;Прочее;Покупка в категории Прочее;2898;Перевод;Желательное
25.09.2025;Транспорт;Покупка в категории Транспорт;546;Карта;Импульсивное
25.09.2025;Одежда;Покупка в категории Одежда;9422;Наличные;Необходимое
25.09.2025;Развлечения;Покупка в категории Развлечения;2286;Перевод;Желательное
26.09.2025;Прочее;Покупка в категории Прочее;930;Наличные;Импульсивное
26.09.2025;Транспорт;Покупка в категории Транспорт;309;Карта;Желательное
26.09.2025;Коммунальные;Покупка в категории Коммунальные;7623;Перевод;Желательное
26.09.2025;Здоровье;Покупка в категории Здоровье;5889;Наличные;Импульсивное
27.09.2025;Одежда;Покупка в категории Одежда;11281;Наличные;Желательное
27.09.2025;Одежда;Покупка в категории Одежда;8362;Наличные;Желательное
27.09.2025;Здоровье;Покупка в категории Здоровье;6570;Перевод;Желательное
27.09.2025;Одежда;Покупка в категории Одежда;4342;Перевод;Импульсивное
27.09.2025;Прочее;Покупка в категории Прочее;1327;Наличные;Импульсивное
27.09.2025;Коммунальные;Покупка в категории Коммунальные;2983;Наличные;Импульсивное
27.09.2025;Одежда;Покупка в категории Одежда;8509;Наличные;Желательное
28.09.2025;Образование;Покупка в категории Образование;2279;Перевод;Желательное
28.09.2025;Одежда;Покупка в категории Одежда;3245;Перевод;Импульсивное
28.09.2025;Продукты;Покупка в категории Продукты;3203;Карта;Импульсивное
29.09.2025;Здоровье;Покупка в категории Здоровье;1255;Наличные;Желательное
29.09.2025;Прочее;Покупка в категории Прочее;1395;Перевод;Необходимое
29.09.2025;Коммунальные;Покупка в категории Коммунальные;5715;Наличные;Желательное
29.09.2025;Продукты;Покупка в категории Продукты;853;Наличные;Желательное
30.09.2025;Здоровье;Покупка в категории Здоровье;2004;Карта;Необходимое
30.09.2025;Здоровье;Покупка в категории Здоровье;1580;Наличные;Необходимое
