id_объявления;район;тип_недвижимости;комнат;площадь_кв_м;этаж;этажность_дома;год_постройки;состояние;тип_дома;цена_руб;цена_за_кв_м;балкон;парковка;до_метро_мин;дата_публикации
APT0057;Центральный;Новостройка;2;59;21;23;2020;Евроремонт;Кирпичный;8185830;138742;Есть;Есть;36;08.09.2025
APT0058;Ленинский;Вторичка;4;118;7;11;1980;Черновая;Кирпичный;10103969;85626;Нет;Нет;19;02.07.2025
APT0059;Советский;Новостройка;4;83;12;23;2020;Черновая;Монолит-кирпич;8376882;100926;Есть;Нет;23;09.08.2025
APT0060;Ленинский;Новостройка;2;63;6;6;2022;Дизайнерский ремонт;Монолитный;7631592;121136;Есть;Есть;6;07.07.2025
APT0061;Ленинский;Вторичка;4;107;19;24;1975;Евроремонт;Монолит-кирпич;10718596;100173;Нет;Нет;9;27.07.2025
APT0062;Советский;Вторичка;2;67;4;17;1969;Чистовая;Кирпичный;4425562;66053;Есть;Нет;57;30.08.2025
APT0063;Октябрьский;Вторичка;1;26;16;23;1987;Евроремонт;Монолит-кирпич;2820661;108486;Нет;Нет;18;17.06.2025
APT0064;Ленинский;Элитное жилье;4;117;6;6;2013;Дизайнерский ремонт;Монолитный;24164360;206532;Есть;Есть;22;22.07.2025
APT0065;Академический;Элитное жилье;3;90;3;12;2020;Дизайнерский ремонт;Монолит-кирпич;21339916;237110;Нет;Есть;23;07.09.2025
APT0066;Октябрьский;Новостройка;5;115;15;19;2020;Чистовая;Кирпичный;9764023;84904;Нет;Нет;56;06.09.2025
APT0067;Октябрьский;Вторичка;2;62;9;17;1965;Дизайнерский ремонт;Монолит-кирпич;7024226;113293;Нет;Нет;42;20.07.2025
APT0068;Центральный;Новостройка;5;167;14;20;2024;Чистовая;Монолитный;27095025;162245;Есть;Нет;5;10.07.2025
APT0069;Академический;Элитное жилье;4;117;12;23;2012;Евроремонт;Монолит-кирпич;19762401;168909;Нет;Нет;50;30.06.2025
APT0070;Центральный;Вторичка;2;56;6;6;1986;Черновая;Монолит-кирпич;4997233;89236;Нет;Нет;35;22.07.2025
APT0071;Железнодорожный;Вторичка;5;123;8;15;1964;Дизайнерский ремонт;Монолит-кирпич;8668680;70477;Есть;Нет;38;16.07.2025
APT0072;Ленинский;Вторичка;3;67;13;18;1998;Евроремонт;Кирпичный;5647333;84288;Есть;Нет;23;25.07.2025
APT0073;Академический;Новостройка;3;74;8;8;2023;Дизайнерский ремонт;Монолит-кирпич;10559724;142698;Есть;Есть;53;25.07.2025
APT0074;Верх-Исетский;Новостройка;5;175;15;18;2022;Без отделки;Монолитный;16672157;95269;Есть;Нет;45;19.06.2025
APT0075;Железнодорожный;Вторичка;1;44;6;19;1984;Дизайнерский ремонт;Монолитный;4233101;96206;Нет;Нет;38;30.06.2025
APT0076;Ленинский;Элитное жилье;4;83;3;24;2017;Чистовая;Панельный;12043033;145096;Нет;Есть;26;19.08.2025
APT0077;Кировский;Вторичка;2;52;6;13;1970;Чистовая;Монолит-кирпич;3483297;66986;Есть;Нет;46;18.06.2025
APT0078;Центральный;Элитное жилье;1;28;20;20;2016;Дизайнерский ремонт;Панельный;5277107;188468;Нет;Нет;19;30.08.2025
APT0079;Кировский;Новостройка;2;57;13;22;2021;Черновая;Монолит-кирпич;4244509;74465;Есть;Есть;29;10.08.2025
APT0080;Верх-Исетский;Вторичка;2;46;1;6;2004;Дизайнерский ремонт;Монолитный;5318331;115615;Нет;Нет;53;06.07.2025
APT0081;Центральный;Вторичка;1;38;3;21;2012;Евроремонт;Монолит-кирпич;5906563;155435;Нет;Нет;6;03.09.2025
APT0082;Орджоникидзевский;Новостройка;3;62;7;7;2024;Черновая;Кирпичный;3660528;59040;Нет;Нет;56;20.06.2025
APT0083;Академический;Вторичка;2;69;3;16;2006;Чистовая;Кирпичный;6305822;91388;Нет;Нет;24;28.07.2025
APT0084;Кировский;Новостройка;2;42;12;14;2021;Евроремонт;Панельный;3578749;85208;Есть;Есть;15;01.07.2025
APT0085;Железнодорожный;Элитное жилье;5;147;10;15;2018;Дизайнерский ремонт;Монолитный;22411823;152461;Есть;Нет;31;02.07.2025
APT0086;Советский;Новостройка;4;114;3;6;2022;Черновая;Монолит-кирпич;11629465;102012;Есть;Есть;30;23.06.2025
APT0087;Орджоникидзевский;Вторичка;4;106;4;10;1983;Евроремонт;Панельный;6497702;61299;Нет;Нет;36;26.07.2025
APT0088;Академический;Новостройка;3;71;1;12;2024;Без отделки;Панельный;6218956;87590;Нет;Есть;20;27.07.2025
APT0089;Кировский;Элитное жилье;2;58;9;19;2010;Евроремонт;Монолит-кирпич;9224437;159042;Нет;Есть;39;14.08.2025
APT0090;Ленинский;Вторичка;3;73;5;22;2013;Чистовая;Кирпичный;6303684;86351;Нет;Нет;6;12.06.2025
APT0091;Советский;Новостройка;4;111;1;7;2024;Чистовая;Панельный;7619328;68642;Нет;Есть;33;05.07.2025
APT0092;Кировский;Новостройка;3;90;11;18;2022;Без отделки;Монолитный;6428912;71432;Нет;Есть;51;16.07.2025
APT0093;Орджоникидзевский;Новостройка;3;78;10;11;2024;Евроремонт;Монолит-кирпич;5834286;74798;Нет;Нет;24;17.07.2025
APT0094;Кировский;Элитное жилье;4;97;10;23;2013;Евроремонт;Панельный;14488722;149368;Есть;Нет;20;01.09.2025
APT0095;Кировский;Вторичка;3;63;9;15;1995;Дизайнерский ремонт;Кирпичный;5732477;90991;Нет;Нет;39;25.08.2025
APT0096;Ленинский;Элитное жилье;2;45;11;23;2016;Евроремонт;Монолитный;8791823;195373;Нет;Есть;27;01.08.2025
APT0097;Советский;Вторичка;5;101;5;8;1984;Чистовая;Кирпичный;8298683;82165;Нет;Нет;33;02.09.2025
APT0098;Ленинский;Элитное жилье;3;82;15;24;2020;Черновая;Монолитный;13244565;161519;Есть;Нет;40;14.07.2025
APT0099;Орджоникидзевский;Элитное жилье;5;168;13;20;2014;Евроремонт;Монолитный;20138225;119870;Нет;Есть;17;25.07.2025
APT0100;Академический;Элитное жилье;2;55;7;25;2024;Черновая;Монолит-кирпич;9327666;169593;Есть;Нет;41;30.08.2025
APT0101;Кировский;Вторичка;2;54;5;5;1972;Без отделки;Кирпичный;3214991;59536;Нет;Нет;30;22.06.2025
APT0102;Кировский;Новостройка;4;87;2;12;2025;Без отделки;Кирпичный;6306999;72494;Нет;Есть;17;01.07.2025
APT0103;Железнодорожный;Элитное жилье;2;57;9;11;2022;Евроремонт;Панельный;5428456;95236;Есть;Нет;23;07.07.2025
APT0104;Советский;Новостройка;3;61;13;18;2021;Черновая;Панельный;4924798;80734;Нет;Есть;22;13.08.2025
APT0105;Верх-Исетский;Вторичка;4;100;1;7;1992;Без отделки;Кирпичный;6320443;63204;Есть;Нет;45;25.08.2025
APT0106;Академический;Новостройка;5;120;8;22;2025;Евроремонт;Монолит-кирпич;19646352;163719;Есть;Есть;31;07.08.2025
APT0107;Кировский;Элитное жилье;3;81;8;17;2011;Евроремонт;Монолитный;9768922;120603;Есть;Нет;17;20.06.2025
APT0108;Орджоникидзевский;Вторичка;2;57;4;5;1989;Евроремонт;Панельный;3510168;61581;Нет;Нет;49;28.07.2025
APT0109;Железнодорожный;Новостройка;2;44;3;8;2021;Без отделки;Панельный;2281183;51845;Нет;Нет;17;27.06.2025
APT0110;Академический;Вторичка;4;100;22;22;1996;Чистовая;Монолитный;11851401;118514;Есть;Нет;32;06.08.2025
APT0111;Орджоникидзевский;Вторичка;2;41;12;23;1995;Дизайнерский ремонт;Монолитный;2997843;73118;Есть;Нет;34;26.07.2025
APT0112;Верх-Исетский;Вторичка;2;70;14;19;2007;Чистовая;Монолит-кирпич;6389843;91283;Есть;Нет;60;20.07.2025
APT0113;Верх-Исетский;Вторичка;4;103;1;13;2000;Чистовая;Кирпичный;8241215;80011;Есть;Нет;55;30.06.2025
APT0114;Железнодорожный;Элитное жилье;4;110;2;17;2012;Чистовая;Панельный;14129812;128452;Есть;Нет;59;24.08.2025
APT0115;Ленинский;Элитное жилье;2;61;1;19;2016;Черновая;Кирпичный;7517994;123245;Нет;Есть;28;14.07.2025
APT0116;Советский;Элитное жилье;5;126;3;10;2021;Без отделки;Монолитный;12656433;100447;Нет;Есть;40;15.06.2025
APT0117;Орджоникидзевский;Вторичка;5;137;3;5;1993;Черновая;Панельный;6454032;47109;Нет;Нет;29;21.06.2025
APT0118;Кировский;Элитное жилье;4;84;2;20;2014;Чистовая;Панельный;7732536;92054;Есть;Есть;56;16.07.2025
APT0119;Академический;Вторичка;4;109;5;7;1992;Дизайнерский ремонт;Монолит-кирпич;15672336;143782;Есть;Нет;54;19.08.2025
APT0120;Верх-Исетский;Вторичка;2;54;21;25;1990;Дизайнерский ремонт;Монолит-кирпич;6846755;126791;Есть;Нет;20;21.07.2025
APT0121;Центральный;Вторичка;3;87;15;24;2010;Черновая;Монолит-кирпич;8381294;96336;Есть;Нет;34;18.08.2025
APT0122;Кировский;Вторичка;2;59;1;11;2006;Черновая;Монолит-кирпич;4160071;70509;Нет;Нет;16;23.07.2025
APT0123;Кировский;Новостройка;3;67;11;21;2021;Без отделки;Кирпичный;3921941;58536;Нет;Есть;32;04.07.2025
APT0124;Верх-Исетский;Элитное жилье;5;140;5;13;2016;Без отделки;Монолит-кирпич;21171116;151222;Нет;Есть;39;01.08.2025
APT0125;Октябрьский;Вторичка;5;110;1;24;1988;Чистовая;Монолитный;7452879;67753;Есть;Нет;48;03.09.2025
APT0126;Орджоникидзевский;Элитное жилье;5;176;2;9;2020;Чистовая;Монолит-кирпич;15887907;90272;Нет;Нет;46;03.09.2025
APT0127;Октябрьский;Новостройка;5;144;8;23;2024;Чистовая;Монолитный;12351319;85773;Есть;Нет;60;29.07.2025
APT0128;Орджоникидзевский;Вторичка;3;79;2;9;1999;Чистовая;Кирпичный;4288400;54283;Есть;Нет;32;16.07.2025
APT0129;Октябрьский;Вторичка;3;77;3;22;1992;Чистовая;Кирпичный;5803864;75374;Есть;Нет;15;28.08.2025
APT0130;Центральный;Новостройка;5;113;6;7;2025;Чистовая;Панельный;12180316;107790;Нет;Нет;8;27.07.2025
APT0131;Центральный;Новостройка;5;135;6;9;2025;Без отделки;Панельный;11616432;86047;Есть;Нет;45;16.06.2025
APT0132;Академический;Элитное жилье;5;164;8;24;2019;Черновая;Монолит-кирпич;24972580;152271;Нет;Нет;47;17.07.2025
APT0133;Железнодорожный;Новостройка;5;139;1;8;2021;Евроремонт;Монолитный;12240082;88058;Нет;Есть;19;22.06.2025
APT0134;Ленинский;Элитное жилье;2;60;3;21;2020;Черновая;Монолитный;8102429;135040;Есть;Нет;26;04.07.2025
APT0135;Советский;Вторичка;2;54;3;19;1963;Черновая;Кирпичный;3369256;62393;Есть;Нет;27;03.07.2025
APT0136;Орджоникидзевский;Элитное жилье;5;169;15;16;2017;Дизайнерский ремонт;Панельный;21039403;124493;Есть;Нет;22;22.08.2025
APT0137;Центральный;Вторичка;3;84;7;7;1982;Евроремонт;Кирпичный;11630969;138463;Нет;Нет;45;28.07.2025
APT0138;Советский;Элитное жилье;2;47;4;15;2010;Евроремонт;Кирпичный;5762154;122599;Есть;Есть;42;09.07.2025
APT0139;Ленинский;Новостройка;2;44;1;21;2022;Дизайнерский ремонт;Монолит-кирпич;5228069;118819;Нет;Есть;30;10.08.2025
APT0140;Советский;Вторичка;4;99;12;24;1991;Без отделки;Кирпичный;5522920;55787;Нет;Нет;17;22.06.2025
APT0141;Кировский;Новостройка;4;99;4;6;2021;Чистовая;Панельный;8395845;84806;Нет;Есть;46;29.06.2025
APT0142;Орджоникидзевский;Новостройка;2;58;16;17;2020;Чистовая;Панельный;3610369;62247;Нет;Есть;34;19.06.2025
APT0143;Советский;Элитное жилье;2;44;13;20;2015;Черновая;Кирпичный;4347318;98802;Нет;Есть;26;26.08.2025
APT0144;Кировский;Элитное жилье;5;141;8;23;2022;Черновая;Панельный;12196957;86503;Есть;Есть;18;26.08.2025
APT0145;Центральный;Элитное жилье;2;41;10;25;2017;Евроремонт;Кирпичный;10557522;257500;Нет;Нет;14;02.09.2025
APT0146;Академический;Новостройка;5;130;6;10;2020;Черновая;Панельный;14370839;110544;Есть;Есть;60;26.06.2025
APT0147;Академический;Новостройка;3;70;1;7;2022;Черновая;Монолит-кирпич;7291764;104168;Нет;Нет;60;29.08.2025
APT0148;Советский;Элитное жилье;3;73;16;22;2022;Без отделки;Панельный;6920038;94795;Есть;Нет;33;08.08.2025
APT0149;Советский;Вторичка;1;36;13;24;2014;Чистовая;Панельный;2509323;69703;Есть;Нет;44;21.06.2025
APT0150;Орджоникидзевский;Элитное жилье;2;55;13;13;2013;Евроремонт;Панельный;6351010;115472;Нет;Нет;16;29.07.2025
