магазин_id;регион;тип_магазина;район;площадь_кв_м;день;период;продажи;посетители;средний_чек;скидка_процент
МАГ006;Волгоградская область;У дома;Промзона;868;-3;До акции;86010;1039;82.78;0
МАГ006;Волгоградская область;У дома;Промзона;868;-2;До акции;90112;792;113.78;0
МАГ006;Волгоградская область;У дома;Промзона;868;-1;До акции;91740;864;106.18;0
МАГ006;Волгоградская область;У дома;Промзона;868;1;Акция;149661;1088;137.56;20
МАГ006;Волгоградская область;У дома;Промзона;868;2;Акция;161211;1237;130.32;20
МАГ006;Волгоградская область;У дома;Промзона;868;3;Акция;154429;1210;127.63;20
МАГ006;Волгоградская область;У дома;Промзона;868;4;После акции;116906;799;146.32;0
МАГ006;Волгоградская область;У дома;Промзона;868;5;После акции;114179;849;134.49;0
МАГ006;Волгоградская область;У дома;Промзона;868;6;После акции;111693;837;133.44;0
МАГ006;Волгоградская область;У дома;Промзона;868;7;После акции;141928;809;175.44;0
МАГ006;Волгоградская область;У дома;Промзона;868;8;После акции;130378;992;131.43;0
МАГ006;Волгоградская область;У дома;Промзона;868;9;После акции;97696;900;108.55;0
МАГ006;Волгоградская область;У дома;Промзона;868;10;После акции;104846;743;141.11;0
МАГ007;Волгоградская область;Супермаркет;Центр;4951;-7;До акции;164619;1409;116.83;0
МАГ007;Волгоградская область;Супермаркет;Центр;4951;-6;До акции;136976;1403;97.63;0
МАГ007;Волгоградская область;Супермаркет;Центр;4951;-5;До акции;167139;1447;115.51;0
МАГ007;Волгоградская область;Супермаркет;Центр;4951;-4;До акции;203482;1277;159.34;0
МАГ007;Волгоградская область;Супермаркет;Центр;4951;-3;До акции;144873;1265;114.52;0
МАГ007;Волгоградская область;Супермаркет;Центр;4951;-2;До акции;141359;1117;126.55;0
МАГ007;Волгоградская область;Супермаркет;Центр;4951;-1;До акции;204717;1204;170.03;0
МАГ007;Волгоградская область;Супермаркет;Центр;4951;1;Акция;281891;1364;206.66;25
МАГ007;Волгоградская область;Супермаркет;Центр;4951;2;Акция;306312;1470;208.38;25
МАГ007;Волгоградская область;Супермаркет;Центр;4951;3;Акция;257203;1438;178.86;25
МАГ007;Волгоградская область;Супермаркет;Центр;4951;4;После акции;182719;1369;133.47;0
МАГ007;Волгоградская область;Супермаркет;Центр;4951;5;После акции;147126;1287;114.32;0
МАГ007;Волгоградская область;Супермаркет;Центр;4951;6;После акции;189690;1204;157.55;0
МАГ007;Волгоградская область;Супермаркет;Центр;4951;7;После акции;138516;1126;123.02;0
МАГ007;Волгоградская область;Супермаркет;Центр;4951;8;После акции;166473;1069;155.73;0
МАГ007;Волгоградская область;Супермаркет;Центр;4951;9;После акции;188102;1336;140.79;0
МАГ007;Волгоградская область;Супермаркет;Центр;4951;10;После акции;177937;1168;152.34;0
МАГ008;МО;Гипермаркет;Промзона;1091;-7;До акции;234216;2254;103.91;0
МАГ008;МО;Гипермаркет;Промзона;1091;-6;До акции;171153;1976;86.62;0
МАГ008;МО;Гипермаркет;Промзона;1091;-5;До акции;243329;2388;101.9;0
МАГ008;МО;Гипермаркет;Промзона;1091;-4;До акции;212719;1842;115.48;0
МАГ008;МО;Гипермаркет;Промзона;1091;-3;До акции;244114;2508;97.33;0
МАГ008;МО;Гипермаркет;Промзона;1091;-2;До акции;211285;1812;116.6;0
МАГ008;МО;Гипермаркет;Промзона;1091;-1;До акции;295528;2666;110.85;0
МАГ008;МО;Гипермаркет;Промзона;1091;1;Акция;294702;3084;95.56;25
МАГ008;МО;Гипермаркет;Промзона;1091;2;Акция;273769;3381;80.97;25
МАГ008;МО;Гипермаркет;Промзона;1091;3;Акция;272573;3078;88.56;25
МАГ008;МО;Гипермаркет;Промзона;1091;4;После акции;233522;1973;118.36;0
МАГ008;МО;Гипермаркет;Промзона;1091;5;После акции;233217;2486;93.81;0
МАГ008;МО;Гипермаркет;Промзона;1091;6;После акции;238228;1938;122.92;0
МАГ008;МО;Гипермаркет;Промзона;1091;7;После акции;264704;2120;124.86;0
МАГ008;МО;Гипермаркет;Промзона;1091;8;После акции;202930;2538;79.96;0
МАГ008;МО;Гипермаркет;Промзона;1091;9;После акции;268491;2220;120.94;0
МАГ008;МО;Гипермаркет;Промзона;1091;10;После акции;251162;1974;127.24;0
МАГ009;СПб;У дома;Центр;277;-7;До акции;80342;1346;59.69;0
МАГ009;СПб;У дома;Центр;277;-6;До акции;114700;1125;101.96;0
МАГ009;СПб;У дома;Центр;277;-5;До акции;84033;1071;78.46;0
МАГ009;СПб;У дома;Центр;277;-4;До акции;81624;1174;69.53;0
МАГ009;СПб;У дома;Центр;277;-3;До акции;139712;1261;110.79;0
МАГ009;СПб;У дома;Центр;277;-2;До акции;107682;1224;87.98;0
МАГ009;СПб;У дома;Центр;277;-1;До акции;98320;1181;83.25;0
МАГ009;СПб;У дома;Центр;277;1;Акция;189059;1404;134.66;10
МАГ009;СПб;У дома;Центр;277;2;Акция;179072;1394;128.46;10
МАГ009;СПб;У дома;Центр;277;3;Акция;164324;1600;102.7;10
МАГ009;СПб;У дома;Центр;277;4;После акции;89489;1102;81.21;0
МАГ009;СПб;У дома;Центр;277;5;После акции;95207;1250;76.17;0
МАГ009;СПб;У дома;Центр;277;6;После акции;94743;1042;90.92;0
МАГ009;СПб;У дома;Центр;277;7;После акции;119274;1252;95.27;0
МАГ009;СПб;У дома;Центр;277;8;После акции;110784;1048;105.71;0
МАГ009;СПб;У дома;Центр;277;9;После акции;131084;1285;102.01;0
МАГ009;СПб;У дома;Центр;277;10;После акции;108088;1079;100.17;0
МАГ010;МО;Супермаркет;Новостройки;4171;-7;До акции;186718;1933;96.59;0
МАГ010;МО;Супермаркет;Новостройки;4171;-6;До акции;164920;1875;87.96;0
МАГ010;МО;Супермаркет;Новостройки;4171;-5;До акции;164775;2275;72.43;0
МАГ010;МО;Супермаркет;Новостройки;4171;-4;До акции;184908;1683;109.87;0
МАГ010;МО;Супермаркет;Новостройки;4171;-3;До акции;141947;2029;69.96;0
МАГ010;МО;Супермаркет;Новостройки;4171;-2;До акции;159483;1856;85.93;0
МАГ010;МО;Супермаркет;Новостройки;4171;-1;До акции;161140;2371;67.96;0
МАГ010;МО;Супермаркет;Новостройки;4171;1;Акция;298827;2822;105.89;15
МАГ010;МО;Супермаркет;Новостройки;4171;2;Акция;287614;2702;106.44;15
МАГ010;МО;Супермаркет;Новостройки;4171;3;Акция;282008;2703;104.33;15
МАГ010;МО;Супермаркет;Новостройки;4171;4;После акции;165575;1905;86.92;0
МАГ010;МО;Супермаркет;Новостройки;4171;5;После акции;137427;1826;75.26;0
МАГ010;МО;Супермаркет;Новостройки;4171;6;После акции;153596;1855;82.8;0
МАГ010;МО;Супермаркет;Новостройки;4171;7;После акции;147465;2125;69.4;0
МАГ010;МО;Супермаркет;Новостройки;4171;8;После акции;143933;2088;68.93;0
МАГ010;МО;Супермаркет;Новостройки;4171;9;После акции;136545;2333;58.53;0
МАГ010;МО;Супермаркет;Новостройки;4171;10;После акции;163692;2264;72.3;0
МАГ011;Москва;У дома;Новостройки;1640;-7;До акции;90463;1647;54.93;0
МАГ011;Москва;У дома;Новостройки;1640;-6;До акции;82650;1320;62.61;0
МАГ011;Москва;У дома;Новостройки;1640;-5;До акции;82817;1399;59.2;0
МАГ011;Москва;У дома;Новостройки;1640;-4;До акции;106889;1701;62.84;0
МАГ011;Москва;У дома;Новостройки;1640;-3;До акции;85371;1691;50.49;0
МАГ011;Москва;У дома;Новостройки;1640;-2;До акции;76515;1360;56.26;0
МАГ011;Москва;У дома;Новостройки;1640;-1;До акции;85926;1284;66.92;0
МАГ011;Москва;У дома;Новостройки;1640;1;Акция;133785;1606;83.3;25
МАГ011;Москва;У дома;Новостройки;1640;2;Акция;135377;1649;82.1;25
МАГ011;Москва;У дома;Новостройки;1640;3;Акция;138757;1742;79.65;25
МАГ011;Москва;У дома;Новостройки;1640;4;После акции;108847;1427;76.28;0
МАГ011;Москва;У дома;Новостройки;1640;5;После акции;86999;1335;65.17;0
МАГ011;Москва;У дома;Новостройки;1640;6;После акции;82659;1484;55.7;0
МАГ011;Москва;У дома;Новостройки;1640;7;После акции;86981;1648;52.78;0
МАГ011;Москва;У дома;Новостройки;1640;8;После акции;105296;1719;61.25;0
МАГ011;Москва;У дома;Новостройки;1640;9;После акции;81696;1621;50.4;0
МАГ011;Москва;У дома;Новостройки;1640;10;После акции;112718;1527;73.82;0
МАГ012;Москва;Супермаркет;Промзона;3854;-7;До акции;132203;2507;52.73;0
МАГ012;Москва;Супермаркет;Промзона;3854;-6;До акции;238456;2093;113.93;0
МАГ012;Москва;Супермаркет;Промзона;3854;-5;До акции;192439;2135;90.14;0
МАГ012;Москва;Супермаркет;Промзона;3854;-4;До акции;192294;2722;70.64;0
МАГ012;Москва;Супермаркет;Промзона;3854;-3;До акции;206740;2725;75.87;0
МАГ012;Москва;Супермаркет;Промзона;3854;-2;До акции;148696;1925;77.24;0
МАГ012;Москва;Супермаркет;Промзона;3854;-1;До акции;180854;2003;90.29;0
МАГ012;Москва;Супермаркет;Промзона;3854;1;Акция;224194;3401;65.92;25
МАГ012;Москва;Супермаркет;Промзона;3854;2;Акция;220210;3267;67.4;25
МАГ012;Москва;Супермаркет;Промзона;3854;3;Акция;245413;3299;74.39;25
МАГ012;Москва;Супермаркет;Промзона;3854;4;После акции;157961;2535;62.31;0
МАГ012;Москва;Супермаркет;Промзона;3854;5;После акции;165235;2286;72.28;0
МАГ012;Москва;Супермаркет;Промзона;3854;6;После акции;181664;2403;75.6;0
МАГ012;Москва;Супермаркет;Промзона;3854;7;После акции;178639;2426;73.64;0
МАГ012;Москва;Супермаркет;Промзона;3854;8;После акции;141827;2202;64.41;0
МАГ012;Москва;Супермаркет;Промзона;3854;9;После акции;146442;2301;63.64;0
МАГ012;Москва;Супермаркет;Промзона;3854;10;После акции;155752;2204;70.67;0
МАГ013;СПб;Гипермаркет;Центр;1542;-7;До акции;202410;1377;146.99;0
МАГ013;СПб;Гипермаркет;Центр;1542;-6;До акции;253392;1365;185.64;0
МАГ013;СПб;Гипермаркет;Центр;1542;-5;До акции;214034;1256;170.41;0
МАГ013;СПб;Гипермаркет;Центр;1542;-4;До акции;250514;1349;185.7;0
МАГ013;СПб;Гипермаркет;Центр;1542;-3;До акции;170096;1039;163.71;0
МАГ013;СПб;Гипермаркет;Центр;1542;-2;До акции;157010;1280;122.66;0
МАГ013;СПб;Гипермаркет;Центр;1542;-1;До акции;206267;945;218.27;0
МАГ013;СПб;Гипермаркет;Центр;1542;1;Акция;288018;1538;187.27;25
МАГ013;СПб;Гипермаркет;Центр;1542;2;Акция;300542;1620;185.52;25
МАГ013;СПб;Гипермаркет;Центр;1542;3;Акция;248795;1669;149.07;25
МАГ013;СПб;Гипермаркет;Центр;1542;4;После акции;210999;1086;194.29;0
МАГ013;СПб;Гипермаркет;Центр;1542;5;После акции;161530;1083;149.15;0
МАГ013;СПб;Гипермаркет;Центр;1542;6;После акции;170718;1129;151.21;0
МАГ013;СПб;Гипермаркет;Центр;1542;7;После акции;165139;1098;150.4;0
МАГ013;СПб;Гипермаркет;Центр;1542;8;После акции;174088;1033;168.53;0
МАГ013;СПб;Гипермаркет;Центр;1542;9;После акции;207357;1236;167.76;0
МАГ013;СПб;Гипермаркет;Центр;1542;10;После акции;180480;1020;176.94;0
МАГ014;СПб;Супермаркет;Новостройки;2224;-7;До акции;143528;1917;74.87;0
МАГ014;СПб;Супермаркет;Новостройки;2224;-6;До акции;145594;2244;64.88;0
МАГ014;СПб;Супермаркет;Новостройки;2224;-5;До акции;155795;1716;90.79;0
МАГ014;СПб;Супермаркет;Новостройки;2224;-4;До акции;89793;1666;53.9;0
МАГ014;СПб;Супермаркет;Новостройки;2224;-3;До акции;111426;1971;56.53;0
МАГ014;СПб;Супермаркет;Новостройки;2224;-2;До акции;148179;1684;87.99;0
МАГ014;СПб;Супермаркет;Новостройки;2224;-1;До акции;119419;2157;55.36;0
МАГ014;СПб;Супермаркет;Новостройки;2224;1;Акция;186905;2537;73.67;15
МАГ014;СПб;Супермаркет;Новостройки;2224;2;Акция;186054;2514;74.01;15
МАГ014;СПб;Супермаркет;Новостройки;2224;3;Акция;170336;2465;69.1;15
МАГ014;СПб;Супермаркет;Новостройки;2224;4;После акции;124229;1886;65.87;0
МАГ014;СПб;Супермаркет;Новостройки;2224;5;После акции;126967;1778;71.41;0
МАГ014;СПб;Супермаркет;Новостройки;2224;6;После акции;99381;1622;61.27;0
МАГ014;СПб;Супермаркет;Новостройки;2224;7;После акции;118365;2105;56.23;0
МАГ014;СПб;Супермаркет;Новостройки;2224;8;После акции;109190;1983;55.06;0
МАГ014;СПб;Супермаркет;Новостройки;2224;9;После акции;116045;1992;58.26;0
МАГ014;СПб;Супермаркет;Новостройки;2224;10;После акции;119718;1970;60.77;0
МАГ015;Волгоградская область;У дома;Центр;930;-7;До акции;170563;2093;81.49;0
МАГ015;Волгоградская область;У дома;Центр;930;-6;До акции;165247;2006;82.38;0
МАГ015;Волгоградская область;У дома;Центр;930;-5;До акции;250834;2171;115.54;0
МАГ015;Волгоградская область;У дома;Центр;930;-4;До акции;253825;1961;129.44;0
МАГ015;Волгоградская область;У дома;Центр;930;-3;До акции;195246;2035;95.94;0
МАГ015;Волгоградская область;У дома;Центр;930;-2;До акции;165315;2213;74.7;0
МАГ015;Волгоградская область;У дома;Центр;930;-1;До акции;158455;2124;74.6;0
МАГ015;Волгоградская область;У дома;Центр;930;1;Акция;399447;2434;164.11;15
МАГ015;Волгоградская область;У дома;Центр;930;2;Акция;370466;2440;151.83;15
МАГ015;Волгоградская область;У дома;Центр;930;3;Акция;365816;2513;145.57;15
МАГ015;Волгоградская область;У дома;Центр;930;4;После акции;197772;2037;97.09;0
МАГ015;Волгоградская область;У дома;Центр;930;5;После акции;196954;1676;117.51;0
МАГ015;Волгоградская область;У дома;Центр;930;6;После акции;237834;2114;112.5;0
МАГ015;Волгоградская область;У дома;Центр;930;7;После акции;249317;2151;115.91;0
МАГ015;Волгоградская область;У дома;Центр;930;8;После акции;181827;2101;86.54;0
МАГ015;Волгоградская область;У дома;Центр;930;9;После акции;249526;1999;124.83;0
МАГ015;Волгоградская область;У дома;Центр;930;10;После акции;176048;2114;83.28;0
МАГ016;Краснодарский край;Супермаркет;Новостройки;1345;-7;До акции;151378;1259;120.24;0
МАГ016;Краснодарский край;Супермаркет;Новостройки;1345;-6;До акции;144937;873;166.02;0
МАГ016;Краснодарский край;Супермаркет;Новостройки;1345;-5;До акции;149970;942;159.2;0
МАГ016;Краснодарский край;Супермаркет;Новостройки;1345;-4;До акции;101205;899;112.58;0
МАГ016;Краснодарский край;Супермаркет;Новостройки;1345;-3;До акции;101247;1018;99.46;0
МАГ016;Краснодарский край;Супермаркет;Новостройки;1345;-2;До акции;122953;1076;114.27;0
МАГ016;Краснодарский край;Супермаркет;Новостройки;1345;-1;До акции;146770;1214;120.9;0
МАГ016;Краснодарский край;Супермаркет;Новостройки;1345;1;Акция;163376;1732;94.33;20
МАГ016;Краснодарский край;Супермаркет;Новостройки;1345;2;Акция;148922;1515;98.3;20
МАГ016;Краснодарский край;Супермаркет;Новостройки;1345;3;Акция;155125;1514;102.46;20
МАГ016;Краснодарский край;Супермаркет;Новостройки;1345;4;После акции;125105;924;135.4;0
МАГ016;Краснодарский край;Супермаркет;Новостройки;1345;5;После акции;94877;923;102.79;0
МАГ016;Краснодарский край;Супермаркет;Новостройки;1345;6;После акции;98231;936;104.95;0
МАГ016;Краснодарский край;Супермаркет;Новостройки;1345;7;После акции;121671;955;127.4;0
МАГ016;Краснодарский край;Супермаркет;Новостройки;1345;8;После акции;122980;931;132.09;0
МАГ016;Краснодарский край;Супермаркет;Новостройки;1345;9;После акции;114334;1057;108.17;0
МАГ016;Краснодарский край;Супермаркет;Новостройки;1345;10;После акции;131592;1188;110.77;0
МАГ017;Волгоградская область;У дома;Новостройки;1468;-7;До акции;286488;1800;159.16;0
МАГ017;Волгоградская область;У дома;Новостройки;1468;-6;До акции;305765;1680;182.0;0
МАГ017;Волгоградская область;У дома;Новостройки;1468;-5;До акции;191348;1661;115.2;0
МАГ017;Волгоградская область;У дома;Новостройки;1468;-4;До акции;291200;1568;185.71;0
МАГ017;Волгоградская область;У дома;Новостройки;1468;-3;До акции;209547;1524;137.5;0
МАГ017;Волгоградская область;У дома;Новостройки;1468;-2;До акции;192630;1648;116.89;0
МАГ017;Волгоградская область;У дома;Новостройки;1468;-1;До акции;276355;2161;127.88;0
МАГ017;Волгоградская область;У дома;Новостройки;1468;1;Акция;340717;2539;134.19;15
МАГ017;Волгоградская область;У дома;Новостройки;1468;2;Акция;341394;2645;129.07;15
МАГ017;Волгоградская область;У дома;Новостройки;1468;3;Акция;312275;2661;117.35;15
МАГ017;Волгоградская область;У дома;Новостройки;1468;4;После акции;256130;1888;135.66;0
МАГ017;Волгоградская область;У дома;Новостройки;1468;5;После акции;222217;1936;114.78;0
МАГ017;Волгоградская область;У дома;Новостройки;1468;6;После акции;235449;1791;131.46;0
МАГ017;Волгоградская область;У дома;Новостройки;1468;7;После акции;247704;2012;123.11;0
МАГ017;Волгоградская область;У дома;Новостройки;1468;8;После акции;285057;1960;145.44;0
МАГ017;Волгоградская область;У дома;Новостройки;1468;9;После акции;271702;1586;171.31;0
МАГ017;Волгоградская область;У дома;Новостройки;1468;10;После акции;289426;1620;178.66;0
МАГ018;Москва;Гипермаркет;Спальный район;3210;-7;До акции;146513;1676;87.42;0
МАГ018;Москва;Гипермаркет;Спальный район;3210;-6;До акции;150845;1541;97.89;0
МАГ018;Москва;Гипермаркет;Спальный район;3210;-5;До акции;163126;1636;99.71;0
МАГ018;Москва;Гипермаркет;Спальный район;3210;-4;До акции;90725;1494;60.73;0
МАГ018;Москва;Гипермаркет;Спальный район;3210;-3;До акции;141149;1364;103.48;0
МАГ018;Москва;Гипермаркет;Спальный район;3210;-2;До акции;119561;1560;76.64;0
МАГ018;Москва;Гипермаркет;Спальный район;3210;-1;До акции;150691;1317;114.42;0
МАГ018;Москва;Гипермаркет;Спальный район;3210;1;Акция;204630;2000;102.31;10
МАГ018;Москва;Гипермаркет;Спальный район;3210;2;Акция;212416;1667;127.42;10
МАГ018;Москва;Гипермаркет;Спальный район;3210;3;Акция;226212;1776;127.37;10
МАГ018;Москва;Гипермаркет;Спальный район;3210;4;После акции;129763;1230;105.5;0
МАГ018;Москва;Гипермаркет;Спальный район;3210;5;После акции;124124;1254;98.98;0
МАГ018;Москва;Гипермаркет;Спальный район;3210;6;После акции;99888;1655;60.36;0
МАГ018;Москва;Гипермаркет;Спальный район;3210;7;После акции;103882;1633;63.61;0
МАГ018;Москва;Гипермаркет;Спальный район;3210;8;После акции;130863;1542;84.87;0
МАГ018;Москва;Гипермаркет;Спальный район;3210;9;После акции;104225;1395;74.71;0
МАГ018;Москва;Гипермаркет;Спальный район;3210;10;После акции;128047;1267;101.06;0
МАГ019;Ростовская область;Супермаркет;Новостройки;1688;-7;До акции;170923;1102;155.1;0
МАГ019;Ростовская область;Супермаркет;Новостройки;1688;-6;До акции;251838;1099;229.15;0
МАГ019;Ростовская область;Супермаркет;Новостройки;1688;-5;До акции;238911;1363;175.28;0
МАГ019;Ростовская область;Супермаркет;Новостройки;1688;-4;До акции;188872;1180;160.06;0
МАГ019;Ростовская область;Супермаркет;Новостройки;1688;-3;До акции;266969;1505;177.39;0
МАГ019;Ростовская область;Супермаркет;Новостройки;1688;-2;До акции;269023;1172;229.54;0
МАГ019;Ростовская область;Супермаркет;Новостройки;1688;-1;До акции;243966;1505;162.1;0
МАГ019;Ростовская область;Супермаркет;Новостройки;1688;1;Акция;318319;1574;202.24;15
МАГ019;Ростовская область;Супермаркет;Новостройки;1688;2;Акция;350793;1501;233.71;15
МАГ019;Ростовская область;Супермаркет;Новостройки;1688;3;Акция;312662;1537;203.42;15
МАГ019;Ростовская область;Супермаркет;Новостройки;1688;4;После акции;184667;1163;158.79;0
МАГ019;Ростовская область;Супермаркет;Новостройки;1688;5;После акции;213305;1163;183.41;0
