order_id;customer_id;order_date;amount;status;delivery_city
55;15;2023-11-04;14780,69;Выполнен;Новосибирск
56;15;2023-12-10;9303,77;Выполнен;Новосибирск
57;19;2023-05-07;5141,43;Выполнен;Омск
58;19;2023-12-18;5612,33;Отменён;Омск
59;19;2023-08-12;3025,67;Выполнен;Омск
60;19;2023-07-22;9679,97;Выполнен;Омск
61;19;2023-12-28;9035,45;Выполнен;Омск
62;20;2023-01-05;7501,95;Выполнен;Нижний Новгород
63;20;2023-09-14;8205,98;Выполнен;Нижний Новгород
64;20;2023-01-01;8711,44;Выполнен;Нижний Новгород
65;20;2023-05-01;9063,24;Выполнен;Нижний Новгород
66;20;2023-10-20;13857,26;Выполнен;Нижний Новгород
67;20;2023-01-28;6306,27;Выполнен;Нижний Новгород
68;20;2023-02-27;5291,17;Выполнен;Нижний Новгород
69;20;2023-11-13;11149,40;В обработке;Нижний Новгород
70;6;2023-02-17;5494,35;Выполнен;Казань
71;6;2023-09-30;3164,89;В обработке;Казань
72;6;2023-09-27;11620,16;Выполнен;Казань
73;6;2023-12-19;13129,49;В обработке;Казань
74;6;2023-12-11;2486,39;Выполнен;Казань
75;6;2023-09-18;6700,00;Отменён;Казань
76;6;2023-12-04;3083,24;Выполнен;Казань
77;38;2023-06-10;3293,21;Выполнен;Нижний Новгород
78;38;2023-08-23;7855,79;Выполнен;Нижний Новгород
79;38;2023-08-20;9701,68;Выполнен;Нижний Новгород
80;38;2023-08-08;11896,69;В обработке;Нижний Новгород
81;38;2023-12-03;8506,74;Выполнен;Нижний Новгород
82;38;2023-02-12;1398,78;Выполнен;Нижний Новгород
83;38;2023-07-22;6899,59;Выполнен;Нижний Новгород
84;38;2023-10-28;2630,52;Выполнен;Нижний Новгород
85;21;2023-02-25;12874,57;Выполнен;Нижний Новгород
86;21;2023-03-09;3630,73;Выполнен;Нижний Новгород
87;21;2023-07-03;4452,63;Выполнен;Нижний Новгород
88;21;2023-04-08;13984,90;Выполнен;Нижний Новгород
89;21;2023-01-15;6292,27;Выполнен;Нижний Новгород
90;21;2023-10-27;8135,01;Выполнен;Нижний Новгород
91;21;2023-02-17;4728,66;Выполнен;Нижний Новгород
92;35;2023-05-08;2853,95;Выполнен;Омск
93;35;2023-04-23;11313,09;Выполнен;Омск
94;35;2023-04-18;11596,29;Выполнен;Омск
95;35;2023-03-22;7668,46;Выполнен;Омск
96;29;2023-04-23;13815,21;В обработке;Екатеринбург
97;29;2023-08-05;7554,59;Выполнен;Екатеринбург
98;29;2023-10-16;4155,80;Выполнен;Екатеринбург
99;29;2023-10-14;3880,11;Выполнен;Екатеринбург
100;29;2023-03-18;12534,06;Выполнен;Екатеринбург
101;32;2023-10-19;12790,30;Выполнен;Новосибирск
102;32;2023-08-19;2704,59;Выполнен;Новосибирск
103;32;2023-09-03;2476,25;Выполнен;Новосибирск
104;32;2023-09-18;13334,70;Выполнен;Новосибирск
105;32;2023-11-13;14777,24;В обработке;Новосибирск
106;32;2023-04-19;2888,74;Выполнен;Новосибирск
107;32;2023-08-10;12704,39;В обработке;Новосибирск
108;32;2023-05-27;1990,34;Выполнен;Новосибирск
109;7;2023-04-11;2463,05;Выполнен;Нижний Новгород
110;7;2023-08-09;12188,76;Выполнен;Нижний Новгород
111;7;2023-09-29;7649,27;Выполнен;Нижний Новгород
112;26;2023-06-15;14563,61;Выполнен;Омск
113;26;2023-12-12;3546,88;В обработке;Омск
114;26;2023-03-24;13181,76;Отменён;Омск
115;26;2023-02-05;14066,39;Выполнен;Омск
116;26;2023-12-04;13162,32;Выполнен;Омск
117;26;2023-12-18;8374,34;Выполнен;Омск
118;26;2023-01-01;4157,80;В обработке;Омск
119;14;2023-02-09;3028,30;Выполнен;Самара
120;14;2023-05-23;1861,37;Выполнен;Самара
121;14;2023-04-25;1826,57;В обработке;Самара
122;14;2023-06-19;5048,89;Выполнен;Самара
123;14;2023-02-11;11411,11;Выполнен;Самара
124;14;2023-09-13;5019,27;Выполнен;Самара
125;1;2023-02-19;4923,66;Выполнен;Омск
126;1;2023-11-01;3878,34;Выполнен;Омск
127;1;2023-09-29;11230,18;В обработке;Омск
128;1;2023-12-14;3456,88;Отменён;Омск
129;1;2023-05-10;11523,89;В обработке;Омск
130;3;2023-02-05;8858,79;Выполнен;Москва
131;3;2023-05-06;11488,48;Отменён;Москва
132;3;2023-04-29;13556,04;В обработке;Москва
133;3;2023-11-12;4202,82;Выполнен;Москва
134;3;2023-05-31;13016,46;Выполнен;Москва
135;3;2023-07-19;4926,96;Выполнен;Москва
136;23;2023-06-24;8906,67;Выполнен;Казань
137;23;2023-12-10;9774,72;Выполнен;Казань
138;23;2023-07-13;7703,18;Выполнен;Казань
139;23;2023-10-08;7767,52;Выполнен;Казань
140;30;2023-08-09;4871,67;Выполнен;Казань
141;30;2023-11-27;2419,10;Выполнен;Казань
142;30;2023-12-31;1126,09;Выполнен;Казань
143;30;2023-02-16;14858,66;Выполнен;Казань
144;30;2023-08-19;14674,07;В обработке;Казань
145;30;2023-11-30;4508,56;Выполнен;Казань
146;25;2023-04-11;11184,39;Выполнен;Самара
147;25;2023-03-03;14010,68;Выполнен;Самара
148;25;2023-12-06;5114,72;Выполнен;Самара
149;25;2023-07-21;3210,61;Выполнен;Самара
150;25;2023-06-16;1844,32;В обработке;Самара
151;25;2023-09-05;7266,16;Выполнен;Самара
152;25;2023-05-30;9405,71;В обработке;Самара
153;13;2023-01-15;2816,66;Выполнен;Омск
154;13;2023-04-23;1740,16;Выполнен;Омск
155;13;2023-05-04;13968,88;Выполнен;Омск
156;13;2023-07-09;10900,49;В обработке;Омск
157;13;2023-05-25;7417,66;Выполнен;Омск
158;13;2023-01-28;14715,38;Выполнен;Омск
159;39;2023-09-20;1116,47;Выполнен;Нижний Новгород
160;39;2023-10-28;14296,33;Выполнен;Нижний Новгород
161;39;2023-09-08;12770,65;Выполнен;Нижний Новгород
162;39;2023-05-05;2231,33;Выполнен;Нижний Новгород
163;39;2023-04-19;11648,71;Выполнен;Нижний Новгород
164;39;2023-04-11;6687,81;Выполнен;Нижний Новгород
165;39;2023-09-21;1964,20;В обработке;Нижний Новгород
166;31;2023-01-28;1764,53;Выполнен;Казань
167;33;2023-01-15;3207,92;Выполнен;Екатеринбург
168;24;2023-02-14;3907,90;Выполнен;Москва
169;9;2023-01-12;4068,90;Отменён;Самара
170;9;2023-07-14;3084,62;В обработке;Самара
171;22;2023-04-15;1177,83;Выполнен;Москва
172;18;2023-05-30;2888,38;Выполнен;Екатеринбург
173;10;2023-08-27;4921,79;Выполнен;Казань
174;28;2023-03-02;2835,04;Отменён;Санкт-Петербург
175;28;2023-09-04;828,78;Выполнен;Санкт-Петербург
176;36;2023-09-16;2246,23;Отменён;Москва
177;36;2023-01-05;2099,90;Выполнен;Москва
178;40;2023-09-15;1216,37;Выполнен;Нижний Новгород
