apartment_id;price;area;rooms;floor;total_floors;district;house_age;house_type;metro_distance;price_per_sqm
apt_149;3820367;77.6;3;11;16;Запад;6;Монолитный;5.7;49231
apt_150;2988918;74.5;3;6;9;Запад;4;Панельный;1.1;40119
apt_151;3667878;63.7;2;19;25;Север;0;Монолитный;2.4;57580
apt_152;3888077;80.4;2;5;16;Юг;5;Монолитный;10.9;48359
apt_153;1197667;40.7;2;18;25;Север;17;Кирпичный;0.2;29426
apt_154;1487889;48.9;2;3;9;Пригород;0;Кирпичный;1.0;30427
apt_155;4895052;80.2;3;7;9;Запад;0;Кирпичный;2.1;61035
apt_156;4356953;99.8;3;2;12;Пригород;1;Кирпичный;11.8;43656
apt_157;1542360;64.6;2;3;16;Юг;24;Панельный;6.8;23875
apt_158;1000000;28.5;1;14;16;Запад;17;Панельный;0.4;35087
apt_159;2178078;69.2;3;8;25;Пригород;8;Кирпичный;4.8;31475
apt_160;4210286;88.9;3;4;12;Пригород;3;Монолитный;3.9;47359
apt_161;2378370;51.5;2;7;12;Юг;0;Монолитный;1.0;46181
apt_162;3909453;80.4;3;9;12;Юг;8;Монолитный;6.6;48625
apt_163;2541740;42.4;2;8;16;Центр;14;Монолитный;0.3;59946
apt_164;1761515;73.3;2;1;25;Запад;41;Кирпичный;0.4;24031
apt_165;1506273;40.3;2;4;5;Центр;57;Монолитный;0.6;37376
apt_166;3133552;71.6;3;5;25;Восток;7;Кирпичный;3.6;43764
apt_167;1000000;41.4;2;16;25;Восток;22;Монолитный;2.2;24154
apt_168;2382189;49.8;2;9;9;Север;2;Монолитный;2.5;47835
apt_169;4363892;114.5;3;4;16;Пригород;18;Кирпичный;1.9;38112
apt_170;1000000;37.9;1;9;9;Восток;24;Панельный;0.8;26385
apt_171;1163900;41.8;2;4;5;Север;24;Монолитный;0.7;27844
apt_172;1000000;39.8;1;8;9;Центр;60;Панельный;1.4;25125
apt_173;1765137;56.9;2;2;5;Восток;0;Панельный;1.2;31021
apt_174;1000000;30.3;1;7;16;Север;32;Кирпичный;0.7;33003
apt_175;1165232;46.9;2;7;9;Юг;13;Панельный;3.4;24845
apt_176;1891333;60.1;2;6;16;Запад;2;Панельный;1.1;31469
apt_177;3373202;60.6;2;3;5;Север;5;Монолитный;1.0;55663
apt_178;1652118;59.8;2;14;25;Пригород;10;Кирпичный;7.9;27627
apt_179;1413181;57.1;2;23;25;Пригород;2;Панельный;2.7;24749
apt_180;1504437;54.0;1;5;25;Пригород;5;Кирпичный;0.6;27859
apt_181;3323141;88.6;3;10;12;Восток;9;Панельный;0.2;37507
apt_182;1000000;41.4;2;2;5;Юг;14;Панельный;1.9;24154
apt_183;1279114;59.1;2;7;12;Восток;16;Панельный;2.1;21643
apt_184;3653612;75.0;3;25;25;Юг;3;Кирпичный;3.6;48714
apt_185;4214842;66.7;3;13;16;Центр;5;Панельный;1.6;63191
apt_186;5901799;68.3;3;11;12;Центр;0;Кирпичный;5.3;86409
apt_187;3295831;99.3;3;21;25;Восток;17;Панельный;3.5;33190
apt_188;1000000;30.0;1;10;16;Юг;24;Кирпичный;1.8;33333
apt_189;1370908;43.1;2;7;16;Центр;20;Панельный;1.7;31807
apt_190;1792892;34.5;1;4;25;Центр;7;Кирпичный;0.2;51967
apt_191;1000000;37.8;1;5;9;Юг;20;Панельный;0.6;26455
apt_192;2374362;63.7;2;7;9;Восток;17;Монолитный;7.2;37274
apt_193;3957272;85.8;2;9;12;Юг;21;Монолитный;1.1;46122
apt_194;1404900;63.3;2;1;5;Юг;21;Панельный;1.0;22194
apt_195;1279423;51.1;1;13;16;Запад;27;Монолитный;4.0;25037
apt_196;1804726;55.4;1;10;12;Восток;8;Кирпичный;1.3;32576
apt_197;1856260;54.4;2;5;5;Юг;20;Кирпичный;1.2;34122
apt_198;11363073;140.6;4;1;16;Юг;1;Кирпичный;2.8;80818
apt_199;1602487;55.9;2;8;25;Центр;42;Панельный;2.1;28667
apt_200;2230290;53.6;2;4;12;Запад;4;Монолитный;2.6;41609
apt_201;3456708;76.9;3;1;5;Север;2;Панельный;1.6;44950
apt_202;1888296;44.1;2;4;16;Центр;9;Панельный;3.8;42818
apt_203;9319620;101.0;4;1;25;Центр;2;Панельный;0.7;92273
apt_204;1000000;33.1;1;8;16;Север;16;Монолитный;0.4;30211
apt_205;1000000;32.0;1;9;25;Север;9;Монолитный;4.3;31250
apt_206;1463319;85.1;2;2;25;Пригород;31;Панельный;4.0;17195
apt_207;1776895;60.8;2;4;9;Запад;3;Панельный;2.1;29225
apt_208;1098331;43.4;2;5;12;Север;11;Панельный;0.4;25307
apt_209;1430782;65.4;3;14;16;Восток;32;Кирпичный;7.4;21877
apt_210;1071318;40.7;2;5;9;Север;20;Монолитный;6.1;26322
apt_211;1000000;25.0;1;3;5;Центр;60;Панельный;1.1;40000
apt_212;1000000;28.6;1;18;25;Юг;8;Монолитный;6.6;34965
apt_213;1895556;51.7;2;2;12;Север;14;Монолитный;1.3;36664
apt_214;1000000;38.4;1;1;5;Пригород;11;Кирпичный;3.1;26041
apt_215;1925590;56.2;2;7;16;Север;7;Панельный;0.5;34263
apt_216;2195973;61.6;2;3;5;Восток;10;Монолитный;1.6;35648
apt_217;14318525;156.4;4;1;5;Юг;1;Кирпичный;2.0;91550
apt_218;1800514;74.9;3;3;5;Пригород;44;Монолитный;0.4;24038
apt_219;1325237;57.4;2;22;25;Восток;60;Монолитный;0.8;23087
apt_220;5502601;129.9;4;1;5;Восток;21;Панельный;2.0;42360
apt_221;4172537;106.5;4;1;9;Запад;15;Панельный;1.5;39178
apt_222;2296113;62.2;2;18;25;Юг;16;Кирпичный;0.5;36915
apt_223;4420568;73.7;3;4;16;Центр;21;Кирпичный;1.1;59980
apt_224;5692977;94.4;3;5;5;Восток;4;Монолитный;0.5;60306
apt_225;1893808;64.6;1;2;5;Запад;18;Кирпичный;2.4;29315
apt_226;1982729;61.7;2;2;9;Юг;1;Панельный;1.2;32134
apt_227;2674089;78.7;2;9;12;Пригород;9;Монолитный;11.6;33978
apt_228;1898224;56.9;2;5;12;Север;22;Монолитный;2.6;33360
apt_229;3204529;57.0;2;3;12;Центр;4;Панельный;0.7;56219
apt_230;1228138;44.2;2;6;9;Запад;5;Панельный;0.7;27785
apt_231;4797055;76.2;2;4;5;Центр;7;Панельный;7.1;62953
apt_232;2019872;70.1;2;4;16;Пригород;19;Кирпичный;1.0;28814
apt_233;6642178;112.2;3;9;9;Пригород;4;Кирпичный;0.7;59199
apt_234;1858375;66.0;2;1;5;Север;25;Кирпичный;4.6;28157
apt_235;3195999;76.9;3;4;16;Юг;22;Монолитный;1.0;41560
apt_236;2434801;77.0;2;4;5;Запад;15;Панельный;1.0;31620
apt_237;1000000;29.4;1;3;9;Север;0;Монолитный;2.5;34013
apt_238;9721774;83.0;2;5;5;Центр;5;Монолитный;1.6;117129
apt_239;1578785;73.7;2;1;12;Пригород;15;Панельный;1.9;21421
apt_240;1134465;41.0;1;8;12;Восток;16;Монолитный;1.7;27669
apt_241;1629857;57.3;2;2;5;Восток;21;Монолитный;5.0;28444
apt_242;2520535;79.6;3;21;25;Пригород;2;Панельный;0.2;31665
apt_243;8260632;127.4;4;2;12;Север;3;Панельный;1.1;64840
apt_244;1000000;35.7;1;9;9;Восток;60;Кирпичный;15.4;28011
apt_245;1370405;46.6;2;6;12;Юг;2;Панельный;0.8;29407
apt_246;11894228;146.3;4;3;16;Запад;9;Монолитный;7.8;81300
apt_247;1176363;44.7;2;7;9;Восток;9;Кирпичный;2.4;26316
apt_248;1000000;40.3;2;12;25;Пригород;27;Кирпичный;1.4;24813
apt_249;1522645;54.8;2;10;16;Юг;22;Кирпичный;0.5;27785
apt_250;4077743;116.7;3;3;25;Восток;16;Панельный;6.4;34942
apt_251;6416333;102.9;3;4;5;Юг;3;Кирпичный;4.2;62355
apt_252;1000000;25.0;1;4;25;Запад;11;Монолитный;1.5;40000
apt_253;2085533;40.9;2;4;16;Центр;12;Монолитный;0.2;50991
apt_254;2216047;76.6;3;3;12;Юг;25;Панельный;0.2;28930
apt_255;2092437;54.7;2;2;9;Юг;2;Кирпичный;4.0;38252
apt_256;5656871;77.7;2;1;12;Центр;9;Панельный;0.2;72804
apt_257;4574610;82.7;2;2;9;Запад;3;Кирпичный;3.0;55315
apt_258;3505490;94.7;3;1;12;Пригород;7;Кирпичный;8.6;37016
apt_259;1183666;35.7;1;22;25;Север;0;Кирпичный;1.1;33155
apt_260;1371914;33.3;1;7;9;Центр;5;Панельный;1.6;41198
apt_261;1000000;33.7;1;9;16;Север;22;Кирпичный;0.2;29673
apt_262;1000000;44.4;2;3;12;Север;34;Кирпичный;0.2;22522
apt_263;1000000;26.8;1;8;9;Юг;2;Монолитный;3.5;37313
apt_264;2569835;71.7;2;2;12;Север;11;Панельный;0.2;35841
apt_265;1980424;53.8;2;6;9;Юг;4;Кирпичный;2.5;36810
apt_266;1000000;32.2;1;3;16;Юг;7;Монолитный;1.5;31055
apt_267;1217110;36.9;1;9;16;Север;3;Монолитный;2.7;32984
apt_268;3398653;54.6;1;12;25;Центр;14;Кирпичный;0.3;62246
apt_269;1000000;25.0;1;10;16;Восток;26;Монолитный;2.4;40000
apt_270;1666476;53.7;2;20;25;Юг;0;Панельный;2.3;31033
apt_271;1000000;25.0;1;1;5;Юг;17;Кирпичный;1.2;40000
apt_272;3925212;73.5;3;5;5;Юг;1;Монолитный;2.8;53404
apt_273;5787653;101.1;4;15;16;Юг;11;Кирпичный;3.2;57246
apt_274;2598000;63.8;2;7;16;Запад;0;Кирпичный;2.6;40721
apt_275;2151372;52.9;1;9;12;Юг;6;Кирпичный;2.7;40668
apt_276;1000000;25.0;1;3;9;Восток;34;Кирпичный;0.7;40000
apt_277;2361040;72.7;3;4;5;Восток;8;Панельный;4.0;32476
apt_278;1000000;25.0;1;13;16;Юг;45;Панельный;3.9;40000
apt_279;1000000;28.9;1;7;12;Запад;0;Кирпичный;3.7;34602
apt_280;5380950;134.1;4;3;5;Пригород;26;Кирпичный;0.5;40126
apt_281;1000000;65.3;3;4;5;Пригород;52;Панельный;4.8;15313
apt_282;3794325;63.1;2;1;5;Центр;11;Кирпичный;7.2;60131
apt_283;1375777;56.8;2;2;12;Пригород;2;Панельный;1.4;24221
apt_284;3812671;58.6;2;4;5;Центр;17;Монолитный;1.5;65062
apt_285;2878128;62.3;2;6;16;Юг;0;Кирпичный;1.5;46197
apt_286;3169342;107.5;3;15;25;Север;41;Панельный;3.3;29482
apt_287;1950425;48.2;2;1;5;Юг;1;Монолитный;6.1;40465
apt_288;2330235;75.9;3;14;16;Запад;30;Монолитный;1.5;30701
apt_289;1007901;36.3;1;2;25;Юг;5;Монолитный;0.4;27765
apt_290;2820103;76.7;3;2;12;Север;23;Кирпичный;3.3;36767
apt_291;1589821;55.5;2;9;9;Юг;11;Панельный;1.8;28645
apt_292;1000000;36.1;1;4;5;Восток;12;Кирпичный;0.8;27700
apt_293;4675434;111.7;3;9;9;Пригород;20;Монолитный;0.2;41857
apt_294;1227099;41.2;2;1;5;Восток;2;Кирпичный;4.1;29783
apt_295;2091499;88.3;3;3;9;Запад;57;Панельный;0.9;23686
apt_296;1897023;70.0;3;9;9;Пригород;6;Панельный;2.8;27100
apt_297;3369620;65.4;2;3;9;Север;6;Монолитный;5.7;51523
apt_298;2618530;79.9;3;5;9;Север;21;Панельный;7.9;32772
apt_299;4393960;59.5;2;9;25;Центр;4;Кирпичный;1.9;73848
apt_300;1566762;64.3;2;3;12;Запад;44;Монолитный;0.5;24366
apt_301;3207229;67.8;3;6;9;Центр;42;Монолитный;2.3;47304
apt_302;1416393;38.0;1;20;25;Север;1;Кирпичный;1.3;37273
apt_303;1000000;31.2;1;1;5;Восток;3;Кирпичный;3.5;32051
apt_304;4833521;83.4;2;1;5;Восток;1;Монолитный;0.7;57955
apt_305;3681886;73.2;2;9;25;Юг;1;Кирпичный;1.7;50298
apt_306;3268508;55.3;2;4;25;Центр;0;Панельный;0.2;59105
apt_307;4803164;116.8;4;1;5;Пригород;4;Панельный;0.4;41122
apt_308;1000000;42.1;2;11;12;Юг;20;Панельный;1.7;23752
apt_309;13628166;106.6;4;6;9;Центр;1;Кирпичный;1.2;127843
apt_310;4626694;56.5;2;3;9;Центр;4;Монолитный;4.1;81888
apt_311;1000000;29.7;1;19;25;Север;7;Панельный;8.4;33670
apt_312;1000000;39.7;1;4;5;Юг;60;Кирпичный;0.2;25188
apt_313;5322042;115.3;3;8;12;Восток;25;Монолитный;1.9;46158
apt_314;1212505;48.1;2;5;5;Восток;17;Кирпичный;2.0;25208
apt_315;1000000;45.8;2;8;25;Восток;16;Панельный;3.5;21834
apt_316;3668230;92.6;3;1;25;Восток;5;Панельный;3.1;39613
apt_317;1197176;51.5;1;3;5;Юг;23;Панельный;0.3;23246
apt_318;1322626;42.5;1;10;25;Юг;9;Монолитный;1.5;31120
apt_319;3261017;67.9;2;4;12;Юг;1;Кирпичный;0.8;48026
apt_320;2013748;48.3;1;5;5;Север;7;Кирпичный;0.2;41692
apt_321;3197842;76.5;3;9;9;Юг;3;Панельный;3.6;41801
apt_322;1915052;57.0;2;5;12;Восток;13;Кирпичный;1.4;33597
apt_323;12210655;136.3;4;14;25;Север;0;Кирпичный;3.9;89586
apt_324;2426790;53.3;1;12;12;Запад;2;Монолитный;0.7;45530
apt_325;2816288;72.9;2;9;9;Юг;4;Панельный;8.0;38632
apt_326;2317811;55.0;2;2;9;Запад;9;Монолитный;0.2;42142
apt_327;1000000;25.3;1;22;25;Восток;18;Монолитный;1.9;39525
apt_328;8294520;132.5;4;8;25;Север;5;Панельный;0.2;62600
apt_329;2897574;60.2;2;8;16;Север;8;Кирпичный;0.4;48132
apt_330;5441345;120.3;4;1;16;Запад;51;Монолитный;0.2;45231
apt_331;1000000;53.8;2;8;9;Пригород;34;Монолитный;3.3;18587
apt_332;2281852;72.8;3;25;25;Восток;10;Панельный;1.4;31344
apt_333;1633240;43.2;2;2;9;Центр;6;Панельный;9.1;37806
apt_334;1000000;25.0;1;24;25;Юг;44;Монолитный;1.1;40000
apt_335;1000000;25.0;1;9;16;Центр;28;Панельный;2.1;40000
apt_336;1010028;47.3;2;1;16;Пригород;15;Кирпичный;0.7;21353
apt_337;5610081;100.9;4;11;25;Запад;7;Кирпичный;2.3;55600
apt_338;3436411;67.1;3;12;16;Запад;1;Монолитный;0.9;51213
apt_339;1663443;61.1;1;10;25;Пригород;19;Монолитный;0.4;27224
apt_340;8835701;150.2;4;5;5;Пригород;13;Кирпичный;2.7;58826
apt_341;1000000;29.0;1;1;9;Юг;6;Кирпичный;1.2;34482
apt_342;1304929;40.8;2;14;25;Восток;3;Монолитный;0.2;31983
apt_343;4515716;58.2;2;3;5;Центр;0;Кирпичный;2.4;77589
apt_344;4147592;54.7;1;9;9;Центр;4;Монолитный;3.1;75824
apt_345;1443226;59.0;1;14;25;Пригород;0;Панельный;0.3;24461
apt_346;3064417;63.2;2;3;16;Юг;9;Монолитный;0.6;48487
apt_347;1809654;77.0;2;4;5;Пригород;54;Кирпичный;0.3;23502
apt_348;1819455;59.3;2;15;16;Запад;4;Панельный;2.7;30682
apt_349;1000000;29.1;1;8;9;Север;17;Кирпичный;1.0;34364
apt_350;1000000;38.4;1;8;12;Запад;2;Панельный;1.0;26041
apt_351;2096057;49.8;1;4;5;Запад;1;Кирпичный;1.1;42089
apt_352;3050355;56.5;2;8;9;Центр;22;Кирпичный;1.3;53988
apt_353;1000000;49.2;2;2;5;Запад;60;Кирпичный;1.3;20325
apt_354;1698526;41.7;2;3;25;Центр;15;Кирпичный;4.9;40732
apt_355;1156801;53.7;2;18;25;Юг;15;Панельный;9.2;21541
apt_356;1204081;56.7;2;6;9;Восток;23;Панельный;3.3;21235
apt_357;1000000;40.7;2;5;5;Пригород;11;Кирпичный;0.3;24570
apt_358;1614864;56.9;1;8;9;Запад;23;Монолитный;1.8;28380
apt_359;1392647;68.6;3;6;16;Пригород;60;Монолитный;2.4;20300
apt_360;2202305;57.9;1;13;25;Юг;13;Кирпичный;0.2;38036
apt_361;1161877;28.5;1;5;12;Центр;0;Кирпичный;2.4;40767
apt_362;1000000;49.1;2;6;16;Запад;46;Кирпичный;0.9;20366
apt_363;2803653;67.7;2;5;5;Юг;16;Кирпичный;1.5;41412
apt_364;2692097;60.2;2;4;9;Запад;3;Монолитный;4.8;44719
apt_365;1552858;54.7;2;5;9;Юг;5;Панельный;1.4;28388
