price;demand;income;advertising_budget;log_price;log_demand;log_income
3518.99;100.0;57559.0;108.2;8.166;4.605;10.961
2223.43;272.0;40617.0;102.0;7.707;5.607;10.612
1090.9;221.0;39144.0;47.4;6.995;5.397;10.575
3948.5;100.0;78481.0;72.9;8.281;4.605;11.271
2503.25;100.0;25524.0;26.2;7.825;4.605;10.147
1720.35;111.0;43262.0;80.0;7.45;4.708;10.675
4619.65;113.0;50993.0;148.1;8.438;4.73;10.839
4462.83;100.0;40707.0;18.9;8.404;4.605;10.614
1859.14;380.0;110426.0;92.0;7.528;5.941;11.612
1401.05;100.0;67195.0;39.4;7.245;4.605;11.115
3766.93;100.0;40121.0;79.4;8.234;4.605;10.6
2525.88;100.0;74747.0;131.0;7.834;4.605;11.222
1054.19;154.0;67527.0;146.2;6.961;5.04;11.12
3740.85;200.0;69743.0;120.0;8.227;5.296;11.153
1905.34;128.0;64999.0;62.0;7.552;4.852;11.082
3533.96;100.0;51448.0;17.4;8.17;4.605;10.848
2292.87;100.0;51261.0;131.1;7.738;4.605;10.845
1961.61;365.0;57095.0;110.4;7.582;5.899;10.952
3850.84;144.0;55448.0;123.3;8.256;4.968;10.923
3136.8;117.0;101374.0;22.1;8.051;4.763;11.527
4256.26;100.0;51264.0;84.7;8.356;4.605;10.845
605.46;100.0;92835.0;63.4;6.406;4.605;11.439
2076.82;100.0;40443.0;83.8;7.639;4.605;10.608
2949.88;100.0;60465.0;26.4;7.99;4.605;11.01
4983.5;131.0;64093.0;72.1;8.514;4.874;11.068
1297.18;100.0;173498.0;76.4;7.168;4.605;12.064
4112.41;100.0;84698.0;91.4;8.322;4.605;11.347
4737.92;100.0;59266.0;28.8;8.463;4.605;10.99
1906.67;100.0;101570.0;82.1;7.553;4.605;11.529
1233.01;100.0;57754.0;139.7;7.117;4.605;10.964
2795.93;100.0;32614.0;42.3;7.936;4.605;10.393
3647.29;100.0;37177.0;11.2;8.202;4.605;10.523
564.83;100.0;103062.0;137.3;6.337;4.605;11.543
884.58;100.0;28585.0;144.9;6.785;4.605;10.261
4030.52;100.0;73213.0;102.2;8.302;4.605;11.201
3650.78;100.0;83304.0;50.3;8.203;4.605;11.33
2170.56;100.0;50844.0;73.8;7.683;4.605;10.837
716.05;189.0;48851.0;12.3;6.574;5.241;10.797
1523.19;100.0;65600.0;20.9;7.329;4.605;11.091
3798.7;547.0;320492.0;37.6;8.242;6.305;12.678
1558.02;100.0;70468.0;17.4;7.351;4.605;11.163
1045.62;100.0;66447.0;17.9;6.952;4.605;11.104
3295.27;100.0;40262.0;108.1;8.1;4.605;10.603
4728.31;213.0;52101.0;98.6;8.461;5.36;10.861
2870.26;133.0;49086.0;25.4;7.962;4.89;10.801
716.32;100.0;75673.0;26.2;6.574;4.605;11.234
3678.5;100.0;49003.0;22.7;8.21;4.605;10.8
2026.59;100.0;92678.0;74.2;7.614;4.605;11.437
4705.45;100.0;56208.0;145.0;8.456;4.605;10.937
2097.05;100.0;48594.0;116.6;7.648;4.605;10.791
3826.45;164.0;151709.0;98.7;8.25;5.097;11.93
4886.58;100.0;36606.0;92.2;8.494;4.605;10.508
1341.1;100.0;46407.0;108.5;7.201;4.605;10.745
4914.88;100.0;71662.0;103.0;8.5;4.605;11.18
3865.77;100.0;37810.0;83.3;8.26;4.605;10.54
3241.07;113.0;50937.0;78.2;8.084;4.729;10.838
685.54;100.0;58452.0;90.8;6.53;4.605;10.976
2823.86;569.0;77873.0;124.6;7.946;6.344;11.263
782.97;100.0;55789.0;131.7;6.663;4.605;10.929
2635.81;165.0;52937.0;21.9;7.877;5.106;10.877
4535.85;313.0;38082.0;33.5;8.42;5.746;10.547
3530.26;100.0;108554.0;116.3;8.169;4.605;11.595
2884.02;100.0;61467.0;126.6;7.967;4.605;11.026
1425.17;153.0;68128.0;79.4;7.262;5.031;11.129
1594.78;266.0;62825.0;75.4;7.374;5.585;11.048
2910.13;280.0;38595.0;93.6;7.976;5.635;10.561
1313.6;100.0;64183.0;129.2;7.181;4.605;11.069
2729.97;100.0;37446.0;64.4;7.912;4.605;10.531
2306.74;100.0;66271.0;15.0;7.744;4.605;11.102
3810.21;100.0;101208.0;57.9;8.245;4.605;11.525
643.79;100.0;32115.0;133.9;6.467;4.605;10.377
2272.19;100.0;28025.0;42.5;7.729;4.605;10.241
1569.41;100.0;150679.0;136.7;7.358;4.605;11.923
2592.96;100.0;16833.0;19.6;7.861;4.605;9.731
4135.47;478.0;88766.0;46.3;8.327;6.17;11.394
2495.64;100.0;141017.0;110.1;7.822;4.605;11.857
868.76;100.0;32023.0;149.2;6.767;4.605;10.374
856.26;419.0;176749.0;49.9;6.753;6.037;12.082
3063.54;173.0;74965.0;144.9;8.027;5.155;11.225
3719.87;300.0;46319.0;18.6;8.221;5.703;10.743
623.3;429.0;74900.0;46.5;6.435;6.062;11.224
1949.09;144.0;48581.0;83.8;7.575;4.973;10.791
3550.4;100.0;16929.0;107.3;8.175;4.605;9.737
1754.64;100.0;32827.0;59.6;7.47;4.605;10.399
4230.06;100.0;56440.0;68.3;8.35;4.605;10.941
4641.86;100.0;86101.0;139.8;8.443;4.605;11.363
1550.01;279.0;46802.0;56.4;7.346;5.632;10.754
4637.6;100.0;42754.0;85.7;8.442;4.605;10.663
3686.56;146.0;36732.0;73.2;8.212;4.983;10.511
4088.07;414.0;39774.0;115.2;8.316;6.025;10.591
3511.8;100.0;94233.0;139.0;8.164;4.605;11.454
2720.77;174.0;33230.0;41.5;7.909;5.159;10.411
1616.0;100.0;42994.0;49.2;7.388;4.605;10.669
2588.81;322.0;36595.0;94.3;7.859;5.774;10.508
1895.07;307.0;117295.0;17.1;7.547;5.728;11.672
2198.22;100.0;37572.0;83.7;7.695;4.605;10.534
3007.98;100.0;84980.0;40.2;8.009;4.605;11.35
2936.8;100.0;47534.0;91.7;7.985;4.605;10.769
1392.84;100.0;54014.0;70.6;7.239;4.605;10.897
2697.69;100.0;48395.0;95.1;7.9;4.605;10.787
3617.41;160.0;53336.0;136.4;8.194;5.075;10.884
4754.82;100.0;134035.0;64.3;8.467;4.605;11.806
3890.81;143.0;35307.0;65.6;8.266;4.965;10.472
4694.1;370.0;103166.0;71.6;8.454;5.913;11.544
4872.67;100.0;62437.0;60.6;8.491;4.605;11.042
4560.36;100.0;73736.0;47.7;8.425;4.605;11.208
2368.67;249.0;137765.0;32.7;7.77;5.516;11.833
3306.74;112.0;43190.0;44.2;8.104;4.717;10.673
1454.74;100.0;57408.0;17.4;7.283;4.605;10.958
3589.6;118.0;49626.0;97.9;8.186;4.77;10.812
3888.12;100.0;94448.0;87.4;8.266;4.605;11.456
4806.18;100.0;49489.0;45.5;8.478;4.605;10.81
4589.45;100.0;53937.0;77.3;8.432;4.605;10.896
2537.44;100.0;54238.0;149.3;7.839;4.605;10.901
4934.21;100.0;22021.0;38.0;8.504;4.605;10.0
