дата;товар;категория;количество;цена;сумма;менеджер;месяц
04.03.2025;"Роман ""Мастер и Маргарита""";Книги;4;1006;4024;Козлова Е.;Март
22.03.2025;Рубашка мужская;Одежда;1;2534;2534;Сидоров М.;Март
19.01.2025;Мяч футбольный;Спорт;1;17118;17118;Сидоров М.;Февраль
22.03.2025;Кеды Adidas;Спорт;5;4958;24790;Иванов П.;Февраль
11.01.2025;Рубашка мужская;Одежда;2;2392;4784;Смирнов А.;Март
03.01.2025;Чайник;Дом и сад;5;6104;30520;Смирнов А.;Март
02.02.2025;Мяч футбольный;Спорт;3;19300;57900;Смирнов А.;Февраль
11.01.2025;Наушники Sony;Электроника;1;46997;46997;Сидоров М.;Февраль
25.01.2025;Штанга;Спорт;2;13638;27276;Петрова А.;Январь
18.01.2025;Наушники Sony;Электроника;1;50605;50605;Смирнов А.;Январь
20.03.2025;Гитара;Книги;5;724;3620;Сидоров М.;Март
16.03.2025;Пылесос;Дом и сад;3;3030;9090;Иванов П.;Январь
02.01.2025;"Роман ""Мастер и Маргарита""";Книги;5;738;3690;Петрова А.;Январь
10.01.2025;Кеды Adidas;Спорт;5;24660;123300;Иванов П.;Январь
23.03.2025;iPhone 15;Электроника;2;41305;82610;Петрова А.;Февраль
09.02.2025;Микроволновка;Дом и сад;5;9855;49275;Иванов П.;Февраль
26.01.2025;Ноутбук Dell;Электроника;1;61672;61672;Козлова Е.;Январь
26.03.2025;Микроволновка;Дом и сад;1;11340;11340;Смирнов А.;Март
05.03.2025;iPhone 15;Электроника;2;40302;80604;Сидоров М.;Январь
12.03.2025;iPhone 15;Электроника;1;59481;59481;Петрова А.;Февраль
08.02.2025;iPhone 15;Электроника;3;58857;176571;Петрова А.;Январь
22.02.2025;Пылесос;Дом и сад;3;12816;38448;Козлова Е.;Февраль
17.02.2025;"Роман ""Мастер и Маргарита""";Книги;3;2518;7554;Петрова А.;Март
18.01.2025;Кеды Adidas;Спорт;1;24633;24633;Сидоров М.;Февраль
15.03.2025;Кроссовки Nike;Спорт;4;3434;13736;Петрова А.;Февраль
07.03.2025;Ноутбук Dell;Электроника;5;60018;300090;Иванов П.;Февраль
12.02.2025;Велосипед;Спорт;4;6470;25880;Петрова А.;Январь
19.01.2025;Чайник;Дом и сад;4;6517;26068;Иванов П.;Январь
05.01.2025;Ноутбук Dell;Электроника;1;23848;23848;Смирнов А.;Февраль
03.02.2025;Набор кастрюль;Дом и сад;5;8066;40330;Козлова Е.;Март
14.03.2025;Samsung TV;Электроника;5;79007;395035;Иванов П.;Февраль
06.01.2025;"Роман ""Мастер и Маргарита""";Книги;2;1697;3394;Петрова А.;Февраль
28.01.2025;"Роман ""Мастер и Маргарита""";Книги;2;2801;5602;Петрова А.;Февраль
08.01.2025;Велосипед;Спорт;1;3067;3067;Петрова А.;Январь
28.02.2025;Платье летнее;Одежда;1;3078;3078;Иванов П.;Январь
08.03.2025;Джинсы;Одежда;4;2791;11164;Петрова А.;Февраль
28.01.2025;Джинсы;Одежда;3;5765;17295;Сидоров М.;Январь
05.01.2025;"Роман ""Мастер и Маргарита""";Книги;5;921;4605;Козлова Е.;Февраль
05.03.2025;Штанга;Спорт;3;11470;34410;Сидоров М.;Март
10.03.2025;Ноутбук Dell;Электроника;1;41910;41910;Сидоров М.;Февраль
16.02.2025;iPhone 15;Электроника;4;64482;257928;Сидоров М.;Март
19.01.2025;Рубашка мужская;Одежда;3;4051;12153;Иванов П.;Март
15.01.2025;Набор кастрюль;Дом и сад;1;8988;8988;Петрова А.;Февраль
22.03.2025;Samsung TV;Электроника;4;45107;180428;Сидоров М.;Февраль
06.02.2025;Учебник по Python;Книги;4;1243;4972;Петрова А.;Февраль
11.02.2025;Наушники Sony;Электроника;5;72750;363750;Смирнов А.;Февраль
16.02.2025;Samsung TV;Электроника;1;22537;22537;Петрова А.;Февраль
22.02.2025;Велосипед;Спорт;2;12073;24146;Сидоров М.;Январь
18.01.2025;Учебник по Python;Книги;1;871;871;Сидоров М.;Март
23.02.2025;Наушники Sony;Электроника;4;23548;94192;Иванов П.;Март
21.02.2025;Джинсы;Одежда;2;2108;4216;Иванов П.;Январь
01.03.2025;Куртка зимняя;Одежда;4;5972;23888;Сидоров М.;Февраль
11.02.2025;Samsung TV;Электроника;2;42007;84014;Иванов П.;Март
10.01.2025;"Роман ""Мастер и Маргарита""";Книги;1;1344;1344;Сидоров М.;Февраль
19.01.2025;Микроволновка;Дом и сад;1;8370;8370;Петрова А.;Январь
13.01.2025;Мяч футбольный;Спорт;5;9951;49755;Петрова А.;Февраль
06.03.2025;Микроволновка;Дом и сад;4;5848;23392;Смирнов А.;Март
15.01.2025;Куртка зимняя;Одежда;2;4290;8580;Смирнов А.;Январь
12.01.2025;Наушники Sony;Электроника;1;55537;55537;Петрова А.;Март
11.02.2025;Кеды Adidas;Спорт;5;7716;38580;Сидоров М.;Январь
16.03.2025;Набор кастрюль;Дом и сад;4;3444;13776;Петрова А.;Февраль
11.01.2025;Чайник;Дом и сад;3;5335;16005;Сидоров М.;Февраль
08.03.2025;Samsung TV;Электроника;3;61713;185139;Смирнов А.;Февраль
25.03.2025;Пылесос;Дом и сад;1;13765;13765;Смирнов А.;Март
18.01.2025;Samsung TV;Электроника;3;48019;144057;Иванов П.;Март
26.03.2025;Кроссовки Nike;Спорт;5;10520;52600;Козлова Е.;Март
21.02.2025;Пылесос;Дом и сад;3;13909;41727;Петрова А.;Январь
25.01.2025;Микроволновка;Дом и сад;1;10989;10989;Смирнов А.;Январь
18.02.2025;Учебник по Python;Книги;2;1871;3742;Петрова А.;Февраль
16.03.2025;Чайник;Дом и сад;3;14964;44892;Сидоров М.;Февраль
03.01.2025;Кроссовки Nike;Спорт;3;11681;35043;Петрова А.;Январь
21.02.2025;Джинсы;Одежда;4;6062;24248;Иванов П.;Январь
16.01.2025;Микроволновка;Дом и сад;4;9174;36696;Петрова А.;Январь
15.01.2025;Наушники Sony;Электроника;1;64231;64231;Иванов П.;Январь
24.01.2025;Пылесос;Дом и сад;2;5826;11652;Смирнов А.;Январь
08.03.2025;Мяч футбольный;Спорт;3;16583;49749;Сидоров М.;Февраль
12.02.2025;Набор кастрюль;Дом и сад;4;12574;50296;Петрова А.;Январь
01.01.2025;Samsung TV;Электроника;3;29022;87066;Иванов П.;Январь
02.02.2025;Наушники Sony;Электроника;1;52026;52026;Иванов П.;Март
16.03.2025;Джинсы;Одежда;2;2631;5262;Петрова А.;Март
