date;metric_name;value;category
2024-01-09;avg_order_value;488;sales
2024-01-09;avg_order_value;460;marketing
2024-01-09;avg_order_value;430;operations
2024-01-10;revenue;114505;sales
2024-01-10;revenue;102251;marketing
2024-01-10;revenue;72662;operations
2024-01-10;orders;400;sales
2024-01-10;orders;232;marketing
2024-01-10;orders;247;operations
2024-01-10;customers;556;sales
2024-01-10;customers;211;marketing
2024-01-10;customers;365;operations
2024-01-10;avg_order_value;492;sales
2024-01-10;avg_order_value;298;marketing
2024-01-10;avg_order_value;371;operations
2024-01-11;revenue;113335;sales
2024-01-11;revenue;60965;marketing
2024-01-11;revenue;74538;operations
2024-01-11;orders;746;sales
2024-01-11;orders;661;marketing
2024-01-11;orders;204;operations
2024-01-11;customers;367;sales
2024-01-11;customers;404;marketing
2024-01-11;customers;547;operations
2024-01-11;avg_order_value;482;sales
2024-01-11;avg_order_value;406;marketing
2024-01-11;avg_order_value;214;operations
2024-01-12;revenue;137897;sales
2024-01-12;revenue;73419;marketing
2024-01-12;revenue;100636;operations
2024-01-12;orders;774;sales
2024-01-12;orders;440;marketing
2024-01-12;orders;763;operations
2024-01-12;customers;245;sales
2024-01-12;customers;537;marketing
2024-01-12;customers;371;operations
2024-01-12;avg_order_value;430;sales
2024-01-12;avg_order_value;436;marketing
2024-01-12;avg_order_value;342;operations
2024-01-13;revenue;83827;sales
2024-01-13;revenue;105820;marketing
2024-01-13;revenue;112623;operations
2024-01-13;orders;442;sales
2024-01-13;orders;285;marketing
2024-01-13;orders;777;operations
2024-01-13;customers;319;sales
2024-01-13;customers;194;marketing
2024-01-13;customers;211;operations
2024-01-13;avg_order_value;333;sales
2024-01-13;avg_order_value;483;marketing
2024-01-13;avg_order_value;227;operations
2024-01-14;revenue;119163;sales
2024-01-14;revenue;75939;marketing
2024-01-14;revenue;98925;operations
2024-01-14;orders;530;sales
2024-01-14;orders;705;marketing
2024-01-14;orders;547;operations
2024-01-14;customers;380;sales
2024-01-14;customers;339;marketing
2024-01-14;customers;374;operations
2024-01-14;avg_order_value;482;sales
2024-01-14;avg_order_value;320;marketing
2024-01-14;avg_order_value;315;operations
2024-01-15;revenue;105016;sales
2024-01-15;revenue;59474;marketing
2024-01-15;revenue;108053;operations
2024-01-15;orders;655;sales
2024-01-15;orders;610;marketing
2024-01-15;orders;517;operations
2024-01-15;customers;314;sales
2024-01-15;customers;374;marketing
2024-01-15;customers;456;operations
2024-01-15;avg_order_value;433;sales
2024-01-15;avg_order_value;371;marketing
2024-01-15;avg_order_value;351;operations
2024-01-16;revenue;84766;sales
2024-01-16;revenue;123530;marketing
2024-01-16;revenue;143557;operations
2024-01-16;orders;671;sales
2024-01-16;orders;432;marketing
2024-01-16;orders;312;operations
2024-01-16;customers;467;sales
2024-01-16;customers;591;marketing
2024-01-16;customers;201;operations
2024-01-16;avg_order_value;467;sales
2024-01-16;avg_order_value;494;marketing
2024-01-16;avg_order_value;312;operations
2024-01-17;revenue;117172;sales
2024-01-17;revenue;135616;marketing
2024-01-17;revenue;143264;operations
2024-01-17;orders;312;sales
2024-01-17;orders;201;marketing
2024-01-17;orders;419;operations
2024-01-17;customers;203;sales
2024-01-17;customers;492;marketing
2024-01-17;customers;373;operations
2024-01-17;avg_order_value;424;sales
2024-01-17;avg_order_value;325;marketing
2024-01-17;avg_order_value;329;operations
2024-01-18;revenue;137092;sales
2024-01-18;revenue;100859;marketing
2024-01-18;revenue;76309;operations
2024-01-18;orders;615;sales
2024-01-18;orders;446;marketing
2024-01-18;orders;638;operations
2024-01-18;customers;352;sales
2024-01-18;customers;333;marketing
2024-01-18;customers;272;operations
2024-01-18;avg_order_value;454;sales
2024-01-18;avg_order_value;493;marketing
2024-01-18;avg_order_value;479;operations
2024-01-19;revenue;102083;sales
2024-01-19;revenue;115733;marketing
2024-01-19;revenue;139045;operations
2024-01-19;orders;710;sales
2024-01-19;orders;343;marketing
2024-01-19;orders;400;operations
2024-01-19;customers;273;sales
2024-01-19;customers;336;marketing
2024-01-19;customers;475;operations
2024-01-19;avg_order_value;458;sales
2024-01-19;avg_order_value;347;marketing
2024-01-19;avg_order_value;451;operations
2024-01-20;revenue;106250;sales
2024-01-20;revenue;122082;marketing
2024-01-20;revenue;84754;operations
2024-01-20;orders;710;sales
2024-01-20;orders;346;marketing
2024-01-20;orders;347;operations
2024-01-20;customers;501;sales
2024-01-20;customers;348;marketing
2024-01-20;customers;457;operations
2024-01-20;avg_order_value;327;sales
2024-01-20;avg_order_value;238;marketing
2024-01-20;avg_order_value;328;operations
2024-01-21;revenue;51802;sales
2024-01-21;revenue;58155;marketing
2024-01-21;revenue;123656;operations
2024-01-21;orders;672;sales
2024-01-21;orders;350;marketing
2024-01-21;orders;614;operations
2024-01-21;customers;447;sales
2024-01-21;customers;248;marketing
2024-01-21;customers;412;operations
2024-01-21;avg_order_value;451;sales
2024-01-21;avg_order_value;343;marketing
2024-01-21;avg_order_value;311;operations
2024-01-22;revenue;66371;sales
2024-01-22;revenue;127371;marketing
2024-01-22;revenue;52049;operations
2024-01-22;orders;503;sales
2024-01-22;orders;453;marketing
2024-01-22;orders;652;operations
2024-01-22;customers;186;sales
2024-01-22;customers;309;marketing
2024-01-22;customers;158;operations
2024-01-22;avg_order_value;432;sales
2024-01-22;avg_order_value;298;marketing
2024-01-22;avg_order_value;346;operations
2024-01-23;revenue;65151;sales
2024-01-23;revenue;101407;marketing
2024-01-23;revenue;116690;operations
2024-01-23;orders;603;sales
2024-01-23;orders;351;marketing
2024-01-23;orders;253;operations
2024-01-23;customers;269;sales
2024-01-23;customers;310;marketing
2024-01-23;customers;557;operations
2024-01-23;avg_order_value;315;sales
2024-01-23;avg_order_value;274;marketing
2024-01-23;avg_order_value;312;operations
2024-01-24;revenue;82711;sales
2024-01-24;revenue;55539;marketing
2024-01-24;revenue;103351;operations
2024-01-24;orders;453;sales
2024-01-24;orders;426;marketing
2024-01-24;orders;311;operations
2024-01-24;customers;248;sales
2024-01-24;customers;302;marketing
2024-01-24;customers;498;operations
2024-01-24;avg_order_value;393;sales
2024-01-24;avg_order_value;362;marketing
2024-01-24;avg_order_value;407;operations
2024-01-25;revenue;100108;sales
2024-01-25;revenue;144179;marketing
2024-01-25;revenue;140272;operations
2024-01-25;orders;779;sales
2024-01-25;orders;597;marketing
2024-01-25;orders;476;operations
2024-01-25;customers;453;sales
2024-01-25;customers;553;marketing
2024-01-25;customers;533;operations
2024-01-25;avg_order_value;334;sales
2024-01-25;avg_order_value;394;marketing
2024-01-25;avg_order_value;327;operations
2024-01-26;revenue;94064;sales
2024-01-26;revenue;120091;marketing
2024-01-26;revenue;90818;operations
2024-01-26;orders;669;sales
2024-01-26;orders;574;marketing
2024-01-26;orders;221;operations
2024-01-26;customers;387;sales
2024-01-26;customers;307;marketing
2024-01-26;customers;187;operations
2024-01-26;avg_order_value;429;sales
2024-01-26;avg_order_value;250;marketing
2024-01-26;avg_order_value;463;operations
2024-01-27;revenue;69738;sales
2024-01-27;revenue;80746;marketing
2024-01-27;revenue;99377;operations
2024-01-27;orders;476;sales
2024-01-27;orders;483;marketing
2024-01-27;orders;680;operations
2024-01-27;customers;466;sales
2024-01-27;customers;453;marketing
2024-01-27;customers;296;operations
2024-01-27;avg_order_value;203;sales
2024-01-27;avg_order_value;234;marketing
2024-01-27;avg_order_value;391;operations
2024-01-28;revenue;123744;sales
2024-01-28;revenue;106491;marketing
2024-01-28;revenue;68589;operations
2024-01-28;orders;676;sales
2024-01-28;orders;245;marketing
2024-01-28;orders;572;operations
2024-01-28;customers;155;sales
2024-01-28;customers;248;marketing
2024-01-28;customers;529;operations
2024-01-28;avg_order_value;432;sales
2024-01-28;avg_order_value;236;marketing
2024-01-28;avg_order_value;479;operations
2024-01-29;revenue;53420;sales
2024-01-29;revenue;146752;marketing
2024-01-29;revenue;50301;operations
2024-01-29;orders;380;sales
2024-01-29;orders;298;marketing
2024-01-29;orders;315;operations
2024-01-29;customers;340;sales
2024-01-29;customers;402;marketing
2024-01-29;customers;565;operations
2024-01-29;avg_order_value;360;sales
2024-01-29;avg_order_value;455;marketing
2024-01-29;avg_order_value;327;operations
2024-01-30;revenue;76641;sales
2024-01-30;revenue;84584;marketing
2024-01-30;revenue;82745;operations
2024-01-30;orders;765;sales
2024-01-30;orders;769;marketing
2024-01-30;orders;522;operations
2024-01-30;customers;509;sales
2024-01-30;customers;323;marketing
2024-01-30;customers;429;operations
2024-01-30;avg_order_value;313;sales
2024-01-30;avg_order_value;487;marketing
2024-01-30;avg_order_value;350;operations
2024-01-31;revenue;85777;sales
2024-01-31;revenue;106958;marketing
2024-01-31;revenue;132074;operations
2024-01-31;orders;689;sales
2024-01-31;orders;585;marketing
2024-01-31;orders;303;operations
2024-01-31;customers;566;sales
2024-01-31;customers;542;marketing
2024-01-31;customers;448;operations
2024-01-31;avg_order_value;445;sales
2024-01-31;avg_order_value;375;marketing
2024-01-31;avg_order_value;238;operations
2024-02-01;revenue;104748;sales
2024-02-01;revenue;55801;marketing
2024-02-01;revenue;69190;operations
2024-02-01;orders;737;sales
2024-02-01;orders;607;marketing
2024-02-01;orders;724;operations
2024-02-01;customers;465;sales
2024-02-01;customers;540;marketing
2024-02-01;customers;462;operations
2024-02-01;avg_order_value;235;sales
2024-02-01;avg_order_value;372;marketing
2024-02-01;avg_order_value;219;operations
2024-02-02;revenue;52368;sales
2024-02-02;revenue;127575;marketing
2024-02-02;revenue;56655;operations
2024-02-02;orders;599;sales
2024-02-02;orders;670;marketing
2024-02-02;orders;342;operations
2024-02-02;customers;241;sales
2024-02-02;customers;503;marketing
2024-02-02;customers;471;operations
2024-02-02;avg_order_value;487;sales
2024-02-02;avg_order_value;414;marketing
2024-02-02;avg_order_value;250;operations
2024-02-03;revenue;143848;sales
2024-02-03;revenue;102921;marketing
2024-02-03;revenue;99726;operations
2024-02-03;orders;389;sales
2024-02-03;orders;324;marketing
2024-02-03;orders;349;operations
2024-02-03;customers;463;sales
2024-02-03;customers;207;marketing
2024-02-03;customers;491;operations
2024-02-03;avg_order_value;379;sales
2024-02-03;avg_order_value;369;marketing
2024-02-03;avg_order_value;470;operations
2024-02-04;revenue;145285;sales
2024-02-04;revenue;65338;marketing
2024-02-04;revenue;118027;operations
2024-02-04;orders;463;sales
2024-02-04;orders;252;marketing
2024-02-04;orders;771;operations
2024-02-04;customers;257;sales
2024-02-04;customers;154;marketing
2024-02-04;customers;252;operations
2024-02-04;avg_order_value;395;sales
2024-02-04;avg_order_value;461;marketing
2024-02-04;avg_order_value;246;operations
2024-02-05;revenue;130738;sales
2024-02-05;revenue;89734;marketing
2024-02-05;revenue;122615;operations
2024-02-05;orders;468;sales
2024-02-05;orders;569;marketing
2024-02-05;orders;305;operations
2024-02-05;customers;307;sales
2024-02-05;customers;296;marketing
2024-02-05;customers;294;operations
2024-02-05;avg_order_value;319;sales
2024-02-05;avg_order_value;474;marketing
2024-02-05;avg_order_value;291;operations
2024-02-06;revenue;75945;sales
2024-02-06;revenue;140852;marketing
2024-02-06;revenue;82217;operations
2024-02-06;orders;316;sales
2024-02-06;orders;326;marketing
2024-02-06;orders;592;operations
2024-02-06;customers;545;sales
2024-02-06;customers;278;marketing
2024-02-06;customers;207;operations
2024-02-06;avg_order_value;321;sales
2024-02-06;avg_order_value;200;marketing
2024-02-06;avg_order_value;438;operations
2024-02-07;revenue;96175;sales
2024-02-07;revenue;57805;marketing
2024-02-07;revenue;55237;operations
2024-02-07;orders;759;sales
2024-02-07;orders;687;marketing
2024-02-07;orders;436;operations
2024-02-07;customers;522;sales
2024-02-07;customers;534;marketing
2024-02-07;customers;421;operations
2024-02-07;avg_order_value;388;sales
2024-02-07;avg_order_value;391;marketing
2024-02-07;avg_order_value;268;operations
2024-02-08;revenue;109638;sales
2024-02-08;revenue;123666;marketing
2024-02-08;revenue;135067;operations
2024-02-08;orders;353;sales
2024-02-08;orders;634;marketing
2024-02-08;orders;285;operations
2024-02-08;customers;334;sales
2024-02-08;customers;434;marketing
2024-02-08;customers;369;operations
2024-02-08;avg_order_value;268;sales
2024-02-08;avg_order_value;246;marketing
2024-02-08;avg_order_value;293;operations
2024-02-09;revenue;145981;sales
2024-02-09;revenue;128781;marketing
2024-02-09;revenue;110403;operations
2024-02-09;orders;652;sales
2024-02-09;orders;403;marketing
2024-02-09;orders;417;operations
2024-02-09;customers;581;sales
2024-02-09;customers;490;marketing
2024-02-09;customers;188;operations
2024-02-09;avg_order_value;299;sales
2024-02-09;avg_order_value;488;marketing
2024-02-09;avg_order_value;453;operations
2024-02-10;revenue;109101;sales
2024-02-10;revenue;76646;marketing
2024-02-10;revenue;73049;operations
2024-02-10;orders;299;sales
2024-02-10;orders;379;marketing
2024-02-10;orders;422;operations
2024-02-10;customers;543;sales
2024-02-10;customers;399;marketing
2024-02-10;customers;296;operations
2024-02-10;avg_order_value;295;sales
2024-02-10;avg_order_value;456;marketing
2024-02-10;avg_order_value;203;operations
2024-02-11;revenue;77663;sales
2024-02-11;revenue;101991;marketing
2024-02-11;revenue;107679;operations
2024-02-11;orders;457;sales
2024-02-11;orders;696;marketing
2024-02-11;orders;359;operations
2024-02-11;customers;489;sales
2024-02-11;customers;301;marketing
2024-02-11;customers;545;operations
2024-02-11;avg_order_value;377;sales
2024-02-11;avg_order_value;362;marketing
2024-02-11;avg_order_value;232;operations
2024-02-12;revenue;54000;sales
2024-02-12;revenue;120588;marketing
2024-02-12;revenue;143610;operations
2024-02-12;orders;467;sales
2024-02-12;orders;776;marketing
2024-02-12;orders;616;operations
2024-02-12;customers;317;sales
2024-02-12;customers;479;marketing
2024-02-12;customers;192;operations
2024-02-12;avg_order_value;243;sales
2024-02-12;avg_order_value;484;marketing
2024-02-12;avg_order_value;211;operations
2024-02-13;revenue;88494;sales
2024-02-13;revenue;53373;marketing
2024-02-13;revenue;62161;operations
2024-02-13;orders;452;sales
2024-02-13;orders;698;marketing
2024-02-13;orders;234;operations
2024-02-13;customers;364;sales
2024-02-13;customers;486;marketing
2024-02-13;customers;239;operations
2024-02-13;avg_order_value;463;sales
2024-02-13;avg_order_value;292;marketing
2024-02-13;avg_order_value;289;operations
2024-02-14;revenue;126797;sales
2024-02-14;revenue;115953;marketing
2024-02-14;revenue;107458;operations
2024-02-14;orders;395;sales
2024-02-14;orders;700;marketing
2024-02-14;orders;692;operations
2024-02-14;customers;224;sales
2024-02-14;customers;562;marketing
2024-02-14;customers;525;operations
2024-02-14;avg_order_value;416;sales
2024-02-14;avg_order_value;476;marketing
2024-02-14;avg_order_value;448;operations
2024-02-15;revenue;94425;sales
2024-02-15;revenue;88756;marketing
2024-02-15;revenue;68888;operations
2024-02-15;orders;391;sales
2024-02-15;orders;298;marketing
2024-02-15;orders;747;operations
2024-02-15;customers;245;sales
2024-02-15;customers;301;marketing
2024-02-15;customers;300;operations
2024-02-15;avg_order_value;389;sales
2024-02-15;avg_order_value;423;marketing
2024-02-15;avg_order_value;236;operations
2024-02-16;revenue;94811;sales
2024-02-16;revenue;86208;marketing
2024-02-16;revenue;70150;operations
2024-02-16;orders;724;sales
2024-02-16;orders;478;marketing
2024-02-16;orders;416;operations
2024-02-16;customers;504;sales
2024-02-16;customers;510;marketing
2024-02-16;customers;435;operations
2024-02-16;avg_order_value;472;sales
2024-02-16;avg_order_value;261;marketing
2024-02-16;avg_order_value;283;operations
2024-02-17;revenue;96959;sales
2024-02-17;revenue;50728;marketing
2024-02-17;revenue;100517;operations
2024-02-17;orders;596;sales
2024-02-17;orders;218;marketing
2024-02-17;orders;376;operations
2024-02-17;customers;249;sales
2024-02-17;customers;545;marketing
2024-02-17;customers;594;operations
2024-02-17;avg_order_value;432;sales
2024-02-17;avg_order_value;275;marketing
2024-02-17;avg_order_value;464;operations
2024-02-18;revenue;85270;sales
2024-02-18;revenue;109163;marketing
2024-02-18;revenue;132637;operations
2024-02-18;orders;583;sales
2024-02-18;orders;763;marketing
2024-02-18;orders;705;operations
2024-02-18;customers;516;sales
2024-02-18;customers;293;marketing
2024-02-18;customers;522;operations
2024-02-18;avg_order_value;268;sales
2024-02-18;avg_order_value;298;marketing
2024-02-18;avg_order_value;224;operations
2024-02-19;revenue;147203;sales
2024-02-19;revenue;61130;marketing
2024-02-19;revenue;137508;operations
2024-02-19;orders;683;sales
2024-02-19;orders;764;marketing
2024-02-19;orders;350;operations
2024-02-19;customers;293;sales
2024-02-19;customers;206;marketing
2024-02-19;customers;188;operations
2024-02-19;avg_order_value;308;sales
2024-02-19;avg_order_value;380;marketing
2024-02-19;avg_order_value;241;operations
2024-02-20;revenue;71689;sales
2024-02-20;revenue;61174;marketing
2024-02-20;revenue;138461;operations
2024-02-20;orders;422;sales
2024-02-20;orders;332;marketing
2024-02-20;orders;362;operations
2024-02-20;customers;364;sales
2024-02-20;customers;370;marketing
2024-02-20;customers;384;operations
2024-02-20;avg_order_value;345;sales
2024-02-20;avg_order_value;438;marketing
2024-02-20;avg_order_value;275;operations
2024-02-21;revenue;98136;sales
2024-02-21;revenue;73625;marketing
2024-02-21;revenue;132873;operations
2024-02-21;orders;691;sales
2024-02-21;orders;452;marketing
2024-02-21;orders;429;operations
2024-02-21;customers;156;sales
2024-02-21;customers;323;marketing
2024-02-21;customers;290;operations
2024-02-21;avg_order_value;367;sales
2024-02-21;avg_order_value;369;marketing
2024-02-21;avg_order_value;482;operations
2024-02-22;revenue;69065;sales
2024-02-22;revenue;133460;marketing
2024-02-22;revenue;138092;operations
2024-02-22;orders;364;sales
2024-02-22;orders;621;marketing
2024-02-22;orders;538;operations
2024-02-22;customers;285;sales
2024-02-22;customers;514;marketing
2024-02-22;customers;470;operations
2024-02-22;avg_order_value;344;sales
2024-02-22;avg_order_value;416;marketing
2024-02-22;avg_order_value;331;operations
2024-02-23;revenue;85909;sales
2024-02-23;revenue;139339;marketing
2024-02-23;revenue;69870;operations
2024-02-23;orders;644;sales
2024-02-23;orders;381;marketing
2024-02-23;orders;366;operations
2024-02-23;customers;240;sales
2024-02-23;customers;351;marketing
2024-02-23;customers;495;operations
2024-02-23;avg_order_value;218;sales
2024-02-23;avg_order_value;238;marketing
2024-02-23;avg_order_value;325;operations
2024-02-24;revenue;94482;sales
2024-02-24;revenue;136188;marketing
2024-02-24;revenue;54748;operations
2024-02-24;orders;419;sales
2024-02-24;orders;257;marketing
2024-02-24;orders;675;operations
2024-02-24;customers;466;sales
2024-02-24;customers;532;marketing
2024-02-24;customers;510;operations
2024-02-24;avg_order_value;200;sales
2024-02-24;avg_order_value;389;marketing
2024-02-24;avg_order_value;390;operations
2024-02-25;revenue;149835;sales
2024-02-25;revenue;78016;marketing
2024-02-25;revenue;73960;operations
2024-02-25;orders;316;sales
2024-02-25;orders;333;marketing
2024-02-25;orders;257;operations
2024-02-25;customers;193;sales
2024-02-25;customers;322;marketing
2024-02-25;customers;309;operations
2024-02-25;avg_order_value;372;sales
2024-02-25;avg_order_value;348;marketing
2024-02-25;avg_order_value;279;operations
2024-02-26;revenue;143045;sales
2024-02-26;revenue;143396;marketing
2024-02-26;revenue;111642;operations
2024-02-26;orders;428;sales
2024-02-26;orders;426;marketing
2024-02-26;orders;731;operations
2024-02-26;customers;590;sales
2024-02-26;customers;551;marketing
2024-02-26;customers;196;operations
2024-02-26;avg_order_value;432;sales
2024-02-26;avg_order_value;213;marketing
2024-02-26;avg_order_value;342;operations
2024-02-27;revenue;102638;sales
2024-02-27;revenue;102736;marketing
2024-02-27;revenue;118866;operations
2024-02-27;orders;670;sales
2024-02-27;orders;211;marketing
2024-02-27;orders;529;operations
2024-02-27;customers;373;sales
2024-02-27;customers;421;marketing
2024-02-27;customers;507;operations
2024-02-27;avg_order_value;355;sales
2024-02-27;avg_order_value;207;marketing
2024-02-27;avg_order_value;321;operations
2024-02-28;revenue;96427;sales
2024-02-28;revenue;111529;marketing
2024-02-28;revenue;134665;operations
2024-02-28;orders;515;sales
2024-02-28;orders;377;marketing
2024-02-28;orders;739;operations
2024-02-28;customers;369;sales
2024-02-28;customers;506;marketing
2024-02-28;customers;190;operations
2024-02-28;avg_order_value;427;sales
2024-02-28;avg_order_value;391;marketing
2024-02-28;avg_order_value;344;operations
2024-02-29;revenue;88088;sales
2024-02-29;revenue;128752;marketing
2024-02-29;revenue;105284;operations
2024-02-29;orders;660;sales
2024-02-29;orders;757;marketing
2024-02-29;orders;746;operations
2024-02-29;customers;402;sales
2024-02-29;customers;539;marketing
2024-02-29;customers;231;operations
2024-02-29;avg_order_value;455;sales
2024-02-29;avg_order_value;396;marketing
2024-02-29;avg_order_value;209;operations
2024-03-01;revenue;134791;sales
2024-03-01;revenue;108141;marketing
2024-03-01;revenue;73793;operations
2024-03-01;orders;450;sales
2024-03-01;orders;204;marketing
2024-03-01;orders;318;operations
2024-03-01;customers;438;sales
2024-03-01;customers;523;marketing
2024-03-01;customers;214;operations
2024-03-01;avg_order_value;345;sales
2024-03-01;avg_order_value;423;marketing
2024-03-01;avg_order_value;438;operations
2024-03-02;revenue;112292;sales
2024-03-02;revenue;73833;marketing
2024-03-02;revenue;54158;operations
2024-03-02;orders;416;sales
2024-03-02;orders;660;marketing
2024-03-02;orders;304;operations
2024-03-02;customers;248;sales
2024-03-02;customers;534;marketing
2024-03-02;customers;554;operations
2024-03-02;avg_order_value;205;sales
2024-03-02;avg_order_value;396;marketing
2024-03-02;avg_order_value;332;operations
2024-03-03;revenue;130642;sales
2024-03-03;revenue;100612;marketing
2024-03-03;revenue;73574;operations
2024-03-03;orders;764;sales
2024-03-03;orders;657;marketing
2024-03-03;orders;282;operations
2024-03-03;customers;294;sales
2024-03-03;customers;234;marketing
2024-03-03;customers;227;operations
2024-03-03;avg_order_value;200;sales
2024-03-03;avg_order_value;250;marketing
2024-03-03;avg_order_value;372;operations
2024-03-04;revenue;67100;sales
2024-03-04;revenue;107091;marketing
2024-03-04;revenue;71949;operations
2024-03-04;orders;648;sales
2024-03-04;orders;687;marketing
2024-03-04;orders;233;operations
2024-03-04;customers;497;sales
2024-03-04;customers;244;marketing
2024-03-04;customers;221;operations
2024-03-04;avg_order_value;238;sales
2024-03-04;avg_order_value;353;marketing
2024-03-04;avg_order_value;449;operations
2024-03-05;revenue;108017;sales
2024-03-05;revenue;111877;marketing
2024-03-05;revenue;93125;operations
2024-03-05;orders;505;sales
2024-03-05;orders;467;marketing
2024-03-05;orders;253;operations
2024-03-05;customers;385;sales
2024-03-05;customers;538;marketing
2024-03-05;customers;371;operations
2024-03-05;avg_order_value;450;sales
2024-03-05;avg_order_value;311;marketing
2024-03-05;avg_order_value;454;operations
2024-03-06;revenue;69758;sales
2024-03-06;revenue;65254;marketing
2024-03-06;revenue;94238;operations
2024-03-06;orders;428;sales
2024-03-06;orders;777;marketing
2024-03-06;orders;274;operations
2024-03-06;customers;584;sales
2024-03-06;customers;252;marketing
2024-03-06;customers;571;operations
2024-03-06;avg_order_value;391;sales
2024-03-06;avg_order_value;451;marketing
2024-03-06;avg_order_value;425;operations
2024-03-07;revenue;56949;sales
2024-03-07;revenue;105393;marketing
2024-03-07;revenue;123553;operations
2024-03-07;orders;534;sales
2024-03-07;orders;634;marketing
2024-03-07;orders;646;operations
2024-03-07;customers;457;sales
2024-03-07;customers;398;marketing
2024-03-07;customers;315;operations
2024-03-07;avg_order_value;229;sales
2024-03-07;avg_order_value;446;marketing
2024-03-07;avg_order_value;305;operations
2024-03-08;revenue;93088;sales
2024-03-08;revenue;89811;marketing
2024-03-08;revenue;105479;operations
2024-03-08;orders;600;sales
2024-03-08;orders;529;marketing
2024-03-08;orders;707;operations
2024-03-08;customers;489;sales
2024-03-08;customers;218;marketing
2024-03-08;customers;183;operations
2024-03-08;avg_order_value;461;sales
2024-03-08;avg_order_value;252;marketing
2024-03-08;avg_order_value;404;operations
2024-03-09;revenue;86586;sales
2024-03-09;revenue;62015;marketing
2024-03-09;revenue;95002;operations
2024-03-09;orders;310;sales
2024-03-09;orders;382;marketing
2024-03-09;orders;294;operations
2024-03-09;customers;523;sales
2024-03-09;customers;549;marketing
2024-03-09;customers;157;operations
2024-03-09;avg_order_value;383;sales
2024-03-09;avg_order_value;480;marketing
2024-03-09;avg_order_value;394;operations
2024-03-10;revenue;133807;sales
2024-03-10;revenue;83434;marketing
