order_id;customer_id;order_date;total_amount;status;shipping_cost;discount_amount
61;2675;2024-02-04;4365;Доставлен;0;577
62;2955;2023-12-25;910;В пути;665;32
63;3593;2024-10-03;10046;В пути;0;900
64;1138;2024-05-13;1928;В пути;716;34
65;1587;2024-08-19;9166;Доставлен;0;646
66;4068;2025-07-31;18815;В пути;0;490
67;3293;2025-03-30;1940;Отменен;247;251
68;4098;2024-01-13;8187;В пути;0;153
69;4837;2024-01-05;2502;Доставлен;306;371
70;3739;2023-12-23;3215;Доставлен;0;177
71;3695;2024-11-05;4302;Доставлен;0;501
72;2605;2025-07-02;2145;Доставлен;238;26
73;2760;2024-02-14;5010;Доставлен;0;280
74;2184;2025-07-01;9718;Отменен;0;904
75;1521;2024-05-12;5195;Доставлен;0;302
76;2173;2024-05-28;13947;Доставлен;0;1401
77;74;2024-11-29;1340;Доставлен;286;181
78;4244;2025-02-21;4534;В пути;0;586
79;504;2024-05-15;12266;Доставлен;0;1190
80;2083;2023-09-30;5019;Доставлен;0;650
81;4022;2024-10-06;13687;Доставлен;0;479
82;499;2023-12-19;1316;Доставлен;586;4
83;2960;2024-04-01;7533;Отменен;0;306
84;1947;2024-04-05;962;Доставлен;376;90
85;3061;2024-12-23;687;Доставлен;581;27
86;2114;2025-08-05;12818;Отменен;0;19
87;2544;2025-04-30;3319;Доставлен;0;425
88;827;2025-07-16;10134;Доставлен;0;401
89;2084;2025-08-23;4959;В пути;0;394
90;48;2024-05-06;18720;Доставлен;0;484
91;4943;2024-08-17;2002;Доставлен;666;40
92;431;2023-11-21;12954;Отменен;0;1470
93;1350;2023-09-24;6213;Доставлен;0;343
94;3573;2025-08-26;5215;Доставлен;0;94
95;1015;2024-12-05;4334;В пути;0;550
96;1880;2025-05-06;1774;В пути;543;83
97;2850;2025-02-28;10266;В пути;0;197
98;4354;2023-10-16;6974;Доставлен;0;210
99;2829;2024-02-16;2780;Отменен;433;406
100;3843;2024-01-19;11302;Отменен;0;347
101;4025;2025-01-15;907;Доставлен;304;45
102;4782;2024-02-24;3817;Доставлен;0;72
103;86;2025-03-13;9677;Отменен;0;1173
104;1996;2023-11-24;3065;Отменен;0;401
105;2773;2024-03-03;3488;Отменен;0;142
106;4508;2025-02-20;3067;Доставлен;0;332
107;2403;2024-04-15;10820;Доставлен;0;444
108;4968;2023-09-08;3985;Отменен;0;144
109;3207;2024-06-03;2661;Доставлен;222;65
110;1048;2024-03-11;16139;Доставлен;0;752
111;456;2024-02-18;13786;Доставлен;0;122
112;1303;2024-05-09;13714;Доставлен;0;1004
113;4905;2025-04-15;2107;Доставлен;378;272
114;1176;2025-01-18;12617;В пути;0;303
115;4909;2024-02-20;11911;Доставлен;0;758
116;41;2023-12-22;2286;Доставлен;720;306
117;978;2025-02-10;1153;Отменен;570;14
118;1538;2024-08-04;3957;Отменен;0;216
119;1969;2024-08-19;10370;Отменен;0;864
120;545;2025-01-11;8864;Доставлен;0;1087
121;3990;2025-08-05;1758;Отменен;445;232
122;2818;2024-10-27;4007;Доставлен;0;110
123;3885;2023-12-02;5769;В пути;0;341
124;932;2024-11-21;23304;В пути;0;1840
125;1900;2024-03-16;6756;Доставлен;0;850
126;4359;2024-07-15;24571;Доставлен;0;2606
127;3912;2024-03-08;482;Доставлен;457;37
128;322;2024-10-31;9008;Доставлен;0;1120
129;887;2024-10-12;880;Отменен;763;73
130;901;2024-01-28;25617;Доставлен;0;509
131;702;2023-10-21;7967;В пути;0;1114
132;4416;2025-02-05;5322;Доставлен;0;701
133;2570;2024-11-25;5801;В пути;0;277
134;2050;2024-08-12;1044;В пути;549;84
135;3694;2024-12-29;10967;Доставлен;0;553
136;3286;2023-09-06;4205;В пути;0;276
137;4403;2025-08-03;5506;В пути;0;77
138;98;2024-08-20;10889;Доставлен;0;998
139;1171;2024-07-23;10472;Доставлен;0;595
140;1059;2025-01-31;3277;Доставлен;0;68
141;3767;2024-11-04;13250;Доставлен;0;1601
142;1757;2024-05-31;9032;Доставлен;0;337
143;4416;2024-07-24;9921;Доставлен;0;132
144;1417;2024-11-17;2835;Доставлен;391;219
145;3193;2024-05-06;4185;Доставлен;0;468
146;3611;2023-09-15;1747;Доставлен;346;18
147;3644;2025-04-15;1051;Доставлен;738;150
148;3317;2025-05-01;19948;Отменен;0;753
149;1504;2025-06-21;4170;В пути;0;179
150;2918;2024-02-07;16575;Доставлен;0;344
151;2349;2024-10-22;9106;Доставлен;0;1216
152;122;2024-06-14;975;В пути;222;50
153;1999;2024-03-29;11918;В пути;0;432
154;3248;2024-02-22;10979;Доставлен;0;297
155;733;2025-05-27;4458;Доставлен;0;91
156;2351;2024-03-04;3458;Доставлен;0;87
157;1140;2025-03-23;3042;Доставлен;0;414
158;318;2024-07-13;3881;Доставлен;0;149
159;864;2024-02-13;12267;Доставлен;0;1527
160;2888;2024-06-16;12481;Отменен;0;103
161;4116;2024-10-09;3105;Отменен;0;447
162;2731;2024-09-01;10072;Доставлен;0;318
163;1596;2025-07-06;923;Доставлен;573;34
164;911;2024-04-01;9125;В пути;0;688
165;4411;2024-02-15;6921;Доставлен;0;829
166;1662;2023-10-18;5761;Доставлен;0;738
167;1642;2023-10-11;4897;Доставлен;0;670
168;434;2024-09-15;1088;В пути;712;30
169;81;2025-06-16;11730;В пути;0;718
170;2123;2024-02-04;978;Доставлен;628;93
171;1206;2024-01-15;7913;Доставлен;0;425
172;672;2023-10-03;7930;Доставлен;0;91
173;402;2025-04-07;5183;В пути;0;481
174;741;2024-10-21;13783;Доставлен;0;1297
175;2662;2023-10-30;9637;Отменен;0;374
176;3141;2025-03-31;5365;Доставлен;0;132
177;1933;2024-03-25;5290;Доставлен;0;18
178;1814;2024-11-03;4390;В пути;0;384
179;3724;2025-01-30;1449;Отменен;259;64
180;4401;2025-01-12;1846;Отменен;705;161
181;4961;2025-01-05;3698;Отменен;0;510
182;2052;2025-04-28;1534;В пути;754;139
183;1001;2025-07-03;4804;В пути;0;650
184;1815;2024-09-02;6388;Доставлен;0;148
185;4858;2025-07-29;24986;Доставлен;0;568
186;4842;2025-06-27;8954;Доставлен;0;448
187;3436;2025-03-17;17808;Доставлен;0;1426
188;4206;2024-09-26;8237;Доставлен;0;594
189;2993;2025-05-26;3117;Доставлен;0;252
190;3634;2023-12-13;6971;Доставлен;0;150
191;4754;2024-01-13;799;Доставлен;689;33
192;4606;2024-07-09;5075;Отменен;0;561
193;3979;2025-01-19;7457;Доставлен;0;230
194;2633;2025-08-26;20915;В пути;0;2659
195;868;2024-04-28;3031;Доставлен;0;158
196;2453;2024-10-06;4477;В пути;0;22
197;1616;2025-05-04;8479;Отменен;0;1105
198;891;2025-08-22;2758;Отменен;319;42
199;4131;2025-08-27;802;Доставлен;266;42
200;3999;2025-05-13;5983;Доставлен;0;143
201;1291;2025-08-27;11863;Доставлен;0;1329
202;319;2025-01-12;4252;Доставлен;0;99
203;4397;2025-05-16;1400;Отменен;671;28
204;2323;2024-09-18;11280;Отменен;0;353
205;3466;2024-12-25;3601;Доставлен;0;472
206;1397;2023-09-11;7453;Доставлен;0;795
207;2272;2024-11-21;3267;В пути;0;42
208;1957;2024-08-22;25817;Доставлен;0;2033
209;1453;2024-10-08;22755;Доставлен;0;2440
210;1512;2024-02-21;3809;В пути;0;225
211;3988;2024-01-10;3435;В пути;0;109
212;890;2024-04-19;2984;В пути;463;224
213;4515;2024-01-06;20724;В пути;0;432
214;337;2024-09-27;2770;В пути;475;87
215;3667;2024-09-17;10156;Доставлен;0;463
216;2300;2025-08-20;2797;Доставлен;246;251
217;5000;2024-01-10;11641;Доставлен;0;571
218;3451;2025-07-03;2147;Отменен;393;124
219;2577;2025-02-07;3229;Доставлен;0;14
220;2430;2024-05-09;6545;В пути;0;277
221;4868;2025-01-17;3671;Отменен;0;77
222;67;2024-02-02;12383;Доставлен;0;230
223;3097;2024-11-15;11464;В пути;0;980
224;1851;2023-11-17;474;Доставлен;593;61
225;931;2024-04-05;14499;В пути;0;59
226;3384;2024-12-03;1224;Доставлен;294;89
227;4612;2025-04-15;4184;Доставлен;0;180
228;887;2024-09-06;2940;В пути;602;313
229;3728;2023-09-20;22650;Отменен;0;124
230;694;2023-10-10;3308;Доставлен;0;233
231;4525;2025-06-01;5038;Доставлен;0;135
232;869;2025-07-18;1762;Доставлен;224;65
233;1911;2025-06-16;5283;Доставлен;0;709
234;735;2024-09-23;3713;Отменен;0;327
235;4816;2023-11-26;2770;Доставлен;600;99
236;2376;2024-01-21;8071;Отменен;0;1080
237;3809;2024-05-11;8181;В пути;0;1072
238;3104;2024-08-23;9108;Доставлен;0;532
239;1276;2024-06-14;11372;В пути;0;979
240;1386;2024-11-03;15110;Отменен;0;364
241;1984;2025-04-30;1753;Доставлен;398;185
242;3804;2025-09-03;6155;Отменен;0;625
243;1157;2023-10-01;8956;Доставлен;0;76
244;1174;2023-10-26;20717;Доставлен;0;1915
245;3337;2024-10-28;11502;В пути;0;1617
246;1582;2024-02-23;16131;Доставлен;0;820
247;2542;2023-12-24;9114;В пути;0;263
248;3373;2024-01-06;2322;Отменен;652;23
249;4398;2025-08-28;14783;В пути;0;2072
250;4408;2024-07-29;1731;В пути;370;88
251;4259;2025-05-09;14591;Доставлен;0;524
252;1215;2024-02-09;7295;Доставлен;0;495
253;465;2025-04-26;10030;Отменен;0;1320
254;914;2024-04-06;2572;Отменен;369;266
255;319;2024-03-07;11396;Отменен;0;629
256;162;2024-10-25;26671;Доставлен;0;1211
257;4817;2024-06-30;2467;Доставлен;204;348
258;4444;2023-12-02;19883;Доставлен;0;361
259;2736;2024-12-30;5423;Доставлен;0;283
260;1956;2025-06-15;4434;Доставлен;0;482
261;1099;2025-05-14;12002;В пути;0;1708
262;2953;2023-10-24;12200;Доставлен;0;142
263;3090;2025-08-17;9369;В пути;0;62
264;1327;2024-01-24;22914;Отменен;0;3355
265;4354;2024-09-25;5313;Отменен;0;248
266;4499;2025-01-18;1037;Доставлен;661;55
267;2863;2025-02-05;15265;Отменен;0;1925
268;1919;2024-12-31;7002;В пути;0;216
269;67;2024-02-10;12810;Доставлен;0;192
270;1856;2024-07-14;1527;Доставлен;708;213
271;2020;2024-02-21;15931;В пути;0;185
272;2539;2024-12-23;3539;Доставлен;0;237
273;2843;2024-12-17;2500;Доставлен;703;371
274;1839;2025-07-31;17267;Отменен;0;418
275;2039;2024-02-27;26538;В пути;0;2184
276;4647;2025-07-16;12244;Доставлен;0;1751
277;3241;2025-03-25;19153;Доставлен;0;56
278;4718;2023-09-11;19184;В пути;0;2291
279;2695;2025-05-12;1875;Отменен;673;224
280;4689;2024-09-07;1010;Отменен;213;88
281;1292;2024-06-10;18994;Доставлен;0;2500
282;4129;2025-04-29;1532;В пути;278;118
283;2025;2024-11-30;1410;В пути;403;124
284;4797;2024-05-03;1141;Доставлен;722;117
285;4044;2025-06-11;22843;Доставлен;0;812
286;472;2023-09-26;2375;В пути;345;169
287;820;2024-11-23;2717;Доставлен;624;375
288;3139;2023-09-27;7024;В пути;0;294
289;3223;2025-05-19;3027;Доставлен;0;228
290;1844;2024-04-05;4700;Доставлен;0;273
291;2976;2025-01-28;4329;Доставлен;0;95
292;1214;2023-09-26;3836;Доставлен;0;373
293;1994;2023-09-13;3483;Доставлен;0;495
294;2922;2024-10-10;2332;В пути;460;174
295;405;2024-08-15;2168;Отменен;617;86
296;2548;2024-07-14;19139;Доставлен;0;1910
297;1843;2023-12-17;20791;Отменен;0;1702
298;4528;2024-09-22;4722;Доставлен;0;508
299;617;2025-05-03;15322;Доставлен;0;1867
300;4585;2025-03-25;15363;Доставлен;0;626
301;4709;2024-11-19;10736;Доставлен;0;983
302;3689;2025-04-16;19195;Доставлен;0;1761
303;2744;2024-10-29;8379;В пути;0;213
304;3578;2023-10-08;2686;Отменен;487;79
305;1722;2024-12-27;4587;Доставлен;0;282
306;1862;2024-08-13;11627;Отменен;0;1154
307;1574;2024-06-12;1042;Доставлен;782;5
308;3105;2024-09-27;10015;Отменен;0;512
309;2020;2024-05-31;25876;В пути;0;1193
310;1996;2024-11-28;3271;Отменен;0;333
311;3152;2024-02-07;7189;Доставлен;0;166
312;2008;2023-12-16;1353;В пути;566;112
313;496;2025-07-01;10267;Доставлен;0;1504
314;2940;2024-04-25;5568;Доставлен;0;41
315;1849;2024-02-22;17094;Доставлен;0;308
316;4134;2024-08-15;10870;Доставлен;0;84
317;3279;2024-09-24;11798;Доставлен;0;776
318;4586;2023-10-25;6234;В пути;0;152
319;4348;2024-10-04;10244;Доставлен;0;1001
320;2611;2024-08-17;9078;Отменен;0;148
321;4098;2025-03-28;12868;Доставлен;0;1611
322;2121;2025-08-28;9375;В пути;0;906
323;3973;2025-03-25;3920;Доставлен;0;276
324;1068;2024-01-20;3788;Доставлен;0;439
325;904;2025-06-14;7149;Доставлен;0;87
326;169;2025-02-26;6548;Доставлен;0;44
327;830;2023-10-18;7343;Отменен;0;28
328;1545;2024-12-03;15981;Доставлен;0;835
329;677;2025-04-12;3593;Отменен;0;407
330;1334;2025-09-02;9506;Доставлен;0;484
331;2413;2024-04-23;25656;В пути;0;3480
332;215;2025-03-09;5178;Доставлен;0;670
333;3132;2024-12-25;17543;В пути;0;206
334;3433;2025-02-04;2095;Доставлен;350;104
335;2430;2024-11-17;2544;Доставлен;784;136
336;3784;2025-08-23;839;Доставлен;501;75
337;281;2025-07-09;2666;В пути;623;273
338;1877;2024-02-28;20329;Доставлен;0;2668
339;948;2025-07-12;3542;Доставлен;0;240
340;1556;2023-12-15;2007;Доставлен;775;0
341;674;2025-05-30;23060;Доставлен;0;2365
342;4661;2023-11-03;23005;Доставлен;0;747
343;1362;2024-03-02;4953;Отменен;0;77
344;4776;2025-05-02;18699;Доставлен;0;140
345;3801;2025-02-27;2203;Доставлен;764;55
346;1025;2024-03-31;3339;Доставлен;0;55
347;2165;2024-11-30;1134;Отменен;348;110
348;2629;2024-10-14;1187;Доставлен;515;91
349;2649;2023-09-11;2114;Доставлен;730;150
350;174;2024-02-22;3845;Доставлен;0;349
351;1226;2024-04-02;12322;Доставлен;0;1502
352;1012;2023-11-26;4526;Отменен;0;0
353;110;2025-07-07;2585;Доставлен;529;299
354;3697;2024-06-06;3065;Доставлен;0;101
355;680;2024-01-27;8319;Доставлен;0;1039
356;4915;2024-05-23;8887;Доставлен;0;1192
357;1675;2024-02-13;3905;В пути;0;338
358;2622;2024-06-10;11007;В пути;0;626
359;1881;2025-02-11;453;Отменен;518;30
360;1946;2025-04-28;10847;В пути;0;878
361;557;2024-05-19;4463;Доставлен;0;467
362;2883;2024-11-29;14738;Доставлен;0;525
363;1245;2025-02-17;577;Доставлен;575;26
364;40;2025-08-05;5097;Доставлен;0;87
365;771;2024-05-08;10820;В пути;0;891
366;3874;2023-09-25;13357;Доставлен;0;864
367;3870;2024-02-26;19075;Доставлен;0;8
368;3813;2024-11-06;1113;Доставлен;686;32
369;919;2024-08-12;5284;В пути;0;539
370;2950;2024-08-29;28508;Доставлен;0;2756
371;655;2024-03-28;3477;Доставлен;0;253
372;3305;2023-11-27;6140;Доставлен;0;682
373;3915;2024-08-27;19808;Доставлен;0;2794
374;207;2025-04-07;5699;В пути;0;84
375;452;2024-05-23;10806;Отменен;0;455
376;3009;2024-04-06;4049;Доставлен;0;576
377;981;2025-02-01;1659;В пути;424;102
378;314;2025-08-14;21179;Отменен;0;1166
379;1670;2023-11-01;8916;В пути;0;52
380;395;2024-12-21;4610;Отменен;0;91
381;2251;2023-10-03;1034;В пути;282;143
382;3321;2023-12-12;12134;Доставлен;0;1016
383;3967;2025-07-13;6897;Доставлен;0;767
384;3409;2025-03-09;5012;В пути;0;701
385;1916;2025-03-30;11084;Доставлен;0;1360
386;4912;2025-06-05;3338;Отменен;0;223
387;4854;2023-10-06;24475;В пути;0;1144
388;4532;2024-01-29;4204;В пути;0;46
389;734;2025-03-30;9881;Отменен;0;1176
390;2247;2024-03-23;22996;Доставлен;0;2954
391;2716;2023-12-28;9782;Доставлен;0;737
392;1506;2024-10-12;7247;Доставлен;0;526
393;1448;2024-05-03;11179;Доставлен;0;847
394;449;2025-03-27;15845;Доставлен;0;208
395;4950;2024-05-11;10999;Доставлен;0;301
396;3980;2024-12-28;1736;В пути;676;16
397;2984;2025-03-14;13901;В пути;0;1837
398;2027;2025-02-22;3468;Доставлен;0;308
399;3522;2024-07-28;16679;Доставлен;0;786
400;3027;2023-11-05;2721;Доставлен;315;368
401;1522;2024-01-21;13656;Доставлен;0;1755
402;4446;2025-02-22;5980;Доставлен;0;223
403;3316;2025-08-05;1344;Доставлен;362;168
404;1127;2024-09-26;2168;В пути;287;131
405;2535;2024-09-08;12345;Доставлен;0;447
406;2509;2024-08-01;20123;Отменен;0;75
407;2240;2024-11-20;9501;Доставлен;0;806
408;3490;2024-09-24;10463;В пути;0;4
409;1201;2024-06-22;3135;Доставлен;0;365
410;2751;2025-07-11;25431;Отменен;0;2726
411;3684;2024-07-27;23264;Отменен;0;356
412;3189;2024-01-18;1492;Доставлен;710;51
413;4401;2024-06-19;2470;Доставлен;495;34
414;148;2024-10-05;3653;Доставлен;0;533
415;2066;2024-02-27;10468;В пути;0;1312
416;2934;2025-04-20;5347;В пути;0;317
417;4587;2023-11-25;1691;Отменен;747;113
418;4516;2025-08-30;2876;Отменен;642;374
419;1124;2024-05-11;12809;Отменен;0;122
420;3310;2025-02-28;26586;В пути;0;1903
421;3698;2024-09-14;17452;Отменен;0;1641
422;1068;2025-05-28;5267;В пути;0;671
423;2867;2024-04-23;22605;Доставлен;0;2045
424;4729;2025-06-28;754;Доставлен;782;41
425;2708;2024-10-16;1241;Доставлен;386;74
426;4400;2024-07-10;3057;Доставлен;0;28
427;1202;2025-01-12;3471;Доставлен;0;315
428;3779;2024-12-28;15807;В пути;0;2184
429;4628;2023-12-14;11532;Доставлен;0;1621
430;2980;2024-02-21;1175;Доставлен;366;59
431;986;2025-02-21;10662;В пути;0;866
432;4743;2024-05-29;12751;Отменен;0;612
433;1747;2023-12-03;11233;Отменен;0;1532
434;3274;2025-08-25;21162;Доставлен;0;2792
435;4200;2024-02-12;27431;Доставлен;0;2833
436;3821;2024-11-22;3804;Доставлен;0;65
437;2712;2025-04-20;2173;Отменен;486;196
438;4981;2025-03-13;1311;В пути;764;170
439;62;2023-11-08;14363;Доставлен;0;2121
440;1896;2025-02-04;8030;Доставлен;0;546
441;2845;2024-04-15;9317;Отменен;0;1095
442;2762;2024-10-12;7249;Доставлен;0;706
443;1295;2024-06-05;15198;Доставлен;0;521
444;1877;2025-02-22;20211;В пути;0;1465
445;3701;2023-09-15;8859;Доставлен;0;1192
446;4541;2025-08-14;8384;Отменен;0;344
447;1262;2023-10-01;11940;Доставлен;0;440
448;1104;2025-07-29;3069;Доставлен;0;320
449;390;2025-02-23;7917;Отменен;0;1128
450;4538;2024-07-12;2974;Доставлен;545;103
451;3711;2024-11-10;2923;Доставлен;494;77
452;992;2025-07-10;1008;Доставлен;551;13
453;2038;2024-03-29;11969;Доставлен;0;1039
454;4687;2023-11-22;867;Доставлен;778;84
455;988;2024-05-19;2152;Доставлен;259;168
456;2702;2024-06-21;9580;Отменен;0;87
457;559;2024-10-23;17895;Доставлен;0;1459
458;2216;2024-07-21;3887;Доставлен;0;54
459;570;2025-08-28;3016;Доставлен;0;441
460;2261;2024-08-04;1769;Доставлен;632;126
461;3056;2024-04-07;16238;Доставлен;0;397
462;732;2025-03-24;4717;Доставлен;0;544
463;1959;2024-12-21;2628;Доставлен;530;62
464;475;2025-01-14;9360;В пути;0;965
465;2175;2024-10-01;2577;В пути;666;70
466;3847;2023-11-21;4085;Отменен;0;454
467;243;2023-09-05;1148;Доставлен;239;150
468;4297;2024-04-20;4075;Доставлен;0;402
469;3246;2025-06-15;15770;Доставлен;0;1308
470;2181;2023-10-27;4864;Доставлен;0;60
471;4767;2024-10-31;1818;Доставлен;296;89
472;2808;2024-06-05;18652;Доставлен;0;811
473;2495;2024-05-27;8302;Доставлен;0;10
474;740;2023-10-08;5835;Отменен;0;581
475;2692;2025-02-08;7148;В пути;0;420
476;3393;2024-01-24;12856;Доставлен;0;1405
477;3915;2025-06-15;10069;Доставлен;0;733
478;1275;2024-05-04;8119;В пути;0;710
479;4544;2023-12-22;16850;Доставлен;0;1997
480;2036;2024-12-07;3698;Доставлен;0;144
481;4274;2024-03-07;5632;Доставлен;0;62
482;1503;2023-11-08;15123;Доставлен;0;748
483;3409;2023-09-20;4122;Доставлен;0;270
484;2572;2024-01-03;9478;Отменен;0;1105
485;1380;2025-06-09;20081;Доставлен;0;2077
486;2236;2024-01-29;2378;Доставлен;601;5
487;2367;2025-04-16;17821;Доставлен;0;1163
488;4919;2024-12-31;18998;Доставлен;0;1584
489;2079;2024-04-07;8893;Доставлен;0;1290
490;2963;2024-02-18;9165;Доставлен;0;1026
491;2270;2023-12-28;3906;В пути;0;95
492;4990;2024-12-05;3634;Доставлен;0;0
493;3226;2024-05-30;1471;Отменен;503;143
494;2154;2023-11-08;17824;Отменен;0;2636
495;4874;2024-06-04;5648;Доставлен;0;230
496;3425;2024-04-29;3109;Отменен;0;70
497;4914;2024-09-02;11090;Доставлен;0;366
498;4885;2025-05-28;1903;Отменен;776;175
499;3505;2024-06-17;13745;Доставлен;0;1280
500;2788;2025-01-24;3055;Отменен;0;317
501;2275;2023-11-30;11406;В пути;0;1222
502;1419;2024-02-01;5732;Доставлен;0;47
503;1891;2025-04-19;5141;Доставлен;0;168
504;1341;2024-05-05;3668;В пути;0;84
505;2745;2024-08-20;4861;В пути;0;441
506;588;2023-10-18;1455;В пути;613;71
507;459;2025-03-13;15088;Доставлен;0;1614
508;1925;2025-05-11;15988;Доставлен;0;770
509;4136;2025-08-16;2234;Доставлен;403;116
510;532;2024-08-21;25170;Доставлен;0;3071
511;1647;2025-03-03;2758;Доставлен;400;188
512;3613;2024-05-26;2243;В пути;637;132
513;2324;2024-09-09;3630;Отменен;0;394
514;1702;2025-04-10;3515;Доставлен;0;325
515;1704;2023-11-26;18313;Доставлен;0;858
516;2427;2024-01-16;622;В пути;703;81
517;2384;2025-05-04;1674;Доставлен;601;64
518;4086;2023-11-27;2887;Доставлен;556;307
519;4378;2023-12-25;27126;Доставлен;0;1287
520;271;2025-01-11;2506;Отменен;296;305
521;630;2025-01-29;605;В пути;273;88
522;2991;2025-02-24;16106;Доставлен;0;2053
523;2339;2023-10-06;10107;В пути;0;952
524;2553;2023-11-12;8189;Доставлен;0;441
525;2131;2025-02-13;2601;Доставлен;232;178
526;112;2024-04-08;7409;Доставлен;0;753
527;3565;2025-06-17;18149;Отменен;0;1068
528;3341;2025-06-13;14565;Доставлен;0;1508
529;1561;2025-02-13;24076;Отменен;0;2079
530;950;2024-12-09;1554;Доставлен;235;68
531;1894;2023-10-23;26212;Доставлен;0;3780
532;880;2023-11-10;2934;Доставлен;777;208
533;1733;2025-02-14;20208;Доставлен;0;1038
534;4669;2025-04-10;16564;Доставлен;0;1612
535;2950;2023-09-28;17604;Доставлен;0;112
536;709;2024-01-17;24707;Отменен;0;2486
537;1400;2023-12-19;13799;Доставлен;0;937
538;4471;2023-12-10;2524;В пути;541;234
539;2137;2025-08-30;2305;Отменен;527;229
540;2956;2023-12-01;9549;Доставлен;0;314
541;111;2025-05-12;9899;Доставлен;0;1341
542;2901;2024-08-23;9641;В пути;0;974
543;3;2025-05-17;21402;Доставлен;0;871
544;2753;2024-11-02;6035;Доставлен;0;14
545;4102;2023-10-18;3315;В пути;0;16
546;1851;2023-10-31;1668;Доставлен;443;138
547;358;2025-03-24;8053;Отменен;0;993
548;4464;2025-04-24;11794;Доставлен;0;182
549;2415;2024-06-19;20460;Доставлен;0;1787
550;1663;2025-04-18;13120;В пути;0;1829
551;2505;2023-09-30;3087;Доставлен;0;130
552;145;2024-06-01;828;Отменен;286;103
553;3623;2023-09-24;4804;Доставлен;0;215
554;4097;2024-08-31;2805;Доставлен;783;289
555;2492;2024-10-08;9613;Доставлен;0;938
556;2819;2025-07-28;3850;Доставлен;0;317
557;1928;2024-07-17;7174;Доставлен;0;337
558;1421;2025-03-22;10393;Доставлен;0;542
559;4097;2023-10-07;3440;Доставлен;0;344
560;4351;2025-03-01;19836;Отменен;0;2009
561;320;2025-08-20;6024;Доставлен;0;183
562;3481;2024-11-11;3062;Доставлен;0;100
563;4210;2024-12-17;12006;Доставлен;0;1174
564;1320;2025-02-27;9003;Доставлен;0;850
565;2043;2023-09-27;15671;В пути;0;101
566;2119;2024-04-09;2391;Отменен;562;53
567;770;2024-09-28;3769;Доставлен;0;323
568;3215;2024-06-24;2765;Доставлен;339;345
569;516;2024-12-22;1824;В пути;389;188
570;3953;2024-09-29;3878;Отменен;0;16
571;3580;2024-05-06;4847;Доставлен;0;229
