ID_продажи,Дата,ID_продукта,ID_клиента,Категория,Количество,Цена,Скидка,Регион,Менеджер
S1026,2023-05-16,P051,C117,Дом и сад,2,3846.34,18.3,Новосибирск,Петров
S1027,2023-04-08,P004,C149,Книги,1,764.49,0.0,СПб,Кузнецов
S1028,2023-03-22,P033,C021,Одежда,1,483.49,4.6,Казань,Кузнецов
S1029,2023-05-07,P003,C159,Электроника,2,3126.53,0.0,Казань,Петров
S1030,2023-12-09,P016,C068,Спорт,1,2383.33,0.0,Казань,Иванов
S1031,2023-01-05,P037,C026,Электроника,3,2776.48,0.0,СПб,Иванов
S1032,2023-05-06,P011,C113,Книги,4,1301.02,19.8,Москва,Кузнецов
S1035,2023-03-10,P007,C191,Книги,1,707.16,0.0,СПб,Морозова
S1036,2023-11-21,P033,C126,Дом и сад,6,3445.97,0.0,СПб,Сидорова
S1037,2023-01-23,P050,C034,Дом и сад,1,1990.61,6.0,Москва,Морозова
S1038,2023-03-18,P024,C150,Книги,1,429.4,0.0,Казань,Иванов
S1039,2023-07-03,P016,C171,Электроника,2,3019.48,9.8,Новосибирск,Петров
S1040,2023-03-25,P052,C046,Спорт,1,2670.18,0.0,Казань,Морозова
S1042,2023-05-17,P045,C028,Спорт,6,3054.57,0.0,Новосибирск,Козлов
S1043,2023-06-29,P051,C059,Одежда,1,821.45,0.0,Казань,Сидорова
S1044,2023-06-29,P026,C174,Книги,2,249.68,3.4,Екатеринбург,Сидорова
S1045,2023-01-20,P028,C089,Дом и сад,2,3943.25,0.0,Казань,Петров
S1046,2023-05-11,P028,C001,Книги,7,1169.21,7.7,Екатеринбург,Сидорова
S1047,2023-08-09,P043,C085,Книги,2,1726.43,3.7,СПб,Козлов
S1048,2023-06-17,P019,C142,Одежда,1,2095.31,0.0,Новосибирск,Петров
S1049,2023-11-12,P026,C141,Электроника,2,1445.82,6.5,СПб,Козлов
S1050,2023-08-15,P033,C122,Одежда,4,1066.22,0.0,Екатеринбург,Иванов
S1051,2023-05-01,P015,C051,Одежда,1,961.07,0.0,Новосибирск,Иванов
S1052,2023-08-22,P041,C148,Одежда,4,1336.74,0.0,Москва,Морозова
S1055,2023-04-23,P045,C133,Спорт,1,1134.97,5.1,Новосибирск,Морозова
S1056,2023-09-29,P039,C082,Спорт,3,2615.71,0.0,Новосибирск,Кузнецов
S1057,2023-08-17,P048,C122,Спорт,1,1128.81,0.0,Новосибирск,Кузнецов
S1058,2023-09-06,P018,C113,Электроника,4,1555.22,0.0,Казань,Иванов
S1059,2023-03-12,P025,C178,Одежда,4,473.42,0.0,СПб,Козлов
S1060,2023-02-01,P027,C100,Книги,8,235.16,6.2,СПб,Сидорова
S1061,2023-06-02,P027,C138,Книги,5,1816.06,0.0,Москва,Козлов
S1062,2023-01-15,P043,C174,Спорт,4,2997.59,24.7,СПб,Козлов
S1063,2023-10-31,P002,C022,Спорт,1,1804.35,0.0,СПб,Петров
S1064,2023-08-21,P049,C098,Дом и сад,4,3394.93,0.0,Москва,Иванов
S1065,2023-10-04,P023,C058,Электроника,4,3432.9,9.5,Москва,Иванов
S1066,2023-11-15,P009,C122,Электроника,3,1480.84,0.0,Новосибирск,Петров
S1067,2023-11-07,P048,C184,Электроника,4,1236.95,0.0,Екатеринбург,Сидорова
S1068,2023-10-22,P025,C102,Одежда,1,2164.66,0.0,Москва,Сидорова
S1069,2023-12-17,P008,C145,Электроника,2,2427.7,0.0,СПб,Сидорова
S1071,2023-09-08,P024,C163,Спорт,4,1721.78,9.7,Москва,Кузнецов
S1072,2023-09-05,P053,C188,Книги,2,1733.08,1.8,Казань,Петров
S1073,2023-08-26,P043,C098,Дом и сад,1,3463.43,0.0,Москва,Сидорова
S1074,2023-06-24,P039,C180,Дом и сад,3,2259.86,0.0,Москва,Козлов
S1075,2023-09-08,P016,C177,Спорт,3,1896.09,1.8,Москва,Морозова
S1076,2023-05-05,P038,C095,Спорт,3,1432.84,18.3,СПб,Козлов
S1077,2023-05-19,P015,C031,Одежда,2,2305.78,20.4,Москва,Морозова
S1078,2023-09-05,P038,C195,Книги,3,1964.92,3.7,СПб,Сидорова
S1079,2023-01-08,P009,C071,Электроника,11,2990.12,0.0,Москва,Козлов
S1081,2023-10-21,P031,C113,Дом и сад,1,584.96,17.2,Новосибирск,Козлов
S1082,2023-09-09,P041,C176,Электроника,1,4150.14,11.3,Москва,Кузнецов
S1083,2023-08-02,P051,C159,Одежда,4,1327.02,14.5,Екатеринбург,Козлов
S1084,2023-06-06,P004,C157,Электроника,8,1435.05,0.0,Екатеринбург,Петров
S1085,2023-05-03,P005,C041,Электроника,2,3602.17,0.0,Москва,Сидорова
S1086,2023-12-28,P030,C019,Одежда,7,2427.14,0.0,Екатеринбург,Петров
S1087,2023-08-06,P015,C166,Одежда,6,2531.9,0.0,Москва,Сидорова
S1088,2023-11-01,P037,C074,Спорт,1,2519.34,0.0,Казань,Кузнецов
S1089,2023-10-04,P006,C154,Электроника,6,3805.4,0.0,Москва,Петров
S1091,2023-10-22,P002,C196,Дом и сад,3,3147.19,0.0,СПб,Козлов
S1092,2023-05-23,P038,C112,Спорт,10,1830.53,0.0,СПб,Иванов
S1093,2023-03-24,P045,C127,Дом и сад,4,1841.63,1.3,Москва,Сидорова
S1094,2023-06-15,P050,C104,Книги,5,202.07,5.2,Москва,Кузнецов
S1095,2023-07-05,P032,C161,Спорт,4,991.21,0.0,Казань,Козлов
S1096,2023-12-24,P002,C162,Книги,5,1477.61,0.0,Москва,Козлов
S1097,2023-02-17,P008,C119,Электроника,3,1192.87,14.4,Новосибирск,Козлов
S1098,2023-09-05,P016,C117,Книги,1,543.1,0.0,Новосибирск,Петров
S1099,2023-02-05,P051,C107,Дом и сад,7,2227.86,3.5,Москва,Кузнецов
S1100,2023-10-24,P032,C039,Спорт,3,1437.14,0.0,СПб,Козлов
S1101,2023-06-14,P045,C062,Книги,2,1740.82,0.0,СПб,Козлов
S1103,2023-07-15,P043,C167,Одежда,3,399.95,0.0,Екатеринбург,Иванов
S1104,2023-08-14,P030,C004,Одежда,2,2067.91,0.0,СПб,Сидорова
S1105,2023-06-23,P026,C167,Электроника,5,4335.54,4.4,СПб,Морозова
S1106,2023-09-07,P003,C159,Электроника,1,3579.8,0.0,Москва,Иванов
S1108,2023-11-21,P007,C114,Одежда,4,2739.24,0.0,Новосибирск,Сидорова
S1109,2023-07-03,P010,C063,Книги,2,1427.24,0.0,Москва,Кузнецов
S1110,2023-07-15,P016,C128,Книги,1,1030.07,0.0,Москва,Иванов
S1111,2023-08-27,P044,C140,Одежда,1,2852.14,14.5,Казань,Морозова
S1112,2023-05-09,P020,C051,Спорт,5,685.96,0.0,СПб,Сидорова
S1113,2023-12-25,P043,C102,Дом и сад,1,3514.24,9.8,Казань,Морозова
S1114,2023-09-12,P019,C199,Одежда,3,1251.27,0.0,Екатеринбург,Морозова
S1115,2024-01-05,P044,C036,Электроника,6,3408.53,0.0,СПб,Кузнецов
S1116,2023-07-06,P006,C076,Дом и сад,4,1032.3,0.0,СПб,Сидорова
S1117,2023-09-29,P018,C043,Дом и сад,7,3799.08,14.4,Казань,Иванов
S1119,2023-03-14,P015,C174,Спорт,10,2884.45,0.0,Новосибирск,Иванов
S1120,2023-05-16,P030,C095,Дом и сад,3,3360.7,11.6,Москва,Иванов
S1121,2023-11-14,P036,C084,Книги,1,313.79,9.2,СПб,Козлов
S1122,2023-03-01,P003,C078,Спорт,1,1089.62,0.0,СПб,Сидорова
S1125,2023-08-03,P047,C040,Спорт,4,2976.13,0.0,Казань,Сидорова
S1126,2023-01-17,P014,C114,Спорт,8,3044.67,0.0,Екатеринбург,Кузнецов
S1127,2023-11-27,P026,C071,Одежда,10,2862.33,1.8,Москва,Морозова
S1128,2023-11-02,P004,C086,Одежда,12,2424.84,0.0,Новосибирск,Кузнецов
S1129,2023-04-17,P053,C060,Дом и сад,4,3239.12,0.0,Москва,Петров
S1130,2023-03-08,P052,C045,Электроника,4,616.01,0.0,Новосибирск,Петров
S1131,2023-10-29,P012,C068,Электроника,1,2394.32,0.0,Москва,Козлов
S1132,2023-07-05,P007,C116,Книги,1,1307.19,9.2,Екатеринбург,Сидорова
S1133,2023-08-23,P002,C016,Спорт,5,1692.76,0.0,Новосибирск,Козлов
S1135,2023-06-14,P005,C033,Дом и сад,3,2507.31,4.4,Екатеринбург,Сидорова
S1136,2023-08-21,P028,C026,Электроника,5,3429.12,7.5,Москва,Козлов
S1137,2023-04-27,P053,C117,Спорт,2,649.52,0.0,Екатеринбург,Сидорова
S1138,2023-03-20,P031,C018,Электроника,5,919.54,0.0,Новосибирск,Петров
S1139,2023-10-12,P036,C144,Дом и сад,4,1878.91,9.5,СПб,Морозова
S1141,2023-11-04,P007,C148,Книги,1,1382.13,0.0,Москва,Кузнецов
S1142,2023-07-08,P018,C147,Одежда,5,2581.92,22.3,Екатеринбург,Морозова
S1143,2023-10-13,P043,C178,Дом и сад,1,1383.77,9.3,СПб,Петров
S1144,2023-03-15,P026,C018,Одежда,4,2923.89,0.0,СПб,Козлов
S1145,2023-08-03,P011,C095,Дом и сад,4,3196.61,0.0,Москва,Иванов
S1146,2023-03-21,P040,C013,Электроника,2,3478.72,0.0,СПб,Сидорова
S1147,2023-04-21,P008,C089,Спорт,1,2486.39,0.0,СПб,Сидорова
S1148,2023-01-24,P039,C015,Электроника,1,4753.96,7.9,Москва,Иванов
S1149,2023-01-04,P028,C045,Одежда,2,2199.91,0.0,Новосибирск,Сидорова
S1150,2023-02-06,P048,C011,Спорт,1,3251.66,6.2,Екатеринбург,Морозова
S1151,2023-11-24,P008,C104,Электроника,10,1273.43,16.9,Екатеринбург,Сидорова
S1152,2023-02-15,P007,C063,Спорт,3,2000.48,0.0,СПб,Сидорова
S1153,2023-04-24,P011,C020,Книги,3,1155.09,0.0,Новосибирск,Сидорова
S1155,2023-11-27,P016,C027,Одежда,1,768.45,0.0,Новосибирск,Иванов
S1156,2023-04-01,P041,C127,Спорт,4,2743.61,0.0,Казань,Кузнецов
S1157,2023-11-26,P040,C083,Дом и сад,1,645.83,0.0,СПб,Сидорова
S1158,2023-10-30,P033,C019,Дом и сад,2,535.39,0.0,Москва,Морозова
S1159,2023-02-16,P033,C099,Спорт,3,3355.83,1.4,Казань,Кузнецов
S1160,2023-11-30,P039,C122,Книги,1,311.37,0.0,Казань,Сидорова
S1161,2024-01-01,P042,C045,Электроника,1,2469.91,0.0,СПб,Петров
S1162,2023-07-06,P019,C100,Спорт,4,2488.53,0.0,Екатеринбург,Сидорова
S1163,2023-02-03,P036,C174,Спорт,2,2629.76,0.0,Казань,Петров
S1164,2023-06-20,P043,C037,Дом и сад,2,2761.8,0.0,Москва,Морозова
S1165,2023-02-13,P025,C165,Дом и сад,5,2812.42,7.6,Екатеринбург,Кузнецов
S1166,2023-02-17,P028,C131,Дом и сад,1,1511.92,15.1,Новосибирск,Петров
S1167,2023-04-26,P010,C020,Дом и сад,5,764.11,8.5,Казань,Иванов
S1168,2023-12-05,P050,C159,Одежда,3,716.48,0.0,Екатеринбург,Кузнецов
S1169,2023-03-26,P003,C106,Дом и сад,4,1255.11,0.0,Москва,Морозова
S1170,2023-08-18,P016,C080,Спорт,6,961.15,0.0,Екатеринбург,Козлов
S1171,2023-08-25,P050,C098,Книги,3,1939.28,8.2,Москва,Сидорова
S1172,2023-01-27,P024,C142,Электроника,4,2821.59,0.0,Москва,Петров
S1173,2023-05-20,P033,C038,Спорт,1,3218.09,9.0,Казань,Козлов
S1174,2023-01-28,P024,C061,Спорт,13,1530.97,0.0,Казань,Морозова
S1175,2023-11-29,P010,C036,Электроника,2,4233.93,0.0,Москва,Морозова
S1176,2023-08-29,P001,C021,Электроника,1,4257.33,0.0,Новосибирск,Кузнецов
S1177,2023-08-05,P019,C061,Дом и сад,1,1258.38,0.0,Екатеринбург,Иванов
S1179,2023-09-13,P002,C162,Книги,3,1493.38,0.0,Москва,Сидорова
S1180,2023-05-04,P012,C171,Электроника,3,2122.72,18.2,Новосибирск,Кузнецов
S1181,2023-10-11,P031,C012,Спорт,11,1149.0,0.0,Новосибирск,Сидорова
S1182,2023-05-04,P041,C027,Книги,4,798.53,0.0,СПб,Морозова
S1183,2023-03-31,P044,C119,Спорт,3,2906.22,0.0,Новосибирск,Козлов
S1184,2023-01-19,P003,C052,Электроника,2,1895.34,0.0,Новосибирск,Козлов
S1185,2023-05-10,P042,C049,Дом и сад,2,3211.03,4.0,Москва,Сидорова
S1186,2023-08-12,P048,C113,Спорт,2,938.47,0.0,СПб,Кузнецов
S1187,2023-05-17,P047,C109,Электроника,2,4977.94,0.0,Москва,Иванов
S1188,2023-02-10,P019,C079,Спорт,3,1692.27,0.0,СПб,Иванов
S1190,2023-06-30,P028,C071,Электроника,1,3368.81,0.0,Новосибирск,Морозова
S1191,2023-03-23,P010,C156,Спорт,1,561.79,4.3,СПб,Кузнецов
S1192,2023-01-17,P044,C116,Дом и сад,2,3147.1,0.0,СПб,Козлов
S1193,2023-06-10,P016,C030,Электроника,4,2745.7,0.0,Екатеринбург,Сидорова
S1194,2023-05-14,P014,C157,Дом и сад,4,3995.06,0.0,Москва,Иванов
S1195,2023-08-20,P046,C114,Электроника,5,4854.03,20.0,Новосибирск,Кузнецов
S1196,2023-10-05,P020,C041,Одежда,5,1673.64,0.0,Москва,Петров
S1197,2023-05-02,P002,C093,Книги,3,1041.33,11.9,Казань,Иванов
S1198,2023-06-08,P046,C185,Спорт,3,2772.87,1.7,Казань,Морозова
S1199,2023-02-07,P044,C133,Дом и сад,1,3384.59,0.0,Екатеринбург,Петров
S1200,2023-08-10,P004,C032,Книги,1,496.38,0.0,Новосибирск,Сидорова
S1201,2023-09-23,P006,C065,Одежда,3,1787.27,0.0,СПб,Кузнецов
S1202,2023-02-17,P011,C152,Книги,1,1385.72,6.4,Новосибирск,Кузнецов
S1204,2023-01-15,P042,C198,Книги,2,579.46,0.0,Екатеринбург,Иванов
S1205,2023-09-12,P035,C075,Дом и сад,3,3296.88,0.0,Москва,Иванов
S1206,2023-12-19,P029,C107,Спорт,2,1421.61,0.0,Казань,Сидорова
S1209,2023-03-08,P033,C144,Электроника,2,2599.13,0.0,Москва,Иванов
S1210,2023-01-26,P025,C158,Спорт,1,3075.72,0.0,СПб,Кузнецов
S1211,2024-01-05,P049,C041,Спорт,13,1820.47,5.5,Москва,Козлов
S1212,2023-09-16,P016,C056,Книги,2,290.97,0.0,Казань,Морозова
S1213,2023-12-11,P035,C003,Электроника,2,4471.05,7.9,СПб,Козлов
S1214,2023-01-27,P013,C093,Книги,2,895.43,0.0,СПб,Кузнецов
S1215,2023-12-15,P009,C025,Спорт,2,3458.38,0.0,СПб,Петров
S1216,2023-04-12,P026,C129,Электроника,1,1116.66,0.0,СПб,Козлов
S1217,2023-03-18,P033,C036,Дом и сад,7,1546.71,0.0,Екатеринбург,Сидорова
S1218,2023-10-31,P033,C137,Спорт,4,1294.34,4.3,Екатеринбург,Козлов
S1219,2023-10-26,P047,C177,Электроника,3,1694.89,0.0,Казань,Кузнецов
S1220,2023-10-23,P004,C150,Спорт,1,2331.43,0.0,Новосибирск,Петров
S1221,2023-12-15,P037,C180,Электроника,1,2484.67,0.0,СПб,Петров
S1222,2023-07-30,P040,C121,Электроника,4,2834.07,0.0,Казань,Козлов
S1223,2023-09-27,P012,C118,Книги,2,837.72,7.5,Екатеринбург,Морозова
S1224,2023-05-16,P013,C064,Дом и сад,3,1209.52,14.5,Москва,Петров
S1225,2023-12-20,P021,C123,Дом и сад,3,3764.15,3.6,Екатеринбург,Кузнецов
S1226,2023-07-14,P026,C089,Одежда,2,1076.6,4.1,СПб,Сидорова
S1227,2024-01-18,P013,C138,Дом и сад,7,2906.22,0.0,Екатеринбург,Кузнецов
S1228,2023-05-03,P043,C136,Одежда,3,441.73,0.0,Новосибирск,Иванов
S1231,2023-03-22,P031,C123,Одежда,4,1075.56,0.0,Москва,Иванов
S1232,2023-11-30,P035,C190,Электроника,7,1287.79,2.6,Казань,Козлов
S1233,2023-09-11,P048,C075,Электроника,1,3055.83,0.0,Казань,Сидорова
S1235,2023-10-06,P009,C130,Спорт,2,2897.76,0.0,Новосибирск,Морозова
S1236,2023-05-12,P001,C189,Дом и сад,5,2444.01,2.6,Казань,Козлов
S1237,2023-08-07,P006,C103,Электроника,1,1132.75,0.0,Москва,Сидорова
S1238,2023-07-16,P049,C069,Дом и сад,2,3002.38,0.0,Екатеринбург,Морозова
S1239,2023-05-01,P008,C120,Дом и сад,1,2869.87,23.3,Новосибирск,Морозова
S1240,2023-03-02,P019,C095,Книги,1,1923.25,0.0,СПб,Кузнецов
S1241,2023-07-11,P036,C121,Книги,5,1686.09,7.1,Екатеринбург,Иванов
S1242,2023-09-27,P046,C093,Электроника,7,1004.94,9.1,Москва,Кузнецов
S1243,2023-03-18,P034,C114,Электроника,4,3726.13,0.0,Казань,Козлов
S1244,2023-01-29,P033,C107,Спорт,3,2110.21,0.0,СПб,Иванов
S1245,2023-07-22,P001,C191,Одежда,3,422.28,0.0,Москва,Иванов
S1247,2023-08-30,P027,C047,Одежда,4,2941.5,0.0,СПб,Козлов
S1248,2023-08-18,P025,C097,Электроника,4,3478.07,0.0,Екатеринбург,Сидорова
S1249,2023-03-02,P035,C101,Книги,1,1961.7,7.8,Казань,Козлов
S1250,2023-12-11,P028,C137,Спорт,5,1129.66,0.0,Москва,Морозова
S1251,2023-02-27,P043,C108,Книги,4,1790.76,0.0,Москва,Иванов
S1252,2023-11-01,P039,C173,Электроника,1,699.07,0.0,СПб,Иванов
S1253,2023-03-13,P019,C060,Книги,2,1276.25,0.0,СПб,Сидорова
S1254,2023-03-15,P034,C057,Спорт,2,542.02,23.2,Казань,Морозова
S1255,2023-12-14,P032,C013,Дом и сад,8,2816.83,3.9,СПб,Петров
S1256,2023-06-03,P049,C138,Спорт,1,1059.84,2.3,СПб,Иванов
S1257,2023-10-15,P027,C143,Книги,1,637.15,0.0,Екатеринбург,Козлов
S1258,2023-07-09,P047,C049,Электроника,2,3531.52,0.0,Казань,Петров
S1259,2023-10-28,P036,C056,Спорт,1,3207.15,0.0,Казань,Петров
S1260,2023-04-08,P008,C192,Спорт,7,2541.22,4.6,Москва,Сидорова
S1261,2023-05-25,P035,C167,Дом и сад,2,1694.72,5.2,Новосибирск,Морозова
S1262,2023-08-29,P021,C053,Дом и сад,2,564.58,7.7,Москва,Кузнецов
S1263,2023-10-27,P027,C076,Одежда,1,921.05,0.0,Москва,Кузнецов
S1265,2023-06-22,P053,C126,Спорт,2,2658.23,0.0,Москва,Кузнецов
S1266,2023-09-08,P035,C165,Электроника,3,4275.81,0.0,Новосибирск,Иванов
S1267,2023-01-04,P041,C060,Электроника,4,541.14,0.0,СПб,Кузнецов
S1268,2023-11-23,P040,C124,Спорт,1,2026.47,0.0,Москва,Морозова
S1269,2023-05-21,P019,C005,Книги,5,1413.26,9.2,Москва,Иванов
S1270,2023-09-26,P013,C159,Книги,1,837.99,1.7,Казань,Козлов
S1271,2023-10-17,P045,C058,Дом и сад,4,3452.32,0.0,Казань,Иванов
S1272,2023-02-17,P025,C142,Спорт,1,379.77,0.0,СПб,Козлов
S1273,2023-11-27,P037,C025,Книги,7,613.58,20.4,Екатеринбург,Сидорова
S1276,2023-10-06,P003,C046,Дом и сад,1,1145.77,0.0,Новосибирск,Козлов
S1277,2023-02-09,P037,C062,Книги,5,900.48,4.0,Новосибирск,Петров
S1278,2023-12-19,P033,C191,Дом и сад,1,1973.52,4.1,Новосибирск,Кузнецов
S1280,2023-06-17,P018,C116,Спорт,1,2092.07,0.0,Москва,Кузнецов
S1281,2023-12-05,P050,C159,Дом и сад,5,2967.19,0.0,Москва,Морозова
S1282,2023-11-21,P025,C082,Дом и сад,1,418.7,0.0,СПб,Сидорова
S1283,2023-02-22,P012,C111,Спорт,3,1964.19,0.0,Москва,Кузнецов
S1284,2023-02-17,P051,C084,Спорт,1,1653.5,7.5,Екатеринбург,Петров
S1285,2023-10-20,P044,C098,Одежда,1,1113.05,0.0,Москва,Козлов
S1286,2023-05-22,P031,C020,Дом и сад,1,1287.72,0.0,Екатеринбург,Петров
S1287,2023-08-23,P020,C002,Спорт,2,2303.61,4.0,СПб,Морозова
S1288,2023-11-01,P021,C155,Одежда,3,779.62,0.0,СПб,Морозова
S1289,2023-12-22,P037,C063,Дом и сад,2,3339.38,0.0,Москва,Кузнецов
S1290,2023-04-13,P035,C047,Книги,1,1508.98,13.1,Новосибирск,Морозова
S1292,2023-07-29,P009,C163,Дом и сад,1,2771.19,8.1,Москва,Кузнецов
S1293,2023-09-03,P035,C130,Спорт,3,2840.77,0.0,Казань,Кузнецов
S1294,2023-11-01,P006,C028,Одежда,4,1258.52,0.0,Москва,Морозова
S1295,2023-12-13,P049,C085,Спорт,1,660.61,0.0,Новосибирск,Кузнецов
S1296,2023-10-25,P015,C115,Дом и сад,2,3180.43,0.0,СПб,Сидорова
S1297,2023-01-13,P019,C107,Электроника,1,4733.04,0.0,СПб,Козлов
S1298,2023-04-16,P023,C122,Электроника,2,3635.43,0.0,СПб,Морозова
S1299,2023-02-28,P022,C166,Электроника,4,1239.59,13.7,Москва,Петров
S1300,2023-06-19,P030,C060,Спорт,3,937.12,0.0,СПб,Морозова
S1301,2023-11-11,P029,C152,Спорт,2,2569.92,0.0,Новосибирск,Иванов
S1302,2023-10-23,P035,C048,Дом и сад,2,2047.18,0.0,Казань,Кузнецов
S1303,2023-11-24,P025,C157,Спорт,3,1445.96,6.6,Новосибирск,Морозова
S1305,2023-10-30,P009,C081,Электроника,1,1026.27,0.0,Москва,Козлов
S1306,2023-08-03,P037,C099,Спорт,1,2351.83,0.0,Екатеринбург,Петров
S1307,2023-10-12,P019,C036,Одежда,2,1517.7,0.0,СПб,Иванов
S1308,2023-09-06,P053,C099,Книги,3,1090.95,0.0,СПб,Козлов
S1309,2023-09-08,P037,C008,Одежда,2,1042.1,0.0,Москва,Козлов
S1310,2023-10-17,P050,C127,Книги,3,1230.89,0.0,СПб,Сидорова
S1311,2023-10-05,P003,C195,Спорт,3,3467.79,0.0,Новосибирск,Петров
S1312,2023-06-02,P003,C116,Дом и сад,2,3340.22,0.0,Казань,Петров
S1313,2023-04-18,P038,C177,Дом и сад,5,2596.94,0.0,Екатеринбург,Петров
S1314,2023-04-16,P037,C090,Книги,2,1169.78,0.0,Новосибирск,Сидорова
S1315,2023-10-21,P033,C174,Электроника,1,3875.42,0.0,Москва,Сидорова
S1316,2023-12-02,P009,C064,Одежда,4,2536.9,7.1,СПб,Кузнецов
S1317,2023-11-20,P027,C097,Спорт,1,2852.99,4.6,Новосибирск,Морозова
S1318,2023-07-08,P032,C084,Книги,1,1593.44,7.6,СПб,Морозова
S1319,2023-12-24,P005,C137,Спорт,1,1703.38,0.0,Москва,Сидорова
S1320,2023-06-22,P009,C145,Спорт,5,3166.59,1.4,Екатеринбург,Козлов
S1321,2023-01-09,P011,C113,Спорт,1,3367.8,0.0,Екатеринбург,Петров
S1322,2023-11-29,P018,C024,Дом и сад,1,1738.64,12.5,СПб,Сидорова
S1323,2024-01-07,P015,C110,Электроника,4,504.89,0.0,Москва,Петров
S1324,2023-09-23,P001,C003,Дом и сад,5,3957.36,0.0,Москва,Иванов
S1325,2023-04-28,P047,C027,Электроника,2,4464.45,0.0,Новосибирск,Петров
S1326,2023-11-25,P010,C018,Книги,3,1298.57,0.0,СПб,Петров
S1327,2023-11-18,P027,C158,Спорт,5,623.07,0.0,Новосибирск,Кузнецов
S1328,2024-01-09,P028,C081,Одежда,1,2040.48,0.0,Екатеринбург,Морозова
S1329,2023-11-08,P045,C007,Дом и сад,1,2584.94,0.0,СПб,Морозова
S1331,2023-05-03,P008,C062,Спорт,3,573.69,1.1,СПб,Сидорова
S1332,2023-03-09,P037,C108,Дом и сад,3,1021.97,0.0,Казань,Иванов
S1333,2023-01-09,P001,C068,Одежда,1,463.27,5.6,Екатеринбург,Кузнецов
S1334,2023-08-01,P026,C022,Книги,3,474.82,0.0,Москва,Петров
S1335,2023-03-21,P026,C151,Электроника,2,2468.69,13.6,Москва,Козлов
S1336,2023-03-01,P039,C015,Дом и сад,4,2768.99,0.0,Москва,Петров
S1337,2023-12-26,P032,C089,Книги,3,1680.51,0.0,СПб,Морозова
S1338,2023-05-18,P008,C198,Электроника,2,2431.96,0.0,Москва,Кузнецов
S1339,2023-11-18,P030,C131,Дом и сад,1,3493.7,0.0,Москва,Иванов
S1340,2023-10-21,P008,C059,Книги,1,1745.64,0.0,Москва,Сидорова
S1342,2023-04-02,P003,C142,Спорт,1,1132.03,14.8,Новосибирск,Кузнецов
S1343,2023-07-10,P044,C014,Одежда,1,1692.59,0.0,СПб,Козлов
S1344,2023-05-25,P020,C084,Электроника,3,535.86,0.0,Екатеринбург,Сидорова
S1345,2024-01-14,P030,C095,Книги,10,1996.02,7.6,СПб,Петров
S1346,2023-03-19,P027,C007,Одежда,3,2017.04,0.0,Москва,Сидорова
S1347,2023-01-01,P025,C189,Дом и сад,1,2307.33,0.0,СПб,Иванов
S1348,2023-03-14,P006,C012,Одежда,6,1703.35,4.4,Казань,Иванов
S1349,2023-10-25,P009,C164,Спорт,1,2138.64,0.0,Казань,Петров
S1350,2023-05-30,P021,C101,Дом и сад,2,1379.04,0.0,Москва,Кузнецов
S1351,2023-02-25,P011,C116,Спорт,2,730.32,0.0,Новосибирск,Козлов
S1352,2023-06-07,P008,C024,Одежда,5,1121.38,6.4,Москва,Сидорова
