Date;Year;Month;Day;Quarter;MonthName;DayName;WeekOfYear;DayOfYear;DayOfWeek;IsWeekend;IsHoliday;IsMonthEnd;IsQuarterEnd;IsYearEnd;Season;YearMonth;YearQuarter
2020-01-29;2020;1;29;Q1;Январь;Среда;5;29;3;False;False;False;False;False;Зима;2020-01;2020-Q1
2020-01-30;2020;1;30;Q1;Январь;Четверг;5;30;4;False;False;False;False;False;Зима;2020-01;2020-Q1
2020-01-31;2020;1;31;Q1;Январь;Пятница;5;31;5;False;False;True;False;False;Зима;2020-01;2020-Q1
2020-02-01;2020;2;1;Q1;Февраль;Суббота;5;32;6;True;False;False;False;False;Зима;2020-02;2020-Q1
2020-02-02;2020;2;2;Q1;Февраль;Воскресенье;5;33;7;True;False;False;False;False;Зима;2020-02;2020-Q1
2020-02-03;2020;2;3;Q1;Февраль;Понедельник;6;34;1;False;False;False;False;False;Зима;2020-02;2020-Q1
2020-02-04;2020;2;4;Q1;Февраль;Вторник;6;35;2;False;False;False;False;False;Зима;2020-02;2020-Q1
2020-02-05;2020;2;5;Q1;Февраль;Среда;6;36;3;False;False;False;False;False;Зима;2020-02;2020-Q1
2020-02-06;2020;2;6;Q1;Февраль;Четверг;6;37;4;False;False;False;False;False;Зима;2020-02;2020-Q1
2020-02-07;2020;2;7;Q1;Февраль;Пятница;6;38;5;False;False;False;False;False;Зима;2020-02;2020-Q1
2020-02-08;2020;2;8;Q1;Февраль;Суббота;6;39;6;True;False;False;False;False;Зима;2020-02;2020-Q1
2020-02-09;2020;2;9;Q1;Февраль;Воскресенье;6;40;7;True;False;False;False;False;Зима;2020-02;2020-Q1
2020-02-10;2020;2;10;Q1;Февраль;Понедельник;7;41;1;False;False;False;False;False;Зима;2020-02;2020-Q1
2020-02-11;2020;2;11;Q1;Февраль;Вторник;7;42;2;False;False;False;False;False;Зима;2020-02;2020-Q1
2020-02-12;2020;2;12;Q1;Февраль;Среда;7;43;3;False;False;False;False;False;Зима;2020-02;2020-Q1
2020-02-13;2020;2;13;Q1;Февраль;Четверг;7;44;4;False;False;False;False;False;Зима;2020-02;2020-Q1
2020-02-14;2020;2;14;Q1;Февраль;Пятница;7;45;5;False;False;False;False;False;Зима;2020-02;2020-Q1
2020-02-15;2020;2;15;Q1;Февраль;Суббота;7;46;6;True;False;False;False;False;Зима;2020-02;2020-Q1
2020-02-16;2020;2;16;Q1;Февраль;Воскресенье;7;47;7;True;False;False;False;False;Зима;2020-02;2020-Q1
2020-02-17;2020;2;17;Q1;Февраль;Понедельник;8;48;1;False;False;False;False;False;Зима;2020-02;2020-Q1
2020-02-18;2020;2;18;Q1;Февраль;Вторник;8;49;2;False;False;False;False;False;Зима;2020-02;2020-Q1
2020-02-19;2020;2;19;Q1;Февраль;Среда;8;50;3;False;False;False;False;False;Зима;2020-02;2020-Q1
2020-02-20;2020;2;20;Q1;Февраль;Четверг;8;51;4;False;False;False;False;False;Зима;2020-02;2020-Q1
2020-02-21;2020;2;21;Q1;Февраль;Пятница;8;52;5;False;False;False;False;False;Зима;2020-02;2020-Q1
2020-02-22;2020;2;22;Q1;Февраль;Суббота;8;53;6;True;False;False;False;False;Зима;2020-02;2020-Q1
2020-02-23;2020;2;23;Q1;Февраль;Воскресенье;8;54;7;True;False;False;False;False;Зима;2020-02;2020-Q1
2020-02-24;2020;2;24;Q1;Февраль;Понедельник;9;55;1;False;False;False;False;False;Зима;2020-02;2020-Q1
2020-02-25;2020;2;25;Q1;Февраль;Вторник;9;56;2;False;False;False;False;False;Зима;2020-02;2020-Q1
2020-02-26;2020;2;26;Q1;Февраль;Среда;9;57;3;False;False;False;False;False;Зима;2020-02;2020-Q1
2020-02-27;2020;2;27;Q1;Февраль;Четверг;9;58;4;False;False;False;False;False;Зима;2020-02;2020-Q1
2020-02-28;2020;2;28;Q1;Февраль;Пятница;9;59;5;False;False;False;False;False;Зима;2020-02;2020-Q1
2020-02-29;2020;2;29;Q1;Февраль;Суббота;9;60;6;True;False;True;False;False;Зима;2020-02;2020-Q1
2020-03-01;2020;3;1;Q1;Март;Воскресенье;9;61;7;True;False;False;False;False;Весна;2020-03;2020-Q1
2020-03-02;2020;3;2;Q1;Март;Понедельник;10;62;1;False;False;False;False;False;Весна;2020-03;2020-Q1
2020-03-03;2020;3;3;Q1;Март;Вторник;10;63;2;False;False;False;False;False;Весна;2020-03;2020-Q1
2020-03-04;2020;3;4;Q1;Март;Среда;10;64;3;False;False;False;False;False;Весна;2020-03;2020-Q1
2020-03-05;2020;3;5;Q1;Март;Четверг;10;65;4;False;False;False;False;False;Весна;2020-03;2020-Q1
2020-03-06;2020;3;6;Q1;Март;Пятница;10;66;5;False;False;False;False;False;Весна;2020-03;2020-Q1
2020-03-07;2020;3;7;Q1;Март;Суббота;10;67;6;True;False;False;False;False;Весна;2020-03;2020-Q1
2020-03-08;2020;3;8;Q1;Март;Воскресенье;10;68;7;True;False;False;False;False;Весна;2020-03;2020-Q1
2020-03-09;2020;3;9;Q1;Март;Понедельник;11;69;1;False;False;False;False;False;Весна;2020-03;2020-Q1
2020-03-10;2020;3;10;Q1;Март;Вторник;11;70;2;False;False;False;False;False;Весна;2020-03;2020-Q1
2020-03-11;2020;3;11;Q1;Март;Среда;11;71;3;False;False;False;False;False;Весна;2020-03;2020-Q1
2020-03-12;2020;3;12;Q1;Март;Четверг;11;72;4;False;False;False;False;False;Весна;2020-03;2020-Q1
2020-03-13;2020;3;13;Q1;Март;Пятница;11;73;5;False;False;False;False;False;Весна;2020-03;2020-Q1
2020-03-14;2020;3;14;Q1;Март;Суббота;11;74;6;True;False;False;False;False;Весна;2020-03;2020-Q1
2020-03-15;2020;3;15;Q1;Март;Воскресенье;11;75;7;True;False;False;False;False;Весна;2020-03;2020-Q1
2020-03-16;2020;3;16;Q1;Март;Понедельник;12;76;1;False;False;False;False;False;Весна;2020-03;2020-Q1
2020-03-17;2020;3;17;Q1;Март;Вторник;12;77;2;False;False;False;False;False;Весна;2020-03;2020-Q1
2020-03-18;2020;3;18;Q1;Март;Среда;12;78;3;False;False;False;False;False;Весна;2020-03;2020-Q1
2020-03-19;2020;3;19;Q1;Март;Четверг;12;79;4;False;False;False;False;False;Весна;2020-03;2020-Q1
2020-03-20;2020;3;20;Q1;Март;Пятница;12;80;5;False;False;False;False;False;Весна;2020-03;2020-Q1
2020-03-21;2020;3;21;Q1;Март;Суббота;12;81;6;True;False;False;False;False;Весна;2020-03;2020-Q1
2020-03-22;2020;3;22;Q1;Март;Воскресенье;12;82;7;True;False;False;False;False;Весна;2020-03;2020-Q1
2020-03-23;2020;3;23;Q1;Март;Понедельник;13;83;1;False;False;False;False;False;Весна;2020-03;2020-Q1
2020-03-24;2020;3;24;Q1;Март;Вторник;13;84;2;False;False;False;False;False;Весна;2020-03;2020-Q1
2020-03-25;2020;3;25;Q1;Март;Среда;13;85;3;False;False;False;False;False;Весна;2020-03;2020-Q1
2020-03-26;2020;3;26;Q1;Март;Четверг;13;86;4;False;False;False;False;False;Весна;2020-03;2020-Q1
2020-03-27;2020;3;27;Q1;Март;Пятница;13;87;5;False;False;False;False;False;Весна;2020-03;2020-Q1
2020-03-28;2020;3;28;Q1;Март;Суббота;13;88;6;True;False;False;False;False;Весна;2020-03;2020-Q1
2020-03-29;2020;3;29;Q1;Март;Воскресенье;13;89;7;True;False;False;False;False;Весна;2020-03;2020-Q1
2020-03-30;2020;3;30;Q1;Март;Понедельник;14;90;1;False;False;False;False;False;Весна;2020-03;2020-Q1
2020-03-31;2020;3;31;Q1;Март;Вторник;14;91;2;False;False;True;True;False;Весна;2020-03;2020-Q1
2020-04-01;2020;4;1;Q2;Апрель;Среда;14;92;3;False;False;False;False;False;Весна;2020-04;2020-Q2
2020-04-02;2020;4;2;Q2;Апрель;Четверг;14;93;4;False;False;False;False;False;Весна;2020-04;2020-Q2
2020-04-03;2020;4;3;Q2;Апрель;Пятница;14;94;5;False;False;False;False;False;Весна;2020-04;2020-Q2
2020-04-04;2020;4;4;Q2;Апрель;Суббота;14;95;6;True;False;False;False;False;Весна;2020-04;2020-Q2
2020-04-05;2020;4;5;Q2;Апрель;Воскресенье;14;96;7;True;False;False;False;False;Весна;2020-04;2020-Q2
2020-04-06;2020;4;6;Q2;Апрель;Понедельник;15;97;1;False;False;False;False;False;Весна;2020-04;2020-Q2
2020-04-07;2020;4;7;Q2;Апрель;Вторник;15;98;2;False;False;False;False;False;Весна;2020-04;2020-Q2
2020-04-08;2020;4;8;Q2;Апрель;Среда;15;99;3;False;False;False;False;False;Весна;2020-04;2020-Q2
2020-04-09;2020;4;9;Q2;Апрель;Четверг;15;100;4;False;False;False;False;False;Весна;2020-04;2020-Q2
2020-04-10;2020;4;10;Q2;Апрель;Пятница;15;101;5;False;False;False;False;False;Весна;2020-04;2020-Q2
2020-04-11;2020;4;11;Q2;Апрель;Суббота;15;102;6;True;False;False;False;False;Весна;2020-04;2020-Q2
2020-04-12;2020;4;12;Q2;Апрель;Воскресенье;15;103;7;True;False;False;False;False;Весна;2020-04;2020-Q2
2020-04-13;2020;4;13;Q2;Апрель;Понедельник;16;104;1;False;False;False;False;False;Весна;2020-04;2020-Q2
2020-04-14;2020;4;14;Q2;Апрель;Вторник;16;105;2;False;False;False;False;False;Весна;2020-04;2020-Q2
2020-04-15;2020;4;15;Q2;Апрель;Среда;16;106;3;False;False;False;False;False;Весна;2020-04;2020-Q2
2020-04-16;2020;4;16;Q2;Апрель;Четверг;16;107;4;False;False;False;False;False;Весна;2020-04;2020-Q2
2020-04-17;2020;4;17;Q2;Апрель;Пятница;16;108;5;False;False;False;False;False;Весна;2020-04;2020-Q2
2020-04-18;2020;4;18;Q2;Апрель;Суббота;16;109;6;True;False;False;False;False;Весна;2020-04;2020-Q2
2020-04-19;2020;4;19;Q2;Апрель;Воскресенье;16;110;7;True;False;False;False;False;Весна;2020-04;2020-Q2
2020-04-20;2020;4;20;Q2;Апрель;Понедельник;17;111;1;False;False;False;False;False;Весна;2020-04;2020-Q2
2020-04-21;2020;4;21;Q2;Апрель;Вторник;17;112;2;False;False;False;False;False;Весна;2020-04;2020-Q2
2020-04-22;2020;4;22;Q2;Апрель;Среда;17;113;3;False;False;False;False;False;Весна;2020-04;2020-Q2
2020-04-23;2020;4;23;Q2;Апрель;Четверг;17;114;4;False;False;False;False;False;Весна;2020-04;2020-Q2
2020-04-24;2020;4;24;Q2;Апрель;Пятница;17;115;5;False;False;False;False;False;Весна;2020-04;2020-Q2
2020-04-25;2020;4;25;Q2;Апрель;Суббота;17;116;6;True;False;False;False;False;Весна;2020-04;2020-Q2
2020-04-26;2020;4;26;Q2;Апрель;Воскресенье;17;117;7;True;False;False;False;False;Весна;2020-04;2020-Q2
2020-04-27;2020;4;27;Q2;Апрель;Понедельник;18;118;1;False;False;False;False;False;Весна;2020-04;2020-Q2
2020-04-28;2020;4;28;Q2;Апрель;Вторник;18;119;2;False;False;False;False;False;Весна;2020-04;2020-Q2
2020-04-29;2020;4;29;Q2;Апрель;Среда;18;120;3;False;False;False;False;False;Весна;2020-04;2020-Q2
2020-04-30;2020;4;30;Q2;Апрель;Четверг;18;121;4;False;False;True;False;False;Весна;2020-04;2020-Q2
2020-05-01;2020;5;1;Q2;Май;Пятница;18;122;5;False;False;False;False;False;Весна;2020-05;2020-Q2
2020-05-02;2020;5;2;Q2;Май;Суббота;18;123;6;True;False;False;False;False;Весна;2020-05;2020-Q2
2020-05-03;2020;5;3;Q2;Май;Воскресенье;18;124;7;True;False;False;False;False;Весна;2020-05;2020-Q2
2020-05-04;2020;5;4;Q2;Май;Понедельник;19;125;1;False;False;False;False;False;Весна;2020-05;2020-Q2
2020-05-05;2020;5;5;Q2;Май;Вторник;19;126;2;False;False;False;False;False;Весна;2020-05;2020-Q2
2020-05-06;2020;5;6;Q2;Май;Среда;19;127;3;False;False;False;False;False;Весна;2020-05;2020-Q2
2020-05-07;2020;5;7;Q2;Май;Четверг;19;128;4;False;False;False;False;False;Весна;2020-05;2020-Q2
2020-05-08;2020;5;8;Q2;Май;Пятница;19;129;5;False;False;False;False;False;Весна;2020-05;2020-Q2
2020-05-09;2020;5;9;Q2;Май;Суббота;19;130;6;True;False;False;False;False;Весна;2020-05;2020-Q2
2020-05-10;2020;5;10;Q2;Май;Воскресенье;19;131;7;True;False;False;False;False;Весна;2020-05;2020-Q2
2020-05-11;2020;5;11;Q2;Май;Понедельник;20;132;1;False;False;False;False;False;Весна;2020-05;2020-Q2
2020-05-12;2020;5;12;Q2;Май;Вторник;20;133;2;False;False;False;False;False;Весна;2020-05;2020-Q2
2020-05-13;2020;5;13;Q2;Май;Среда;20;134;3;False;False;False;False;False;Весна;2020-05;2020-Q2
2020-05-14;2020;5;14;Q2;Май;Четверг;20;135;4;False;False;False;False;False;Весна;2020-05;2020-Q2
2020-05-15;2020;5;15;Q2;Май;Пятница;20;136;5;False;False;False;False;False;Весна;2020-05;2020-Q2
2020-05-16;2020;5;16;Q2;Май;Суббота;20;137;6;True;False;False;False;False;Весна;2020-05;2020-Q2
2020-05-17;2020;5;17;Q2;Май;Воскресенье;20;138;7;True;False;False;False;False;Весна;2020-05;2020-Q2
2020-05-18;2020;5;18;Q2;Май;Понедельник;21;139;1;False;False;False;False;False;Весна;2020-05;2020-Q2
2020-05-19;2020;5;19;Q2;Май;Вторник;21;140;2;False;False;False;False;False;Весна;2020-05;2020-Q2
2020-05-20;2020;5;20;Q2;Май;Среда;21;141;3;False;False;False;False;False;Весна;2020-05;2020-Q2
2020-05-21;2020;5;21;Q2;Май;Четверг;21;142;4;False;False;False;False;False;Весна;2020-05;2020-Q2
2020-05-22;2020;5;22;Q2;Май;Пятница;21;143;5;False;False;False;False;False;Весна;2020-05;2020-Q2
2020-05-23;2020;5;23;Q2;Май;Суббота;21;144;6;True;False;False;False;False;Весна;2020-05;2020-Q2
2020-05-24;2020;5;24;Q2;Май;Воскресенье;21;145;7;True;False;False;False;False;Весна;2020-05;2020-Q2
2020-05-25;2020;5;25;Q2;Май;Понедельник;22;146;1;False;False;False;False;False;Весна;2020-05;2020-Q2
2020-05-26;2020;5;26;Q2;Май;Вторник;22;147;2;False;False;False;False;False;Весна;2020-05;2020-Q2
2020-05-27;2020;5;27;Q2;Май;Среда;22;148;3;False;False;False;False;False;Весна;2020-05;2020-Q2
2020-05-28;2020;5;28;Q2;Май;Четверг;22;149;4;False;False;False;False;False;Весна;2020-05;2020-Q2
2020-05-29;2020;5;29;Q2;Май;Пятница;22;150;5;False;False;False;False;False;Весна;2020-05;2020-Q2
2020-05-30;2020;5;30;Q2;Май;Суббота;22;151;6;True;False;False;False;False;Весна;2020-05;2020-Q2
2020-05-31;2020;5;31;Q2;Май;Воскресенье;22;152;7;True;False;True;False;False;Весна;2020-05;2020-Q2
2020-06-01;2020;6;1;Q2;Июнь;Понедельник;23;153;1;False;False;False;False;False;Лето;2020-06;2020-Q2
2020-06-02;2020;6;2;Q2;Июнь;Вторник;23;154;2;False;False;False;False;False;Лето;2020-06;2020-Q2
2020-06-03;2020;6;3;Q2;Июнь;Среда;23;155;3;False;False;False;False;False;Лето;2020-06;2020-Q2
2020-06-04;2020;6;4;Q2;Июнь;Четверг;23;156;4;False;False;False;False;False;Лето;2020-06;2020-Q2
2020-06-05;2020;6;5;Q2;Июнь;Пятница;23;157;5;False;False;False;False;False;Лето;2020-06;2020-Q2
2020-06-06;2020;6;6;Q2;Июнь;Суббота;23;158;6;True;False;False;False;False;Лето;2020-06;2020-Q2
2020-06-07;2020;6;7;Q2;Июнь;Воскресенье;23;159;7;True;False;False;False;False;Лето;2020-06;2020-Q2
2020-06-08;2020;6;8;Q2;Июнь;Понедельник;24;160;1;False;False;False;False;False;Лето;2020-06;2020-Q2
2020-06-09;2020;6;9;Q2;Июнь;Вторник;24;161;2;False;False;False;False;False;Лето;2020-06;2020-Q2
2020-06-10;2020;6;10;Q2;Июнь;Среда;24;162;3;False;False;False;False;False;Лето;2020-06;2020-Q2
2020-06-11;2020;6;11;Q2;Июнь;Четверг;24;163;4;False;False;False;False;False;Лето;2020-06;2020-Q2
2020-06-12;2020;6;12;Q2;Июнь;Пятница;24;164;5;False;False;False;False;False;Лето;2020-06;2020-Q2
2020-06-13;2020;6;13;Q2;Июнь;Суббота;24;165;6;True;False;False;False;False;Лето;2020-06;2020-Q2
2020-06-14;2020;6;14;Q2;Июнь;Воскресенье;24;166;7;True;False;False;False;False;Лето;2020-06;2020-Q2
2020-06-15;2020;6;15;Q2;Июнь;Понедельник;25;167;1;False;False;False;False;False;Лето;2020-06;2020-Q2
2020-06-16;2020;6;16;Q2;Июнь;Вторник;25;168;2;False;False;False;False;False;Лето;2020-06;2020-Q2
2020-06-17;2020;6;17;Q2;Июнь;Среда;25;169;3;False;False;False;False;False;Лето;2020-06;2020-Q2
2020-06-18;2020;6;18;Q2;Июнь;Четверг;25;170;4;False;False;False;False;False;Лето;2020-06;2020-Q2
2020-06-19;2020;6;19;Q2;Июнь;Пятница;25;171;5;False;False;False;False;False;Лето;2020-06;2020-Q2
2020-06-20;2020;6;20;Q2;Июнь;Суббота;25;172;6;True;False;False;False;False;Лето;2020-06;2020-Q2
2020-06-21;2020;6;21;Q2;Июнь;Воскресенье;25;173;7;True;False;False;False;False;Лето;2020-06;2020-Q2
2020-06-22;2020;6;22;Q2;Июнь;Понедельник;26;174;1;False;False;False;False;False;Лето;2020-06;2020-Q2
2020-06-23;2020;6;23;Q2;Июнь;Вторник;26;175;2;False;False;False;False;False;Лето;2020-06;2020-Q2
2020-06-24;2020;6;24;Q2;Июнь;Среда;26;176;3;False;False;False;False;False;Лето;2020-06;2020-Q2
2020-06-25;2020;6;25;Q2;Июнь;Четверг;26;177;4;False;False;False;False;False;Лето;2020-06;2020-Q2
2020-06-26;2020;6;26;Q2;Июнь;Пятница;26;178;5;False;False;False;False;False;Лето;2020-06;2020-Q2
2020-06-27;2020;6;27;Q2;Июнь;Суббота;26;179;6;True;False;False;False;False;Лето;2020-06;2020-Q2
2020-06-28;2020;6;28;Q2;Июнь;Воскресенье;26;180;7;True;False;False;False;False;Лето;2020-06;2020-Q2
2020-06-29;2020;6;29;Q2;Июнь;Понедельник;27;181;1;False;False;False;False;False;Лето;2020-06;2020-Q2
2020-06-30;2020;6;30;Q2;Июнь;Вторник;27;182;2;False;False;True;True;False;Лето;2020-06;2020-Q2
2020-07-01;2020;7;1;Q3;Июль;Среда;27;183;3;False;False;False;False;False;Лето;2020-07;2020-Q3
2020-07-02;2020;7;2;Q3;Июль;Четверг;27;184;4;False;False;False;False;False;Лето;2020-07;2020-Q3
2020-07-03;2020;7;3;Q3;Июль;Пятница;27;185;5;False;False;False;False;False;Лето;2020-07;2020-Q3
2020-07-04;2020;7;4;Q3;Июль;Суббота;27;186;6;True;False;False;False;False;Лето;2020-07;2020-Q3
2020-07-05;2020;7;5;Q3;Июль;Воскресенье;27;187;7;True;False;False;False;False;Лето;2020-07;2020-Q3
2020-07-06;2020;7;6;Q3;Июль;Понедельник;28;188;1;False;False;False;False;False;Лето;2020-07;2020-Q3
2020-07-07;2020;7;7;Q3;Июль;Вторник;28;189;2;False;False;False;False;False;Лето;2020-07;2020-Q3
2020-07-08;2020;7;8;Q3;Июль;Среда;28;190;3;False;False;False;False;False;Лето;2020-07;2020-Q3
2020-07-09;2020;7;9;Q3;Июль;Четверг;28;191;4;False;False;False;False;False;Лето;2020-07;2020-Q3
2020-07-10;2020;7;10;Q3;Июль;Пятница;28;192;5;False;False;False;False;False;Лето;2020-07;2020-Q3
2020-07-11;2020;7;11;Q3;Июль;Суббота;28;193;6;True;False;False;False;False;Лето;2020-07;2020-Q3
2020-07-12;2020;7;12;Q3;Июль;Воскресенье;28;194;7;True;False;False;False;False;Лето;2020-07;2020-Q3
2020-07-13;2020;7;13;Q3;Июль;Понедельник;29;195;1;False;False;False;False;False;Лето;2020-07;2020-Q3
2020-07-14;2020;7;14;Q3;Июль;Вторник;29;196;2;False;False;False;False;False;Лето;2020-07;2020-Q3
2020-07-15;2020;7;15;Q3;Июль;Среда;29;197;3;False;False;False;False;False;Лето;2020-07;2020-Q3
2020-07-16;2020;7;16;Q3;Июль;Четверг;29;198;4;False;False;False;False;False;Лето;2020-07;2020-Q3
2020-07-17;2020;7;17;Q3;Июль;Пятница;29;199;5;False;False;False;False;False;Лето;2020-07;2020-Q3
2020-07-18;2020;7;18;Q3;Июль;Суббота;29;200;6;True;False;False;False;False;Лето;2020-07;2020-Q3
2020-07-19;2020;7;19;Q3;Июль;Воскресенье;29;201;7;True;False;False;False;False;Лето;2020-07;2020-Q3
2020-07-20;2020;7;20;Q3;Июль;Понедельник;30;202;1;False;False;False;False;False;Лето;2020-07;2020-Q3
2020-07-21;2020;7;21;Q3;Июль;Вторник;30;203;2;False;False;False;False;False;Лето;2020-07;2020-Q3
2020-07-22;2020;7;22;Q3;Июль;Среда;30;204;3;False;False;False;False;False;Лето;2020-07;2020-Q3
2020-07-23;2020;7;23;Q3;Июль;Четверг;30;205;4;False;False;False;False;False;Лето;2020-07;2020-Q3
2020-07-24;2020;7;24;Q3;Июль;Пятница;30;206;5;False;False;False;False;False;Лето;2020-07;2020-Q3
2020-07-25;2020;7;25;Q3;Июль;Суббота;30;207;6;True;False;False;False;False;Лето;2020-07;2020-Q3
2020-07-26;2020;7;26;Q3;Июль;Воскресенье;30;208;7;True;False;False;False;False;Лето;2020-07;2020-Q3
2020-07-27;2020;7;27;Q3;Июль;Понедельник;31;209;1;False;False;False;False;False;Лето;2020-07;2020-Q3
2020-07-28;2020;7;28;Q3;Июль;Вторник;31;210;2;False;False;False;False;False;Лето;2020-07;2020-Q3
2020-07-29;2020;7;29;Q3;Июль;Среда;31;211;3;False;False;False;False;False;Лето;2020-07;2020-Q3
2020-07-30;2020;7;30;Q3;Июль;Четверг;31;212;4;False;False;False;False;False;Лето;2020-07;2020-Q3
2020-07-31;2020;7;31;Q3;Июль;Пятница;31;213;5;False;False;True;False;False;Лето;2020-07;2020-Q3
2020-08-01;2020;8;1;Q3;Август;Суббота;31;214;6;True;False;False;False;False;Лето;2020-08;2020-Q3
2020-08-02;2020;8;2;Q3;Август;Воскресенье;31;215;7;True;False;False;False;False;Лето;2020-08;2020-Q3
2020-08-03;2020;8;3;Q3;Август;Понедельник;32;216;1;False;False;False;False;False;Лето;2020-08;2020-Q3
2020-08-04;2020;8;4;Q3;Август;Вторник;32;217;2;False;False;False;False;False;Лето;2020-08;2020-Q3
2020-08-05;2020;8;5;Q3;Август;Среда;32;218;3;False;False;False;False;False;Лето;2020-08;2020-Q3
2020-08-06;2020;8;6;Q3;Август;Четверг;32;219;4;False;False;False;False;False;Лето;2020-08;2020-Q3
2020-08-07;2020;8;7;Q3;Август;Пятница;32;220;5;False;False;False;False;False;Лето;2020-08;2020-Q3
2020-08-08;2020;8;8;Q3;Август;Суббота;32;221;6;True;False;False;False;False;Лето;2020-08;2020-Q3
2020-08-09;2020;8;9;Q3;Август;Воскресенье;32;222;7;True;False;False;False;False;Лето;2020-08;2020-Q3
2020-08-10;2020;8;10;Q3;Август;Понедельник;33;223;1;False;False;False;False;False;Лето;2020-08;2020-Q3
2020-08-11;2020;8;11;Q3;Август;Вторник;33;224;2;False;False;False;False;False;Лето;2020-08;2020-Q3
2020-08-12;2020;8;12;Q3;Август;Среда;33;225;3;False;False;False;False;False;Лето;2020-08;2020-Q3
2020-08-13;2020;8;13;Q3;Август;Четверг;33;226;4;False;False;False;False;False;Лето;2020-08;2020-Q3
2020-08-14;2020;8;14;Q3;Август;Пятница;33;227;5;False;False;False;False;False;Лето;2020-08;2020-Q3
2020-08-15;2020;8;15;Q3;Август;Суббота;33;228;6;True;False;False;False;False;Лето;2020-08;2020-Q3
2020-08-16;2020;8;16;Q3;Август;Воскресенье;33;229;7;True;False;False;False;False;Лето;2020-08;2020-Q3
2020-08-17;2020;8;17;Q3;Август;Понедельник;34;230;1;False;False;False;False;False;Лето;2020-08;2020-Q3
2020-08-18;2020;8;18;Q3;Август;Вторник;34;231;2;False;False;False;False;False;Лето;2020-08;2020-Q3
2020-08-19;2020;8;19;Q3;Август;Среда;34;232;3;False;False;False;False;False;Лето;2020-08;2020-Q3
