месяц,канал,регион,квартал,выручка,количество_заказов,средний_чек
2023-03,Офлайн,Москва,Q1,911803,278,3279.87
2023-03,Офлайн,СПб,Q1,876847,267,3284.07
2023-03,Офлайн,Екатеринбург,Q1,893011,306,2918.34
2023-03,Офлайн,Новосибирск,Q1,1220533,519,2351.7
2023-03,Офлайн,Казань,Q1,1221103,810,1507.53
2023-03,Мобайл,Москва,Q1,1075836,401,2682.88
2023-03,Мобайл,СПб,Q1,1262568,563,2242.57
2023-03,Мобайл,Екатеринбург,Q1,1011066,449,2251.82
2023-03,Мобайл,Новосибирск,Q1,1200694,450,2668.21
2023-03,Мобайл,Казань,Q1,1041726,377,2763.2
2023-04,Онлайн,Москва,Q2,1393397,466,2990.12
2023-04,Онлайн,СПб,Q2,1283117,549,2337.19
2023-04,Онлайн,Екатеринбург,Q2,883926,499,1771.39
2023-04,Онлайн,Новосибирск,Q2,947243,360,2631.23
2023-04,Онлайн,Казань,Q2,920470,386,2384.64
2023-04,Офлайн,Москва,Q2,789786,344,2295.89
2023-04,Офлайн,СПб,Q2,888470,423,2100.4
2023-04,Офлайн,Екатеринбург,Q2,1244597,460,2705.65
2023-04,Офлайн,Новосибирск,Q2,1503603,581,2587.96
2023-04,Офлайн,Казань,Q2,1297580,526,2466.88
2023-04,Мобайл,Москва,Q2,929341,373,2491.53
2023-04,Мобайл,СПб,Q2,1156926,310,3732.02
2023-04,Мобайл,Екатеринбург,Q2,1127878,425,2653.83
2023-04,Мобайл,Новосибирск,Q2,1146008,598,1916.4
2023-04,Мобайл,Казань,Q2,1281425,445,2879.61
2023-05,Онлайн,Москва,Q2,1553909,759,2047.31
2023-05,Онлайн,СПб,Q2,1642002,912,1800.44
2023-05,Онлайн,Екатеринбург,Q2,1016338,282,3604.04
2023-05,Онлайн,Новосибирск,Q2,864909,390,2217.71
2023-05,Онлайн,Казань,Q2,969567,431,2249.57
2023-05,Офлайн,Москва,Q2,811136,320,2534.8
2023-05,Офлайн,СПб,Q2,858019,313,2741.27
2023-05,Офлайн,Екатеринбург,Q2,1198636,365,3283.93
2023-05,Офлайн,Новосибирск,Q2,1216611,520,2339.64
2023-05,Офлайн,Казань,Q2,1427384,757,1885.58
2023-05,Мобайл,Москва,Q2,1227295,389,3155.0
2023-05,Мобайл,СПб,Q2,1007102,388,2595.62
2023-05,Мобайл,Екатеринбург,Q2,1231186,425,2896.91
2023-05,Мобайл,Новосибирск,Q2,1051566,571,1841.62
2023-05,Мобайл,Казань,Q2,1262633,476,2652.59
2023-05,Онлайн,Москва,Q2,1537574,575,2674.04
2023-05,Онлайн,СПб,Q2,1397996,534,2617.97
2023-05,Онлайн,Екатеринбург,Q2,1029307,480,2144.39
2023-05,Онлайн,Новосибирск,Q2,1186577,433,2740.36
2023-05,Онлайн,Казань,Q2,880870,311,2832.38
2023-05,Офлайн,Москва,Q2,902532,311,2902.03
2023-05,Офлайн,СПб,Q2,1115860,533,2093.55
2023-05,Офлайн,Екатеринбург,Q2,1507464,557,2706.4
2023-05,Офлайн,Новосибирск,Q2,1488033,431,3452.51
2023-05,Офлайн,Казань,Q2,1341259,631,2125.61
2023-05,Мобайл,Москва,Q2,1138811,544,2093.4
2023-05,Мобайл,СПб,Q2,1240362,464,2673.19
2023-05,Мобайл,Екатеринбург,Q2,1284586,440,2919.51
2023-05,Мобайл,Новосибирск,Q2,1251625,387,3234.17
2023-05,Мобайл,Казань,Q2,1216918,315,3863.23
2023-06,Онлайн,Москва,Q2,1989125,960,2072.01
2023-06,Онлайн,СПб,Q2,1671529,609,2744.71
2023-06,Онлайн,Екатеринбург,Q2,1220112,427,2857.4
2023-06,Онлайн,Новосибирск,Q2,1307060,530,2466.15
2023-06,Онлайн,Казань,Q2,1142320,655,1744.0
2023-06,Офлайн,Москва,Q2,1192275,407,2929.42
2023-06,Офлайн,СПб,Q2,1274719,679,1877.35
2023-06,Офлайн,Екатеринбург,Q2,1745718,648,2694.01
2023-06,Офлайн,Новосибирск,Q2,1564330,607,2577.15
2023-06,Офлайн,Казань,Q2,1725989,894,1930.64
2023-06,Мобайл,Москва,Q2,1615815,581,2781.09
2023-06,Мобайл,СПб,Q2,1728956,571,3027.94
2023-06,Мобайл,Екатеринбург,Q2,1345084,662,2031.85
2023-06,Мобайл,Новосибирск,Q2,1640346,594,2761.52
2023-06,Мобайл,Казань,Q2,1640347,370,4433.37
2023-07,Онлайн,Москва,Q3,2054981,669,3071.72
2023-07,Онлайн,СПб,Q3,2129458,753,2827.97
2023-07,Онлайн,Екатеринбург,Q3,1255141,435,2885.38
2023-07,Онлайн,Новосибирск,Q3,1195842,502,2382.16
2023-07,Онлайн,Казань,Q3,1233097,485,2542.47
2023-07,Офлайн,Москва,Q3,1595980,1018,1567.76
2023-07,Офлайн,СПб,Q3,1384939,817,1695.15
2023-07,Офлайн,Екатеринбург,Q3,1697902,557,3048.3
2023-07,Офлайн,Новосибирск,Q3,1793455,914,1962.2
2023-07,Офлайн,Казань,Q3,1654533,582,2842.84
2023-07,Мобайл,Москва,Q3,1501681,575,2611.62
2023-07,Мобайл,СПб,Q3,1627383,748,2175.65
2023-07,Мобайл,Екатеринбург,Q3,1967319,698,2818.51
2023-07,Мобайл,Новосибирск,Q3,1291927,498,2594.23
2023-07,Мобайл,Казань,Q3,1512791,516,2931.76
2023-08,Онлайн,Москва,Q3,1546857,633,2443.69
2023-08,Онлайн,СПб,Q3,1764838,601,2936.5
2023-08,Онлайн,Екатеринбург,Q3,985567,422,2335.47
2023-08,Онлайн,Новосибирск,Q3,1066806,490,2177.16
2023-08,Онлайн,Казань,Q3,1317731,487,2705.81
2023-08,Офлайн,Москва,Q3,978781,330,2966.0
2023-08,Офлайн,СПб,Q3,1357681,450,3017.07
2023-08,Офлайн,Екатеринбург,Q3,1306017,578,2259.55
2023-08,Офлайн,Новосибирск,Q3,1735104,808,2147.41
2023-08,Офлайн,Казань,Q3,1608348,557,2887.52
2023-08,Мобайл,Москва,Q3,1270230,514,2471.26
2023-08,Мобайл,СПб,Q3,946223,476,1987.86
2023-08,Мобайл,Екатеринбург,Q3,1364640,727,1877.08
2023-08,Мобайл,Новосибирск,Q3,1628538,912,1785.68
2023-08,Мобайл,Казань,Q3,1338394,521,2568.89
2023-09,Онлайн,Москва,Q3,1990782,1117,1782.26
2023-09,Онлайн,СПб,Q3,1942390,775,2506.31
2023-09,Онлайн,Екатеринбург,Q3,1046145,383,2731.45
2023-09,Онлайн,Новосибирск,Q3,1183091,537,2203.15
2023-09,Онлайн,Казань,Q3,1168097,506,2308.49
2023-09,Офлайн,Москва,Q3,1173168,414,2833.74
2023-09,Офлайн,СПб,Q3,1343978,714,1882.32
2023-09,Офлайн,Екатеринбург,Q3,1935219,1269,1525.0
2023-09,Офлайн,Новосибирск,Q3,1570790,562,2795.0
2023-09,Офлайн,Казань,Q3,1639818,749,2189.34
2023-09,Мобайл,Москва,Q3,1419822,630,2253.69
2023-09,Мобайл,СПб,Q3,1364542,466,2928.2
2023-09,Мобайл,Екатеринбург,Q3,1501767,697,2154.62
2023-09,Мобайл,Новосибирск,Q3,1580442,595,2656.21
2023-09,Мобайл,Казань,Q3,1567865,557,2814.84
2023-10,Онлайн,Москва,Q4,1650781,743,2221.78
2023-10,Онлайн,СПб,Q4,1934513,689,2807.71
2023-10,Онлайн,Екатеринбург,Q4,1197492,468,2558.74
2023-10,Онлайн,Новосибирск,Q4,1353320,613,2207.7
2023-10,Онлайн,Казань,Q4,1265652,527,2401.62
2023-10,Офлайн,Москва,Q4,1173878,384,3056.97
2023-10,Офлайн,СПб,Q4,1299050,446,2912.67
2023-10,Офлайн,Екатеринбург,Q4,1865404,743,2510.64
2023-10,Офлайн,Новосибирск,Q4,1762522,751,2346.9
2023-10,Офлайн,Казань,Q4,1703487,699,2437.03
2023-10,Мобайл,Москва,Q4,1514549,541,2799.54
2023-10,Мобайл,СПб,Q4,1377267,388,3549.66
2023-10,Мобайл,Екатеринбург,Q4,1349097,712,1894.8
2023-10,Мобайл,Новосибирск,Q4,1673717,577,2900.72
2023-10,Мобайл,Казань,Q4,1593618,566,2815.58
2023-11,Онлайн,Москва,Q4,2600811,1267,2052.73
2023-11,Онлайн,СПб,Q4,2623740,1213,2163.02
2023-11,Онлайн,Екатеринбург,Q4,1905281,785,2427.11
2023-11,Онлайн,Новосибирск,Q4,1592694,680,2342.2
2023-11,Онлайн,Казань,Q4,1807685,814,2220.74
2023-11,Офлайн,Москва,Q4,1593263,607,2624.81
2023-11,Офлайн,СПб,Q4,1778526,791,2248.45
2023-11,Офлайн,Екатеринбург,Q4,2274563,869,2617.45
2023-11,Офлайн,Новосибирск,Q4,2041342,1136,1796.96
2023-11,Офлайн,Казань,Q4,2215507,925,2395.14
2023-11,Мобайл,Москва,Q4,2237467,691,3238.01
2023-11,Мобайл,СПб,Q4,2356112,973,2421.49
2023-11,Мобайл,Екатеринбург,Q4,2165873,1083,1999.88
2023-11,Мобайл,Новосибирск,Q4,2165983,919,2356.89
2023-11,Мобайл,Казань,Q4,2240030,1073,2087.63
2023-12,Онлайн,Москва,Q4,2827600,865,3268.9
2023-12,Онлайн,СПб,Q4,2658765,984,2702.0
2023-12,Онлайн,Екатеринбург,Q4,1915674,833,2299.73
2023-12,Онлайн,Новосибирск,Q4,1832157,731,2506.37
2023-12,Онлайн,Казань,Q4,1809504,856,2113.91
2023-12,Офлайн,Москва,Q4,1796392,653,2750.98
2023-12,Офлайн,СПб,Q4,2052045,688,2982.62
2023-12,Офлайн,Екатеринбург,Q4,2994544,1414,2117.78
2023-12,Офлайн,Новосибирск,Q4,2678940,1033,2593.36
2023-12,Офлайн,Казань,Q4,3003567,1433,2096.0
2023-12,Мобайл,Москва,Q4,2051902,932,2201.61
2023-12,Мобайл,СПб,Q4,1764247,788,2238.89
2023-12,Мобайл,Екатеринбург,Q4,2069954,803,2577.78
2023-12,Мобайл,Новосибирск,Q4,2316553,673,3442.13
2023-12,Мобайл,Казань,Q4,2452895,1109,2211.81
2024-01,Онлайн,Москва,Q1,2162537,787,2747.82
2024-01,Онлайн,СПб,Q1,2062313,603,3420.09
2024-01,Онлайн,Екатеринбург,Q1,1770823,781,2267.38
2024-01,Онлайн,Новосибирск,Q1,1312639,413,3178.3
2024-01,Онлайн,Казань,Q1,1565857,502,3119.24
2024-01,Офлайн,Москва,Q1,1331443,605,2200.73
2024-01,Офлайн,СПб,Q1,1584831,628,2523.62
2024-01,Офлайн,Екатеринбург,Q1,2079976,739,2814.58
2024-01,Офлайн,Новосибирск,Q1,1945472,800,2431.84
2024-01,Офлайн,Казань,Q1,2204200,799,2758.7
2024-01,Мобайл,Москва,Q1,2120900,1094,1938.67
2024-01,Мобайл,СПб,Q1,1676245,534,3139.04
2024-01,Мобайл,Екатеринбург,Q1,2045798,962,2126.61
2024-01,Мобайл,Новосибирск,Q1,2287128,894,2558.31
2024-01,Мобайл,Казань,Q1,2213501,873,2535.51
2024-02,Онлайн,Москва,Q1,2460393,728,3379.66
2024-02,Онлайн,СПб,Q1,1989211,666,2986.8
2024-02,Онлайн,Екатеринбург,Q1,1447771,454,3188.92
2024-02,Онлайн,Новосибирск,Q1,1228770,432,2844.38
2024-02,Онлайн,Казань,Q1,1503946,928,1620.63
2024-02,Офлайн,Москва,Q1,1199077,809,1482.17
2024-02,Офлайн,СПб,Q1,1323361,462,2864.42
2024-02,Офлайн,Екатеринбург,Q1,2150941,847,2539.48
2024-02,Офлайн,Новосибирск,Q1,2174551,1201,1810.62
2024-02,Офлайн,Казань,Q1,1551467,627,2474.43
2024-02,Мобайл,Москва,Q1,1765291,710,2486.33
2024-02,Мобайл,СПб,Q1,1348535,549,2456.35
2024-02,Мобайл,Екатеринбург,Q1,1478240,521,2837.31
2024-02,Мобайл,Новосибирск,Q1,1762322,868,2030.32
2024-02,Мобайл,Казань,Q1,1612643,818,1971.45
2024-03,Онлайн,Москва,Q1,2086837,700,2981.2
2024-03,Онлайн,СПб,Q1,1892998,687,2755.45
2024-03,Онлайн,Екатеринбург,Q1,1325764,630,2104.39
2024-03,Онлайн,Новосибирск,Q1,1385016,698,1984.26
2024-03,Онлайн,Казань,Q1,1322489,695,1902.86
2024-03,Офлайн,Москва,Q1,1675062,665,2518.89
2024-03,Офлайн,СПб,Q1,1302038,499,2609.3
2024-03,Офлайн,Екатеринбург,Q1,1903377,796,2391.18
2024-03,Офлайн,Новосибирск,Q1,2043227,709,2881.84
2024-03,Офлайн,Казань,Q1,1822879,824,2212.23
2024-03,Мобайл,Москва,Q1,1701866,1261,1349.62
2024-03,Мобайл,СПб,Q1,1484842,466,3186.36
2024-03,Мобайл,Екатеринбург,Q1,2037869,857,2377.91
2024-03,Мобайл,Новосибирск,Q1,1850897,696,2659.34
2024-03,Мобайл,Казань,Q1,2288804,748,3059.9
2024-04,Онлайн,Москва,Q2,2132370,1054,2023.12
2024-04,Онлайн,СПб,Q2,1813008,696,2604.9
2024-04,Онлайн,Екатеринбург,Q2,1331085,744,1789.09
2024-04,Онлайн,Новосибирск,Q2,1346894,687,1960.54
2024-04,Онлайн,Казань,Q2,1682948,572,2942.22
2024-04,Офлайн,Москва,Q2,1438852,444,3240.66
2024-04,Офлайн,СПб,Q2,1451141,701,2070.1
2024-04,Офлайн,Екатеринбург,Q2,2281579,823,2772.27
2024-04,Офлайн,Новосибирск,Q2,1774625,737,2407.9
2024-04,Офлайн,Казань,Q2,1806628,998,1810.25
2024-04,Мобайл,Москва,Q2,1966712,569,3456.44
2024-04,Мобайл,СПб,Q2,1548258,556,2784.64
2024-04,Мобайл,Екатеринбург,Q2,1682884,745,2258.91
2024-04,Мобайл,Новосибирск,Q2,1693369,818,2070.13
2024-04,Мобайл,Казань,Q2,1808734,867,2086.2
2024-05,Онлайн,Москва,Q2,2280041,921,2475.62
2024-05,Онлайн,СПб,Q2,2166954,1059,2046.23
2024-05,Онлайн,Екатеринбург,Q2,1394638,484,2881.48
2024-05,Онлайн,Новосибирск,Q2,1554136,772,2013.13
2024-05,Онлайн,Казань,Q2,1494701,519,2879.96
2024-05,Офлайн,Москва,Q2,1232928,444,2776.86
2024-05,Офлайн,СПб,Q2,1381932,496,2786.15
2024-05,Офлайн,Екатеринбург,Q2,1879677,1176,1598.36
2024-05,Офлайн,Новосибирск,Q2,1703795,675,2524.14
2024-05,Офлайн,Казань,Q2,2087854,1019,2048.92
2024-05,Мобайл,Москва,Q2,1968140,1179,1669.33
2024-05,Мобайл,СПб,Q2,1837775,970,1894.61
2024-05,Мобайл,Екатеринбург,Q2,1729410,685,2524.69
2024-05,Мобайл,Новосибирск,Q2,1690824,732,2309.87
2024-05,Мобайл,Казань,Q2,2036164,920,2213.22
2024-06,Онлайн,Москва,Q2,2964645,1532,1935.15
2024-06,Онлайн,СПб,Q2,2880954,894,3222.54
2024-06,Онлайн,Екатеринбург,Q2,1373172,653,2102.87
2024-06,Онлайн,Новосибирск,Q2,1929258,804,2399.57
2024-06,Онлайн,Казань,Q2,1891697,860,2199.65
2024-06,Офлайн,Москва,Q2,1839794,759,2423.97
2024-06,Офлайн,СПб,Q2,2037003,775,2628.39
2024-06,Офлайн,Екатеринбург,Q2,2592671,1130,2294.4
2024-06,Офлайн,Новосибирск,Q2,2385708,1044,2285.16
2024-06,Офлайн,Казань,Q2,2606929,1138,2290.8
2024-06,Мобайл,Москва,Q2,2346069,663,3538.57
2024-06,Мобайл,СПб,Q2,2478616,1060,2338.32
2024-06,Мобайл,Екатеринбург,Q2,2553877,1112,2296.65
2024-06,Мобайл,Новосибирск,Q2,1815308,909,1997.04
2024-06,Мобайл,Казань,Q2,1853459,797,2325.55
2024-07,Онлайн,Москва,Q3,2813172,842,3341.06
2024-07,Онлайн,СПб,Q3,2899801,1213,2390.6
2024-07,Онлайн,Екатеринбург,Q3,2027265,1453,1395.23
2024-07,Онлайн,Новосибирск,Q3,1916107,664,2885.7
2024-07,Онлайн,Казань,Q3,1595209,519,3073.62
2024-07,Офлайн,Москва,Q3,1935367,844,2293.09
2024-07,Офлайн,СПб,Q3,1990457,547,3638.86
2024-07,Офлайн,Екатеринбург,Q3,2620812,998,2626.06
2024-07,Офлайн,Новосибирск,Q3,2455761,1183,2075.88
2024-07,Офлайн,Казань,Q3,2787728,1345,2072.66
2024-07,Мобайл,Москва,Q3,2356746,1042,2261.75
2024-07,Мобайл,СПб,Q3,2452081,919,2668.21
2024-07,Мобайл,Екатеринбург,Q3,2582784,1150,2245.9
2024-07,Мобайл,Новосибирск,Q3,2276849,1132,2011.35
2024-07,Мобайл,Казань,Q3,2236035,831,2690.78
2024-08,Онлайн,Москва,Q3,2581677,1266,2039.24
2024-08,Онлайн,СПб,Q3,2608705,820,3181.35
2024-08,Онлайн,Екатеринбург,Q3,1666150,484,3442.46
2024-08,Онлайн,Новосибирск,Q3,1476194,786,1878.11
2024-08,Онлайн,Казань,Q3,1315405,404,3255.95
2024-08,Офлайн,Москва,Q3,1704699,689,2474.16
2024-08,Офлайн,СПб,Q3,1644795,849,1937.33
2024-08,Офлайн,Екатеринбург,Q3,2738065,1067,2566.13
2024-08,Офлайн,Новосибирск,Q3,2224067,776,2866.07
2024-08,Офлайн,Казань,Q3,2305822,882,2614.31
2024-08,Мобайл,Москва,Q3,1841905,673,2736.86
2024-08,Мобайл,СПб,Q3,2376405,749,3172.77
2024-08,Мобайл,Екатеринбург,Q3,2318637,1033,2244.57
2024-08,Мобайл,Новосибирск,Q3,1802079,739,2438.54
2024-08,Мобайл,Казань,Q3,2011145,660,3047.19
2024-09,Онлайн,Москва,Q3,2043654,625,3269.85
2024-09,Онлайн,СПб,Q3,2421130,1058,2288.4
2024-09,Онлайн,Екатеринбург,Q3,1474015,881,1673.12
2024-09,Онлайн,Новосибирск,Q3,1775000,699,2539.34
2024-09,Онлайн,Казань,Q3,1428446,771,1852.72
2024-09,Офлайн,Москва,Q3,1584931,475,3336.7
2024-09,Офлайн,СПб,Q3,1597427,913,1749.65
2024-09,Офлайн,Екатеринбург,Q3,2199585,930,2365.15
2024-09,Офлайн,Новосибирск,Q3,1646852,665,2476.47
2024-09,Офлайн,Казань,Q3,2202924,773,2849.84
2024-09,Мобайл,Москва,Q3,2429036,792,3066.96
2024-09,Мобайл,СПб,Q3,1994878,1024,1948.12
2024-09,Мобайл,Екатеринбург,Q3,2577539,1018,2531.96
2024-09,Мобайл,Новосибирск,Q3,2052856,825,2488.31
2024-09,Мобайл,Казань,Q3,2090607,861,2428.12
2024-10,Онлайн,Москва,Q4,2375437,1066,2228.37
2024-10,Онлайн,СПб,Q4,2511746,1127,2228.7
2024-10,Онлайн,Екатеринбург,Q4,1560242,611,2553.59
2024-10,Онлайн,Новосибирск,Q4,1637164,503,3254.8
2024-10,Онлайн,Казань,Q4,1234637,405,3048.49
2024-10,Офлайн,Москва,Q4,1889342,1291,1463.47
2024-10,Офлайн,СПб,Q4,1622428,701,2314.45
2024-10,Офлайн,Екатеринбург,Q4,1984865,940,2111.56
2024-10,Офлайн,Новосибирск,Q4,2053457,608,3377.4
2024-10,Офлайн,Казань,Q4,2526142,805,3138.06
2024-10,Мобайл,Москва,Q4,2251551,1163,1935.99
2024-10,Мобайл,СПб,Q4,1989851,724,2748.41
2024-10,Мобайл,Екатеринбург,Q4,1843353,645,2857.91
2024-10,Мобайл,Новосибирск,Q4,2049532,886,2313.24
2024-10,Мобайл,Казань,Q4,2249302,826,2723.13
2024-11,Онлайн,Москва,Q4,3481619,1130,3081.08
2024-11,Онлайн,СПб,Q4,3221520,1147,2808.65
2024-11,Онлайн,Екатеринбург,Q4,2550819,1087,2346.66
2024-11,Онлайн,Новосибирск,Q4,2486533,1326,1875.21
2024-11,Онлайн,Казань,Q4,2630506,1092,2408.89
2024-11,Офлайн,Москва,Q4,2282128,754,3026.7
2024-11,Офлайн,СПб,Q4,2238394,1246,1796.46
2024-11,Офлайн,Екатеринбург,Q4,2795600,997,2804.01
2024-11,Офлайн,Новосибирск,Q4,2887050,854,3380.62
2024-11,Офлайн,Казань,Q4,2621673,783,3348.24
2024-11,Мобайл,Москва,Q4,3073516,1253,2452.93
2024-11,Мобайл,СПб,Q4,2845979,1054,2700.17
2024-11,Мобайл,Екатеринбург,Q4,2998672,982,3053.64
2024-11,Мобайл,Новосибирск,Q4,3044383,1182,2575.62
2024-11,Мобайл,Казань,Q4,2900553,1173,2472.76
