клиент_id,возраст,доход,пол,город,сегмент,количество_покупок,общая_сумма_покупок,последняя_покупка,удовлетворенность
CUST_00078,38,102782,Мужской,Москва,Обычный,18,45477,18,9.7
CUST_00079,27,82507,Женский,Казань,Обычный,7,29199,11,7.1
CUST_00080,18,25000,Мужской,Екатеринбург,Новый,1,1000,53,6.2
CUST_00081,58,35343,Женский,СПб,Обычный,6,6243,14,10.0
CUST_00082,29,25000,Женский,Новосибирск,Новый,3,3504,10,6.5
CUST_00083,64,57235,Женский,Москва,Обычный,8,19309,20,8.9
CUST_00084,52,25000,Женский,Новосибирск,Обычный,4,5490,63,10.0
CUST_00085,35,25000,Мужской,СПб,Новый,2,2000,1,7.3
CUST_00086,23,33611,Женский,Москва,Новый,4,6928,1,7.4
CUST_00087,29,25000,Женский,Новосибирск,Новый,4,4000,5,7.0
CUST_00088,21,39451,Женский,Москва,Новый,2,2000,18,7.5
CUST_00089,71,49743,Женский,Екатеринбург,Обычный,10,14988,13,6.6
CUST_00090,42,98694,Мужской,Москва,Обычный,20,49892,4,9.2
CUST_00091,57,36914,Женский,Екатеринбург,Обычный,4,8377,3,5.1
CUST_00092,20,27969,Женский,Москва,Новый,1,1363,8,8.9
CUST_00093,42,25000,Женский,Екатеринбург,Новый,2,2886,14,7.2
CUST_00094,57,85962,Мужской,Москва,Обычный,20,85006,18,10.0
CUST_00095,34,60384,Женский,СПб,Новый,8,8000,8,3.5
CUST_00096,55,79618,Мужской,Новосибирск,Обычный,21,44328,86,9.3
CUST_00097,23,25000,Женский,СПб,Новый,3,3841,16,5.9
CUST_00098,19,25000,Мужской,Новосибирск,Новый,3,4729,33,7.2
CUST_00099,45,123332,Мужской,Москва,Обычный,33,273122,25,8.4
CUST_00100,34,25000,Женский,Екатеринбург,Новый,5,5503,72,6.6
CUST_00101,49,47985,Мужской,Москва,Обычный,7,17638,8,8.5
CUST_00102,18,25000,Женский,Новосибирск,Новый,2,2041,16,7.8
CUST_00103,50,28358,Женский,Екатеринбург,Обычный,7,15729,39,7.3
CUST_00104,75,36368,Мужской,СПб,Обычный,9,14153,18,8.5
CUST_00105,39,56267,Мужской,СПб,Новый,4,10385,20,5.8
CUST_00106,40,38926,Мужской,Москва,Новый,4,8615,56,6.7
CUST_00107,42,31404,Женский,Екатеринбург,Новый,3,5075,70,6.5
CUST_00108,18,25000,Женский,Казань,Новый,6,12868,124,5.3
CUST_00109,46,27896,Мужской,Екатеринбург,Обычный,6,6000,23,7.3
CUST_00110,18,25000,Женский,СПб,Новый,3,3000,29,9.1
CUST_00111,33,30239,Женский,СПб,Новый,3,4029,126,5.7
CUST_00112,58,54471,Женский,Москва,Обычный,9,28198,18,4.7
CUST_00113,28,36882,Мужской,СПб,Новый,3,6095,48,4.9
CUST_00114,47,96447,Мужской,СПб,Обычный,11,79636,3,5.4
CUST_00115,55,28842,Женский,Казань,Обычный,9,14842,52,8.3
CUST_00116,44,47182,Мужской,СПб,Новый,2,2000,25,6.2
CUST_00117,19,25000,Женский,Новосибирск,Новый,3,3783,17,9.3
CUST_00118,35,34375,Мужской,Москва,Новый,6,10456,144,9.8
CUST_00119,69,34802,Мужской,СПб,Обычный,7,12629,3,7.0
CUST_00120,18,25000,Женский,Екатеринбург,Новый,4,4000,16,6.9
CUST_00121,35,25000,Женский,Екатеринбург,Новый,4,4000,9,8.6
CUST_00122,31,49228,Мужской,СПб,Новый,7,27091,89,7.4
CUST_00123,41,25000,Женский,Новосибирск,Новый,3,3351,6,7.5
CUST_00124,51,43344,Женский,Москва,Обычный,6,12339,45,8.7
CUST_00125,64,79426,Мужской,Москва,Обычный,14,50134,16,4.7
CUST_00126,35,52952,Женский,Москва,Новый,6,17804,8,4.7
CUST_00127,52,25000,Мужской,Екатеринбург,Обычный,3,3383,11,5.7
CUST_00128,47,49646,Женский,Москва,Обычный,16,53853,48,8.1
CUST_00129,47,28748,Мужской,Екатеринбург,Обычный,6,14517,24,7.7
CUST_00130,31,25756,Мужской,Москва,Новый,1,1722,2,6.6
CUST_00131,25,25000,Мужской,Казань,Новый,3,3038,43,8.5
CUST_00132,23,27218,Мужской,Казань,Новый,2,2310,3,5.6
CUST_00133,28,30098,Женский,Новосибирск,Новый,5,5000,41,6.0
CUST_00134,44,25000,Мужской,Новосибирск,Новый,4,5360,42,6.5
CUST_00135,51,42665,Женский,СПб,Обычный,12,32915,30,8.5
CUST_00136,44,26713,Мужской,Москва,Новый,2,3368,1,10.0
CUST_00137,31,32398,Мужской,Москва,Новый,3,6321,3,6.3
CUST_00138,67,38081,Мужской,СПб,Обычный,6,11165,61,8.9
CUST_00139,62,81731,Женский,Екатеринбург,Обычный,7,38284,24,7.2
CUST_00140,34,25000,Мужской,Екатеринбург,Новый,1,1361,50,8.3
CUST_00141,27,25000,Женский,Москва,Новый,3,4158,26,8.1
CUST_00142,41,25000,Женский,Екатеринбург,Новый,3,3000,10,9.7
CUST_00143,59,26852,Женский,Новосибирск,Обычный,3,4163,27,5.5
CUST_00144,44,156958,Женский,Москва,VIP,50,332167,3,8.0
CUST_00145,48,31954,Мужской,СПб,Обычный,6,10327,19,6.7
CUST_00146,36,97273,Мужской,СПб,Обычный,11,65347,6,8.7
CUST_00147,46,77485,Мужской,Москва,Обычный,23,53605,3,6.4
CUST_00148,63,152326,Женский,Москва,VIP,50,416034,19,9.3
CUST_00149,36,27487,Женский,Новосибирск,Новый,2,3272,15,6.6
CUST_00150,42,25000,Женский,Екатеринбург,Новый,2,2964,47,10.0
CUST_00151,43,31294,Мужской,Москва,Новый,4,9382,1,9.5
CUST_00152,44,57402,Женский,СПб,Новый,3,7660,42,7.1
CUST_00153,18,25000,Женский,Новосибирск,Новый,2,3265,1,7.0
CUST_00154,18,62631,Женский,Москва,Новый,3,12142,56,7.4
CUST_00155,24,25000,Мужской,Казань,Новый,1,1417,18,7.8
CUST_00156,42,36739,Мужской,Москва,Новый,4,7220,36,8.1
CUST_00157,48,67797,Женский,Москва,Обычный,10,29091,12,6.7
CUST_00158,32,41940,Мужской,Москва,Новый,3,9806,12,10.0
CUST_00159,60,41659,Мужской,СПб,Обычный,6,8397,42,6.9
CUST_00160,37,85381,Женский,СПб,Обычный,23,99461,2,7.0
CUST_00161,40,32715,Мужской,Казань,Новый,3,5663,23,5.8
CUST_00162,37,91666,Мужской,Москва,Обычный,16,104461,15,8.7
CUST_00163,42,31038,Женский,СПб,Новый,4,6096,12,5.8
CUST_00164,50,72243,Мужской,Екатеринбург,Обычный,13,58790,69,7.1
CUST_00165,49,58627,Мужской,СПб,Обычный,8,29823,7,8.3
CUST_00166,26,25000,Женский,СПб,Новый,1,1000,100,5.1
CUST_00167,62,26847,Мужской,СПб,Обычный,2,2467,10,8.5
CUST_00168,23,52726,Мужской,Москва,Новый,2,6452,32,6.1
CUST_00169,41,33806,Мужской,Екатеринбург,Новый,2,3820,9,10.0
CUST_00170,35,44940,Женский,Новосибирск,Новый,4,10364,30,7.0
CUST_00171,24,37908,Мужской,СПб,Новый,4,7303,28,5.9
CUST_00172,38,25000,Женский,Москва,Новый,2,2927,2,5.6
CUST_00173,28,25000,Женский,СПб,Новый,5,6702,40,6.4
CUST_00174,41,49385,Мужской,Москва,Новый,4,12617,2,6.1
CUST_00175,46,38419,Мужской,Казань,Обычный,5,9294,85,6.1
CUST_00176,62,42673,Мужской,Москва,Обычный,8,14182,12,7.4
CUST_00177,44,45722,Мужской,Казань,Новый,6,18467,10,7.4
CUST_00178,30,25000,Мужской,Екатеринбург,Новый,4,6438,4,5.0
CUST_00179,34,25000,Женский,Казань,Новый,4,6678,7,7.1
CUST_00180,42,35636,Мужской,Новосибирск,Новый,2,6698,44,6.2
CUST_00181,41,35692,Мужской,Москва,Новый,4,6174,16,7.7
CUST_00182,61,25000,Женский,Москва,Обычный,6,6000,11,7.1
CUST_00183,60,106385,Мужской,Екатеринбург,Обычный,9,74361,79,5.1
CUST_00184,34,25000,Женский,СПб,Новый,2,3276,25,6.7
CUST_00185,31,25000,Женский,Новосибирск,Новый,1,1352,35,9.1
CUST_00186,18,25000,Мужской,Екатеринбург,Новый,1,1000,9,9.5
CUST_00187,31,46774,Мужской,Москва,Новый,4,10719,86,6.7
CUST_00188,25,25000,Мужской,Новосибирск,Новый,3,3798,5,6.8
CUST_00189,34,141495,Мужской,Москва,Обычный,16,169201,18,9.0
CUST_00190,45,25000,Женский,Новосибирск,Новый,2,2000,59,4.1
CUST_00191,42,27963,Женский,Екатеринбург,Новый,5,13542,1,6.4
CUST_00192,39,32659,Мужской,Екатеринбург,Новый,3,3000,28,6.3
CUST_00193,42,67198,Женский,Москва,Новый,4,10066,14,7.8
CUST_00194,38,64722,Женский,Москва,Новый,7,27331,21,5.1
CUST_00195,42,103878,Мужской,СПб,Обычный,21,75922,50,6.3
CUST_00196,18,25000,Мужской,СПб,Новый,5,5000,55,6.2
CUST_00197,35,38474,Женский,Москва,Новый,6,13688,6,6.1
CUST_00198,38,35221,Мужской,СПб,Новый,2,3691,2,5.1
CUST_00199,34,25000,Мужской,Казань,Новый,2,2420,10,7.7
CUST_00200,36,32894,Мужской,СПб,Новый,3,3449,9,8.8
CUST_00201,50,41019,Женский,Екатеринбург,Обычный,4,4843,86,9.4
CUST_00202,31,25000,Женский,Екатеринбург,Новый,4,4251,9,7.6
CUST_00203,73,96293,Мужской,Екатеринбург,Обычный,14,76425,56,10.0
CUST_00204,50,67707,Мужской,Москва,Обычный,12,43001,5,9.9
CUST_00205,39,25000,Мужской,Екатеринбург,Новый,4,6022,56,3.7
CUST_00206,36,25000,Мужской,Екатеринбург,Новый,1,1400,35,6.0
CUST_00207,38,25000,Женский,СПб,Новый,3,3000,80,6.3
CUST_00208,26,25000,Мужской,Москва,Новый,2,2446,25,8.5
CUST_00209,38,40559,Женский,Москва,Новый,7,7684,54,6.6
CUST_00210,44,53163,Мужской,Казань,Новый,5,14805,108,7.5
CUST_00211,48,55115,Женский,Екатеринбург,Обычный,14,40813,38,7.9
CUST_00212,48,25000,Женский,Новосибирск,Обычный,3,4591,112,5.4
CUST_00213,35,37626,Мужской,Екатеринбург,Новый,4,5718,1,4.5
CUST_00214,18,25000,Мужской,Екатеринбург,Новый,2,3203,1,8.3
CUST_00215,29,29892,Мужской,Москва,Новый,2,2000,201,5.5
CUST_00216,64,25000,Женский,Новосибирск,Обычный,5,8285,23,7.7
CUST_00217,53,29649,Женский,СПб,Обычный,8,11526,5,7.1
CUST_00218,45,25000,Мужской,Новосибирск,Новый,3,3696,28,5.4
CUST_00219,28,56627,Мужской,СПб,Новый,6,15684,11,7.3
CUST_00220,40,90433,Мужской,Москва,Обычный,8,55865,9,9.5
CUST_00221,21,37911,Мужской,Москва,Новый,3,8012,3,5.7
CUST_00222,31,25000,Женский,СПб,Новый,3,6113,4,3.3
CUST_00223,36,84520,Мужской,СПб,Обычный,12,58335,52,9.0
CUST_00224,34,27974,Женский,Казань,Новый,5,9927,16,7.3
CUST_00225,54,104828,Мужской,Москва,Обычный,34,172952,31,9.0
CUST_00226,18,25000,Мужской,Екатеринбург,Новый,5,7464,23,8.2
CUST_00227,27,25000,Женский,Казань,Новый,2,3188,3,6.5
CUST_00228,19,31780,Женский,СПб,Новый,3,4154,2,6.6
CUST_00229,21,25000,Мужской,Новосибирск,Новый,4,7268,7,7.4
CUST_00230,41,30099,Мужской,Москва,Новый,3,3701,18,7.4
CUST_00231,18,25000,Мужской,Москва,Новый,2,3216,3,7.0
CUST_00232,51,69127,Женский,Москва,Обычный,12,21415,26,8.7
CUST_00233,36,39244,Женский,СПб,Новый,4,8346,15,4.0
CUST_00234,41,25000,Женский,Екатеринбург,Новый,2,2431,122,4.6
CUST_00235,44,30584,Мужской,Новосибирск,Новый,1,1835,21,5.6
CUST_00236,33,25000,Мужской,Новосибирск,Новый,2,2681,2,8.2
CUST_00237,55,77525,Женский,Москва,Обычный,11,45350,18,6.8
CUST_00238,37,93362,Женский,Новосибирск,Обычный,5,14200,7,8.6
CUST_00239,48,29615,Женский,Москва,Обычный,4,5562,6,6.0
CUST_00240,37,31109,Женский,Новосибирск,Новый,4,6262,12,7.7
CUST_00241,44,43314,Мужской,Казань,Новый,7,7000,8,9.5
CUST_00242,44,31586,Мужской,Екатеринбург,Новый,3,4721,3,6.0
CUST_00243,43,25000,Женский,Екатеринбург,Новый,2,3083,53,8.5
CUST_00244,25,25000,Мужской,СПб,Новый,1,1348,39,9.6
CUST_00245,46,25000,Женский,Екатеринбург,Обычный,2,2000,86,7.0
CUST_00246,35,25000,Мужской,Новосибирск,Новый,1,1650,28,4.3
CUST_00247,49,30806,Женский,Москва,Обычный,5,15848,1,7.8
CUST_00248,18,25000,Мужской,СПб,Новый,1,1633,8,8.8
CUST_00249,18,25000,Мужской,СПб,Новый,1,1494,1,5.0
CUST_00250,45,25000,Мужской,Новосибирск,Новый,2,2000,6,6.4
CUST_00251,67,41210,Женский,Москва,Обычный,4,9959,47,6.7
CUST_00252,52,57980,Женский,Новосибирск,Обычный,17,34028,2,10.0
CUST_00253,29,51728,Женский,Москва,Новый,5,15634,1,6.1
CUST_00254,18,25000,Женский,Екатеринбург,Новый,3,3535,18,5.4
CUST_00255,51,100973,Мужской,СПб,Обычный,21,110918,26,7.5
CUST_00256,38,146867,Мужской,Казань,Обычный,17,90823,35,6.7
CUST_00257,48,48074,Женский,Москва,Обычный,8,20360,27,8.1
CUST_00258,41,56430,Женский,СПб,Новый,7,17401,9,6.8
CUST_00259,40,47604,Мужской,Москва,Новый,4,15085,5,3.2
CUST_00260,75,27961,Женский,Новосибирск,Обычный,7,8346,65,10.0
CUST_00261,39,29360,Мужской,Москва,Новый,4,9936,12,8.8
CUST_00262,37,69917,Женский,Казань,Новый,9,30094,76,7.3
CUST_00263,38,33528,Мужской,Казань,Новый,2,5012,59,8.4
CUST_00264,31,74719,Женский,СПб,Новый,8,22744,8,5.7
CUST_00265,54,68251,Женский,Москва,Обычный,10,52034,28,8.2
CUST_00266,34,25000,Мужской,Казань,Новый,4,7422,50,6.5
CUST_00267,49,38615,Мужской,Екатеринбург,Обычный,6,15027,37,7.3
CUST_00268,44,70077,Мужской,СПб,Новый,9,33130,24,9.3
CUST_00269,58,40722,Женский,Екатеринбург,Обычный,6,10238,33,6.8
CUST_00270,46,25000,Женский,Москва,Обычный,6,6481,25,9.6
CUST_00271,21,25000,Женский,Москва,Новый,1,1000,22,9.5
CUST_00272,20,25000,Мужской,Екатеринбург,Новый,1,1000,13,4.5
CUST_00273,61,50421,Мужской,Москва,Обычный,10,23993,15,5.8
CUST_00274,30,25000,Женский,Екатеринбург,Новый,1,1655,4,9.0
CUST_00275,20,39819,Мужской,Казань,Новый,3,4440,44,3.7
CUST_00276,29,42801,Мужской,Екатеринбург,Новый,4,7835,52,5.3
CUST_00277,58,25013,Мужской,Екатеринбург,Обычный,5,6060,59,9.4
CUST_00278,18,25000,Мужской,Новосибирск,Новый,3,5498,5,7.0
CUST_00279,27,47027,Мужской,Екатеринбург,Новый,8,14755,9,8.3
CUST_00280,29,25000,Женский,Екатеринбург,Новый,5,5000,48,4.0
CUST_00281,21,51597,Женский,Москва,Новый,10,17794,1,4.6
CUST_00282,22,26952,Женский,Москва,Новый,3,3000,7,5.6
CUST_00283,18,25000,Женский,СПб,Новый,4,6262,237,7.9
CUST_00284,33,38866,Мужской,Москва,Новый,4,4000,66,8.3
CUST_00285,34,57530,Мужской,Москва,Новый,9,31049,26,6.7
CUST_00286,29,89048,Женский,СПб,Обычный,10,67020,29,8.1
CUST_00287,18,25000,Женский,СПб,Новый,2,2824,5,7.0
CUST_00288,58,31549,Женский,СПб,Обычный,1,1556,5,9.9
CUST_00289,20,25000,Женский,Москва,Новый,2,2729,38,5.7
CUST_00290,44,66667,Мужской,Екатеринбург,Новый,11,39933,13,5.3
CUST_00291,23,25000,Мужской,Екатеринбург,Новый,2,3477,54,9.3
CUST_00292,50,60219,Женский,Москва,Обычный,10,28232,15,7.1
CUST_00293,54,25073,Женский,Екатеринбург,Обычный,5,5000,17,6.6
CUST_00294,26,55736,Женский,СПб,Новый,1,3315,33,9.4
CUST_00295,18,25000,Женский,Казань,Новый,4,5722,4,7.8
CUST_00296,50,25000,Мужской,Екатеринбург,Обычный,4,4586,18,8.8
CUST_00297,68,25000,Мужской,Москва,Обычный,6,6000,4,5.7
CUST_00298,46,25000,Мужской,Новосибирск,Обычный,3,3486,89,8.3
CUST_00299,42,50937,Женский,СПб,Новый,11,40416,14,7.2
CUST_00300,52,25000,Мужской,Новосибирск,Обычный,4,4906,93,6.7
CUST_00301,51,25000,Мужской,Новосибирск,Обычный,2,2743,4,8.4
CUST_00302,27,25000,Мужской,Москва,Новый,6,6347,5,7.7
CUST_00303,30,35180,Мужской,Москва,Новый,4,8339,32,7.2
CUST_00304,49,44760,Женский,Казань,Обычный,4,8944,16,9.7
CUST_00305,37,25000,Женский,Новосибирск,Новый,5,5184,17,7.5
CUST_00306,59,62262,Мужской,Москва,Обычный,5,24917,46,10.0
CUST_00307,29,55068,Женский,Москва,Новый,4,12751,24,6.9
CUST_00308,51,25000,Мужской,Екатеринбург,Обычный,6,8418,29,5.5
CUST_00309,45,39832,Мужской,Москва,Новый,4,11411,12,9.4
CUST_00310,38,55483,Мужской,Москва,Новый,6,18716,24,8.4
CUST_00311,57,25000,Женский,Казань,Обычный,6,8288,6,9.6
CUST_00312,50,25875,Женский,СПб,Обычный,6,6263,3,10.0
CUST_00313,24,25000,Женский,СПб,Новый,2,2000,55,7.5
CUST_00314,49,36942,Женский,Екатеринбург,Обычный,9,22250,40,8.2
CUST_00315,60,79101,Женский,Москва,Обычный,9,41580,32,10.0
CUST_00316,38,42569,Мужской,СПб,Новый,2,3784,14,9.0
CUST_00317,36,28434,Мужской,Казань,Новый,3,5650,2,6.0
CUST_00318,29,25000,Женский,Казань,Новый,1,1219,5,7.2
CUST_00319,39,25000,Женский,СПб,Новый,3,4507,38,8.0
CUST_00320,50,25000,Женский,Новосибирск,Обычный,2,2769,46,6.8
CUST_00321,27,25000,Мужской,СПб,Новый,1,1503,26,4.6
CUST_00322,19,25000,Женский,Казань,Новый,2,2417,68,6.6
CUST_00323,34,25000,Мужской,Новосибирск,Новый,3,3481,104,7.5
CUST_00324,19,25000,Мужской,Новосибирск,Новый,3,3092,31,8.4
CUST_00325,47,109641,Мужской,Москва,Обычный,23,101255,2,9.4
CUST_00326,33,25992,Мужской,Москва,Новый,1,1515,1,6.8
CUST_00327,18,25000,Мужской,СПб,Новый,4,4787,14,5.6
CUST_00328,34,37863,Мужской,Казань,Новый,1,2169,37,5.9
CUST_00329,37,32980,Женский,Казань,Новый,3,3000,65,7.5
CUST_00330,46,25000,Мужской,Екатеринбург,Обычный,1,1419,6,9.6
CUST_00331,37,25000,Женский,Москва,Новый,2,2685,64,4.9
CUST_00332,68,54104,Женский,Москва,Обычный,8,22800,35,7.4
CUST_00333,32,25000,Мужской,СПб,Новый,2,3323,23,8.1
CUST_00334,39,39882,Мужской,СПб,Новый,5,9622,1,8.4
CUST_00335,38,25000,Женский,СПб,Новый,2,2306,6,6.9
CUST_00336,35,33353,Мужской,Новосибирск,Новый,3,5137,55,8.1
CUST_00337,42,25000,Женский,Москва,Новый,4,6084,4,6.1
CUST_00338,48,44915,Женский,Москва,Обычный,4,7398,1,7.7
CUST_00339,60,57198,Женский,СПб,Обычный,15,37888,7,7.1
CUST_00340,18,25000,Мужской,СПб,Новый,1,1533,25,5.2
CUST_00341,32,176559,Мужской,Москва,VIP,50,524216,33,6.4
CUST_00342,33,27796,Женский,СПб,Новый,5,7125,6,10.0
CUST_00343,54,50671,Женский,СПб,Обычный,15,17071,23,9.9
CUST_00344,34,25000,Женский,Казань,Новый,1,1097,3,5.8
CUST_00345,18,46723,Женский,Москва,Новый,3,7053,11,8.0
CUST_00346,41,96078,Мужской,Москва,Обычный,14,62419,6,9.0
CUST_00347,39,160373,Мужской,Москва,VIP,28,135050,1,7.6
CUST_00348,42,28242,Женский,СПб,Новый,2,2138,45,7.4
CUST_00349,24,25000,Женский,Екатеринбург,Новый,2,2000,15,8.9
CUST_00350,65,35373,Женский,Казань,Обычный,2,4820,2,8.2
CUST_00351,35,25000,Женский,Казань,Новый,3,4763,39,6.9
CUST_00352,37,43968,Женский,СПб,Новый,6,15477,15,5.1
CUST_00353,26,25000,Мужской,Москва,Новый,3,4233,2,9.3
CUST_00354,26,38754,Мужской,Екатеринбург,Новый,2,3279,1,6.8
CUST_00355,21,25000,Мужской,СПб,Новый,3,3000,98,8.6
CUST_00356,34,25000,Мужской,Москва,Новый,4,5379,3,9.1
CUST_00357,25,25000,Мужской,Новосибирск,Новый,2,2802,7,5.3
CUST_00358,70,56805,Мужской,СПб,Обычный,6,13717,14,7.3
CUST_00359,18,41863,Мужской,СПб,Новый,5,5000,86,3.4
CUST_00360,23,25183,Женский,Екатеринбург,Новый,3,3000,1,7.8
CUST_00361,33,25000,Женский,Новосибирск,Новый,4,4000,16,3.8
CUST_00362,50,53673,Женский,Казань,Обычный,6,18374,41,6.5
CUST_00363,33,40664,Мужской,СПб,Новый,8,28502,38,5.5
CUST_00364,50,30640,Женский,Москва,Обычный,2,2000,99,8.2
CUST_00365,25,33297,Мужской,СПб,Новый,3,3923,27,6.1
CUST_00366,40,52328,Мужской,Казань,Новый,4,8611,29,7.4
CUST_00367,66,405071,Мужской,Москва,VIP,50,1054867,85,5.3
CUST_00368,25,25000,Мужской,Казань,Новый,4,6185,10,7.7
CUST_00369,46,25000,Женский,Екатеринбург,Обычный,6,8235,50,8.8
CUST_00370,43,95247,Мужской,Москва,Обычный,11,43347,25,7.3
CUST_00371,18,25000,Мужской,Новосибирск,Новый,3,3558,2,6.3
CUST_00372,31,66300,Мужской,Екатеринбург,Новый,5,16485,2,5.9
CUST_00373,56,86231,Женский,Москва,Обычный,15,53540,41,8.6
CUST_00374,42,25000,Женский,СПб,Новый,3,3000,3,5.7
