enrollment_id;student_id;course_id;professor_id;semester;year;enrollment_date;letter_grade;grade_points
72;1002;64;40;Fall;2022;2022-08-16;B+;3,3
73;1002;26;28;Fall;2022;2022-08-16;A;4,0
74;1002;37;29;Fall;2022;2022-08-16;C;2,0
75;1002;1;25;Fall;2022;2022-08-16;A;4,0
76;1002;8;1;Fall;2022;2022-08-16;A-;3,7
77;1002;8;1;Spring;2022;2022-01-22;C-;1,7
78;1002;50;31;Spring;2022;2022-01-22;C;2,0
79;1002;7;1;Spring;2022;2022-01-22;C-;1,7
80;1002;25;4;Spring;2022;2022-01-22;B;3,0
81;1002;14;2;Spring;2022;2022-01-22;F;0,0
82;1002;41;30;Spring;2022;2022-01-24;C+;2,3
83;1002;13;26;Spring;2022;2022-01-24;B;3,0
84;1002;46;6;Spring;2022;2022-01-24;B;3,0
85;1002;43;30;Spring;2022;2022-01-24;C+;2,3
86;1002;17;27;Spring;2022;2022-01-24;C-;1,7
87;1005;56;31;Fall;2023;2023-08-26;B-;2,7
88;1005;59;24;Fall;2023;2023-08-26;A-;3,7
89;1005;25;4;Fall;2023;2023-08-26;B+;3,3
90;1005;2;9;Spring;2021;2021-01-21;B+;3,3
91;1005;56;31;Spring;2021;2021-01-21;B-;2,7
92;1005;12;10;Spring;2021;2021-01-21;B;3,0
93;1005;23;19;Spring;2021;2021-01-20;A;4,0
94;1005;57;24;Spring;2021;2021-01-20;B+;3,3
95;1005;7;1;Spring;2021;2021-01-20;B-;2,7
96;1006;31;20;Fall;2020;2020-08-18;A;4,0
97;1006;17;27;Fall;2020;2020-08-18;A-;3,7
98;1006;56;31;Fall;2020;2020-08-18;D;1,0
99;1006;25;4;Fall;2020;2020-08-18;B+;3,3
100;1006;6;17;Fall;2020;2020-08-18;A-;3,7
101;1006;1;25;Fall;2020;2020-08-18;B;3,0
102;1006;47;22;Spring;2021;2021-01-22;A;4,0
103;1006;27;20;Spring;2021;2021-01-22;B-;2,7
104;1006;48;38;Spring;2021;2021-01-22;C-;1,7
105;1006;43;30;Spring;2021;2021-01-22;A-;3,7
106;1006;42;14;Spring;2021;2021-01-22;A-;3,7
107;1006;22;11;Spring;2021;2021-01-22;A-;3,7
108;1006;44;38;Fall;2024;2024-08-16;C;2,0
109;1006;39;37;Fall;2024;2024-08-16;C+;2,3
110;1006;55;7;Fall;2024;2024-08-16;B;3,0
111;1006;18;19;Fall;2024;2024-08-16;A;4,0
112;1006;49;7;Fall;2024;2024-08-16;B;3,0
113;1006;36;21;Fall;2024;2024-08-16;B;3,0
114;1006;53;31;Fall;2021;2021-08-22;B;3,0
115;1006;56;31;Fall;2021;2021-08-22;B+;3,3
116;1006;24;3;Fall;2021;2021-08-22;C;2,0
117;1006;21;19;Fall;2021;2021-08-22;B+;3,3
118;1006;16;10;Fall;2021;2021-08-22;C-;1,7
119;1006;39;37;Fall;2021;2021-08-22;B;3,0
120;1007;52;23;Spring;2022;2022-01-18;C-;1,7
121;1007;29;36;Spring;2022;2022-01-18;B;3,0
122;1007;56;31;Spring;2022;2022-01-18;A-;3,7
123;1007;51;31;Fall;2021;2021-08-20;A;4,0
124;1007;47;22;Fall;2021;2021-08-20;B-;2,7
125;1007;36;21;Fall;2021;2021-08-20;C-;1,7
126;1007;25;4;Fall;2022;2022-08-20;B;3,0
127;1007;49;7;Fall;2022;2022-08-20;B-;2,7
128;1007;21;19;Fall;2022;2022-08-20;B;3,0
129;1007;8;1;Spring;2021;2021-01-21;B-;2,7
130;1007;3;33;Spring;2021;2021-01-21;B-;2,7
131;1007;44;38;Spring;2021;2021-01-21;C+;2,3
132;1007;20;11;Spring;2022;2022-01-15;A;4,0
133;1007;41;30;Spring;2022;2022-01-15;C;2,0
134;1007;45;30;Spring;2022;2022-01-15;B;3,0
135;1007;56;31;Spring;2022;2022-01-22;C;2,0
136;1007;1;25;Spring;2022;2022-01-22;C;2,0
137;1007;43;30;Spring;2022;2022-01-22;B;3,0
138;1007;48;38;Spring;2021;2021-01-19;B+;3,3
139;1007;34;13;Spring;2021;2021-01-19;F;0,0
140;1007;41;30;Spring;2021;2021-01-19;A;4,0
141;1008;56;31;Spring;2022;2022-01-18;F;0,0
142;1008;32;4;Spring;2022;2022-01-18;C-;1,7
143;1008;22;11;Spring;2022;2022-01-18;A-;3,7
144;1008;54;31;Spring;2022;2022-01-18;A-;3,7
145;1008;12;10;Spring;2022;2022-01-18;A-;3,7
146;1008;61;24;Fall;2022;2022-08-30;B+;3,3
147;1008;35;13;Fall;2022;2022-08-30;C;2,0
148;1008;37;29;Fall;2022;2022-08-30;A;4,0
149;1008;1;25;Fall;2022;2022-08-30;B;3,0
150;1008;11;26;Fall;2022;2022-08-30;C+;2,3
151;1008;10;26;Spring;2020;2020-01-17;C;2,0
152;1008;58;8;Spring;2020;2020-01-17;D;1,0
153;1008;34;13;Spring;2020;2020-01-17;C;2,0
154;1008;60;8;Spring;2020;2020-01-17;A;4,0
155;1008;40;5;Spring;2020;2020-01-17;B;3,0
156;1008;16;10;Spring;2020;2020-01-28;B+;3,3
157;1008;11;26;Spring;2020;2020-01-28;C-;1,7
158;1008;3;33;Spring;2020;2020-01-28;C-;1,7
159;1008;30;28;Spring;2020;2020-01-28;B;3,0
160;1008;57;24;Spring;2020;2020-01-28;A-;3,7
161;1008;38;13;Spring;2024;2024-01-25;B-;2,7
162;1008;1;25;Spring;2024;2024-01-25;B;3,0
163;1008;15;10;Spring;2024;2024-01-25;A-;3,7
164;1008;11;26;Spring;2024;2024-01-25;C+;2,3
165;1008;19;27;Spring;2024;2024-01-25;B-;2,7
166;1008;13;26;Fall;2023;2023-08-27;C+;2,3
167;1008;43;30;Fall;2023;2023-08-27;B+;3,3
168;1008;42;14;Fall;2023;2023-08-27;B;3,0
169;1008;35;13;Fall;2023;2023-08-27;B+;3,3
170;1008;49;7;Fall;2023;2023-08-27;A-;3,7
171;1008;10;26;Fall;2021;2021-08-23;A-;3,7
172;1008;3;33;Fall;2021;2021-08-23;A;4,0
173;1008;31;20;Fall;2021;2021-08-23;C+;2,3
174;1008;52;23;Fall;2021;2021-08-23;A-;3,7
175;1008;21;19;Fall;2021;2021-08-23;C;2,0
176;1009;34;13;Spring;2023;2023-01-16;A-;3,7
177;1009;55;7;Spring;2023;2023-01-16;A-;3,7
178;1009;54;31;Spring;2023;2023-01-16;C-;1,7
179;1009;4;17;Spring;2023;2023-01-16;C+;2,3
180;1009;13;26;Fall;2022;2022-08-19;A-;3,7
181;1009;64;40;Fall;2022;2022-08-19;C+;2,3
182;1009;44;38;Fall;2022;2022-08-19;A-;3,7
183;1009;57;24;Fall;2022;2022-08-19;B;3,0
184;1009;46;6;Spring;2022;2022-01-19;A;4,0
185;1009;1;25;Spring;2022;2022-01-19;A-;3,7
186;1009;54;31;Spring;2022;2022-01-19;C+;2,3
187;1009;25;4;Spring;2022;2022-01-19;A-;3,7
188;1009;54;31;Spring;2024;2024-01-27;C;2,0
189;1009;24;3;Spring;2024;2024-01-27;B-;2,7
190;1009;17;27;Spring;2024;2024-01-27;B-;2,7
191;1009;5;17;Spring;2024;2024-01-27;B-;2,7
192;1009;6;17;Spring;2020;2020-01-15;B;3,0
193;1009;60;8;Spring;2020;2020-01-15;B;3,0
194;1009;8;1;Spring;2020;2020-01-15;C+;2,3
195;1009;24;3;Spring;2020;2020-01-15;A;4,0
196;1010;6;17;Fall;2024;2024-08-28;C-;1,7
197;1010;5;17;Fall;2024;2024-08-28;B+;3,3
198;1010;61;24;Fall;2024;2024-08-28;A;4,0
199;1010;25;4;Spring;2024;2024-01-15;C;2,0
200;1010;61;24;Spring;2024;2024-01-15;A;4,0
201;1010;26;28;Spring;2024;2024-01-15;B;3,0
202;1010;56;31;Fall;2020;2020-08-23;A-;3,7
203;1010;17;27;Fall;2020;2020-08-23;A-;3,7
204;1010;60;8;Fall;2020;2020-08-23;B;3,0
205;1010;55;7;Fall;2022;2022-08-18;B;3,0
206;1010;21;19;Fall;2022;2022-08-18;A;4,0
207;1010;45;30;Fall;2022;2022-08-18;B;3,0
208;1010;8;1;Spring;2024;2024-01-24;A;4,0
209;1010;49;7;Spring;2024;2024-01-24;F;0,0
210;1010;45;30;Spring;2024;2024-01-24;A-;3,7
211;1010;12;10;Fall;2022;2022-08-23;A-;3,7
212;1010;9;18;Fall;2022;2022-08-23;A;4,0
213;1010;28;28;Fall;2022;2022-08-23;B+;3,3
214;1011;58;8;Fall;2024;2024-08-18;B;3,0
215;1011;44;38;Fall;2024;2024-08-18;A-;3,7
216;1011;46;6;Fall;2024;2024-08-18;B+;3,3
217;1011;11;26;Fall;2024;2024-08-18;B;3,0
218;1011;43;30;Fall;2024;2024-08-18;C-;1,7
219;1011;44;38;Fall;2023;2023-08-23;B;3,0
220;1011;30;28;Fall;2023;2023-08-23;A;4,0
221;1011;53;31;Fall;2023;2023-08-23;A-;3,7
222;1011;43;30;Fall;2023;2023-08-23;C+;2,3
223;1011;62;40;Fall;2023;2023-08-23;B;3,0
224;1011;63;40;Spring;2022;2022-01-16;A-;3,7
225;1011;10;26;Spring;2022;2022-01-16;B+;3,3
226;1011;13;26;Spring;2022;2022-01-16;C+;2,3
227;1011;42;14;Spring;2022;2022-01-16;C;2,0
228;1011;1;25;Spring;2022;2022-01-16;C+;2,3
229;1011;44;38;Spring;2021;2021-01-15;B;3,0
230;1011;62;40;Spring;2021;2021-01-15;B+;3,3
231;1011;18;19;Spring;2021;2021-01-15;A-;3,7
232;1011;20;11;Spring;2021;2021-01-15;C;2,0
233;1011;61;24;Spring;2021;2021-01-15;A-;3,7
234;1011;8;1;Spring;2023;2023-01-23;B;3,0
235;1011;14;2;Spring;2023;2023-01-23;C+;2,3
236;1011;1;25;Spring;2023;2023-01-23;A;4,0
237;1011;4;17;Spring;2023;2023-01-23;B;3,0
238;1011;16;10;Spring;2023;2023-01-23;C+;2,3
239;1011;1;25;Spring;2023;2023-01-30;C;2,0
240;1011;40;5;Spring;2023;2023-01-30;B;3,0
241;1011;35;13;Spring;2023;2023-01-30;A-;3,7
242;1011;55;7;Spring;2023;2023-01-30;C;2,0
243;1011;48;38;Spring;2023;2023-01-30;A-;3,7
244;1012;53;31;Spring;2021;2021-01-25;C+;2,3
245;1012;40;5;Spring;2021;2021-01-25;B-;2,7
246;1012;14;2;Spring;2021;2021-01-25;A-;3,7
247;1012;27;20;Spring;2021;2021-01-25;B+;3,3
248;1012;39;37;Spring;2023;2023-01-27;B-;2,7
249;1012;10;26;Spring;2023;2023-01-27;B-;2,7
250;1012;36;21;Spring;2023;2023-01-27;F;0,0
251;1012;55;7;Spring;2023;2023-01-27;B+;3,3
252;1012;42;14;Fall;2021;2021-08-30;A;4,0
253;1012;5;17;Fall;2021;2021-08-30;B;3,0
254;1012;4;17;Fall;2021;2021-08-30;B;3,0
255;1012;18;19;Fall;2021;2021-08-30;B-;2,7
256;1014;57;24;Fall;2021;2021-08-20;B;3,0
257;1014;42;14;Fall;2021;2021-08-20;D;1,0
258;1014;63;40;Fall;2021;2021-08-20;B+;3,3
259;1014;33;13;Fall;2021;2021-08-20;D;1,0
260;1014;59;24;Fall;2021;2021-08-20;B+;3,3
261;1014;25;4;Fall;2021;2021-08-20;B;3,0
262;1014;61;24;Spring;2022;2022-01-26;C-;1,7
263;1014;38;13;Spring;2022;2022-01-26;A;4,0
264;1014;39;37;Spring;2022;2022-01-26;C+;2,3
265;1014;53;31;Spring;2022;2022-01-26;C+;2,3
266;1014;37;29;Spring;2022;2022-01-26;A;4,0
267;1014;35;13;Spring;2022;2022-01-26;F;0,0
268;1014;46;6;Spring;2022;2022-01-15;A;4,0
269;1014;10;26;Spring;2022;2022-01-15;A;4,0
270;1014;29;36;Spring;2022;2022-01-15;B+;3,3
271;1014;28;28;Spring;2022;2022-01-15;B;3,0
272;1014;26;28;Spring;2022;2022-01-15;C+;2,3
273;1014;32;4;Spring;2022;2022-01-15;B;3,0
274;1014;2;9;Fall;2022;2022-08-30;A-;3,7
275;1014;26;28;Fall;2022;2022-08-30;B-;2,7
276;1014;46;6;Fall;2022;2022-08-30;B;3,0
277;1014;38;13;Fall;2022;2022-08-30;A-;3,7
278;1014;23;19;Fall;2022;2022-08-30;B+;3,3
279;1014;45;30;Fall;2022;2022-08-30;B;3,0
280;1014;55;7;Spring;2023;2023-01-21;C+;2,3
281;1014;39;37;Spring;2023;2023-01-21;A-;3,7
282;1014;51;31;Spring;2023;2023-01-21;A;4,0
283;1014;46;6;Spring;2023;2023-01-21;B;3,0
284;1014;59;24;Spring;2023;2023-01-21;B;3,0
285;1014;23;19;Spring;2023;2023-01-21;B+;3,3
286;1015;1;25;Fall;2021;2021-08-27;B+;3,3
287;1015;39;37;Fall;2021;2021-08-27;D;1,0
288;1015;35;13;Fall;2021;2021-08-27;A-;3,7
289;1015;3;33;Fall;2021;2021-08-27;B;3,0
290;1015;14;2;Fall;2021;2021-08-27;B+;3,3
291;1015;62;40;Fall;2021;2021-08-27;F;0,0
292;1015;50;31;Fall;2021;2021-08-15;B+;3,3
293;1015;6;17;Fall;2021;2021-08-15;C;2,0
294;1015;25;4;Fall;2021;2021-08-15;B-;2,7
295;1015;20;11;Fall;2021;2021-08-15;B;3,0
296;1015;9;18;Fall;2021;2021-08-15;C;2,0
297;1015;40;5;Fall;2021;2021-08-15;C-;1,7
298;1015;29;36;Spring;2022;2022-01-24;A-;3,7
299;1015;6;17;Spring;2022;2022-01-24;B;3,0
300;1015;16;10;Spring;2022;2022-01-24;B;3,0
301;1015;22;11;Spring;2022;2022-01-24;A-;3,7
302;1015;8;1;Spring;2022;2022-01-24;C+;2,3
303;1015;51;31;Spring;2022;2022-01-24;B;3,0
304;1015;9;18;Fall;2020;2020-08-30;A-;3,7
305;1015;4;17;Fall;2020;2020-08-30;C+;2,3
306;1015;36;21;Fall;2020;2020-08-30;A;4,0
307;1015;61;24;Fall;2020;2020-08-30;D;1,0
308;1015;30;28;Fall;2020;2020-08-30;B+;3,3
309;1015;44;38;Fall;2020;2020-08-30;C;2,0
310;1015;48;38;Spring;2024;2024-01-16;B+;3,3
311;1015;31;20;Spring;2024;2024-01-16;C+;2,3
312;1015;6;17;Spring;2024;2024-01-16;C;2,0
313;1015;56;31;Spring;2024;2024-01-16;B;3,0
314;1015;14;2;Spring;2024;2024-01-16;C+;2,3
315;1015;13;26;Spring;2024;2024-01-16;A;4,0
316;1015;55;7;Fall;2021;2021-08-24;C+;2,3
317;1015;38;13;Fall;2021;2021-08-24;A;4,0
318;1015;43;30;Fall;2021;2021-08-24;C;2,0
319;1015;23;19;Fall;2021;2021-08-24;C+;2,3
320;1015;48;38;Fall;2021;2021-08-24;B;3,0
321;1015;13;26;Fall;2021;2021-08-24;A-;3,7
322;1015;40;5;Fall;2023;2023-08-29;A;4,0
323;1015;24;3;Fall;2023;2023-08-29;B;3,0
324;1015;4;17;Fall;2023;2023-08-29;A;4,0
325;1015;36;21;Fall;2023;2023-08-29;B;3,0
326;1015;23;19;Fall;2023;2023-08-29;B+;3,3
327;1015;45;30;Fall;2023;2023-08-29;D;1,0
328;1015;53;31;Spring;2024;2024-01-26;C;2,0
329;1015;42;14;Spring;2024;2024-01-26;C+;2,3
330;1015;13;26;Spring;2024;2024-01-26;B+;3,3
331;1015;52;23;Spring;2024;2024-01-26;A;4,0
332;1015;12;10;Spring;2024;2024-01-26;B+;3,3
333;1015;2;9;Spring;2024;2024-01-26;F;0,0
334;1016;13;26;Fall;2020;2020-08-28;C-;1,7
335;1016;5;17;Fall;2020;2020-08-28;A;4,0
336;1016;59;24;Fall;2020;2020-08-28;B+;3,3
337;1016;55;7;Fall;2020;2020-08-28;C-;1,7
338;1016;54;31;Fall;2020;2020-08-28;B-;2,7
339;1016;19;27;Fall;2020;2020-08-28;A-;3,7
340;1016;29;36;Spring;2022;2022-01-23;B;3,0
341;1016;45;30;Spring;2022;2022-01-23;B-;2,7
342;1016;50;31;Spring;2022;2022-01-23;A;4,0
343;1016;30;28;Spring;2022;2022-01-23;B-;2,7
344;1016;6;17;Spring;2022;2022-01-23;A;4,0
345;1016;16;10;Spring;2022;2022-01-23;B+;3,3
346;1016;44;38;Spring;2020;2020-01-15;B;3,0
347;1016;6;17;Spring;2020;2020-01-15;C+;2,3
348;1016;17;27;Spring;2020;2020-01-15;A;4,0
349;1016;49;7;Spring;2020;2020-01-15;C-;1,7
350;1016;22;11;Spring;2020;2020-01-15;C-;1,7
351;1016;51;31;Spring;2020;2020-01-15;B+;3,3
352;1017;11;26;Fall;2021;2021-08-29;A-;3,7
353;1017;32;4;Fall;2021;2021-08-29;B-;2,7
354;1017;40;5;Fall;2021;2021-08-29;C;2,0
355;1017;48;38;Fall;2021;2021-08-29;C+;2,3
356;1017;57;24;Fall;2021;2021-08-29;A-;3,7
357;1017;64;40;Fall;2021;2021-08-29;A;4,0
358;1017;9;18;Fall;2024;2024-08-23;B-;2,7
359;1017;56;31;Fall;2024;2024-08-23;C-;1,7
360;1017;11;26;Fall;2024;2024-08-23;B-;2,7
361;1017;49;7;Fall;2024;2024-08-23;A;4,0
362;1017;14;2;Fall;2024;2024-08-23;B+;3,3
363;1017;58;8;Fall;2024;2024-08-23;C-;1,7
364;1017;2;9;Spring;2022;2022-01-30;A-;3,7
365;1017;15;10;Spring;2022;2022-01-30;B;3,0
366;1017;4;17;Spring;2022;2022-01-30;A-;3,7
367;1017;57;24;Spring;2022;2022-01-30;A-;3,7
368;1017;56;31;Spring;2022;2022-01-30;B+;3,3
369;1017;17;27;Spring;2022;2022-01-30;C;2,0
370;1017;16;10;Spring;2022;2022-01-17;B;3,0
371;1017;24;3;Spring;2022;2022-01-17;C+;2,3
372;1017;31;20;Spring;2022;2022-01-17;A-;3,7
373;1017;36;21;Spring;2022;2022-01-17;A;4,0
374;1017;34;13;Spring;2022;2022-01-17;B+;3,3
375;1017;52;23;Spring;2022;2022-01-17;A;4,0
376;1017;48;38;Spring;2023;2023-01-30;B-;2,7
377;1017;25;4;Spring;2023;2023-01-30;C+;2,3
378;1017;28;28;Spring;2023;2023-01-30;B+;3,3
379;1017;20;11;Spring;2023;2023-01-30;D;1,0
380;1017;35;13;Spring;2023;2023-01-30;B-;2,7
381;1017;18;19;Spring;2023;2023-01-30;C+;2,3
382;1018;61;24;Fall;2020;2020-08-23;A-;3,7
383;1018;42;14;Fall;2020;2020-08-23;A-;3,7
384;1018;33;13;Fall;2020;2020-08-23;A;4,0
385;1018;23;19;Fall;2020;2020-08-23;A;4,0
386;1018;36;21;Spring;2022;2022-01-17;B+;3,3
387;1018;52;23;Spring;2022;2022-01-17;D;1,0
388;1018;10;26;Spring;2022;2022-01-17;C+;2,3
389;1018;60;8;Spring;2022;2022-01-17;B-;2,7
390;1018;33;13;Spring;2021;2021-01-18;A-;3,7
391;1018;36;21;Spring;2021;2021-01-18;B;3,0
392;1018;28;28;Spring;2021;2021-01-18;C-;1,7
393;1018;31;20;Spring;2021;2021-01-18;C;2,0
394;1018;63;40;Spring;2024;2024-01-29;B;3,0
395;1018;6;17;Spring;2024;2024-01-29;B-;2,7
396;1018;46;6;Spring;2024;2024-01-29;B+;3,3
397;1018;16;10;Spring;2024;2024-01-29;C-;1,7
398;1018;36;21;Fall;2022;2022-08-21;A-;3,7
399;1018;13;26;Fall;2022;2022-08-21;A;4,0
400;1018;41;30;Fall;2022;2022-08-21;B;3,0
401;1018;53;31;Fall;2022;2022-08-21;C;2,0
402;1018;31;20;Fall;2024;2024-08-28;F;0,0
403;1018;42;14;Fall;2024;2024-08-28;A;4,0
404;1018;36;21;Fall;2024;2024-08-28;A;4,0
405;1018;60;8;Fall;2024;2024-08-28;B-;2,7
406;1018;32;4;Spring;2023;2023-01-17;B;3,0
407;1018;6;17;Spring;2023;2023-01-17;B;3,0
408;1018;63;40;Spring;2023;2023-01-17;A;4,0
409;1018;40;5;Spring;2023;2023-01-17;A;4,0
410;1019;2;9;Fall;2020;2020-08-18;B;3,0
411;1019;56;31;Fall;2020;2020-08-18;D;1,0
412;1019;42;14;Fall;2020;2020-08-18;A;4,0
413;1019;26;28;Spring;2021;2021-01-23;C;2,0
414;1019;61;24;Spring;2021;2021-01-23;D;1,0
415;1019;50;31;Spring;2021;2021-01-23;B;3,0
416;1019;24;3;Fall;2024;2024-08-28;B;3,0
417;1019;30;28;Fall;2024;2024-08-28;C;2,0
418;1019;15;10;Fall;2024;2024-08-28;C+;2,3
419;1019;63;40;Fall;2020;2020-08-27;C+;2,3
420;1019;53;31;Fall;2020;2020-08-27;B-;2,7
421;1019;42;14;Fall;2020;2020-08-27;B+;3,3
422;1019;25;4;Fall;2023;2023-08-22;B;3,0
423;1019;9;18;Fall;2023;2023-08-22;A-;3,7
424;1019;6;17;Fall;2023;2023-08-22;B;3,0
425;1019;62;40;Fall;2024;2024-08-24;B-;2,7
426;1019;44;38;Fall;2024;2024-08-24;C+;2,3
427;1019;3;33;Fall;2024;2024-08-24;C;2,0
428;1019;13;26;Fall;2024;2024-08-28;C+;2,3
429;1019;54;31;Fall;2024;2024-08-28;B+;3,3
430;1019;12;10;Fall;2024;2024-08-28;C;2,0
431;1019;16;10;Spring;2020;2020-01-24;A-;3,7
432;1019;44;38;Spring;2020;2020-01-24;B+;3,3
433;1019;57;24;Spring;2020;2020-01-24;B+;3,3
434;1021;36;21;Spring;2020;2020-01-19;C;2,0
435;1021;25;4;Spring;2020;2020-01-19;B;3,0
436;1021;50;31;Spring;2020;2020-01-19;A-;3,7
437;1021;13;26;Spring;2020;2020-01-23;C;2,0
438;1021;19;27;Spring;2020;2020-01-23;A-;3,7
439;1021;45;30;Spring;2020;2020-01-23;B;3,0
440;1021;43;30;Spring;2021;2021-01-30;D;1,0
441;1021;38;13;Spring;2021;2021-01-30;B-;2,7
442;1021;2;9;Spring;2021;2021-01-30;B-;2,7
443;1021;31;20;Spring;2023;2023-01-21;B;3,0
444;1021;55;7;Spring;2023;2023-01-21;C;2,0
445;1021;63;40;Spring;2023;2023-01-21;B;3,0
446;1021;64;40;Spring;2021;2021-01-23;B;3,0
447;1021;25;4;Spring;2021;2021-01-23;B;3,0
448;1021;7;1;Spring;2021;2021-01-23;C+;2,3
449;1021;55;7;Fall;2022;2022-08-16;B-;2,7
450;1021;40;5;Fall;2022;2022-08-16;A;4,0
451;1021;23;19;Fall;2022;2022-08-16;A;4,0
452;1023;39;37;Spring;2023;2023-01-27;A;4,0
453;1023;21;19;Spring;2023;2023-01-27;B-;2,7
454;1023;15;10;Spring;2023;2023-01-27;B+;3,3
455;1023;45;30;Spring;2023;2023-01-27;A;4,0
456;1023;60;8;Spring;2023;2023-01-27;A-;3,7
457;1023;17;27;Spring;2021;2021-01-23;B+;3,3
458;1023;59;24;Spring;2021;2021-01-23;B+;3,3
459;1023;44;38;Spring;2021;2021-01-23;B+;3,3
460;1023;63;40;Spring;2021;2021-01-23;A-;3,7
461;1023;16;10;Spring;2021;2021-01-23;B+;3,3
462;1023;18;19;Spring;2021;2021-01-19;D;1,0
463;1023;52;23;Spring;2021;2021-01-19;A;4,0
464;1023;50;31;Spring;2021;2021-01-19;C+;2,3
465;1023;61;24;Spring;2021;2021-01-19;C+;2,3
466;1023;30;28;Spring;2021;2021-01-19;C+;2,3
467;1023;12;10;Fall;2024;2024-08-20;A;4,0
468;1023;8;1;Fall;2024;2024-08-20;B-;2,7
469;1023;39;37;Fall;2024;2024-08-20;C+;2,3
470;1023;14;2;Fall;2024;2024-08-20;B-;2,7
471;1023;34;13;Fall;2024;2024-08-20;A-;3,7
