date;day_of_week;visitors;page_views;catalog_clicks;cart_additions;purchases;total_revenue;is_holiday;marketing_spend
2024-06-28;5;6300;14489;2542;1062;325;763953,1;0;42213,43
2024-06-29;6;3607;9216;1564;586;186;515310,81;0;19401,88
2024-06-30;7;3302;8593;1357;492;189;468684,43;0;22163,33
2024-07-01;1;5202;13840;1905;739;279;754926,3;0;33006,66
2024-07-02;2;5788;12651;2080;768;317;737745,55;0;42546,67
2024-07-03;3;6680;15269;2408;966;373;844736,82;0;26984,81
2024-07-04;4;5754;14873;2229;944;299;671979,3;0;44971,24
2024-07-05;5;6027;15319;2406;753;348;862852,24;0;25826,93
2024-07-06;6;3965;8417;1588;655;228;616975,64;0;21296,14
2024-07-07;7;2980;7342;1247;489;168;392244,96;0;19064,11
2024-07-08;1;4706;12990;1709;654;235;532612,43;0;35535,2
2024-07-09;2;5529;14423;2152;847;310;780114,62;0;33747,42
2024-07-10;3;5340;13304;1921;674;280;703259,17;0;39930,57
2024-07-11;4;6187;15683;2734;1091;313;774262,41;0;35622,74
2024-07-12;5;5660;15702;2145;855;278;716660,05;0;31563,39
2024-07-13;6;4570;10014;2001;666;237;629957,96;0;21730,86
2024-07-14;7;3479;7981;1472;429;191;450297,44;0;27678,2
2024-07-15;1;5756;12774;2110;948;286;632555,71;0;26232,78
2024-07-16;2;4951;13542;2161;759;263;617083,87;0;34987,12
2024-07-17;3;6820;17044;2425;833;386;899450,73;0;25095,56
2024-07-18;4;6768;18094;2562;1149;379;944496,33;0;43770,63
2024-07-19;5;6384;13538;2808;973;336;932193,47;0;30695,98
2024-07-20;6;4134;9212;1807;512;199;455922,53;0;26366,95
2024-07-21;7;2798;7678;1169;450;161;359747,2;0;26640,35
2024-07-22;1;5905;14950;2338;716;293;806481,97;0;44572,18
2024-07-23;2;5792;15806;2304;750;282;761313,86;0;43758,52
2024-07-24;3;5910;12935;2568;830;312;872327,29;0;38560,34
2024-07-25;4;6767;15543;2542;931;365;1008302,65;0;38706,45
2024-07-26;5;5449;13891;1982;793;309;725951,3;0;36162,25
2024-07-27;6;3699;7994;1320;490;194;533289,59;0;22376,1
2024-07-28;7;3306;8229;1205;490;163;388834,04;0;18910,92
2024-07-29;1;4854;11457;2002;622;261;612185,62;0;26324,76
