date;checkout_conversion_rate;product_page_conversion;avg_order_value;email_open_rate;email_ctr;daily_sessions;daily_orders
2024-11-05;7.49;11.77;2075.0;15.4;2.24;6071;382
2024-11-06;7.61;12.46;3274.0;16.06;3.69;5106;342
2024-11-07;7.77;11.41;2000.0;13.5;4.29;5815;362
2024-11-08;10.62;14.57;7978.0;18.72;3.1;3735;267
2024-11-09;10.07;11.92;2000.0;15.22;2.33;5849;441
2024-11-10;9.76;17.48;3785.0;14.79;4.42;4931;307
2024-11-11;8.26;10.11;2000.0;18.33;4.73;3381;419
2024-11-12;7.67;10.95;2650.0;14.79;3.24;3835;398
2024-11-13;8.44;11.48;2241.0;15.36;3.8;4900;311
2024-11-14;8.63;13.62;2000.0;17.58;2.67;4956;326
2024-11-15;7.13;9.76;3744.0;17.01;2.48;5010;263
2024-11-16;9.68;10.79;2766.0;16.59;2.51;4192;450
2024-11-17;8.93;15.88;2098.0;17.55;4.35;2522;324
2024-11-18;9.24;11.56;3902.0;15.3;3.27;4375;461
2024-11-19;8.82;12.73;2885.0;15.53;2.85;4815;350
2024-11-20;11.09;20.6;4552.0;15.85;4.16;4173;237
2024-11-21;9.02;9.95;2963.0;16.54;4.54;4761;364
2024-11-22;13.74;10.38;4006.0;18.03;2.02;5415;403
2024-11-23;11.46;19.21;6849.0;16.86;3.4;4132;320
2024-11-24;13.74;14.59;3776.0;15.55;3.58;4766;452
2024-11-25;9.81;14.27;2148.0;15.62;3.5;5105;315
2024-11-26;12.01;18.66;3957.0;20.22;2.58;3504;255
2024-11-27;13.01;16.77;3348.0;17.05;2.3;6456;389
2024-11-28;10.8;16.96;4045.0;16.94;2.57;4877;511
2024-11-29;14.68;22.2;2962.0;14.54;3.1;4544;456
2024-11-30;9.12;22.0;3456.0;15.65;2.39;3176;437
