user_id;test_group;converted;order_amount;age_group;gender;city;device_type;traffic_source
10061;A;1;1688.04;18-25;F;СПб;mobile;organic
10062;A;1;2769.97;18-25;F;Другие;mobile;organic
10063;A;1;3682.28;36-45;M;СПб;desktop;paid
10064;A;1;5251.35;26-35;F;Москва;desktop;social
10065;A;1;3624.38;36-45;F;СПб;desktop;direct
10066;A;1;3896.9;46+;M;Екатеринбург;desktop;direct
10067;A;1;1506.35;26-35;F;Другие;mobile;paid
10068;A;1;2227.81;46+;F;Екатеринбург;mobile;social
10069;A;1;4210.56;26-35;M;СПб;mobile;direct
10070;A;1;3124.2;46+;F;СПб;mobile;organic
10071;A;1;2949.16;26-35;M;Другие;desktop;paid
10072;A;1;4306.89;46+;F;Другие;mobile;paid
10073;A;1;1708.39;46+;F;Другие;desktop;paid
10074;A;1;1619.22;36-45;M;Москва;mobile;social
10075;A;1;5897.67;46+;F;Другие;desktop;organic
10076;A;1;1676.4;18-25;M;Москва;mobile;paid
10077;A;1;1466.96;36-45;F;Другие;desktop;organic
10078;A;1;1370.8;26-35;M;Екатеринбург;mobile;organic
10079;A;1;1831.0;18-25;M;Москва;desktop;paid
10080;A;1;1197.68;26-35;M;СПб;mobile;paid
10081;A;1;3395.72;36-45;F;Другие;desktop;paid
10082;A;1;2253.92;46+;F;Москва;mobile;direct
10083;A;1;2203.56;26-35;M;Другие;desktop;social
10084;A;1;5641.78;26-35;F;Другие;mobile;organic
10085;A;1;6232.27;26-35;F;Екатеринбург;mobile;organic
10086;A;1;2767.42;36-45;F;Другие;mobile;direct
10087;A;1;2082.17;26-35;M;Другие;desktop;direct
10088;A;1;4070.86;26-35;M;СПб;mobile;organic
10089;A;1;2846.06;36-45;M;Другие;mobile;organic
10090;A;1;2914.11;36-45;M;Москва;desktop;organic
10091;A;1;2976.62;26-35;F;Екатеринбург;mobile;direct
10092;A;1;6124.48;46+;F;Другие;desktop;organic
10093;A;1;5008.67;46+;M;СПб;mobile;organic
10094;A;1;3081.45;18-25;F;СПб;mobile;direct
10095;A;1;2665.3;26-35;F;Другие;desktop;organic
10096;A;1;1700.42;26-35;M;Другие;tablet;organic
10097;A;1;1941.49;26-35;F;Другие;desktop;direct
10098;A;1;2563.92;26-35;M;Москва;desktop;social
10099;A;1;2548.15;46+;F;Другие;mobile;organic
10100;A;1;7495.22;18-25;M;Другие;mobile;organic
10101;A;1;3865.26;18-25;M;СПб;mobile;direct
10102;A;1;5516.93;18-25;F;Другие;mobile;organic
10103;A;1;2466.21;26-35;M;Екатеринбург;desktop;direct
10104;A;1;4651.36;26-35;F;Другие;desktop;organic
10105;A;1;2635.83;36-45;F;Екатеринбург;mobile;organic
10106;A;1;3553.66;36-45;M;Екатеринбург;mobile;paid
10107;A;1;2982.92;18-25;F;Москва;mobile;organic
10108;A;1;2708.76;26-35;M;Москва;mobile;social
10109;A;1;2880.69;36-45;M;Москва;desktop;social
10110;A;1;6748.29;36-45;F;Другие;desktop;direct
10111;A;1;3120.25;46+;F;Екатеринбург;desktop;organic
10112;A;1;3190.62;26-35;M;Другие;mobile;paid
10113;A;1;2801.31;46+;F;Другие;desktop;direct
10114;A;1;4510.97;36-45;M;Москва;desktop;direct
10115;A;1;1571.56;26-35;M;Москва;tablet;organic
10116;A;1;2221.03;36-45;F;Другие;desktop;organic
10117;A;1;3334.84;36-45;M;Другие;desktop;social
10118;A;1;2337.16;36-45;F;Другие;mobile;direct
10119;A;1;3444.46;36-45;M;Москва;mobile;paid
10120;A;1;3397.27;36-45;F;Екатеринбург;mobile;paid
10121;A;1;5626.41;36-45;F;Москва;mobile;organic
10122;A;1;5468.18;46+;M;Москва;mobile;organic
10123;A;1;7078.14;36-45;F;Москва;desktop;paid
10124;A;1;3343.23;26-35;M;Другие;desktop;organic
10125;A;1;2661.76;46+;F;Москва;mobile;direct
10126;A;1;3227.11;36-45;F;Другие;desktop;organic
10127;A;1;3072.77;46+;F;Москва;desktop;organic
10128;A;1;5123.11;18-25;M;Москва;mobile;paid
10129;A;1;5028.81;26-35;M;Екатеринбург;mobile;direct
10130;A;1;5131.93;26-35;M;Другие;desktop;direct
10131;A;1;2253.46;26-35;M;Москва;mobile;direct
10132;A;1;1935.99;36-45;F;Москва;mobile;direct
10133;A;1;4230.55;46+;M;Екатеринбург;desktop;organic
10134;A;1;5330.0;18-25;F;Другие;tablet;paid
10135;A;1;9656.03;36-45;F;СПб;mobile;organic
10136;A;1;2074.56;26-35;F;Другие;mobile;organic
10137;A;1;4050.08;26-35;M;Екатеринбург;desktop;organic
10138;A;1;3662.1;26-35;M;Москва;mobile;organic
10139;A;1;4564.28;26-35;M;Москва;mobile;direct
10140;A;1;5886.46;26-35;M;Другие;desktop;organic
10141;A;1;1338.43;18-25;M;Москва;desktop;social
10142;A;1;8229.05;18-25;F;Другие;desktop;social
10143;A;1;1818.46;26-35;M;Екатеринбург;desktop;social
10144;A;1;3377.76;26-35;F;СПб;desktop;organic
10145;A;1;3647.85;36-45;M;Москва;mobile;direct
10146;A;1;2332.83;46+;F;Другие;desktop;social
10147;A;1;2504.4;26-35;M;Москва;desktop;paid
10148;A;1;4417.82;26-35;M;СПб;desktop;social
10149;A;1;3955.59;26-35;M;Другие;mobile;social
10150;A;1;5066.67;36-45;M;Москва;mobile;paid
10151;A;1;3130.86;26-35;M;Другие;desktop;direct
10152;A;1;2474.35;46+;F;СПб;mobile;direct
10153;A;1;777.39;18-25;M;Другие;desktop;social
10154;A;1;2945.86;26-35;F;СПб;desktop;organic
10155;A;1;2948.73;46+;M;Екатеринбург;desktop;paid
10156;A;1;5403.31;26-35;F;Москва;tablet;organic
10157;A;1;5345.87;36-45;F;Екатеринбург;mobile;organic
10158;A;1;1500.44;36-45;F;Другие;mobile;direct
10159;A;1;1915.03;26-35;F;Другие;mobile;direct
10160;A;1;3284.85;36-45;F;Москва;desktop;organic
10161;A;1;6095.56;36-45;M;Екатеринбург;mobile;organic
10162;A;1;5870.72;36-45;F;Другие;desktop;social
10163;A;1;2664.46;26-35;M;Другие;mobile;paid
10164;A;1;2144.55;46+;M;Другие;mobile;paid
10165;A;1;2108.97;26-35;M;Екатеринбург;desktop;direct
10166;A;1;4206.32;36-45;M;Другие;mobile;direct
10167;A;1;3520.38;26-35;M;СПб;mobile;social
10168;A;1;3409.64;18-25;F;СПб;desktop;direct
10169;A;1;4946.05;46+;M;Другие;desktop;paid
10170;A;1;3578.21;36-45;M;Москва;mobile;paid
10171;A;1;8346.08;18-25;M;Москва;mobile;social
10172;A;1;3604.62;18-25;F;Москва;desktop;social
10173;A;1;4199.24;18-25;M;Москва;mobile;organic
10174;A;1;4091.86;18-25;F;Екатеринбург;mobile;direct
10175;A;1;2318.86;26-35;M;Москва;tablet;paid
10176;A;1;3184.99;26-35;F;Другие;desktop;organic
10177;A;1;4191.42;46+;F;Москва;mobile;paid
10178;A;1;2735.07;36-45;F;Другие;desktop;organic
10179;A;1;2908.39;46+;F;СПб;desktop;organic
10180;A;1;1123.05;18-25;M;Екатеринбург;desktop;organic
10181;A;1;5277.29;36-45;M;Другие;desktop;paid
10182;A;1;3287.75;26-35;M;СПб;desktop;social
10183;A;1;6719.18;18-25;F;СПб;mobile;direct
10184;A;1;3094.77;18-25;M;Москва;desktop;organic
10185;A;1;2515.34;26-35;F;Другие;desktop;organic
10186;A;1;4884.8;36-45;M;Другие;desktop;paid
10187;A;1;4634.21;18-25;F;СПб;desktop;social
10188;A;1;1049.91;26-35;F;Другие;mobile;organic
10189;A;1;2230.73;26-35;F;Москва;tablet;direct
10190;A;1;2878.8;36-45;F;Москва;mobile;direct
10191;A;1;2787.33;26-35;F;Москва;desktop;paid
10192;A;1;3194.17;26-35;M;Другие;mobile;direct
10193;A;1;4853.63;18-25;M;СПб;mobile;social
10194;A;1;4892.5;36-45;M;СПб;desktop;paid
10195;A;1;2165.55;36-45;F;Москва;mobile;direct
10196;A;1;3464.52;46+;F;СПб;mobile;organic
10197;A;1;3091.06;36-45;M;СПб;mobile;organic
10198;A;1;5357.83;46+;M;Екатеринбург;mobile;paid
10199;A;1;3194.62;26-35;F;СПб;mobile;paid
10200;A;1;2764.13;26-35;F;Другие;desktop;paid
10201;A;1;4428.04;18-25;F;Москва;desktop;organic
10202;A;1;2324.06;18-25;F;Другие;mobile;organic
10203;A;1;2079.35;46+;M;Москва;tablet;organic
10204;A;1;3643.3;26-35;M;Москва;mobile;paid
10205;A;1;4609.72;46+;F;Москва;mobile;direct
10206;A;1;3812.49;26-35;M;СПб;mobile;paid
10207;A;1;2792.1;36-45;M;Другие;mobile;organic
10208;A;1;932.23;46+;M;Другие;desktop;organic
10209;A;1;2377.66;36-45;M;Екатеринбург;tablet;direct
10210;A;1;2406.62;26-35;M;Другие;desktop;organic
10211;A;1;3052.14;26-35;M;Москва;mobile;direct
10212;A;1;4869.31;26-35;F;Москва;mobile;direct
10213;A;1;5518.28;46+;M;Другие;desktop;paid
10214;A;1;1247.61;18-25;M;СПб;desktop;organic
10215;A;1;2952.01;18-25;M;Другие;tablet;direct
10216;A;1;2149.3;26-35;M;Другие;desktop;direct
10217;A;1;1435.81;18-25;M;Другие;mobile;direct
10218;A;1;1059.23;18-25;M;СПб;mobile;direct
10219;A;1;10057.07;26-35;M;СПб;desktop;direct
10220;A;1;2771.66;26-35;M;Екатеринбург;mobile;organic
10221;A;1;5685.17;36-45;M;Екатеринбург;desktop;direct
10222;A;1;1556.79;36-45;M;Москва;desktop;organic
10223;A;1;2216.55;36-45;F;Другие;mobile;organic
10224;A;1;1587.63;26-35;F;Другие;mobile;organic
10225;A;1;3118.11;26-35;M;Екатеринбург;desktop;direct
10226;A;1;2383.84;46+;M;Другие;desktop;direct
10227;A;1;1977.67;26-35;M;Другие;mobile;organic
10228;A;1;4014.19;36-45;F;Другие;desktop;social
10229;A;1;2806.95;26-35;F;Другие;desktop;direct
10230;A;1;5004.01;26-35;F;Другие;mobile;direct
10231;A;1;5303.92;26-35;M;Другие;desktop;organic
10232;A;1;1718.2;36-45;F;Другие;desktop;organic
10233;A;1;4589.75;26-35;F;Москва;mobile;organic
10234;A;1;3300.35;36-45;F;Москва;mobile;organic
10235;A;1;1698.9;46+;F;Другие;mobile;paid
10236;A;1;2462.22;26-35;M;Москва;mobile;organic
10237;A;1;2538.84;26-35;M;СПб;mobile;social
10238;A;1;6465.84;18-25;F;Екатеринбург;desktop;organic
10239;A;1;3170.63;18-25;M;Другие;mobile;organic
10240;A;1;2016.51;46+;M;Другие;tablet;paid
10241;A;1;2569.12;18-25;F;Другие;mobile;organic
10242;A;1;2217.14;36-45;F;СПб;desktop;social
10243;A;1;12497.72;18-25;F;Москва;desktop;direct
10244;A;1;3213.48;26-35;M;Другие;desktop;organic
10245;A;1;2597.28;26-35;M;Другие;mobile;organic
10246;A;1;3649.18;26-35;F;Другие;desktop;direct
10247;A;1;6889.48;26-35;M;Другие;mobile;social
10248;A;1;2864.66;18-25;F;Екатеринбург;mobile;paid
10249;A;1;3697.49;26-35;M;СПб;desktop;direct
10250;A;1;2075.07;26-35;M;СПб;desktop;direct
10251;A;1;5099.11;36-45;F;СПб;desktop;organic
10252;A;1;1429.01;26-35;M;Москва;desktop;direct
10253;A;1;7936.58;46+;F;Москва;mobile;direct
10254;A;1;3397.7;26-35;M;СПб;tablet;paid
10255;A;1;4407.3;18-25;M;Другие;tablet;organic
10256;A;1;4071.11;36-45;M;Москва;desktop;paid
10257;A;1;1802.28;26-35;F;Екатеринбург;desktop;paid
10258;A;1;5228.88;36-45;F;Другие;mobile;paid
10259;A;1;7768.45;36-45;F;Другие;desktop;organic
10260;A;1;2977.4;26-35;M;Москва;desktop;organic
10261;A;1;2272.63;26-35;F;Другие;desktop;direct
10262;A;1;2247.58;36-45;M;Екатеринбург;desktop;organic
10263;A;1;2099.0;26-35;F;Другие;desktop;direct
10264;A;1;2393.0;26-35;F;Другие;mobile;paid
10265;A;1;3879.07;36-45;F;СПб;desktop;paid
10266;A;1;3170.12;36-45;M;Москва;tablet;paid
10267;A;1;1546.28;36-45;M;Москва;mobile;organic
10268;A;1;2857.49;46+;M;Екатеринбург;mobile;paid
10269;A;1;2620.16;18-25;M;СПб;mobile;paid
10270;A;1;2660.1;36-45;M;Другие;mobile;direct
10271;A;1;1796.9;18-25;M;Москва;mobile;paid
10272;A;1;2126.25;18-25;F;Другие;mobile;social
10273;A;1;3296.89;26-35;F;Другие;desktop;organic
10274;A;1;3969.47;26-35;F;Екатеринбург;desktop;direct
10275;A;1;3634.33;18-25;M;Москва;mobile;organic
10276;A;1;1234.05;26-35;M;Москва;desktop;organic
10277;A;1;3736.26;36-45;M;Другие;desktop;organic
10278;A;1;4080.62;18-25;M;Москва;desktop;direct
10279;A;1;3059.46;36-45;F;Другие;tablet;direct
10280;A;1;3264.12;26-35;F;Другие;mobile;paid
10281;A;1;2734.41;26-35;F;Москва;mobile;social
10282;A;1;4843.77;18-25;M;Москва;mobile;social
10283;A;1;2533.77;18-25;M;Другие;mobile;organic
10284;A;1;1282.72;46+;M;Екатеринбург;mobile;organic
10285;A;1;1621.29;36-45;F;Другие;mobile;organic
10286;A;1;5350.57;18-25;M;Другие;desktop;direct
10287;A;1;2155.09;36-45;F;Москва;desktop;paid
10288;A;1;3973.69;26-35;M;Екатеринбург;desktop;direct
10289;A;1;2092.57;18-25;F;Екатеринбург;mobile;paid
10290;A;1;2218.09;18-25;F;Другие;desktop;social
10291;A;1;9219.58;18-25;M;СПб;desktop;direct
10292;A;1;2602.19;36-45;M;Москва;desktop;direct
10293;A;1;3334.62;36-45;M;Москва;mobile;organic
10294;A;1;5020.99;36-45;F;Другие;mobile;organic
10295;A;1;5390.11;46+;F;Москва;desktop;paid
10296;A;1;2831.67;26-35;F;Другие;desktop;direct
10297;A;1;4356.0;36-45;M;СПб;tablet;paid
10298;A;1;2011.03;46+;M;Москва;desktop;organic
10299;A;1;1543.22;36-45;M;Москва;mobile;organic
10300;A;1;2443.57;18-25;F;Другие;mobile;organic
10301;A;1;3808.12;46+;M;Другие;mobile;organic
10302;A;1;8382.36;18-25;M;Другие;desktop;paid
10303;A;1;1196.88;36-45;F;Другие;desktop;paid
10304;A;1;3482.33;18-25;F;Москва;mobile;organic
10305;A;1;3893.64;26-35;M;Другие;desktop;social
10306;A;1;3723.68;18-25;M;Другие;mobile;social
10307;A;1;5883.27;26-35;F;Москва;desktop;paid
10308;A;1;6999.14;26-35;F;Другие;desktop;direct
10309;A;1;3133.31;26-35;M;СПб;mobile;direct
10310;A;1;3394.9;18-25;F;СПб;mobile;organic
10311;A;1;3718.6;36-45;F;СПб;mobile;direct
10312;A;1;4273.29;46+;F;Другие;desktop;paid
10313;A;1;4598.56;46+;M;СПб;desktop;direct
10314;A;1;2648.38;26-35;F;Другие;mobile;direct
10315;A;1;4437.91;26-35;M;СПб;desktop;organic
10316;A;1;2270.0;26-35;M;Другие;mobile;paid
10317;A;1;3471.81;18-25;F;Другие;desktop;paid
10318;A;1;6718.53;36-45;M;Другие;desktop;organic
10319;A;1;4230.3;18-25;F;Москва;desktop;direct
10320;A;1;1791.58;26-35;F;СПб;desktop;social
10321;A;1;1617.7;26-35;F;Другие;mobile;organic
10322;A;1;7171.62;26-35;M;СПб;desktop;organic
10323;A;1;4388.0;18-25;F;Екатеринбург;mobile;direct
10324;A;1;2686.68;18-25;F;Другие;desktop;direct
10325;A;1;5679.25;18-25;M;Другие;desktop;organic
10326;A;1;2867.08;46+;F;Москва;mobile;organic
10327;A;1;3574.14;26-35;F;Москва;mobile;direct
10328;A;1;3725.38;18-25;F;Москва;desktop;organic
10329;A;1;5717.34;26-35;F;Москва;mobile;direct
10330;A;1;3978.76;26-35;F;Екатеринбург;desktop;organic
10331;A;1;5318.42;26-35;M;Москва;desktop;social
10332;A;1;2862.03;36-45;F;Другие;desktop;paid
10333;A;1;3088.77;18-25;M;Другие;mobile;organic
10334;A;1;7721.72;18-25;F;Другие;mobile;organic
10335;A;1;4392.93;18-25;M;Другие;desktop;organic
10336;A;1;2509.02;36-45;F;Другие;desktop;direct
10337;A;1;1678.11;26-35;F;СПб;desktop;paid
10338;A;1;3921.44;36-45;M;Другие;mobile;organic
10339;A;1;1792.05;26-35;F;Москва;desktop;paid
10340;A;1;2044.74;26-35;M;СПб;mobile;paid
10341;A;1;4602.56;36-45;M;Другие;desktop;paid
10342;A;1;2021.99;46+;M;Екатеринбург;mobile;paid
10343;A;1;6102.17;36-45;M;СПб;desktop;direct
10344;A;1;3851.95;36-45;M;СПб;mobile;paid
10345;A;1;3783.27;26-35;M;Москва;desktop;organic
10346;A;1;4999.29;26-35;M;Другие;desktop;paid
10347;A;1;1847.26;26-35;F;Другие;mobile;direct
10348;A;1;1838.48;36-45;F;Москва;desktop;paid
10349;A;1;4258.35;26-35;F;Москва;mobile;direct
10350;A;1;1332.98;36-45;F;Москва;desktop;organic
10351;A;1;2082.54;26-35;M;Москва;mobile;organic
10352;A;1;5422.25;46+;M;СПб;mobile;organic
10353;A;1;3928.97;46+;M;Другие;desktop;paid
10354;A;1;3388.56;26-35;M;Москва;mobile;social
10355;A;1;3552.96;26-35;F;Москва;desktop;organic
10356;A;1;2364.13;36-45;M;Москва;desktop;paid
10357;A;1;3416.82;26-35;M;Москва;mobile;organic
10358;A;1;5557.16;18-25;M;СПб;mobile;paid
10359;A;1;3584.95;46+;F;Другие;mobile;direct
10360;A;1;4731.27;26-35;M;СПб;mobile;direct
10361;A;1;1953.85;26-35;M;Другие;mobile;organic
10362;A;1;3307.39;26-35;F;Другие;mobile;social
10363;A;1;6085.98;26-35;F;СПб;desktop;direct
10364;A;1;1990.85;18-25;F;Екатеринбург;desktop;organic
10365;A;1;2608.67;36-45;M;Екатеринбург;mobile;organic
10366;A;1;1838.83;36-45;M;Другие;desktop;paid
10367;A;1;4085.67;18-25;M;Екатеринбург;desktop;organic
10368;A;1;4339.06;26-35;F;Москва;desktop;paid
10369;A;1;6881.69;26-35;M;Москва;tablet;organic
10370;A;1;4133.53;36-45;F;Другие;mobile;organic
10371;A;1;2470.51;18-25;M;Другие;desktop;organic
10372;A;1;2286.47;18-25;M;СПб;desktop;paid
10373;A;1;2086.44;36-45;F;Другие;desktop;direct
10374;A;1;2609.62;46+;F;Другие;mobile;paid
10375;A;1;5863.15;36-45;M;Другие;desktop;paid
10376;A;1;2587.29;36-45;F;Другие;mobile;paid
10377;A;1;2312.1;18-25;F;Другие;desktop;paid
10378;A;1;8810.9;18-25;F;Москва;desktop;paid
10379;A;1;4678.68;18-25;F;Екатеринбург;mobile;organic
10380;A;1;1448.49;26-35;F;Москва;mobile;paid
10381;A;1;6035.79;36-45;F;Екатеринбург;desktop;paid
10382;A;1;2908.61;46+;F;Екатеринбург;mobile;paid
10383;A;1;2798.09;26-35;F;СПб;desktop;paid
10384;A;1;2081.54;36-45;F;СПб;desktop;direct
10385;A;1;1776.07;18-25;M;Другие;mobile;organic
10386;A;1;3240.99;36-45;M;Москва;mobile;paid
10387;A;1;2496.18;46+;M;Екатеринбург;desktop;social
10388;A;1;2104.19;26-35;M;Другие;mobile;direct
10389;A;1;3579.58;26-35;M;СПб;desktop;organic
10390;A;1;4677.88;36-45;F;Другие;tablet;direct
10391;A;1;4544.77;36-45;F;СПб;mobile;social
10392;A;1;4120.07;18-25;M;СПб;tablet;organic
10393;A;1;4764.59;36-45;F;СПб;desktop;social
10394;A;1;2408.95;46+;M;Екатеринбург;desktop;paid
10395;A;1;3212.6;26-35;F;Екатеринбург;desktop;direct
10396;A;1;1621.22;18-25;M;СПб;desktop;paid
10397;A;1;2694.46;26-35;M;Другие;mobile;social
10398;A;1;2843.89;36-45;M;Москва;tablet;direct
10399;A;1;4342.27;26-35;F;Москва;mobile;paid
10400;A;1;4585.0;26-35;F;СПб;mobile;social
10401;A;1;3502.61;26-35;M;СПб;desktop;direct
10402;A;1;4505.56;26-35;F;Другие;desktop;social
10403;A;1;4034.41;46+;M;Другие;desktop;paid
10404;A;1;4216.94;26-35;M;СПб;desktop;paid
10405;A;1;4582.88;46+;M;Москва;mobile;social
10406;A;1;5300.09;36-45;F;СПб;desktop;paid
10407;A;1;4250.12;18-25;F;Другие;mobile;direct
10408;A;1;4284.31;26-35;M;Другие;desktop;social
10409;A;1;2628.84;36-45;M;Екатеринбург;desktop;direct
10410;A;1;1392.04;18-25;M;Екатеринбург;mobile;organic
10411;A;1;2406.19;26-35;F;Москва;mobile;direct
10412;A;1;1818.33;18-25;M;Другие;desktop;paid
10413;A;1;4392.74;46+;M;Другие;tablet;organic
10414;A;1;10256.78;46+;F;Другие;desktop;direct
10415;A;1;3262.36;26-35;M;СПб;mobile;organic
10416;A;1;3519.3;36-45;M;СПб;desktop;social
10417;A;1;3229.14;26-35;M;СПб;mobile;organic
10418;A;1;7062.43;36-45;F;Другие;mobile;paid
10419;A;1;4099.51;26-35;F;Другие;desktop;social
10420;A;1;7851.3;18-25;M;СПб;mobile;social
10421;A;1;5527.4;18-25;F;Другие;mobile;social
10422;A;1;2666.26;26-35;M;СПб;mobile;social
10423;A;1;3019.11;26-35;F;Москва;mobile;direct
10424;A;1;2203.14;36-45;F;Екатеринбург;desktop;direct
10425;A;1;5161.31;26-35;M;СПб;mobile;organic
10426;A;1;1525.58;26-35;M;Другие;mobile;direct
10427;A;1;6828.0;26-35;F;Москва;desktop;organic
10428;A;1;1363.55;18-25;M;Екатеринбург;mobile;organic
10429;A;1;2211.67;26-35;M;Екатеринбург;desktop;direct
10430;A;1;3657.4;36-45;M;Другие;desktop;organic
10431;A;1;1604.04;46+;M;Другие;mobile;paid
10432;A;1;2688.62;18-25;M;Другие;desktop;organic
10433;A;1;6444.61;26-35;F;Другие;desktop;organic
10434;A;1;2680.28;26-35;M;СПб;desktop;direct
10435;A;1;1347.57;26-35;F;Екатеринбург;mobile;paid
10436;A;1;4063.34;26-35;M;Другие;mobile;organic
10437;A;1;1977.04;36-45;M;Другие;mobile;organic
10438;A;1;1227.52;46+;F;СПб;desktop;paid
10439;A;1;5406.4;46+;F;Другие;mobile;organic
10440;A;1;1816.39;46+;F;СПб;desktop;organic
10441;A;1;5619.34;46+;M;Другие;mobile;direct
10442;A;1;2722.74;26-35;M;Другие;mobile;paid
10443;A;1;3346.75;36-45;F;Другие;mobile;paid
10444;A;1;2873.43;36-45;M;Екатеринбург;desktop;direct
10445;A;1;2088.84;26-35;M;СПб;mobile;organic
10446;A;1;2798.66;26-35;M;Другие;mobile;direct
10447;A;1;5198.89;26-35;M;Москва;desktop;direct
10448;A;1;8370.3;18-25;F;Москва;desktop;direct
10449;A;1;724.07;26-35;F;Екатеринбург;mobile;paid
10450;A;1;2559.01;26-35;M;Другие;mobile;organic
10451;A;1;5861.01;46+;M;Москва;desktop;paid
10452;A;1;1851.99;18-25;F;Другие;desktop;paid
10453;A;1;7120.28;26-35;M;СПб;desktop;direct
10454;A;1;2382.23;26-35;M;Екатеринбург;mobile;organic
10455;A;1;2361.52;36-45;F;Екатеринбург;mobile;paid
10456;A;1;6416.45;26-35;F;Другие;desktop;organic
10457;A;1;1742.78;46+;F;Другие;mobile;paid
10458;A;1;3172.13;36-45;F;Москва;mobile;organic
10459;A;1;4933.19;46+;F;Другие;mobile;organic
10460;A;1;1654.48;36-45;M;Москва;mobile;direct
10461;A;1;1272.65;46+;M;Москва;desktop;organic
10462;A;1;5058.32;36-45;M;Москва;mobile;direct
10463;A;1;5115.64;36-45;M;Москва;mobile;organic
10464;A;1;3379.62;46+;M;Другие;mobile;direct
10465;A;1;2035.28;36-45;M;Другие;desktop;organic
10466;A;1;2900.99;18-25;M;Екатеринбург;desktop;paid
10467;A;1;7835.76;26-35;F;Другие;mobile;organic
10468;A;1;2258.22;36-45;M;Москва;desktop;paid
10469;A;1;2891.7;36-45;M;Екатеринбург;desktop;social
10470;A;1;4001.11;26-35;F;СПб;desktop;organic
10471;A;1;2932.8;18-25;F;Москва;mobile;organic
10472;A;1;759.89;18-25;F;Другие;mobile;direct
10473;A;1;4242.83;26-35;F;Другие;desktop;organic
10474;A;1;6549.88;26-35;M;Москва;desktop;direct
