customer_id;recency;frequency;monetary;first_purchase_date;last_purchase_date;customer_lifetime_days;avg_days_between_purchases;avg_transaction_amount;purchase_trend;spending_trend;is_active_customer;acquisition_channel;favorite_category;registration_month;user_profile
45;601;18;10661,29;2022-01-05;2022-06-06;587;19,94;140,88;-0,90;0,68;False;Контекстная реклама;Одежда;2022-01;Лояльные
46;316;35;7259,27;2022-01-06;2022-06-06;679;142,65;226,82;0,67;0,46;True;Контекстная реклама;Спорт;2022-01;Новые
47;14;53;7828,84;2022-01-06;2022-06-06;495;81,76;276,35;-0,87;-0,07;True;Социальные сети;Одежда;2022-01;Чемпионы
48;242;26;14629,91;2022-01-06;2022-06-06;317;58,17;159,54;0,77;0,82;False;Email;Книги;2022-01;Потерянные
49;346;16;14488,27;2022-01-06;2022-06-06;441;5,66;176,22;-0,75;-0,39;False;Контекстная реклама;Дом и сад;2022-01;Рискующие
50;565;6;3268,27;2022-01-06;2022-06-06;429;145,37;276,34;-0,87;0,51;False;Органика;Одежда;2022-01;Новые
51;340;44;12176,01;2022-01-06;2022-06-07;557;167,59;382,64;0,13;-0,05;False;Контекстная реклама;Электроника;2022-01;Рискующие
52;92;43;2998,78;2022-01-06;2022-06-07;47;82,03;295,92;0,00;0,80;False;Рефералы;Дом и сад;2022-01;Потенциальные
53;367;47;3242,39;2022-01-06;2022-06-07;165;115,02;330,53;-0,02;0,59;True;Органика;Книги;2022-01;Новые
54;455;47;10157,59;2022-01-06;2022-06-07;493;49,40;197,38;0,15;0,80;False;Email;Электроника;2022-01;Потенциальные
55;428;48;6104,77;2022-01-07;2022-06-07;277;126,33;167,12;-0,43;-0,57;False;Социальные сети;Дом и сад;2022-01;Чемпионы
56;509;42;13976,59;2022-01-07;2022-06-07;30;7,37;225,37;0,33;0,34;False;Органика;Спорт;2022-01;Чемпионы
57;35;12;1380,70;2022-01-07;2022-06-07;410;100,29;338,28;0,00;0,48;True;Контекстная реклама;Дом и сад;2022-01;Чемпионы
58;206;13;7697,31;2022-01-07;2022-06-07;538;130,62;226,02;-0,33;0,48;False;Социальные сети;Электроника;2022-01;Чемпионы
59;81;4;13781,90;2022-01-07;2022-06-07;489;184,05;350,95;0,65;0,01;False;Социальные сети;Одежда;2022-01;Потенциальные
60;562;39;13566,50;2022-01-07;2022-06-08;534;79,36;396,41;0,46;-0,98;False;Социальные сети;Одежда;2022-01;Потенциальные
61;388;54;2390,11;2022-01-07;2022-06-08;505;154,21;103,05;-0,21;-0,48;False;Социальные сети;Дом и сад;2022-01;Потерянные
62;2;2;5531,23;2022-01-07;2022-06-08;586;121,55;94,53;0,70;-0,35;True;Email;Дом и сад;2022-01;Лояльные
63;390;26;9305,86;2022-01-08;2022-06-08;61;185,77;127,87;0,84;0,70;False;Email;Книги;2022-01;Лояльные
64;566;27;2432,95;2022-01-08;2022-06-08;147;82,68;203,00;0,07;0,68;False;Email;Спорт;2022-01;Потенциальные
65;106;27;14521,93;2022-01-08;2022-06-08;213;67,22;121,93;-0,57;-0,79;False;Контекстная реклама;Книги;2022-01;Чемпионы
66;477;15;13725,50;2022-01-08;2022-06-08;220;177,99;358,61;0,83;0,90;False;Email;Книги;2022-01;Лояльные
67;402;8;2545,91;2022-01-08;2022-06-08;103;14,60;87,41;-0,62;-0,64;True;Социальные сети;Одежда;2022-01;Новые
68;556;7;1861,27;2022-01-08;2022-06-09;652;31,60;181,05;-0,90;-0,17;True;Органика;Одежда;2022-01;Потенциальные
69;162;47;1326,86;2022-01-08;2022-06-09;132;21,07;139,10;-0,35;-0,57;False;Органика;Электроника;2022-01;Новые
70;202;46;13646,18;2022-01-08;2022-06-09;615;169,41;378,09;0,45;0,72;False;Органика;Книги;2022-01;Чемпионы
71;270;40;2944,68;2022-01-08;2022-06-09;449;7,07;294,23;0,85;0,50;True;Органика;Электроника;2022-01;Потерянные
72;271;12;6273,46;2022-01-09;2022-06-09;502;173,02;371,85;0,27;-0,29;True;Органика;Дом и сад;2022-01;Потенциальные
73;456;13;6760,33;2022-01-09;2022-06-09;143;93,00;391,15;0,90;0,36;False;Рефералы;Электроника;2022-01;Лояльные
74;462;43;9005,22;2022-01-09;2022-06-09;408;5,78;239,07;-0,82;-0,63;False;Органика;Одежда;2022-01;Потерянные
75;252;17;1122,44;2022-01-09;2022-06-09;342;83,32;154,98;-0,88;-0,24;False;Органика;Книги;2022-01;Лояльные
76;296;17;3440,04;2022-01-09;2022-06-10;359;41,43;141,99;0,21;-0,25;False;Органика;Одежда;2022-01;Новые
77;338;36;13975,78;2022-01-09;2022-06-10;368;126,76;151,33;0,93;-0,52;False;Контекстная реклама;Дом и сад;2022-01;Потенциальные
78;53;21;13630,73;2022-01-09;2022-06-10;267;137,47;306,75;0,01;0,75;True;Рефералы;Спорт;2022-01;Потерянные
79;217;8;11730,30;2022-01-09;2022-06-10;202;100,07;92,94;-0,90;0,36;False;Органика;Книги;2022-01;Чемпионы
80;188;5;340,05;2022-01-09;2022-06-10;108;12,90;96,44;-0,56;-0,44;True;Email;Одежда;2022-01;Рискующие
81;380;26;4938,75;2022-01-10;2022-06-10;493;132,95;274,61;-0,51;-0,52;False;Контекстная реклама;Спорт;2022-01;Рискующие
82;493;16;9437,98;2022-01-10;2022-06-10;634;169,20;285,46;-0,32;-0,96;False;Рефералы;Дом и сад;2022-01;Потерянные
83;41;36;4164,09;2022-01-10;2022-06-10;530;145,46;292,88;-0,91;-0,31;False;Email;Спорт;2022-01;Чемпионы
84;157;28;13648,32;2022-01-10;2022-06-10;591;166,84;199,00;0,81;0,05;False;Email;Одежда;2022-01;Лояльные
85;15;54;9526,65;2022-01-10;2022-06-11;314;44,10;337,90;0,03;-0,44;False;Контекстная реклама;Одежда;2022-01;Рискующие
86;65;29;1125,01;2022-01-10;2022-06-11;252;178,33;250,76;0,34;0,40;False;Email;Дом и сад;2022-01;Чемпионы
87;521;47;13639,63;2022-01-10;2022-06-11;622;67,83;113,75;-0,87;-0,18;True;Социальные сети;Дом и сад;2022-01;Потерянные
88;344;12;14368,61;2022-01-10;2022-06-11;295;7,61;335,07;-0,89;-0,37;False;Контекстная реклама;Спорт;2022-01;Потерянные
89;129;37;1211,80;2022-01-10;2022-06-11;696;169,46;384,98;0,17;0,88;True;Контекстная реклама;Спорт;2022-01;Потерянные
90;472;30;8008,79;2022-01-11;2022-06-11;402;188,66;99,21;0,77;-0,47;False;Социальные сети;Одежда;2022-01;Новые
91;63;23;4585,30;2022-01-11;2022-06-11;262;132,83;205,23;0,06;-0,20;True;Контекстная реклама;Дом и сад;2022-01;Лояльные
92;139;16;5922,94;2022-01-11;2022-06-11;265;50,13;236,01;0,76;-0,24;True;Email;Электроника;2022-01;Чемпионы
93;499;14;2735,79;2022-01-11;2022-06-12;343;54,09;126,87;0,62;-0,52;False;Email;Дом и сад;2022-01;Потерянные
94;593;10;8692,18;2022-01-11;2022-06-12;409;95,99;357,67;-0,85;-0,57;True;Email;Книги;2022-01;Новые
95;392;7;14371,79;2022-01-11;2022-06-12;643;180,08;170,93;-0,60;-0,40;True;Социальные сети;Книги;2022-01;Потенциальные
96;419;45;7570,94;2022-01-11;2022-06-12;592;34,17;330,56;0,32;0,73;False;Email;Дом и сад;2022-01;Рискующие
97;289;52;1289,57;2022-01-11;2022-06-12;449;166,06;294,72;-0,11;0,53;False;Социальные сети;Спорт;2022-01;Рискующие
98;379;37;9319,02;2022-01-11;2022-06-12;81;61,80;271,37;-0,42;0,36;True;Социальные сети;Книги;2022-01;Рискующие
99;490;29;5136,33;2022-01-12;2022-06-12;672;162,67;141,49;-0,16;-0,09;False;Социальные сети;Одежда;2022-01;Чемпионы
100;231;3;12846,08;2022-01-12;2022-06-12;538;184,45;150,63;-0,11;0,02;False;Контекстная реклама;Одежда;2022-01;Потенциальные
101;41;15;6548,44;2022-01-12;2022-06-13;234;88,36;95,15;0,82;-0,47;False;Рефералы;Одежда;2022-01;Чемпионы
102;28;36;2932,95;2022-01-12;2022-06-13;286;76,18;157,03;-0,79;-0,85;False;Социальные сети;Дом и сад;2022-01;Потерянные
103;135;47;2907,03;2022-01-12;2022-06-13;214;161,43;190,54;-0,44;-0,34;True;Email;Книги;2022-01;Чемпионы
104;201;46;11543,02;2022-01-12;2022-06-13;174;108,25;346,61;0,08;-0,01;True;Социальные сети;Спорт;2022-01;Потенциальные
105;33;52;4020,53;2022-01-12;2022-06-13;43;138,47;197,25;0,40;-0,89;True;Органика;Одежда;2022-01;Потерянные
106;48;19;11520,14;2022-01-12;2022-06-13;275;126,45;321,48;0,26;-0,82;True;Контекстная реклама;Спорт;2022-01;Потерянные
107;503;13;3128,02;2022-01-12;2022-06-13;216;34,81;220,62;0,88;-0,47;True;Email;Одежда;2022-01;Новые
108;407;42;4859,21;2022-01-13;2022-06-13;366;169,73;331,16;0,59;-0,27;True;Контекстная реклама;Дом и сад;2022-01;Потерянные
109;574;21;7009,03;2022-01-13;2022-06-13;288;43,18;392,41;0,11;-0,21;False;Контекстная реклама;Одежда;2022-01;Лояльные
110;99;37;14150,78;2022-01-13;2022-06-14;69;186,80;156,75;-0,57;-0,76;False;Органика;Дом и сад;2022-01;Рискующие
111;547;27;13979,38;2022-01-13;2022-06-14;630;53,86;355,95;-0,10;-0,55;False;Социальные сети;Книги;2022-01;Потенциальные
112;613;52;3142,73;2022-01-13;2022-06-14;666;148,11;278,98;0,39;-0,48;True;Email;Книги;2022-01;Новые
113;462;29;5405,37;2022-01-13;2022-06-14;447;60,51;341,53;0,68;-0,86;True;Рефералы;Спорт;2022-01;Потерянные
114;5;20;2283,52;2022-01-13;2022-06-14;380;66,97;288,51;0,92;-0,35;False;Контекстная реклама;Одежда;2022-01;Потенциальные
115;218;25;7674,28;2022-01-13;2022-06-14;38;65,45;215,66;0,21;-0,86;True;Рефералы;Книги;2022-01;Лояльные
116;503;6;6935,71;2022-01-14;2022-06-14;379;150,84;152,98;0,05;0,41;False;Рефералы;Электроника;2022-01;Потенциальные
117;398;36;13516,36;2022-01-14;2022-06-14;113;113,58;102,41;-0,96;-0,23;False;Социальные сети;Электроника;2022-01;Потенциальные
118;393;2;13953,58;2022-01-14;2022-06-15;562;177,18;251,37;-0,86;-0,35;False;Рефералы;Спорт;2022-01;Новые
119;207;22;5784,33;2022-01-14;2022-06-15;387;64,94;396,90;-0,69;-0,75;True;Email;Книги;2022-01;Рискующие
120;15;32;7401,48;2022-01-14;2022-06-15;407;139,94;316,17;-0,89;-0,55;True;Социальные сети;Дом и сад;2022-01;Рискующие
121;554;16;13448,73;2022-01-14;2022-06-15;201;151,82;184,75;-0,20;-0,53;False;Рефералы;Электроника;2022-01;Новые
122;461;18;12110,28;2022-01-14;2022-06-15;54;34,54;344,71;-0,33;0,97;True;Социальные сети;Книги;2022-01;Новые
123;575;5;104,66;2022-01-14;2022-06-15;422;83,11;326,07;0,27;0,67;True;Email;Дом и сад;2022-01;Чемпионы
124;241;54;4834,89;2022-01-14;2022-06-15;132;99,15;170,12;0,07;-0,97;False;Контекстная реклама;Одежда;2022-01;Чемпионы
125;564;36;6355,52;2022-01-15;2022-06-15;265;74,36;84,58;0,19;0,23;True;Органика;Книги;2022-01;Лояльные
126;96;30;3484,26;2022-01-15;2022-06-16;439;67,81;117,81;-0,06;-0,49;False;Социальные сети;Одежда;2022-01;Чемпионы
127;485;45;3033,60;2022-01-15;2022-06-16;578;138,85;360,74;-0,44;-0,79;True;Органика;Электроника;2022-01;Чемпионы
128;407;19;614,88;2022-01-15;2022-06-16;361;47,09;347,70;0,91;0,41;True;Контекстная реклама;Одежда;2022-01;Потенциальные
129;231;23;9668,38;2022-01-15;2022-06-16;693;143,33;174,47;-0,83;-0,74;True;Email;Электроника;2022-01;Потенциальные
130;171;34;3974,53;2022-01-15;2022-06-16;561;187,33;171,26;0,88;-0,11;True;Контекстная реклама;Спорт;2022-01;Новые
131;541;13;832,59;2022-01-15;2022-06-16;678;115,21;333,72;-0,38;0,26;True;Органика;Спорт;2022-01;Потерянные
132;36;43;3503,14;2022-01-15;2022-06-16;58;124,23;380,08;0,03;0,11;True;Email;Электроника;2022-01;Рискующие
133;525;54;12038,61;2022-01-15;2022-06-16;572;18,44;329,32;-0,78;0,96;True;Рефералы;Дом и сад;2022-01;Лояльные
134;160;29;12779,76;2022-01-16;2022-06-16;48;173,57;273,79;-0,86;0,57;True;Рефералы;Спорт;2022-01;Чемпионы
135;243;36;7271,84;2022-01-16;2022-06-17;177;60,66;157,65;-0,14;0,55;False;Социальные сети;Дом и сад;2022-01;Потенциальные
136;86;22;6270,26;2022-01-16;2022-06-17;500;124,93;248,24;0,48;-0,29;False;Рефералы;Дом и сад;2022-01;Рискующие
137;578;52;14668,91;2022-01-16;2022-06-17;520;195,93;154,72;-0,46;-0,98;True;Органика;Дом и сад;2022-01;Чемпионы
138;557;52;3048,44;2022-01-16;2022-06-17;312;121,12;338,56;0,12;0,47;True;Рефералы;Книги;2022-01;Потерянные
139;574;47;3269,62;2022-01-16;2022-06-17;142;146,32;203,83;-0,44;1,00;False;Социальные сети;Книги;2022-01;Рискующие
140;28;36;4413,41;2022-01-16;2022-06-17;484;91,84;346,78;-0,22;-0,19;False;Email;Дом и сад;2022-01;Потенциальные
141;620;9;2632,72;2022-01-16;2022-06-17;691;16,77;202,11;0,81;0,97;False;Рефералы;Электроника;2022-01;Новые
142;556;39;5721,52;2022-01-16;2022-06-17;359;160,53;343,73;0,71;-0,72;True;Социальные сети;Спорт;2022-01;Потерянные
143;340;51;13666,97;2022-01-17;2022-06-18;284;11,82;186,66;0,03;-0,41;False;Рефералы;Одежда;2022-01;Потерянные
144;331;19;9249,45;2022-01-17;2022-06-18;628;141,63;220,84;-0,52;-0,66;False;Рефералы;Книги;2022-01;Чемпионы
145;506;38;6208,60;2022-01-17;2022-06-18;428;9,47;276,96;-0,61;-0,05;False;Органика;Книги;2022-01;Чемпионы
146;348;6;14019,44;2022-01-17;2022-06-18;639;173,15;102,49;0,91;0,59;True;Социальные сети;Одежда;2022-01;Лояльные
147;473;52;774,54;2022-01-17;2022-06-18;537;35,74;383,43;-0,59;-0,32;False;Социальные сети;Дом и сад;2022-01;Чемпионы
148;231;47;3193,63;2022-01-17;2022-06-18;673;105,28;263,55;0,62;0,81;True;Контекстная реклама;Одежда;2022-01;Потенциальные
149;190;15;8510,03;2022-01-17;2022-06-18;495;121,44;242,50;-0,26;0,09;True;Контекстная реклама;Дом и сад;2022-01;Рискующие
150;225;20;9252,51;2022-01-17;2022-06-18;436;94,22;348,61;0,97;-0,07;False;Социальные сети;Книги;2022-01;Потерянные
151;385;9;641,38;2022-01-17;2022-06-19;638;71,45;357,04;-0,26;0,57;True;Органика;Одежда;2022-01;Рискующие
152;377;32;6075,43;2022-01-18;2022-06-19;127;96,22;247,12;-0,30;-0,80;False;Рефералы;Электроника;2022-01;Новые
153;283;4;9754,85;2022-01-18;2022-06-19;319;65,73;376,72;0,27;0,55;False;Email;Спорт;2022-01;Потерянные
154;633;50;10486,15;2022-01-18;2022-06-19;686;90,43;100,72;0,92;-0,51;False;Рефералы;Спорт;2022-01;Потерянные
155;628;18;9590,19;2022-01-18;2022-06-19;185;74,99;116,23;0,95;-0,44;True;Email;Спорт;2022-01;Новые
156;259;5;4842,42;2022-01-18;2022-06-19;191;115,41;270,97;0,41;0,20;True;Органика;Одежда;2022-01;Потенциальные
157;359;20;1448,13;2022-01-18;2022-06-19;653;51,40;193,30;0,51;0,80;True;Контекстная реклама;Дом и сад;2022-01;Рискующие
158;456;23;6435,33;2022-01-18;2022-06-19;126;197,79;228,55;0,13;0,16;False;Социальные сети;Книги;2022-01;Потерянные
159;411;11;1974,88;2022-01-18;2022-06-19;406;102,67;184,99;0,51;0,30;False;Органика;Спорт;2022-01;Новые
160;318;37;14216,97;2022-01-18;2022-06-20;596;42,86;209,51;0,72;0,55;True;Email;Одежда;2022-01;Потерянные
161;225;22;7153,80;2022-01-19;2022-06-20;479;98,03;343,25;-0,03;-0,48;False;Социальные сети;Спорт;2022-01;Новые
162;234;4;4793,02;2022-01-19;2022-06-20;146;173,95;269,91;0,24;0,65;False;Email;Дом и сад;2022-01;Лояльные
163;374;29;11506,25;2022-01-19;2022-06-20;634;9,25;399,15;0,07;-0,16;True;Рефералы;Электроника;2022-01;Лояльные
164;608;44;7494,33;2022-01-19;2022-06-20;535;137,51;331,80;0,12;-0,65;False;Рефералы;Электроника;2022-01;Потенциальные
165;472;34;4685,01;2022-01-19;2022-06-20;218;111,85;167,57;0,78;-0,30;False;Рефералы;Книги;2022-01;Потенциальные
166;233;13;12188,92;2022-01-19;2022-06-20;505;38,06;164,59;-0,29;-0,51;False;Социальные сети;Электроника;2022-01;Потенциальные
167;113;42;13013,92;2022-01-19;2022-06-20;352;164,41;187,49;-0,58;-0,54;False;Контекстная реклама;Электроника;2022-01;Потенциальные
168;497;9;10111,47;2022-01-19;2022-06-21;625;76,93;349,84;-0,09;-0,43;True;Контекстная реклама;Одежда;2022-01;Рискующие
169;442;42;752,12;2022-01-20;2022-06-21;209;62,29;88,73;-0,58;-0,64;False;Email;Одежда;2022-01;Чемпионы
170;564;31;8516,53;2022-01-20;2022-06-21;210;166,48;153,66;-0,00;0,34;False;Контекстная реклама;Книги;2022-01;Потенциальные
171;268;7;11461,26;2022-01-20;2022-06-21;316;129,51;369,57;0,81;0,16;True;Контекстная реклама;Книги;2022-01;Лояльные
172;510;4;2090,72;2022-01-20;2022-06-21;504;180,16;284,77;0,23;0,30;False;Email;Одежда;2022-01;Потерянные
173;386;19;3468,63;2022-01-20;2022-06-21;647;127,83;152,59;0,71;-0,31;True;Email;Электроника;2022-01;Чемпионы
174;387;42;13243,30;2022-01-20;2022-06-21;670;149,46;150,13;-0,67;0,54;False;Email;Дом и сад;2022-01;Чемпионы
175;113;30;350,82;2022-01-20;2022-06-21;291;168,11;356,04;0,80;-0,74;False;Социальные сети;Электроника;2022-01;Рискующие
176;613;31;11303,27;2022-01-20;2022-06-22;552;15,67;366,00;0,20;0,14;False;Email;Электроника;2022-01;Новые
177;625;35;7132,91;2022-01-20;2022-06-22;191;156,33;161,96;-0,94;-0,45;False;Социальные сети;Дом и сад;2022-01;Потерянные
178;81;21;6729,24;2022-01-21;2022-06-22;516;124,67;214,56;0,27;0,06;True;Социальные сети;Книги;2022-01;Потерянные
179;113;31;156,09;2022-01-21;2022-06-22;210;18,55;347,07;0,90;-0,35;True;Социальные сети;Одежда;2022-01;Чемпионы
180;2;19;12300,00;2022-01-21;2022-06-22;498;104,17;326,72;-0,84;0,58;False;Email;Книги;2022-01;Рискующие
181;220;31;5429,38;2022-01-21;2022-06-22;50;21,08;340,45;0,16;0,78;False;Контекстная реклама;Книги;2022-01;Рискующие
182;566;53;8134,45;2022-01-21;2022-06-22;304;148,51;245,89;0,83;0,49;True;Контекстная реклама;Книги;2022-01;Рискующие
183;225;32;10175,65;2022-01-21;2022-06-22;289;111,57;371,70;-0,98;-0,65;False;Email;Одежда;2022-01;Потенциальные
184;385;2;10554,31;2022-01-21;2022-06-22;362;190,95;184,30;0,26;-0,45;True;Контекстная реклама;Книги;2022-01;Потерянные
185;403;52;14341,90;2022-01-21;2022-06-23;495;40,71;130,14;-0,05;0,84;False;Email;Книги;2022-01;Новые
186;638;10;7993,53;2022-01-21;2022-06-23;145;123,18;306,79;-0,31;-0,13;False;Социальные сети;Спорт;2022-01;Потенциальные
187;130;2;6025,81;2022-01-22;2022-06-23;442;46,26;252,59;0,26;0,88;False;Рефералы;Электроника;2022-01;Лояльные
188;53;2;14307,87;2022-01-22;2022-06-23;566;124,74;353,47;-0,89;-0,22;False;Органика;Спорт;2022-01;Новые
189;416;24;9649,55;2022-01-22;2022-06-23;286;145,92;105,97;0,51;0,90;True;Email;Одежда;2022-01;Потенциальные
190;247;17;4507,35;2022-01-22;2022-06-23;197;145,85;349,98;-0,99;0,85;False;Социальные сети;Дом и сад;2022-01;Новые
191;439;32;1940,64;2022-01-22;2022-06-23;562;163,94;173,85;-0,39;0,32;False;Рефералы;Дом и сад;2022-01;Лояльные
192;203;16;12646,19;2022-01-22;2022-06-23;627;171,44;289,55;0,01;-0,98;False;Социальные сети;Спорт;2022-01;Потенциальные
193;184;16;5464,61;2022-01-22;2022-06-24;44;20,07;92,84;-0,25;-0,20;False;Органика;Спорт;2022-01;Новые
194;123;46;9924,02;2022-01-22;2022-06-24;79;71,94;275,07;-0,39;0,82;True;Контекстная реклама;Спорт;2022-01;Лояльные
195;401;39;7088,71;2022-01-22;2022-06-24;333;138,99;309,53;0,66;0,77;False;Контекстная реклама;Электроника;2022-01;Потерянные
196;294;53;3024,00;2022-01-23;2022-06-24;516;102,22;198,00;0,87;-0,63;False;Социальные сети;Одежда;2022-01;Рискующие
197;280;31;9045,21;2022-01-23;2022-06-24;445;42,18;148,93;0,75;-0,20;False;Органика;Книги;2022-01;Новые
198;610;43;957,21;2022-01-23;2022-06-24;334;112,78;252,04;0,04;0,67;False;Социальные сети;Спорт;2022-01;Лояльные
199;198;24;6229,47;2022-01-23;2022-06-24;225;84,45;346,62;0,77;0,16;False;Контекстная реклама;Электроника;2022-01;Потерянные
200;511;1;8221,89;2022-01-23;2022-06-24;417;81,06;183,54;0,84;0,69;True;Социальные сети;Дом и сад;2022-01;Рискующие
201;144;11;6568,90;2022-01-23;2022-06-25;484;162,90;160,79;-0,18;0,65;False;Рефералы;Дом и сад;2022-01;Лояльные
202;609;21;11242,65;2022-01-23;2022-06-25;687;84,48;169,26;-0,43;0,81;True;Органика;Дом и сад;2022-01;Потерянные
