customer_id;recency;frequency;monetary;first_purchase_date;last_purchase_date;customer_lifetime_days;avg_days_between_purchases;avg_transaction_amount;purchase_trend;spending_trend;is_active_customer;acquisition_channel;favorite_category;registration_month;user_profile;customer_age_months;dominant_season;seasonal_concentration;is_weekend_buyer;price_sensitivity;brand_loyalty_score;r_score;f_score;m_score;rfm_score;rfm_segment;cohort_month;cohort_retention_rate;cohort_avg_ltv;cohort_size;predicted_ltv;churn_risk_score;cluster
12;459;47;14083,85;2022-01-02;2022-06-02;45;122,70;388,18;-0,66;0,55;False;Органика;Спорт;2022-01;Рискующие;13,57;Осень;0,95;True;0,37;0,64;2;5;5;255;Потерянные;2022-01;0,17;1093,90;362;3337,46;0,07;0
13;88;25;12086,15;2022-01-02;2022-06-02;140;186,59;257,83;-0,85;-0,20;True;Email;Дом и сад;2022-01;Лояльные;13,24;Лето;0,90;True;0,85;0,82;5;3;5;535;Потерянные;2022-01;0,94;5063,32;364;24294,86;0,97;0
14;373;10;12766,17;2022-01-02;2022-06-02;136;170,82;274,12;-0,76;0,98;False;Рефералы;Дом и сад;2022-01;Чемпионы;18,11;Лето;0,89;True;0,62;0,03;3;1;5;315;Потерянные;2022-01;0,27;2088,38;463;10568,25;0,91;1
15;100;14;8280,65;2022-01-02;2022-06-02;408;18,20;139,43;-0,68;-0,54;False;Органика;Электроника;2022-01;Лояльные;15,22;Лето;0,25;True;0,36;0,81;5;2;3;523;Потерянные;2022-01;0,92;5561,96;238;23379,84;0,96;1
16;131;42;12397,03;2022-01-02;2022-06-02;191;198,71;302,50;0,07;-0,47;False;Органика;Спорт;2022-01;Лояльные;22,92;Осень;0,23;True;0,75;0,79;4;4;5;445;Чемпионы;2022-01;0,30;3712,22;397;27979,98;0,96;4
17;309;46;4587,38;2022-01-02;2022-06-02;312;141,25;102,61;0,94;-0,90;False;Рефералы;Электроника;2022-01;Новые;1,92;Зима;0,81;True;0,24;0,92;3;5;2;352;Потерянные;2022-01;0,16;2877,31;294;9734,21;0,80;4
18;344;30;6007,26;2022-01-02;2022-06-03;298;36,64;171,10;-0,29;0,88;False;Email;Электроника;2022-01;Потерянные;18,52;Зима;0,49;True;0,96;0,08;3;3;2;332;Потерянные;2022-01;0,18;4686,32;226;13886,27;0,28;4
19;492;41;4787,85;2022-01-03;2022-06-03;513;7,42;293,88;0,92;-0,09;True;Рефералы;Книги;2022-01;Новые;18,04;Осень;0,94;True;0,66;0,12;2;4;2;242;Потерянные;2022-01;0,42;2565,17;226;3081,62;0,32;1
20;414;25;7037,44;2022-01-03;2022-06-03;696;38,40;179,30;-0,92;0,35;True;Контекстная реклама;Электроника;2022-01;Потенциальные;6,46;Осень;0,90;False;0,40;0,52;2;3;3;233;Потерянные;2022-01;0,24;4575,44;426;9197,80;0,40;1
21;386;14;4319,42;2022-01-03;2022-06-03;102;168,44;95,95;0,85;0,37;False;Органика;Дом и сад;2022-01;Новые;16,77;Зима;0,89;False;0,55;0,87;3;2;2;322;Потерянные;2022-01;0,53;2562,77;92;16614,16;0,79;1
22;192;35;14426,09;2022-01-03;2022-06-03;226;9,22;346,20;-0,64;0,75;False;Социальные сети;Электроника;2022-01;Новые;15,82;Зима;0,33;True;0,74;0,87;4;4;5;445;Чемпионы;2022-01;0,51;5236,47;281;5815,55;0,93;0
23;277;52;4727,03;2022-01-03;2022-06-03;272;50,46;179,31;0,82;0,33;True;Рефералы;Одежда;2022-01;Новые;7,17;Зима;0,13;False;0,80;0,70;3;5;2;352;Потерянные;2022-01;0,85;5905,51;400;16341,58;0,44;4
24;161;48;1515,77;2022-01-03;2022-06-03;627;152,67;100,19;-0,89;0,12;False;Рефералы;Дом и сад;2022-01;Новые;17,37;Весна;0,68;True;0,97;0,45;4;5;1;451;Потерянные;2022-01;0,73;4288,93;194;9730,00;0,30;0
25;460;34;7925,92;2022-01-03;2022-06-03;288;119,29;103,93;0,90;0,42;False;Органика;Книги;2022-01;Потерянные;22,34;Лето;0,44;True;0,21;0,23;2;4;3;243;Потерянные;2022-01;0,73;3690,22;107;29706,42;0,24;4
26;314;10;903,63;2022-01-03;2022-06-04;178;157,63;160,56;-0,60;0,50;True;Органика;Электроника;2022-01;Потенциальные;7,33;Весна;0,93;True;0,50;0,47;3;1;1;311;Новые клиенты;2022-01;0,63;3299,47;250;11583,51;0,26;3
27;22;35;1702,62;2022-01-03;2022-06-04;419;150,50;136,97;-0,39;-0,63;True;Рефералы;Одежда;2022-01;Новые;23,52;Весна;0,85;False;0,09;0,22;5;4;1;541;Потерянные;2022-01;0,14;5645,94;69;1652,16;0,01;0
28;253;11;3329,87;2022-01-04;2022-06-04;445;14,87;327,78;-0,02;-0,78;True;Социальные сети;Одежда;2022-01;Новые;5,38;Осень;0,93;False;0,08;0,77;4;1;2;412;Потенциально лояльные;2022-01;0,77;3188,74;382;14452,15;0,23;4
29;561;11;6992,04;2022-01-04;2022-06-04;455;179,04;182,94;-0,24;-0,85;True;Органика;Дом и сад;2022-01;Чемпионы;3,23;Лето;0,57;False;0,10;0,42;1;1;3;113;Потерянные;2022-01;0,42;5050,46;103;10353,65;0,29;2
30;475;21;6527,10;2022-01-04;2022-06-04;246;49,27;337,50;0,34;-0,25;True;Органика;Электроника;2022-01;Новые;1,85;Лето;0,53;True;0,26;0,54;2;2;3;223;Потерянные;2022-01;0,85;1019,35;173;11415,84;0,78;3
31;59;21;12005,39;2022-01-04;2022-06-04;115;112,91;135,63;0,95;-0,00;True;Контекстная реклама;Одежда;2022-01;Потенциальные;5,13;Зима;0,85;True;0,70;0,68;5;2;5;525;Потерянные;2022-01;0,32;5462,17;107;11430,74;0,55;0
32;511;22;11105,15;2022-01-04;2022-06-04;245;130,64;237,72;0,21;0,23;True;Email;Электроника;2022-01;Потерянные;8,22;Осень;0,51;False;0,86;0,53;2;2;4;224;Потерянные;2022-01;0,70;2933,72;309;26494,52;0,33;0
33;476;45;6423,46;2022-01-04;2022-06-04;452;37,88;300,17;0,44;0,92;False;Контекстная реклама;Дом и сад;2022-01;Потенциальные;17,60;Осень;0,90;False;0,44;0,76;2;5;3;253;Потерянные;2022-01;0,64;2392,53;140;15198,80;0,60;2
34;190;7;5038,88;2022-01-04;2022-06-04;349;195,37;288,64;-0,82;-0,34;False;Социальные сети;Спорт;2022-01;Лояльные;1,73;Зима;0,03;True;0,56;0,79;4;1;2;412;Потенциально лояльные;2022-01;0,20;1754,39;121;7958,81;0,79;1
35;563;17;4781,21;2022-01-04;2022-06-05;147;100,19;272,36;0,26;0,52;False;Email;Одежда;2022-01;Новые;12,17;Зима;0,36;True;0,21;0,24;1;2;2;122;Потерянные;2022-01;0,22;1357,58;497;23878,86;0,61;2
36;567;2;11621,23;2022-01-04;2022-06-05;444;16,24;375,94;-0,09;0,06;False;Рефералы;Книги;2022-01;Рискующие;12,45;Весна;0,83;True;0,79;0,30;1;1;4;114;Потерянные;2022-01;1,00;5411,08;186;13581,67;0,07;1
37;244;12;828,48;2022-01-05;2022-06-05;628;187,77;153,13;0,77;-0,56;False;Социальные сети;Электроника;2022-01;Лояльные;5,47;Зима;0,21;False;0,89;0,06;4;1;1;411;Потенциально лояльные;2022-01;0,40;2658,50;262;4787,99;0,24;0
38;505;42;241,68;2022-01-05;2022-06-05;69;119,32;237,99;-0,22;0,23;False;Социальные сети;Дом и сад;2022-01;Потенциальные;1,09;Зима;0,40;False;0,49;0,09;2;4;1;241;Потерянные;2022-01;0,47;5862,29;340;29955,70;0,29;1
39;131;18;11943,39;2022-01-05;2022-06-05;190;141,34;362,88;0,36;0,93;False;Контекстная реклама;Дом и сад;2022-01;Лояльные;5,40;Осень;0,01;False;0,16;0,83;4;2;5;425;Потерянные;2022-01;0,87;3104,71;430;1307,05;0,36;2
40;485;54;7183,34;2022-01-05;2022-06-05;566;107,41;104,93;-0,54;-0,75;True;Email;Книги;2022-01;Рискующие;5,53;Весна;0,30;False;0,01;0,21;2;5;3;253;Потерянные;2022-01;0,67;5738,77;205;21422,40;0,02;4
41;21;11;2006,67;2022-01-05;2022-06-05;449;167,77;97,88;-0,48;0,01;False;Социальные сети;Спорт;2022-01;Чемпионы;16,51;Лето;0,32;False;0,54;0,83;5;1;1;511;Потенциально лояльные;2022-01;0,71;4291,49;204;25502,92;0,74;3
42;167;16;3571,71;2022-01-05;2022-06-05;693;11,46;154,66;-0,25;-0,90;False;Email;Электроника;2022-01;Рискующие;5,61;Весна;0,73;True;0,50;0,99;4;2;2;422;Потенциально лояльные;2022-01;0,67;1770,11;248;10937,49;0,47;0
43;274;49;13990,93;2022-01-05;2022-06-06;124;57,33;282,57;-0,39;-0,36;True;Рефералы;Спорт;2022-01;Потерянные;8,17;Осень;0,68;True;0,93;0,24;3;5;5;355;Лояльные клиенты;2022-01;0,39;2529,89;227;5141,63;0,90;3
44;388;51;12899,57;2022-01-05;2022-06-06;471;96,58;163,16;-0,49;0,24;True;Email;Дом и сад;2022-01;Потерянные;1,14;Лето;0,44;True;0,04;0,46;2;5;5;255;Потерянные;2022-01;0,85;5704,82;222;13378,46;0,52;2
45;601;18;10661,29;2022-01-05;2022-06-06;587;19,94;140,88;-0,90;0,68;False;Контекстная реклама;Одежда;2022-01;Лояльные;14,97;Весна;0,73;False;0,15;0,54;1;2;4;124;Потерянные;2022-01;0,13;3145,69;319;14733,08;0,99;3
46;316;35;7259,27;2022-01-06;2022-06-06;679;142,65;226,82;0,67;0,46;True;Контекстная реклама;Спорт;2022-01;Новые;11,38;Зима;0,43;False;0,20;0,94;3;4;3;343;Лояльные клиенты;2022-01;0,43;1280,65;78;29991,25;0,70;4
47;14;53;7828,84;2022-01-06;2022-06-06;495;81,76;276,35;-0,87;-0,07;True;Социальные сети;Одежда;2022-01;Чемпионы;8,28;Весна;0,43;False;0,55;0,18;5;5;3;553;Потерянные;2022-01;0,96;2701,46;159;1074,24;0,89;4
48;242;26;14629,91;2022-01-06;2022-06-06;317;58,17;159,54;0,77;0,82;False;Email;Книги;2022-01;Потерянные;16,87;Лето;0,65;False;0,28;0,84;4;3;5;435;Лояльные клиенты;2022-01;0,44;5381,21;365;19848,58;0,97;4
49;346;16;14488,27;2022-01-06;2022-06-06;441;5,66;176,22;-0,75;-0,39;False;Контекстная реклама;Дом и сад;2022-01;Рискующие;16,37;Весна;0,72;False;0,21;0,96;3;2;5;325;Потерянные;2022-01;0,12;5987,80;206;24231,24;0,47;2
50;565;6;3268,27;2022-01-06;2022-06-06;429;145,37;276,34;-0,87;0,51;False;Органика;Одежда;2022-01;Новые;7,87;Весна;0,85;True;0,51;0,55;1;1;2;112;Потерянные;2022-01;0,27;1148,24;106;18728,17;0,63;4
51;340;44;12176,01;2022-01-06;2022-06-07;557;167,59;382,64;0,13;-0,05;False;Контекстная реклама;Электроника;2022-01;Рискующие;17,03;Весна;0,75;False;0,04;0,15;3;4;5;345;Потерянные;2022-01;0,95;3355,17;295;19082,98;0,91;0
52;92;43;2998,78;2022-01-06;2022-06-07;47;82,03;295,92;0,00;0,80;False;Рефералы;Дом и сад;2022-01;Потенциальные;8,36;Зима;0,67;False;0,98;0,33;5;4;1;541;Потерянные;2022-01;0,86;2229,87;426;26321,67;0,58;4
53;367;47;3242,39;2022-01-06;2022-06-07;165;115,02;330,53;-0,02;0,59;True;Органика;Книги;2022-01;Новые;5,33;Осень;0,56;True;0,86;0,96;3;5;2;352;Потерянные;2022-01;0,28;5907,87;366;17172,53;0,05;2
54;455;47;10157,59;2022-01-06;2022-06-07;493;49,40;197,38;0,15;0,80;False;Email;Электроника;2022-01;Потенциальные;17,28;Осень;0,31;False;0,27;0,17;2;5;4;254;Потерянные;2022-01;0,98;2920,01;262;26506,77;0,70;4
55;428;48;6104,77;2022-01-07;2022-06-07;277;126,33;167,12;-0,43;-0,57;False;Социальные сети;Дом и сад;2022-01;Чемпионы;17,47;Осень;0,26;False;0,34;0,49;2;5;3;253;Потерянные;2022-01;0,24;5668,15;237;6700,48;0,94;3
56;509;42;13976,59;2022-01-07;2022-06-07;30;7,37;225,37;0,33;0,34;False;Органика;Спорт;2022-01;Чемпионы;20,78;Весна;0,84;True;0,25;0,19;2;4;5;245;Рискуем потерять;2022-01;0,99;4053,09;162;15725,62;0,78;4
57;35;12;1380,70;2022-01-07;2022-06-07;410;100,29;338,28;0,00;0,48;True;Контекстная реклама;Дом и сад;2022-01;Чемпионы;12,02;Лето;0,72;True;0,93;0,90;5;1;1;511;Потенциально лояльные;2022-01;0,86;5459,13;371;1491,08;0,79;2
58;206;13;7697,31;2022-01-07;2022-06-07;538;130,62;226,02;-0,33;0,48;False;Социальные сети;Электроника;2022-01;Чемпионы;5,58;Весна;0,67;False;0,65;0,59;4;2;3;423;Потерянные;2022-01;0,92;5745,59;100;24202,76;0,08;3
59;81;4;13781,90;2022-01-07;2022-06-07;489;184,05;350,95;0,65;0,01;False;Социальные сети;Одежда;2022-01;Потенциальные;20,09;Весна;0,26;True;0,52;0,92;5;1;5;515;Потерянные;2022-01;0,23;1524,36;59;23429,89;0,74;1
60;562;39;13566,50;2022-01-07;2022-06-08;534;79,36;396,41;0,46;-0,98;False;Социальные сети;Одежда;2022-01;Потенциальные;4,19;Осень;0,97;True;0,51;0,95;1;4;5;145;Потерянные;2022-01;0,37;2008,69;393;16401,68;0,03;0
61;388;54;2390,11;2022-01-07;2022-06-08;505;154,21;103,05;-0,21;-0,48;False;Социальные сети;Дом и сад;2022-01;Потерянные;22,53;Осень;0,08;True;0,17;0,49;2;5;1;251;Потерянные;2022-01;0,73;2326,74;140;12176,78;0,93;4
62;2;2;5531,23;2022-01-07;2022-06-08;586;121,55;94,53;0,70;-0,35;True;Email;Дом и сад;2022-01;Лояльные;7,36;Зима;0,84;True;0,96;0,94;5;1;2;512;Потенциально лояльные;2022-01;0,55;3675,90;100;11418,31;0,91;2
63;390;26;9305,86;2022-01-08;2022-06-08;61;185,77;127,87;0,84;0,70;False;Email;Книги;2022-01;Лояльные;0,45;Весна;0,21;False;0,91;0,00;2;3;4;234;Рискуем потерять;2022-01;0,36;2206,01;292;6432,72;0,98;0
64;566;27;2432,95;2022-01-08;2022-06-08;147;82,68;203,00;0,07;0,68;False;Email;Спорт;2022-01;Потенциальные;4,48;Зима;0,39;True;0,95;0,19;1;3;1;131;Потерянные;2022-01;0,73;5668,87;401;13122,73;0,30;3
65;106;27;14521,93;2022-01-08;2022-06-08;213;67,22;121,93;-0,57;-0,79;False;Контекстная реклама;Книги;2022-01;Чемпионы;9,96;Зима;0,43;True;0,29;0,73;5;3;5;535;Потерянные;2022-01;0,80;1903,97;225;9465,32;0,54;2
66;477;15;13725,50;2022-01-08;2022-06-08;220;177,99;358,61;0,83;0,90;False;Email;Книги;2022-01;Лояльные;1,32;Зима;0,66;True;0,48;0,53;2;2;5;225;Потерянные;2022-01;0,36;1855,10;106;17541,31;0,58;4
67;402;8;2545,91;2022-01-08;2022-06-08;103;14,60;87,41;-0,62;-0,64;True;Социальные сети;Одежда;2022-01;Новые;9,83;Осень;0,55;True;0,52;0,99;2;1;1;211;Новые клиенты;2022-01;0,18;1758,14;485;23701,26;0,56;4
68;556;7;1861,27;2022-01-08;2022-06-09;652;31,60;181,05;-0,90;-0,17;True;Органика;Одежда;2022-01;Потенциальные;4,87;Зима;0,19;True;0,49;0,78;1;1;1;111;Потерянные;2022-01;0,62;3179,96;285;20977,03;0,41;1
69;162;47;1326,86;2022-01-08;2022-06-09;132;21,07;139,10;-0,35;-0,57;False;Органика;Электроника;2022-01;Новые;0,45;Весна;0,03;False;0,02;0,66;4;5;1;451;Потерянные;2022-01;0,46;1226,15;277;15661,68;0,99;0
70;202;46;13646,18;2022-01-08;2022-06-09;615;169,41;378,09;0,45;0,72;False;Органика;Книги;2022-01;Чемпионы;7,18;Зима;0,72;False;0,83;0,91;4;5;5;455;Чемпионы;2022-01;0,89;4400,34;362;28483,81;0,89;4
71;270;40;2944,68;2022-01-08;2022-06-09;449;7,07;294,23;0,85;0,50;True;Органика;Электроника;2022-01;Потерянные;5,43;Осень;0,50;True;0,75;0,34;3;4;1;341;Потерянные;2022-01;0,14;2243,49;390;6321,06;0,61;3
72;271;12;6273,46;2022-01-09;2022-06-09;502;173,02;371,85;0,27;-0,29;True;Органика;Дом и сад;2022-01;Потенциальные;10,07;Весна;0,36;True;0,47;0,17;3;1;3;313;Потерянные;2022-01;0,67;5667,36;391;19379,21;0,65;3
73;456;13;6760,33;2022-01-09;2022-06-09;143;93,00;391,15;0,90;0,36;False;Рефералы;Электроника;2022-01;Лояльные;18,22;Весна;0,28;True;0,27;0,55;2;2;3;223;Потерянные;2022-01;0,14;1898,79;264;3097,24;0,71;3
74;462;43;9005,22;2022-01-09;2022-06-09;408;5,78;239,07;-0,82;-0,63;False;Органика;Одежда;2022-01;Потерянные;12,23;Лето;0,82;False;0,63;0,24;2;4;4;244;Рискуем потерять;2022-01;0,20;1394,26;423;20353,89;0,60;3
75;252;17;1122,44;2022-01-09;2022-06-09;342;83,32;154,98;-0,88;-0,24;False;Органика;Книги;2022-01;Лояльные;18,43;Осень;0,80;True;0,14;0,23;4;2;1;421;Потенциально лояльные;2022-01;0,43;3012,22;61;21897,41;0,71;0
76;296;17;3440,04;2022-01-09;2022-06-10;359;41,43;141,99;0,21;-0,25;False;Органика;Одежда;2022-01;Новые;8,08;Лето;0,83;True;1,00;0,31;3;2;2;322;Потерянные;2022-01;0,31;2226,31;339;23587,20;0,82;1
77;338;36;13975,78;2022-01-09;2022-06-10;368;126,76;151,33;0,93;-0,52;False;Контекстная реклама;Дом и сад;2022-01;Потенциальные;0,32;Осень;0,22;True;0,13;0,68;3;4;5;345;Потерянные;2022-01;0,25;5345,47;499;20080,92;0,98;1
78;53;21;13630,73;2022-01-09;2022-06-10;267;137,47;306,75;0,01;0,75;True;Рефералы;Спорт;2022-01;Потерянные;22,13;Осень;0,85;False;0,06;0,02;5;2;5;525;Потерянные;2022-01;0,81;3601,78;474;4117,34;0,85;2
79;217;8;11730,30;2022-01-09;2022-06-10;202;100,07;92,94;-0,90;0,36;False;Органика;Книги;2022-01;Чемпионы;7,55;Осень;0,99;True;0,61;0,85;4;1;4;414;Новые клиенты;2022-01;0,31;3383,60;231;1806,63;0,13;0
80;188;5;340,05;2022-01-09;2022-06-10;108;12,90;96,44;-0,56;-0,44;True;Email;Одежда;2022-01;Рискующие;12,65;Лето;0,60;True;0,46;0,61;4;1;1;411;Потенциально лояльные;2022-01;0,43;4891,27;326;21570,72;0,55;2
81;380;26;4938,75;2022-01-10;2022-06-10;493;132,95;274,61;-0,51;-0,52;False;Контекстная реклама;Спорт;2022-01;Рискующие;11,26;Зима;0,05;False;0,72;0,30;3;3;2;332;Потерянные;2022-01;0,92;4263,19;425;24047,86;0,63;4
82;493;16;9437,98;2022-01-10;2022-06-10;634;169,20;285,46;-0,32;-0,96;False;Рефералы;Дом и сад;2022-01;Потерянные;13,99;Осень;0,70;False;0,13;0,11;2;2;4;224;Потерянные;2022-01;0,81;1048,11;400;1462,91;0,27;2
83;41;36;4164,09;2022-01-10;2022-06-10;530;145,46;292,88;-0,91;-0,31;False;Email;Спорт;2022-01;Чемпионы;21,24;Весна;0,54;True;0,36;0,79;5;4;2;542;Потерянные;2022-01;0,57;4427,24;451;4923,00;0,48;3
84;157;28;13648,32;2022-01-10;2022-06-10;591;166,84;199,00;0,81;0,05;False;Email;Одежда;2022-01;Лояльные;20,81;Весна;0,71;False;0,50;0,44;4;3;5;435;Лояльные клиенты;2022-01;0,18;4561,99;402;23813,45;0,93;1
85;15;54;9526,65;2022-01-10;2022-06-11;314;44,10;337,90;0,03;-0,44;False;Контекстная реклама;Одежда;2022-01;Рискующие;23,54;Осень;0,19;True;0,45;0,44;5;5;4;554;Чемпионы;2022-01;0,95;1871,76;351;29050,93;0,26;1
86;65;29;1125,01;2022-01-10;2022-06-11;252;178,33;250,76;0,34;0,40;False;Email;Дом и сад;2022-01;Чемпионы;12,68;Осень;0,61;True;0,58;0,47;5;3;1;531;Потерянные;2022-01;0,74;4546,91;312;15855,83;0,32;1
87;521;47;13639,63;2022-01-10;2022-06-11;622;67,83;113,75;-0,87;-0,18;True;Социальные сети;Дом и сад;2022-01;Потерянные;22,14;Осень;0,54;True;0,10;0,41;1;5;5;155;Нуждающиеся во внимании;2022-01;0,13;5969,26;471;5022,70;0,91;0
88;344;12;14368,61;2022-01-10;2022-06-11;295;7,61;335,07;-0,89;-0,37;False;Контекстная реклама;Спорт;2022-01;Потерянные;11,58;Зима;0,60;True;0,50;0,51;3;1;5;315;Потерянные;2022-01;0,95;2470,28;325;9977,27;0,09;3
89;129;37;1211,80;2022-01-10;2022-06-11;696;169,46;384,98;0,17;0,88;True;Контекстная реклама;Спорт;2022-01;Потерянные;1,07;Осень;0,73;True;0,55;0,63;4;4;1;441;Потерянные;2022-01;0,16;1192,86;437;23551,98;0,88;2
90;472;30;8008,79;2022-01-11;2022-06-11;402;188,66;99,21;0,77;-0,47;False;Социальные сети;Одежда;2022-01;Новые;3,51;Зима;0,54;True;0,88;0,43;2;3;3;233;Потерянные;2022-01;0,64;5252,09;60;16525,15;0,30;4
91;63;23;4585,30;2022-01-11;2022-06-11;262;132,83;205,23;0,06;-0,20;True;Контекстная реклама;Дом и сад;2022-01;Лояльные;8,02;Зима;0,32;False;0,57;0,97;5;3;2;532;Потерянные;2022-01;0,45;2024,58;311;2204,96;0,50;0
92;139;16;5922,94;2022-01-11;2022-06-11;265;50,13;236,01;0,76;-0,24;True;Email;Электроника;2022-01;Чемпионы;17,41;Осень;0,31;True;0,55;0,40;4;2;2;422;Потенциально лояльные;2022-01;0,98;4892,06;408;9598,37;0,64;4
93;499;14;2735,79;2022-01-11;2022-06-12;343;54,09;126,87;0,62;-0,52;False;Email;Дом и сад;2022-01;Потерянные;1,95;Осень;0,70;False;0,81;0,21;2;2;1;221;Потерянные;2022-01;0,93;3035,30;291;22707,34;0,65;0
94;593;10;8692,18;2022-01-11;2022-06-12;409;95,99;357,67;-0,85;-0,57;True;Email;Книги;2022-01;Новые;8,68;Зима;0,66;False;0,06;0,98;1;1;3;113;Потерянные;2022-01;0,64;5519,18;184;10110,55;0,98;3
95;392;7;14371,79;2022-01-11;2022-06-12;643;180,08;170,93;-0,60;-0,40;True;Социальные сети;Книги;2022-01;Потенциальные;23,58;Лето;0,42;True;0,65;0,30;2;1;5;215;Нуждающиеся во внимании;2022-01;0,73;5709,89;94;13253,67;0,03;0
96;419;45;7570,94;2022-01-11;2022-06-12;592;34,17;330,56;0,32;0,73;False;Email;Дом и сад;2022-01;Рискующие;18,86;Зима;0,35;True;0,81;0,62;2;5;3;253;Потерянные;2022-01;0,84;2980,35;79;27198,95;0,70;4
97;289;52;1289,57;2022-01-11;2022-06-12;449;166,06;294,72;-0,11;0,53;False;Социальные сети;Спорт;2022-01;Рискующие;13,73;Весна;0,62;True;0,09;0,83;3;5;1;351;Потерянные;2022-01;0,84;5904,38;411;29546,97;0,85;0
98;379;37;9319,02;2022-01-11;2022-06-12;81;61,80;271,37;-0,42;0,36;True;Социальные сети;Книги;2022-01;Рискующие;1,48;Осень;0,31;True;0,81;0,00;3;4;4;344;Лояльные клиенты;2022-01;0,64;1138,87;77;22837,47;0,59;3
99;490;29;5136,33;2022-01-12;2022-06-12;672;162,67;141,49;-0,16;-0,09;False;Социальные сети;Одежда;2022-01;Чемпионы;0,35;Лето;0,96;False;0,79;0,28;2;3;2;232;Потерянные;2022-01;0,33;3845,06;407;7583,71;0,98;1
100;231;3;12846,08;2022-01-12;2022-06-12;538;184,45;150,63;-0,11;0,02;False;Контекстная реклама;Одежда;2022-01;Потенциальные;2,53;Лето;0,60;True;0,00;0,53;4;1;5;415;Потерянные;2022-01;0,38;4693,89;276;7672,81;0,42;0
101;41;15;6548,44;2022-01-12;2022-06-13;234;88,36;95,15;0,82;-0,47;False;Рефералы;Одежда;2022-01;Чемпионы;7,85;Осень;0,59;True;0,25;0,46;5;2;3;523;Потерянные;2022-01;0,70;3138,87;105;9475,85;0,75;4
102;28;36;2932,95;2022-01-12;2022-06-13;286;76,18;157,03;-0,79;-0,85;False;Социальные сети;Дом и сад;2022-01;Потерянные;14,55;Лето;0,14;False;0,15;0,07;5;4;1;541;Потерянные;2022-01;0,72;4293,64;178;5236,38;0,69;4
