customer_id;recency;frequency;monetary;first_purchase_date;last_purchase_date;acquisition_channel;favorite_category;user_profile;r_score;f_score;m_score;rfm_score;segment
28;253;11;3329,87;2022-01-04;2022-06-04;Социальные сети;Одежда;Новые;4;1;2;412;Потенциально лояльные
29;561;11;6992,04;2022-01-04;2022-06-04;Органика;Дом и сад;Чемпионы;1;1;3;113;Потерянные
30;475;21;6527,10;2022-01-04;2022-06-04;Органика;Электроника;Новые;2;2;3;223;Потерянные
31;59;21;12005,39;2022-01-04;2022-06-04;Контекстная реклама;Одежда;Потенциальные;5;2;5;525;Потерянные
32;511;22;11105,15;2022-01-04;2022-06-04;Email;Электроника;Потерянные;2;2;4;224;Потерянные
33;476;45;6423,46;2022-01-04;2022-06-04;Контекстная реклама;Дом и сад;Потенциальные;2;5;3;253;Потерянные
34;190;7;5038,88;2022-01-04;2022-06-04;Социальные сети;Спорт;Лояльные;4;1;2;412;Потенциально лояльные
35;563;17;4781,21;2022-01-04;2022-06-05;Email;Одежда;Новые;1;2;2;122;Потерянные
36;567;2;11621,23;2022-01-04;2022-06-05;Рефералы;Книги;Рискующие;1;1;4;114;Потерянные
37;244;12;828,48;2022-01-05;2022-06-05;Социальные сети;Электроника;Лояльные;4;1;1;411;Потенциально лояльные
38;505;42;241,68;2022-01-05;2022-06-05;Социальные сети;Дом и сад;Потенциальные;2;4;1;241;Потерянные
39;131;18;11943,39;2022-01-05;2022-06-05;Контекстная реклама;Дом и сад;Лояльные;4;2;5;425;Потерянные
40;485;54;7183,34;2022-01-05;2022-06-05;Email;Книги;Рискующие;2;5;3;253;Потерянные
41;21;11;2006,67;2022-01-05;2022-06-05;Социальные сети;Спорт;Чемпионы;5;1;1;511;Потенциально лояльные
42;167;16;3571,71;2022-01-05;2022-06-05;Email;Электроника;Рискующие;4;2;2;422;Потенциально лояльные
43;274;49;13990,93;2022-01-05;2022-06-06;Рефералы;Спорт;Потерянные;3;5;5;355;Лояльные клиенты
44;388;51;12899,57;2022-01-05;2022-06-06;Email;Дом и сад;Потерянные;2;5;5;255;Потерянные
45;601;18;10661,29;2022-01-05;2022-06-06;Контекстная реклама;Одежда;Лояльные;1;2;4;124;Потерянные
46;316;35;7259,27;2022-01-06;2022-06-06;Контекстная реклама;Спорт;Новые;3;4;3;343;Лояльные клиенты
47;14;53;7828,84;2022-01-06;2022-06-06;Социальные сети;Одежда;Чемпионы;5;5;3;553;Потерянные
48;242;26;14629,91;2022-01-06;2022-06-06;Email;Книги;Потерянные;4;3;5;435;Лояльные клиенты
49;346;16;14488,27;2022-01-06;2022-06-06;Контекстная реклама;Дом и сад;Рискующие;3;2;5;325;Потерянные
50;565;6;3268,27;2022-01-06;2022-06-06;Органика;Одежда;Новые;1;1;2;112;Потерянные
51;340;44;12176,01;2022-01-06;2022-06-07;Контекстная реклама;Электроника;Рискующие;3;4;5;345;Потерянные
52;92;43;2998,78;2022-01-06;2022-06-07;Рефералы;Дом и сад;Потенциальные;5;4;1;541;Потерянные
53;367;47;3242,39;2022-01-06;2022-06-07;Органика;Книги;Новые;3;5;2;352;Потерянные
54;455;47;10157,59;2022-01-06;2022-06-07;Email;Электроника;Потенциальные;2;5;4;254;Потерянные
55;428;48;6104,77;2022-01-07;2022-06-07;Социальные сети;Дом и сад;Чемпионы;2;5;3;253;Потерянные
56;509;42;13976,59;2022-01-07;2022-06-07;Органика;Спорт;Чемпионы;2;4;5;245;Рискуем потерять
57;35;12;1380,70;2022-01-07;2022-06-07;Контекстная реклама;Дом и сад;Чемпионы;5;1;1;511;Потенциально лояльные
58;206;13;7697,31;2022-01-07;2022-06-07;Социальные сети;Электроника;Чемпионы;4;2;3;423;Потерянные
59;81;4;13781,90;2022-01-07;2022-06-07;Социальные сети;Одежда;Потенциальные;5;1;5;515;Потерянные
60;562;39;13566,50;2022-01-07;2022-06-08;Социальные сети;Одежда;Потенциальные;1;4;5;145;Потерянные
61;388;54;2390,11;2022-01-07;2022-06-08;Социальные сети;Дом и сад;Потерянные;2;5;1;251;Потерянные
62;2;2;5531,23;2022-01-07;2022-06-08;Email;Дом и сад;Лояльные;5;1;2;512;Потенциально лояльные
63;390;26;9305,86;2022-01-08;2022-06-08;Email;Книги;Лояльные;2;3;4;234;Рискуем потерять
64;566;27;2432,95;2022-01-08;2022-06-08;Email;Спорт;Потенциальные;1;3;1;131;Потерянные
65;106;27;14521,93;2022-01-08;2022-06-08;Контекстная реклама;Книги;Чемпионы;5;3;5;535;Потерянные
66;477;15;13725,50;2022-01-08;2022-06-08;Email;Книги;Лояльные;2;2;5;225;Потерянные
67;402;8;2545,91;2022-01-08;2022-06-08;Социальные сети;Одежда;Новые;2;1;1;211;Новые клиенты
68;556;7;1861,27;2022-01-08;2022-06-09;Органика;Одежда;Потенциальные;1;1;1;111;Потерянные
69;162;47;1326,86;2022-01-08;2022-06-09;Органика;Электроника;Новые;4;5;1;451;Потерянные
70;202;46;13646,18;2022-01-08;2022-06-09;Органика;Книги;Чемпионы;4;5;5;455;Чемпионы
71;270;40;2944,68;2022-01-08;2022-06-09;Органика;Электроника;Потерянные;3;4;1;341;Потерянные
72;271;12;6273,46;2022-01-09;2022-06-09;Органика;Дом и сад;Потенциальные;3;1;3;313;Потерянные
73;456;13;6760,33;2022-01-09;2022-06-09;Рефералы;Электроника;Лояльные;2;2;3;223;Потерянные
74;462;43;9005,22;2022-01-09;2022-06-09;Органика;Одежда;Потерянные;2;4;4;244;Рискуем потерять
75;252;17;1122,44;2022-01-09;2022-06-09;Органика;Книги;Лояльные;4;2;1;421;Потенциально лояльные
76;296;17;3440,04;2022-01-09;2022-06-10;Органика;Одежда;Новые;3;2;2;322;Потерянные
77;338;36;13975,78;2022-01-09;2022-06-10;Контекстная реклама;Дом и сад;Потенциальные;3;4;5;345;Потерянные
78;53;21;13630,73;2022-01-09;2022-06-10;Рефералы;Спорт;Потерянные;5;2;5;525;Потерянные
79;217;8;11730,30;2022-01-09;2022-06-10;Органика;Книги;Чемпионы;4;1;4;414;Новые клиенты
80;188;5;340,05;2022-01-09;2022-06-10;Email;Одежда;Рискующие;4;1;1;411;Потенциально лояльные
81;380;26;4938,75;2022-01-10;2022-06-10;Контекстная реклама;Спорт;Рискующие;3;3;2;332;Потерянные
82;493;16;9437,98;2022-01-10;2022-06-10;Рефералы;Дом и сад;Потерянные;2;2;4;224;Потерянные
83;41;36;4164,09;2022-01-10;2022-06-10;Email;Спорт;Чемпионы;5;4;2;542;Потерянные
84;157;28;13648,32;2022-01-10;2022-06-10;Email;Одежда;Лояльные;4;3;5;435;Лояльные клиенты
85;15;54;9526,65;2022-01-10;2022-06-11;Контекстная реклама;Одежда;Рискующие;5;5;4;554;Чемпионы
86;65;29;1125,01;2022-01-10;2022-06-11;Email;Дом и сад;Чемпионы;5;3;1;531;Потерянные
87;521;47;13639,63;2022-01-10;2022-06-11;Социальные сети;Дом и сад;Потерянные;1;5;5;155;Нуждающиеся во внимании
88;344;12;14368,61;2022-01-10;2022-06-11;Контекстная реклама;Спорт;Потерянные;3;1;5;315;Потерянные
89;129;37;1211,80;2022-01-10;2022-06-11;Контекстная реклама;Спорт;Потерянные;4;4;1;441;Потерянные
90;472;30;8008,79;2022-01-11;2022-06-11;Социальные сети;Одежда;Новые;2;3;3;233;Потерянные
91;63;23;4585,30;2022-01-11;2022-06-11;Контекстная реклама;Дом и сад;Лояльные;5;3;2;532;Потерянные
92;139;16;5922,94;2022-01-11;2022-06-11;Email;Электроника;Чемпионы;4;2;2;422;Потенциально лояльные
93;499;14;2735,79;2022-01-11;2022-06-12;Email;Дом и сад;Потерянные;2;2;1;221;Потерянные
94;593;10;8692,18;2022-01-11;2022-06-12;Email;Книги;Новые;1;1;3;113;Потерянные
95;392;7;14371,79;2022-01-11;2022-06-12;Социальные сети;Книги;Потенциальные;2;1;5;215;Нуждающиеся во внимании
96;419;45;7570,94;2022-01-11;2022-06-12;Email;Дом и сад;Рискующие;2;5;3;253;Потерянные
97;289;52;1289,57;2022-01-11;2022-06-12;Социальные сети;Спорт;Рискующие;3;5;1;351;Потерянные
98;379;37;9319,02;2022-01-11;2022-06-12;Социальные сети;Книги;Рискующие;3;4;4;344;Лояльные клиенты
99;490;29;5136,33;2022-01-12;2022-06-12;Социальные сети;Одежда;Чемпионы;2;3;2;232;Потерянные
100;231;3;12846,08;2022-01-12;2022-06-12;Контекстная реклама;Одежда;Потенциальные;4;1;5;415;Потерянные
101;41;15;6548,44;2022-01-12;2022-06-13;Рефералы;Одежда;Чемпионы;5;2;3;523;Потерянные
102;28;36;2932,95;2022-01-12;2022-06-13;Социальные сети;Дом и сад;Потерянные;5;4;1;541;Потерянные
103;135;47;2907,03;2022-01-12;2022-06-13;Email;Книги;Чемпионы;4;5;1;451;Потерянные
104;201;46;11543,02;2022-01-12;2022-06-13;Социальные сети;Спорт;Потенциальные;4;5;4;454;Чемпионы
105;33;52;4020,53;2022-01-12;2022-06-13;Органика;Одежда;Потерянные;5;5;2;552;Потерянные
106;48;19;11520,14;2022-01-12;2022-06-13;Контекстная реклама;Спорт;Потерянные;5;2;4;524;Потерянные
107;503;13;3128,02;2022-01-12;2022-06-13;Email;Одежда;Новые;2;2;2;222;Потерянные
108;407;42;4859,21;2022-01-13;2022-06-13;Контекстная реклама;Дом и сад;Потерянные;2;4;2;242;Потерянные
109;574;21;7009,03;2022-01-13;2022-06-13;Контекстная реклама;Одежда;Лояльные;1;2;3;123;Потерянные
110;99;37;14150,78;2022-01-13;2022-06-14;Органика;Дом и сад;Рискующие;5;4;5;545;Чемпионы
111;547;27;13979,38;2022-01-13;2022-06-14;Социальные сети;Книги;Потенциальные;1;3;5;135;Нуждающиеся во внимании
112;613;52;3142,73;2022-01-13;2022-06-14;Email;Книги;Новые;1;5;2;152;Потерянные
113;462;29;5405,37;2022-01-13;2022-06-14;Рефералы;Спорт;Потерянные;2;3;2;232;Потерянные
114;5;20;2283,52;2022-01-13;2022-06-14;Контекстная реклама;Одежда;Потенциальные;5;2;1;521;Потерянные
115;218;25;7674,28;2022-01-13;2022-06-14;Рефералы;Книги;Лояльные;4;3;3;433;Потерянные
116;503;6;6935,71;2022-01-14;2022-06-14;Рефералы;Электроника;Потенциальные;2;1;3;213;Потерянные
117;398;36;13516,36;2022-01-14;2022-06-14;Социальные сети;Электроника;Потенциальные;2;4;5;245;Рискуем потерять
118;393;2;13953,58;2022-01-14;2022-06-15;Рефералы;Спорт;Новые;2;1;5;215;Нуждающиеся во внимании
119;207;22;5784,33;2022-01-14;2022-06-15;Email;Книги;Рискующие;4;2;2;422;Потенциально лояльные
120;15;32;7401,48;2022-01-14;2022-06-15;Социальные сети;Дом и сад;Рискующие;5;3;3;533;Потерянные
121;554;16;13448,73;2022-01-14;2022-06-15;Рефералы;Электроника;Новые;1;2;5;125;Нуждающиеся во внимании
122;461;18;12110,28;2022-01-14;2022-06-15;Социальные сети;Книги;Новые;2;2;5;225;Потерянные
123;575;5;104,66;2022-01-14;2022-06-15;Email;Дом и сад;Чемпионы;1;1;1;111;Потерянные
124;241;54;4834,89;2022-01-14;2022-06-15;Контекстная реклама;Одежда;Чемпионы;4;5;2;452;Потерянные
125;564;36;6355,52;2022-01-15;2022-06-15;Органика;Книги;Лояльные;1;4;3;143;Потерянные
126;96;30;3484,26;2022-01-15;2022-06-16;Социальные сети;Одежда;Чемпионы;5;3;2;532;Потерянные
127;485;45;3033,60;2022-01-15;2022-06-16;Органика;Электроника;Чемпионы;2;5;1;251;Потерянные
128;407;19;614,88;2022-01-15;2022-06-16;Контекстная реклама;Одежда;Потенциальные;2;2;1;221;Потерянные
129;231;23;9668,38;2022-01-15;2022-06-16;Email;Электроника;Потенциальные;4;3;4;434;Лояльные клиенты
130;171;34;3974,53;2022-01-15;2022-06-16;Контекстная реклама;Спорт;Новые;4;4;2;442;Потерянные
131;541;13;832,59;2022-01-15;2022-06-16;Органика;Спорт;Потерянные;1;2;1;121;Потерянные
132;36;43;3503,14;2022-01-15;2022-06-16;Email;Электроника;Рискующие;5;4;2;542;Потерянные
133;525;54;12038,61;2022-01-15;2022-06-16;Рефералы;Дом и сад;Лояльные;1;5;5;155;Нуждающиеся во внимании
134;160;29;12779,76;2022-01-16;2022-06-16;Рефералы;Спорт;Чемпионы;4;3;5;435;Лояльные клиенты
135;243;36;7271,84;2022-01-16;2022-06-17;Социальные сети;Дом и сад;Потенциальные;4;4;3;443;Потерянные
136;86;22;6270,26;2022-01-16;2022-06-17;Рефералы;Дом и сад;Рискующие;5;2;3;523;Потерянные
137;578;52;14668,91;2022-01-16;2022-06-17;Органика;Дом и сад;Чемпионы;1;5;5;155;Нуждающиеся во внимании
138;557;52;3048,44;2022-01-16;2022-06-17;Рефералы;Книги;Потерянные;1;5;1;151;Потерянные
139;574;47;3269,62;2022-01-16;2022-06-17;Социальные сети;Книги;Рискующие;1;5;2;152;Потерянные
140;28;36;4413,41;2022-01-16;2022-06-17;Email;Дом и сад;Потенциальные;5;4;2;542;Потерянные
141;620;9;2632,72;2022-01-16;2022-06-17;Рефералы;Электроника;Новые;1;1;1;111;Потерянные
142;556;39;5721,52;2022-01-16;2022-06-17;Социальные сети;Спорт;Потерянные;1;4;2;142;Потерянные
143;340;51;13666,97;2022-01-17;2022-06-18;Рефералы;Одежда;Потерянные;3;5;5;355;Лояльные клиенты
144;331;19;9249,45;2022-01-17;2022-06-18;Рефералы;Книги;Чемпионы;3;2;4;324;Потерянные
145;506;38;6208,60;2022-01-17;2022-06-18;Органика;Книги;Чемпионы;2;4;3;243;Потерянные
146;348;6;14019,44;2022-01-17;2022-06-18;Социальные сети;Одежда;Лояльные;3;1;5;315;Потерянные
147;473;52;774,54;2022-01-17;2022-06-18;Социальные сети;Дом и сад;Чемпионы;2;5;1;251;Потерянные
148;231;47;3193,63;2022-01-17;2022-06-18;Контекстная реклама;Одежда;Потенциальные;4;5;2;452;Потерянные
149;190;15;8510,03;2022-01-17;2022-06-18;Контекстная реклама;Дом и сад;Рискующие;4;2;3;423;Потерянные
150;225;20;9252,51;2022-01-17;2022-06-18;Социальные сети;Книги;Потерянные;4;2;4;424;Потерянные
151;385;9;641,38;2022-01-17;2022-06-19;Органика;Одежда;Рискующие;3;1;1;311;Новые клиенты
152;377;32;6075,43;2022-01-18;2022-06-19;Рефералы;Электроника;Новые;3;3;3;333;Потерянные
153;283;4;9754,85;2022-01-18;2022-06-19;Email;Спорт;Потерянные;3;1;4;314;Потерянные
154;633;50;10486,15;2022-01-18;2022-06-19;Рефералы;Спорт;Потерянные;1;5;4;154;Потерянные
155;628;18;9590,19;2022-01-18;2022-06-19;Email;Спорт;Новые;1;2;4;124;Потерянные
156;259;5;4842,42;2022-01-18;2022-06-19;Органика;Одежда;Потенциальные;3;1;2;312;Потерянные
157;359;20;1448,13;2022-01-18;2022-06-19;Контекстная реклама;Дом и сад;Рискующие;3;2;1;321;Потерянные
158;456;23;6435,33;2022-01-18;2022-06-19;Социальные сети;Книги;Потерянные;2;3;3;233;Потерянные
159;411;11;1974,88;2022-01-18;2022-06-19;Органика;Спорт;Новые;2;1;1;211;Новые клиенты
160;318;37;14216,97;2022-01-18;2022-06-20;Email;Одежда;Потерянные;3;4;5;345;Потерянные
161;225;22;7153,80;2022-01-19;2022-06-20;Социальные сети;Спорт;Новые;4;2;3;423;Потерянные
162;234;4;4793,02;2022-01-19;2022-06-20;Email;Дом и сад;Лояльные;4;1;2;412;Потенциально лояльные
163;374;29;11506,25;2022-01-19;2022-06-20;Рефералы;Электроника;Лояльные;3;3;4;334;Потерянные
164;608;44;7494,33;2022-01-19;2022-06-20;Рефералы;Электроника;Потенциальные;1;4;3;143;Потерянные
165;472;34;4685,01;2022-01-19;2022-06-20;Рефералы;Книги;Потенциальные;2;4;2;242;Потерянные
166;233;13;12188,92;2022-01-19;2022-06-20;Социальные сети;Электроника;Потенциальные;4;2;5;425;Потерянные
167;113;42;13013,92;2022-01-19;2022-06-20;Контекстная реклама;Электроника;Потенциальные;5;4;5;545;Чемпионы
168;497;9;10111,47;2022-01-19;2022-06-21;Контекстная реклама;Одежда;Рискующие;2;1;4;214;Нуждающиеся во внимании
169;442;42;752,12;2022-01-20;2022-06-21;Email;Одежда;Чемпионы;2;4;1;241;Потерянные
170;564;31;8516,53;2022-01-20;2022-06-21;Контекстная реклама;Книги;Потенциальные;1;3;3;133;Потерянные
171;268;7;11461,26;2022-01-20;2022-06-21;Контекстная реклама;Книги;Лояльные;3;1;4;314;Потерянные
172;510;4;2090,72;2022-01-20;2022-06-21;Email;Одежда;Потерянные;2;1;1;211;Новые клиенты
173;386;19;3468,63;2022-01-20;2022-06-21;Email;Электроника;Чемпионы;3;2;2;322;Потерянные
174;387;42;13243,30;2022-01-20;2022-06-21;Email;Дом и сад;Чемпионы;2;4;5;245;Рискуем потерять
175;113;30;350,82;2022-01-20;2022-06-21;Социальные сети;Электроника;Рискующие;5;3;1;531;Потерянные
176;613;31;11303,27;2022-01-20;2022-06-22;Email;Электроника;Новые;1;3;4;134;Потерянные
177;625;35;7132,91;2022-01-20;2022-06-22;Социальные сети;Дом и сад;Потерянные;1;4;3;143;Потерянные
178;81;21;6729,24;2022-01-21;2022-06-22;Социальные сети;Книги;Потерянные;5;2;3;523;Потерянные
179;113;31;156,09;2022-01-21;2022-06-22;Социальные сети;Одежда;Чемпионы;5;3;1;531;Потерянные
180;2;19;12300,00;2022-01-21;2022-06-22;Email;Книги;Рискующие;5;2;5;525;Потерянные
181;220;31;5429,38;2022-01-21;2022-06-22;Контекстная реклама;Книги;Рискующие;4;3;2;432;Потерянные
182;566;53;8134,45;2022-01-21;2022-06-22;Контекстная реклама;Книги;Рискующие;1;5;3;153;Потерянные
183;225;32;10175,65;2022-01-21;2022-06-22;Email;Одежда;Потенциальные;4;3;4;434;Лояльные клиенты
184;385;2;10554,31;2022-01-21;2022-06-22;Контекстная реклама;Книги;Потерянные;3;1;4;314;Потерянные
185;403;52;14341,90;2022-01-21;2022-06-23;Email;Книги;Новые;2;5;5;255;Потерянные
186;638;10;7993,53;2022-01-21;2022-06-23;Социальные сети;Спорт;Потенциальные;1;1;3;113;Потерянные
187;130;2;6025,81;2022-01-22;2022-06-23;Рефералы;Электроника;Лояльные;4;1;2;412;Потенциально лояльные
188;53;2;14307,87;2022-01-22;2022-06-23;Органика;Спорт;Новые;5;1;5;515;Потерянные
189;416;24;9649,55;2022-01-22;2022-06-23;Email;Одежда;Потенциальные;2;3;4;234;Рискуем потерять
190;247;17;4507,35;2022-01-22;2022-06-23;Социальные сети;Дом и сад;Новые;4;2;2;422;Потенциально лояльные
191;439;32;1940,64;2022-01-22;2022-06-23;Рефералы;Дом и сад;Лояльные;2;3;1;231;Потерянные
192;203;16;12646,19;2022-01-22;2022-06-23;Социальные сети;Спорт;Потенциальные;4;2;5;425;Потерянные
193;184;16;5464,61;2022-01-22;2022-06-24;Органика;Спорт;Новые;4;2;2;422;Потенциально лояльные
194;123;46;9924,02;2022-01-22;2022-06-24;Контекстная реклама;Спорт;Лояльные;5;5;4;554;Чемпионы
195;401;39;7088,71;2022-01-22;2022-06-24;Контекстная реклама;Электроника;Потерянные;2;4;3;243;Потерянные
196;294;53;3024,00;2022-01-23;2022-06-24;Социальные сети;Одежда;Рискующие;3;5;1;351;Потерянные
197;280;31;9045,21;2022-01-23;2022-06-24;Органика;Книги;Новые;3;3;4;334;Потерянные
198;610;43;957,21;2022-01-23;2022-06-24;Социальные сети;Спорт;Лояльные;1;4;1;141;Потерянные
199;198;24;6229,47;2022-01-23;2022-06-24;Контекстная реклама;Электроника;Потерянные;4;3;3;433;Потерянные
200;511;1;8221,89;2022-01-23;2022-06-24;Социальные сети;Дом и сад;Рискующие;2;1;3;213;Потерянные
201;144;11;6568,90;2022-01-23;2022-06-25;Рефералы;Дом и сад;Лояльные;4;1;3;413;Новые клиенты
202;609;21;11242,65;2022-01-23;2022-06-25;Органика;Дом и сад;Потерянные;1;2;4;124;Потерянные
203;201;4;12427,48;2022-01-23;2022-06-25;Контекстная реклама;Спорт;Потерянные;4;1;5;415;Потерянные
204;124;7;11580,08;2022-01-23;2022-06-25;Социальные сети;Дом и сад;Потерянные;5;1;4;514;Потерянные
205;187;26;630,25;2022-01-24;2022-06-25;Органика;Дом и сад;Чемпионы;4;3;1;431;Потерянные
206;326;47;2952,23;2022-01-24;2022-06-25;Социальные сети;Дом и сад;Лояльные;3;5;1;351;Потерянные
207;464;50;8072,28;2022-01-24;2022-06-25;Контекстная реклама;Книги;Потенциальные;2;5;3;253;Потерянные
208;349;12;14025,59;2022-01-24;2022-06-25;Органика;Дом и сад;Потенциальные;3;1;5;315;Потерянные
209;403;31;12532,60;2022-01-24;2022-06-25;Контекстная реклама;Электроника;Потенциальные;2;3;5;235;Потерянные
210;346;17;12645,89;2022-01-24;2022-06-26;Рефералы;Спорт;Потенциальные;3;2;5;325;Потерянные
211;511;33;4582,96;2022-01-24;2022-06-26;Рефералы;Книги;Потерянные;2;3;2;232;Потерянные
212;147;11;6470,25;2022-01-24;2022-06-26;Email;Книги;Потерянные;4;1;3;413;Новые клиенты
213;148;28;7087,05;2022-01-24;2022-06-26;Органика;Спорт;Чемпионы;4;3;3;433;Потерянные
214;489;32;2402,71;2022-01-25;2022-06-26;Рефералы;Дом и сад;Чемпионы;2;3;1;231;Потерянные
215;551;1;514,47;2022-01-25;2022-06-26;Email;Дом и сад;Чемпионы;1;1;1;111;Потерянные
216;338;47;14206,20;2022-01-25;2022-06-26;Органика;Одежда;Рискующие;3;5;5;355;Лояльные клиенты
217;473;28;3648,65;2022-01-25;2022-06-26;Контекстная реклама;Дом и сад;Новые;2;3;2;232;Потерянные
218;151;53;3637,24;2022-01-25;2022-06-27;Социальные сети;Электроника;Потенциальные;4;5;2;452;Потерянные
219;415;42;1296,52;2022-01-25;2022-06-27;Социальные сети;Дом и сад;Новые;2;4;1;241;Потерянные
220;298;7;13931,19;2022-01-25;2022-06-27;Контекстная реклама;Спорт;Потенциальные;3;1;5;315;Потерянные
221;611;2;8717,07;2022-01-25;2022-06-27;Рефералы;Дом и сад;Потенциальные;1;1;3;113;Потерянные
222;263;42;10022,20;2022-01-26;2022-06-27;Социальные сети;Спорт;Потенциальные;3;4;4;344;Лояльные клиенты
223;144;24;13678,07;2022-01-26;2022-06-27;Контекстная реклама;Книги;Чемпионы;4;3;5;435;Лояльные клиенты
224;346;4;5217,02;2022-01-26;2022-06-27;Email;Одежда;Потерянные;3;1;2;312;Потерянные
225;624;44;9341,53;2022-01-26;2022-06-27;Email;Книги;Рискующие;1;4;4;144;Нуждающиеся во внимании
226;572;19;630,05;2022-01-26;2022-06-28;Контекстная реклама;Спорт;Потенциальные;1;2;1;121;Потерянные
227;2;26;2842,25;2022-01-26;2022-06-28;Органика;Одежда;Потенциальные;5;3;1;531;Потерянные
228;304;11;12477,12;2022-01-26;2022-06-28;Рефералы;Книги;Потенциальные;3;1;5;315;Потерянные
229;254;40;11513,19;2022-01-26;2022-06-28;Рефералы;Дом и сад;Лояльные;4;4;4;444;Лояльные клиенты
230;453;50;5292,11;2022-01-26;2022-06-28;Контекстная реклама;Дом и сад;Потенциальные;2;5;2;252;Потерянные
231;37;43;5683,32;2022-01-27;2022-06-28;Социальные сети;Одежда;Чемпионы;5;4;2;542;Потерянные
232;160;11;8026,64;2022-01-27;2022-06-28;Рефералы;Книги;Чемпионы;4;1;3;413;Новые клиенты
233;9;45;53,60;2022-01-27;2022-06-28;Рефералы;Электроника;Новые;5;5;1;551;Потерянные
234;233;3;3656,60;2022-01-27;2022-06-28;Email;Электроника;Потерянные;4;1;2;412;Потенциально лояльные
235;99;12;3163,07;2022-01-27;2022-06-29;Email;Электроника;Потерянные;5;1;2;512;Потенциально лояльные
236;208;3;3794,72;2022-01-27;2022-06-29;Email;Книги;Чемпионы;4;1;2;412;Потенциально лояльные
237;131;42;12098,29;2022-01-27;2022-06-29;Рефералы;Книги;Новые;4;4;5;445;Чемпионы
238;404;27;4231,12;2022-01-27;2022-06-29;Рефералы;Книги;Рискующие;2;3;2;232;Потерянные
239;152;49;2913,24;2022-01-27;2022-06-29;Рефералы;Спорт;Лояльные;4;5;1;451;Потерянные
240;54;54;7588,74;2022-01-28;2022-06-29;Социальные сети;Электроника;Чемпионы;5;5;3;553;Потерянные
241;120;2;12991,39;2022-01-28;2022-06-29;Социальные сети;Электроника;Потенциальные;5;1;5;515;Потерянные
242;628;49;3658,18;2022-01-28;2022-06-29;Социальные сети;Электроника;Рискующие;1;5;2;152;Потерянные
