property_id,city,district,property_type,total_area,living_area,kitchen_area,rooms,floor,total_floors,year_built,renovation_type,balcony,parking,metro_distance,center_distance,school_rating,hospital_distance,shopping_mall_distance,park_distance,crime_rate,air_quality_index,noise_level,price
PROP_000055,Москва,Спальный район,Вторичка,45.8,28.4,6.5,2,5,16,1999,Без ремонта,True,False,3.7,19.7,6.3,1.8,3.9,6.5,3.0,1.5,2.0,6240000
PROP_000056,Екатеринбург,Промышленный,Вторичка,46.9,33.0,14.6,2,1,9,1999,Косметический,True,False,,14.3,2.5,2.5,2.4,0.6,5.7,10.0,5.4,2350000
PROP_000057,Москва,Спальный район,Новостройка,112.0,73.2,13.6,3,2,16,2019,Евроремонт,False,True,1.7,26.2,6.2,15.6,4.3,3.3,2.0,1.1,2.8,21050000
PROP_000058,Москва,Деловой район,Вторичка,61.9,41.8,13.5,3,6,16,2001,Косметический,True,False,1.5,11.2,6.8,5.6,1.8,8.4,1.6,1.0,1.0,14120000
PROP_000059,Екатеринбург,Промышленный,Вторичка,95.5,67.0,16.1,3,10,16,2014,Евроремонт,True,False,,50.0,10.0,1.4,3.3,2.5,6.4,1.5,5.8,4940000
PROP_000060,Новосибирск,Окраина,Новостройка,71.6,50.1,8.5,3,6,20,2021,Евроремонт,True,True,0.6,11.0,,5.7,5.1,1.9,1.9,8.4,3.9,5300000
PROP_000061,СПб,Центр,Новостройка,40.4,28.0,6.2,2,12,25,2024,Косметический,True,True,0.1,4.7,2.7,2.6,6.9,1.4,2.5,2.6,1.8,16400000
PROP_000062,СПб,Окраина,Новостройка,50.6,33.0,16.2,2,5,16,2016,Без ремонта,True,True,0.6,12.1,3.6,9.6,3.3,2.4,7.0,3.9,5.0,4130000
PROP_000063,Москва,Центр,Вторичка,25.0,17.7,6.9,1,6,16,1969,Евроремонт,True,False,0.6,0.8,2.7,5.8,4.4,0.8,3.5,7.7,5.0,9100000
PROP_000064,Москва,Деловой район,Вторичка,30.3,22.2,17.5,1,3,9,1964,Евроремонт,True,False,0.9,9.5,4.0,7.9,3.6,0.9,1.7,2.4,1.4,9420000
PROP_000065,Новосибирск,Спальный район,Вторичка,48.7,33.3,19.8,2,5,5,1993,Без ремонта,False,False,1.7,28.5,4.5,1.7,3.8,8.8,3.2,2.9,8.0,1720000
PROP_000066,Москва,Окраина,Новостройка,83.5,62.1,11.9,4,3,12,2016,Евроремонт,True,False,1.2,41.5,2.9,4.2,1.7,2.8,3.8,2.3,3.7,11100000
PROP_000067,Москва,Спальный район,Вторичка,104.9,67.8,17.3,4,2,5,2010,Евроремонт,True,False,0.3,9.6,1.0,4.0,2.4,1.9,3.4,3.9,4.2,21450000
PROP_000068,Москва,Промышленный,Новостройка,34.1,24.2,7.4,1,9,16,2015,Косметический,True,False,0.6,14.0,9.1,10.0,2.3,2.0,2.5,7.3,1.5,6810000
PROP_000069,Казань,Промышленный,Вторичка,25.0,15.8,8.4,1,3,5,1997,Косметический,True,True,,24.2,4.6,1.6,2.7,3.7,1.2,3.9,2.0,1190000
PROP_000070,Москва,Центр,Вторичка,152.1,104.9,12.6,4,5,5,1997,Косметический,True,False,0.1,3.7,,0.8,1.9,4.6,1.5,5.4,4.2,51970000
PROP_000071,СПб,Окраина,Новостройка,51.4,35.1,18.7,2,12,12,2015,Евроремонт,False,False,1.0,27.7,3.1,0.3,6.8,1.4,3.6,2.9,7.4,3340000
PROP_000072,Новосибирск,Центр,Вторичка,60.1,46.9,6.9,3,14,16,1999,Косметический,True,False,0.1,1.2,7.7,2.9,0.6,5.4,1.9,5.7,4.3,8320000
PROP_000073,СПб,Центр,Вторичка,25.0,17.9,11.2,1,4,5,1992,Косметический,True,True,0.1,2.1,6.1,0.3,5.9,1.4,2.7,,2.1,7410000
PROP_000074,Казань,Спальный район,Вторичка,25.0,15.7,12.8,1,5,9,1996,Евроремонт,True,False,,4.6,1.7,0.8,2.9,0.6,1.9,7.6,1.0,1960000
PROP_000075,СПб,Спальный район,Новостройка,58.2,44.0,16.3,3,8,16,2020,Евроремонт,True,True,1.6,10.6,3.7,4.1,7.7,1.6,3.0,3.0,1.1,12110000
PROP_000076,СПб,Спальный район,Новостройка,85.8,58.1,13.2,3,18,20,2015,Евроремонт,False,False,2.6,18.1,4.7,3.0,3.8,2.3,1.6,1.7,4.5,12770000
PROP_000077,Москва,Центр,Вторичка,78.1,50.0,19.9,3,7,16,1989,Без ремонта,True,False,0.1,2.7,8.4,5.7,3.2,5.5,2.2,1.1,2.4,22730000
PROP_000078,Казань,Деловой район,Новостройка,29.9,19.4,12.7,1,2,16,2024,Евроремонт,True,True,,6.4,8.5,2.9,3.9,0.5,6.7,1.0,3.8,4990000
PROP_000079,Москва,Промышленный,Новостройка,35.0,23.0,13.9,1,13,25,2021,Евроремонт,True,True,3.2,14.8,7.4,2.0,2.9,4.9,2.8,1.3,1.1,8980000
PROP_000080,Екатеринбург,Деловой район,Новостройка,51.3,39.8,8.6,2,12,25,2015,Косметический,False,True,,3.6,5.2,4.1,1.2,1.8,3.1,1.6,8.5,7670000
PROP_000081,Екатеринбург,Окраина,Новостройка,66.9,48.9,16.3,3,6,25,2019,Косметический,True,False,,41.6,7.2,4.2,1.5,3.6,4.6,1.6,7.5,2640000
PROP_000082,Москва,Деловой район,Вторичка,59.6,45.0,16.8,3,12,16,1971,Без ремонта,True,False,1.9,4.1,9.2,1.8,4.9,0.5,4.1,,2.4,13300000
PROP_000083,Москва,Промышленный,Вторичка,53.3,42.5,9.3,2,16,16,1979,Косметический,False,True,0.9,20.2,3.6,4.5,6.4,0.5,7.7,5.3,2.8,5890000
PROP_000084,Москва,Центр,Элитное,124.7,80.5,6.6,4,3,5,2024,Евроремонт,True,True,0.5,0.6,10.0,0.4,2.1,0.6,3.5,3.2,4.1,100000000
PROP_000085,СПб,Спальный район,Новостройка,27.7,18.8,19.3,1,7,16,2022,Косметический,True,False,4.2,27.2,10.0,3.3,6.9,3.9,1.9,1.8,1.2,4170000
PROP_000086,Москва,Спальный район,Вторичка,26.6,20.8,8.2,1,11,12,1993,Евроремонт,True,False,0.3,5.1,5.7,5.1,3.4,0.3,1.1,2.0,1.0,5640000
PROP_000087,Москва,Центр,Новостройка,25.0,18.6,13.9,1,3,12,2024,Евроремонт,True,False,0.6,4.7,8.0,5.4,3.7,1.2,1.3,2.5,3.3,14230000
PROP_000088,Москва,Спальный район,Вторичка,85.3,63.0,16.8,4,3,16,1993,Косметический,True,True,1.6,9.6,3.4,3.4,0.9,0.7,4.1,1.2,1.0,12890000
PROP_000089,Новосибирск,Спальный район,Новостройка,38.2,26.0,9.1,2,5,16,2020,Евроремонт,True,True,0.8,7.7,7.2,5.3,0.6,1.6,2.9,5.2,2.9,4650000
PROP_000090,Казань,Деловой район,Вторичка,122.5,80.2,17.3,4,5,5,1965,Без ремонта,False,False,,10.3,9.0,0.2,2.4,1.1,7.1,3.2,4.7,8360000
PROP_000091,Казань,Спальный район,Вторичка,98.2,68.4,7.7,4,14,16,1994,Евроремонт,True,False,,18.7,9.4,3.4,6.1,2.4,2.6,1.1,2.3,7320000
PROP_000092,Новосибирск,Спальный район,Новостройка,42.8,28.5,15.5,2,2,20,2021,Евроремонт,True,False,2.4,5.8,4.4,2.1,0.7,2.5,7.4,2.0,1.2,3700000
PROP_000093,Москва,Центр,Вторичка,75.6,47.5,14.3,3,6,12,1979,Без ремонта,True,False,0.3,2.0,10.0,5.9,0.9,0.7,1.1,3.7,4.9,25360000
PROP_000094,СПб,Центр,Новостройка,91.2,64.6,19.2,4,9,25,2024,Евроремонт,True,False,0.4,1.4,8.1,2.6,3.0,3.0,8.6,3.7,7.2,35000000
PROP_000095,Казань,Центр,Новостройка,25.8,17.8,16.3,1,1,16,2016,Косметический,True,False,,1.0,,6.3,1.4,5.1,1.3,1.3,7.3,3510000
PROP_000096,Екатеринбург,Спальный район,Вторичка,100.2,69.0,15.1,3,12,12,1977,Косметический,True,False,,8.5,5.3,4.0,1.8,1.1,1.4,4.9,1.3,6390000
PROP_000097,Москва,Промышленный,Элитное,108.4,77.0,9.6,3,2,8,1923,Без ремонта,False,False,0.5,13.2,9.6,0.3,3.4,4.7,1.6,9.4,1.4,29600000
PROP_000098,Москва,Окраина,Новостройка,51.4,31.7,6.3,2,10,20,2017,Косметический,True,True,7.2,50.0,6.9,0.9,1.6,5.3,10.0,10.0,4.4,3680000
PROP_000099,Екатеринбург,Деловой район,Новостройка,48.1,35.6,12.9,2,7,12,2022,Евроремонт,True,False,,4.5,5.9,3.2,1.3,0.7,4.7,7.7,3.7,6920000
PROP_000100,Екатеринбург,Окраина,Новостройка,42.7,33.2,12.5,2,9,12,2022,Косметический,True,True,,25.3,3.6,3.7,5.6,3.0,2.4,3.2,2.1,2650000
PROP_000101,СПб,Промышленный,Вторичка,76.0,56.4,6.1,3,2,12,2008,Без ремонта,True,True,5.3,9.2,10.0,1.2,4.0,0.9,1.0,1.0,1.0,9890000
PROP_000102,Екатеринбург,Окраина,Вторичка,45.3,29.7,8.8,2,9,12,1999,Косметический,False,False,,12.6,6.7,9.5,0.3,7.9,10.0,3.8,1.0,1840000
PROP_000103,Екатеринбург,Деловой район,Вторичка,25.0,18.9,16.7,1,8,9,1979,Косметический,True,True,,4.3,1.8,6.6,3.3,2.5,1.0,1.9,4.1,3470000
PROP_000104,Москва,Окраина,Новостройка,25.0,16.8,17.0,1,16,20,2019,Косметический,True,False,2.6,48.0,9.7,11.7,7.7,8.6,1.4,5.5,3.8,2390000
PROP_000105,Казань,Промышленный,Вторичка,52.3,36.2,19.2,2,2,9,1986,Косметический,True,False,,25.7,2.2,1.0,4.6,0.6,3.2,6.4,4.7,1960000
PROP_000106,Новосибирск,Промышленный,Вторичка,98.7,77.2,14.9,4,2,9,1996,Косметический,True,True,2.0,20.4,6.0,5.6,2.6,13.4,6.1,2.2,2.0,4520000
PROP_000107,Новосибирск,Центр,Вторичка,34.4,26.2,17.9,1,3,9,2005,Без ремонта,True,True,0.2,0.5,4.7,0.6,1.7,0.8,1.3,6.7,1.8,5380000
PROP_000108,Москва,Деловой район,Вторичка,58.4,42.3,8.2,3,6,16,1969,Косметический,True,False,0.3,4.6,8.9,2.1,7.6,1.7,3.5,4.4,2.7,17260000
PROP_000109,СПб,Центр,Вторичка,94.8,73.2,11.7,3,4,12,1984,Косметический,False,False,0.2,3.4,5.1,7.0,2.6,2.5,2.8,1.9,4.6,23000000
PROP_000110,Новосибирск,Центр,Вторичка,42.5,33.4,18.5,2,1,16,1990,Косметический,True,False,0.1,0.5,10.0,13.3,6.1,8.1,1.3,1.0,2.0,5270000
PROP_000111,Казань,Спальный район,Новостройка,46.0,34.6,8.2,2,6,16,2016,Косметический,True,False,,22.0,4.7,10.8,2.8,1.6,7.5,2.9,5.6,2590000
PROP_000112,Казань,Промышленный,Новостройка,25.0,18.6,7.6,1,8,12,2022,Евроремонт,True,False,,21.8,5.7,1.9,5.4,2.7,1.0,1.3,2.7,1790000
PROP_000113,Москва,Окраина,Элитное,118.1,85.3,15.5,4,2,12,1937,Косметический,True,True,3.3,28.4,9.5,1.2,0.8,1.0,1.0,2.3,1.2,17950000
PROP_000114,Казань,Центр,Элитное,106.7,64.1,6.8,3,4,5,1939,Евроремонт,False,False,,0.5,2.8,10.2,5.4,0.7,1.6,1.0,4.9,23820000
PROP_000115,Москва,Деловой район,Новостройка,25.0,15.6,13.7,1,11,12,2021,Евроремонт,False,False,2.8,17.3,6.3,3.0,2.7,7.4,3.9,1.4,3.5,8980000
PROP_000116,Екатеринбург,Деловой район,Вторичка,43.6,33.0,9.4,2,7,9,1990,Без ремонта,True,False,,7.5,2.1,7.0,1.7,0.5,1.0,1.0,1.0,4390000
PROP_000117,Екатеринбург,Спальный район,Вторичка,35.6,22.8,6.2,2,2,5,2008,Косметический,True,False,,6.2,3.1,4.9,2.1,2.5,1.0,,8.2,2460000
PROP_000118,Екатеринбург,Деловой район,Новостройка,25.0,17.1,15.5,1,5,16,2018,Косметический,True,False,,3.5,3.8,2.7,1.5,4.8,1.4,1.0,1.4,3790000
PROP_000119,Екатеринбург,Промышленный,Вторичка,45.4,33.2,6.1,2,10,16,2005,Без ремонта,True,False,,9.9,4.1,3.0,2.9,3.7,4.6,1.8,1.9,2000000
PROP_000120,СПб,Спальный район,Вторичка,43.1,34.4,8.7,2,1,9,1977,Без ремонта,False,True,2.5,5.3,2.4,2.7,3.3,2.9,5.4,9.7,4.8,4230000
PROP_000121,СПб,Спальный район,Новостройка,25.0,17.9,6.2,1,11,25,2024,Евроремонт,True,False,3.2,27.3,2.6,6.0,0.2,3.4,3.5,3.1,1.5,2990000
PROP_000122,Москва,Промышленный,Вторичка,37.8,24.3,8.9,2,3,5,2014,Без ремонта,True,True,0.3,13.1,5.0,2.4,0.7,4.4,1.0,1.7,6.5,5750000
PROP_000123,Екатеринбург,Деловой район,Новостройка,63.1,38.3,19.9,3,10,12,2023,Косметический,False,False,,18.2,8.8,10.6,10.0,1.2,4.2,1.0,3.8,8440000
PROP_000124,СПб,Промышленный,Вторичка,25.0,17.5,8.7,1,12,12,2012,Евроремонт,True,False,3.1,27.9,6.9,9.8,6.8,0.3,1.4,1.3,5.7,2380000
PROP_000125,Екатеринбург,Спальный район,Новостройка,59.6,37.3,6.4,3,16,16,2023,Косметический,True,False,,5.6,2.1,3.8,2.9,5.0,5.4,4.6,1.8,6150000
PROP_000126,Екатеринбург,Центр,Вторичка,57.3,41.0,9.6,3,3,5,1975,Без ремонта,True,False,,1.8,10.0,1.0,1.3,3.0,1.8,3.0,1.6,6530000
PROP_000127,СПб,Окраина,Элитное,124.0,88.0,11.3,4,3,3,1924,Косметический,True,True,1.6,50.0,6.5,3.1,4.9,2.1,1.0,1.4,8.5,12550000
PROP_000128,Москва,Промышленный,Вторичка,25.0,15.5,16.9,1,4,5,1981,Без ремонта,True,False,0.9,17.0,,1.3,5.0,3.5,3.3,2.9,9.3,1880000
PROP_000129,Москва,Спальный район,Вторичка,111.5,81.2,12.5,3,10,16,1997,Косметический,True,False,1.2,18.6,4.8,7.6,0.8,0.6,2.8,1.4,2.9,16390000
PROP_000130,Москва,Промышленный,Элитное,80.0,49.8,18.4,3,2,5,2014,Косметический,True,True,1.0,17.5,6.8,3.8,0.4,1.0,1.4,8.9,6.3,22580000
PROP_000131,Москва,Спальный район,Новостройка,40.7,30.0,14.3,2,2,12,2017,Без ремонта,True,False,4.4,17.9,10.0,2.4,2.9,2.1,3.4,2.8,1.9,7160000
PROP_000132,Новосибирск,Окраина,Новостройка,41.8,31.4,18.7,2,11,25,2018,Без ремонта,True,False,0.1,22.3,,3.1,2.7,1.6,2.3,1.9,6.3,1880000
PROP_000133,Москва,Спальный район,Новостройка,25.0,16.9,6.7,1,6,20,2017,Евроремонт,True,True,1.7,11.5,6.0,3.4,3.9,3.7,1.0,2.1,5.5,6730000
PROP_000134,Екатеринбург,Центр,Новостройка,52.8,32.2,19.0,2,14,20,2016,Косметический,True,True,,0.8,4.2,10.4,1.0,2.4,3.6,1.0,3.9,9930000
PROP_000135,Москва,Промышленный,Новостройка,25.0,16.7,17.0,1,7,20,2019,Косметический,False,False,1.4,50.0,3.6,6.0,1.3,2.4,3.1,,7.2,3860000
PROP_000136,Новосибирск,Спальный район,Новостройка,32.8,22.9,11.9,1,13,16,2016,Косметический,True,False,0.4,5.9,6.5,7.5,1.5,3.9,8.7,2.7,10.0,3040000
PROP_000137,СПб,Центр,Новостройка,25.0,19.5,9.4,1,13,16,2016,Евроремонт,True,False,0.3,0.5,1.0,7.5,3.0,5.5,2.0,6.5,1.6,11100000
PROP_000138,Москва,Деловой район,Новостройка,141.5,102.3,7.1,6,10,20,2024,Евроремонт,True,True,4.1,12.1,10.0,3.1,5.0,3.5,2.8,5.3,2.5,62880000
PROP_000139,Москва,Окраина,Новостройка,62.5,42.7,11.0,3,24,25,2023,Евроремонт,True,False,1.9,33.9,8.2,6.9,3.3,1.0,2.4,1.0,7.9,7770000
PROP_000140,СПб,Спальный район,Вторичка,63.7,48.0,8.0,3,6,12,1995,Без ремонта,True,True,1.3,18.2,4.0,2.5,4.2,1.3,3.4,,7.6,5730000
PROP_000141,Москва,Спальный район,Новостройка,48.9,33.7,7.2,2,8,16,2021,Евроремонт,False,False,1.2,21.2,8.6,7.3,2.1,8.8,3.1,2.5,3.6,14010000
PROP_000142,СПб,Окраина,Элитное,80.0,62.8,8.0,4,4,12,2011,Косметический,True,True,1.2,5.1,,3.5,3.2,2.8,1.0,2.2,3.2,14700000
PROP_000143,СПб,Окраина,Вторичка,31.6,21.6,11.9,1,3,5,1996,Косметический,True,False,1.3,9.3,8.8,0.6,2.1,3.9,1.0,2.4,4.7,2870000
PROP_000144,Москва,Центр,Вторичка,44.6,31.3,10.9,2,11,12,1991,Косметический,True,False,0.1,5.0,8.1,1.6,4.8,8.1,1.9,3.1,5.1,13310000
PROP_000145,Екатеринбург,Деловой район,Элитное,93.7,60.9,13.5,4,2,3,1942,Косметический,False,True,,1.4,5.9,2.0,0.8,3.9,4.5,1.4,6.3,19480000
PROP_000146,Новосибирск,Спальный район,Новостройка,117.8,81.1,12.8,4,1,25,2018,Евроремонт,False,False,1.0,12.0,2.9,6.4,0.2,1.4,1.0,5.8,7.9,9650000
PROP_000147,СПб,Деловой район,Новостройка,29.3,23.3,16.3,1,13,25,2021,Евроремонт,False,True,2.0,3.6,3.4,7.4,5.6,3.5,5.4,1.0,7.7,8630000
